study_id,site_id,core_id,year,month,day,latitude,longitude,position_accuracy,position_method,position_notes,elevation,elevation_datum,elevation_method,elevation_notes,salinity_class,salinity_method,vegetation_class,vegetation_method,inundation_class,inundation_method,core_length_flag
Nolte_2020,DSK,DSK_grazed_landward,2010,12,6,53.975318,8.891627,8,other low resolution,JH estimated using Google Earth Imagrey and Figure 1.,1.91,NHN,DEM,NA,polyhaline,field observation,emergent,measurement,high,measurement,not specified
Nolte_2020,DSK,DSK_grazed_seaward,2010,12,6,53.972811,8.882471,8,other low resolution,JH estimated using Google Earth Imagrey and Figure 1.,2.25,NHN,DEM,NA,polyhaline,field observation,emergent,measurement,high,measurement,not specified
Nolte_2020,DSK,DSK_ungrazed_landward,2010,12,6,53.974564,8.8923,8,other low resolution,JH estimated using Google Earth Imagrey and Figure 1.,2.11,NHN,other high resolution,laser levelling to reference point,polyhaline,field observation,emergent,measurement,high,measurement,not specified
Nolte_2020,DSK,DSK_ungrazed_seaward,2010,12,6,53.971047,8.880281,8,other low resolution,JH estimated using Google Earth Imagrey and Figure 1.,2.44,NHN,other high resolution,laser levelling to reference point,polyhaline,field observation,emergent,measurement,high,measurement,not specified
Nolte_2020,HH,HH_grazed_landward,2010,4,11,54.60247106,8.826773641,8,handheld,NA,2.09,NHN,other high resolution,laser levelling to reference point,polyhaline,field observation,emergent,measurement,high,measurement,not specified
Nolte_2020,HH,HH_grazed_seaward,2010,4,11,54.60449945,8.82546519,8,handheld,NA,1.92,NHN,other high resolution,laser levelling to reference point,polyhaline,field observation,emergent,measurement,high,measurement,not specified
Nolte_2020,HH,HH_ungrazed_landward,2010,4,11,54.60409428,8.831177008,8,handheld,NA,2.13,NHN,other high resolution,laser levelling to reference point,polyhaline,field observation,emergent,measurement,high,measurement,not specified
Nolte_2020,HH,HH_ungrazed_seaward,2010,4,11,54.60578955,8.829313003,8,handheld,NA,1.92,NHN,other high resolution,laser levelling to reference point,polyhaline,field observation,emergent,measurement,high,measurement,not specified
Nolte_2020,NFB,NFB_grazed_landward,2010,4,6,53.34764266,5.773904187,8,handheld,NA,1.74,NAP,other high resolution,laser levelling to reference point,polyhaline,field observation,emergent,measurement,high,measurement,not specified
Nolte_2020,NFB,NFB_grazed_seaward,2010,4,6,53.35008057,5.770186968,8,handheld,NA,1.49,NAP,other high resolution,laser levelling to reference point,polyhaline,field observation,emergent,measurement,low,measurement,not specified
Nolte_2020,NFB,NFB_ungrazed_landward,2010,4,6,53.33060597,5.710214978,8,handheld,NA,1.55,NAP,other high resolution,laser levelling to reference point,polyhaline,field observation,emergent,measurement,high,measurement,not specified
Nolte_2020,NFB,NFB_ungrazed_seaward,2010,4,6,53.33251443,5.708878359,8,handheld,NA,1.29,NAP,other high resolution,laser levelling to reference point,polyhaline,field observation,emergent,measurement,low,measurement,not specified
Nolte_2020,SNK,SNK_grazed_landward,2010,4,12,54.6359499,8.838061003,8,handheld,NA,2.07,NHN,other high resolution,laser levelling to reference point,polyhaline,field observation,emergent,measurement,high,measurement,not specified
Nolte_2020,SNK,SNK_grazed_seaward,2010,4,12,54.63390664,8.835064841,8,handheld,NA,2.04,NHN,other high resolution,laser levelling to reference point,polyhaline,field observation,emergent,measurement,high,measurement,not specified
Nolte_2020,SNK,SNK_ungrazed_landward,2010,4,12,54.63700711,8.835950588,8,handheld,NA,2,NHN,other high resolution,laser levelling to reference point,polyhaline,field observation,emergent,measurement,high,measurement,not specified
Nolte_2020,SNK,SNK_ungrazed_seaward,2010,4,12,54.63501759,8.832876803,8,handheld,NA,2.04,NHN,other high resolution,laser levelling to reference point,polyhaline,field observation,emergent,measurement,high,measurement,not specified
