"","Latitude","Longitude","CES","SOC..mg.cm.3.","Country","Source"
"1",26.48,-82.15,"CT",81.47,"USA","This study"
"2",26.02,-81.73,"CT",76.75,"USA","This study"
"3",25.93,-81.65,"CT",54.36,"USA","This study"
"4",25.36,-81.07,"CT",52.78,"USA","This study"
"5",25.3,-80.96,"CT",48.84,"USA","This study"
"6",25.21,-80.53,"CT",58.77,"USA","This study"
"7",25.2,-80.46,"CT",41.94,"USA","This study"
"8",25.2,-80.64,"CT",61.51,"USA","This study"
"9",25.18,-80.91,"CT",72.8,"USA","This study"
"10",13.19,-88.33,"LG",24.95,"El Salvador","This study"
"11",13.22,-88.46,"LG",21.14,"El Salvador","This study"
"12",13.26,-88.79,"LG",18.07,"El Salvador","This study"
"13",9.83,-84.92,"BR",32.99,"Costa Rica","This study"
"14",9.83,-84.92,"BR",24.46,"Costa Rica","This study"
"15",9.82,-84.91,"BR",28.75,"Costa Rica","This study"
"16",9.59,-82.6,"CP",41.22,"Costa Rica","This study"
"17",9.59,-82.6,"CP",46.98,"Costa Rica","This study"
"18",9.59,-82.6,"CP",44.38,"Costa Rica","This study"
"19",8.32,-82.44,"ET",23.82,"Panama","This study"
"20",8.31,-82.28,"ET",28.96,"Panama","This study"
"21",8.28,-82.35,"ET",34.52,"Panama","This study"
"22",-0.64,-47.56,"DT",20.37,"Brazil","This study"
"23",-0.67,-48.03,"DT",17.2,"Brazil","This study"
"24",-0.7,-47.12,"DT",16.64,"Brazil","This study"
"25",-13.49,-38.91,"CT",24.07,"Brazil","This study"
"26",-13.47,-38.91,"CT",37.01,"Brazil","This study"
"27",-13.45,-38.89,"CT",33.57,"Brazil","This study"
"28",-17.79,-39.33,"DT",30.01,"Brazil","This study"
"29",-17.77,-39.33,"DT",19.42,"Brazil","This study"
"30",-17.77,-39.22,"DT",20.47,"Brazil","This study"
"31",-24.69,-47.51,"LG",27.48,"Brazil","This study"
"32",-25.02,-47.92,"LG",23.26,"Brazil","This study"
"33",-25.23,-48.02,"LG",28.99,"Brazil","This study"
"34",-25.87,-48.63,"ET",16.24,"Brazil","This study"
"35",-26.18,-48.62,"ET",21.36,"Brazil","This study"
"36",-27.45,-48.52,"ET",20.27,"Brazil","This study"
"37",19.49,-87.7,"CT",79,"Mexico","Adame et al. 2013"
"38",19.65,-87.45,"CT",66,"Mexico","Adame et al. 2013"
"39",19.7,-87.47,"CT",32,"Mexico","Adame et al. 2013"
"40",19.78,-87.48,"CT",52,"Mexico","Adame et al. 2013"
"41",19.82,-87.5,"CT",41,"Mexico","Adame et al. 2013"
"42",19.84,-87.48,"CT",42,"Mexico","Adame et al. 2013"
"43",19.86,-87.46,"CT",31,"Mexico","Adame et al. 2013"
"44",18.25,-87.87,"CT",125.55,"Mexico","Adame et al. 2013"
"45",18.49,-88.32,"CT",72.72,"Mexico","Adame et al. 2013"
"46",20.85,-90.38,"CT",85.68,"Mexico","Adame et al. 2013"
"47",20.85,-86.88,"CT",48.36,"Mexico","Adame et al. 2013"
"48",21.26,-89.75,"CT",52.61,"Mexico","Adame et al. 2013"
"49",21.26,-89.68,"CT",101.17,"Mexico","Adame et al. 2013"
"50",21.39,-88.89,"CT",94.72,"Mexico","Adame et al. 2013"
"51",21.6,-88.14,"CT",20.7,"Mexico","Adame et al. 2013"
"52",15.13,-92.76,"LG",73,"Mexico","Adame et al. 2015"
"53",15.16,-92.78,"LG",76.92,"Mexico","Adame et al. 2015"
"54",15.17,-92.83,"LG",36.56,"Mexico","Adame et al. 2015"
"55",15.18,-92.85,"LG",74.08,"Mexico","Adame et al. 2015"
"56",15.18,-92.81,"LG",89.68,"Mexico","Adame et al. 2015"
