study_id,site_id,site_description,vegetation_class,vegetation_method,inundation_class,inundation_method
Adams_and_Human_2016,St Lucia,"KZN, Subtropical, Estuarine Lake",forested,field observation,NA,field observation
Bekker_2015,Knysna,"Western Cape, Warm Temperate, Estuarine Bay, Intertidal",emergent,field observation,NA,field observation
Bekker_2015,Knysna,"Western Cape, Warm Temperate, Estuarine Bay, Supratidal",emergent,field observation,NA,field observation
Bekker_2015,Knysna,"Western Cape, Warm Temperate, Estuarine Bay, Submerged",seagrass,field observation,NA,field observation
Bezuidenhout_et_al_2011,Seekoei,"Western Cape, Warm Temperate, Predominantly Open, Intertidal",emergent,field observation,NA,field observation
Bezuidenhout_et_al_2011,Kromme,"Warm Temperate, Intertidal",emergent,field observation,NA,field observation
Bezuidenhout_et_al_2011,Kromme,Warm Temperate,emergent,field observation,NA,field observation
Bezuidenhout_et_al_2011,Mngazi,"Subtropical, Large Temporarily Closed, Supratidal",emergent,field observation,NA,field observation
Bezuidenhout_et_al_2011,Kromme,"Warm Temperate, Submerged",emergent,field observation,NA,field observation
Brown_and_Rajkaran_2020,Berg,"Western Cape, Cool Temperate, Predominantly Open, Intertidal",emergent,field observation,low,field observation
Brown_and_Rajkaran_2020,Heuningnes,"Western Cape, Warm Temperate, Predominantly Open, Intertidal",emergent,field observation,low,field observation
Brown_and_Rajkaran_2020,Kwelera,"Eastern Cape, Warm Temperate, Predominantly Open",emergent,field observation,low,field observation
Brown_and_Rajkaran_2020,Kwelera,"Eastern Cape, Warm Temperate, Predominantly Open, Intertidal",emergent,field observation,low,field observation
Brown_and_Rajkaran_2020,Langebaan,"Western Cape, Cool Temperate, Estuarine Lagoon, Intertidal",emergent,field observation,low,field observation
Brown_and_Rajkaran_2020,Nahoon,"Eastern Cape, Warm Temperate, Predominantly Open, Intertidal",emergent,field observation,low,field observation
Brown_and_Rajkaran_2020,Olifants,"Western Cape, Cool Temperate, Predominantly Open, Intertidal",emergent,field observation,low,field observation
Brown_and_Rajkaran_2020,Nahoon,"EC, Warm temperate, Predominantly Open, Neap",forested,field observation,NA,field observation
Brown_and_Rajkaran_2020,Kobonqaba,"Eastern Cape, Warm temperate, Predominantly Open, Submerged",seagrass,field observation,NA,field observation
Els_2017,Knysna,"Western Cape, Warm Temperate, Estuarine Lake, Submerged",seagrass,field observation,NA,field observation
Els_2019,Swartkops,"Eastern Cape, Warm Temperate, Predominantly Open, Intertidal",seagrass,field observation,NA,field observation
Els_2019,Swartkops,"Eastern Cape, Warm Temperate, Predominantly Open, Intertidal",emergent,field observation,NA,field observation
Els_2019,Swartkops,"Eastern Cape, Warm Temperate, Predominantly Open, Submerged",emergent,field observation,NA,field observation
Geldenhyus_et_al_2016,Nahoon,"EC, Warm temperate, Predominantly Open, Neap",forested,field observation,NA,field observation
Geldenhyus_et_al_2016,Nahoon,"EC, Warm temperate, Predominantly Open, Spring",forested,field observation,NA,field observation
Hoppe-Speer_et_al_2013,Nxaxo,Warm Temperate,forested,field observation,NA,field observation
Hoppe-Speer_et_al_2013,St Lucia,"KZN, Subtropical, Estuarine Lake",forested,field observation,NA,field observation
Human_et_al_2022,Swartkops Estuary,Eastern Cape,emergent,field observation,NA,field observation
Johnson_et_al_2020,Nxaxo,"Eastern Cape, Warm Temperate, Large Temporarily Closed",forested,field observation,NA,field observation
Lemley_2018,Gamtoos,"Eastern Cape, Warm Temperate, Predominantly Open, Intertidal",emergent,field observation,NA,field observation
Lemley_2018,Kariega,"Eastern Cape, Warm Temperate, Predominantly Open, Submerged",seagrass,field observation,NA,field observation
Matabane_2018,Swartkops,"Eastern Cape, Warm Temperate, Predominantly Open, Supratidal",emergent,field observation,NA,field observation
Matabane_2018,Swartkops,"Eastern Cape, Warm Temperate, Predominantly Open, Intertidal",emergent,field observation,NA,field observation
Mbense_et_al_2016,Kobonqaba,"Eastern Cape, Warm temperate, Predominantly Open",emergent,field observation,NA,field observation
Mbense_et_al_2016,Kobonqaba,"Eastern Cape, Warm temperate, Predominantly Open, Intertidal",emergent,field observation,NA,field observation
Mbense_et_al_2016,Kobonqaba,"Warm temperate, Intertidal",emergent,field observation,NA,field observation
Mbense_et_al_2016,Nxaxo,Warm Temperate,forested,field observation,NA,field observation
Mbense_et_al_2016,Nxaxo,Warm Temperate,forested,field observation,NA,field observation
Mbense_et_al_2016,St Lucia,"KZN, Subtropical, Estuarine Lake",forested,field observation,NA,field observation
Mbense_2019,Nxaxo,"Eastern Cape, Warm Temperate, Large Temporarily Closed, Intertidal",seagrass,field observation,NA,field observation
Mbense_2019,Nxaxo,"Eastern Cape, Warm Temperate, Large Temporarily Closed, Submerged",seagrass,field observation,NA,field observation
Mbense_2019,Nxaxo,"Eastern Cape, Warm Temperate, Large Temporarily Closed, Intertidal",emergent,field observation,NA,field observation
Naidoo_2014,Duiwenhoks,"Warm Temperate, Predominantly Open, Supratidal",emergent,field observation,NA,field observation
Peer_et_al_2018,Mntafufu,"Eastern Cape, Warm Temp, Predominantly Open",forested,field observation,NA,field observation
Peer_et_al_2018,Durban Bay,"KwaZulu Natal, Subtropical, Estuarine Bay",forested,field observation,NA,field observation
Peer_et_al_2018,Kosi,"KwaZulu Natal, Tropical, Estuarine Lake",forested,field observation,NA,field observation
Peer_et_al_2018,Mfolozi,"KwaZulu Natal, Subtropical, Large Fluvially Dominated",forested,field observation,NA,field observation
Peer_et_al_2018,Mhlathuze,"KwaZulu Natal, Subtropical, Predominantly Open",forested,field observation,NA,field observation
Peer_et_al_2018,Mlalazi,"KwaZulu Natal, Subtropical, Estuarine Bay",forested,field observation,NA,field observation
Peer_et_al_2018,Mlalazi,"KwaZulu Natal, Subtropical, Predominantly Open",forested,field observation,NA,field observation
Peer_et_al_2018,Nahoon,"Eastern Cape, Warm Temperate, Predominantly Open",forested,field observation,NA,field observation
Peer_et_al_2018,Richards Bay,"KwaZulu Natal, Subtropical, Estuarine Bay",forested,field observation,NA,field observation
Peer_et_al_2018,St Lucia,"KwaZulu Natal, Subtropical, Estuarine Lake",forested,field observation,NA,field observation
Peer_et_al_2018,Umngeni,"KwaZulu Natal, Subtropical",forested,field observation,NA,field observation
Peer_et_al_2018,Mngazana,"Eastern Cape, Subtropical, Predominantly Open",forested,field observation,NA,field observation
Peer_et_al_2018,Nxaxo,"Eastern Cape, Warm Temperate, Large Temporarily Closed",forested,field observation,NA,field observation
Rajkaran_and_Adams_2011,Mngazana,"EC, Subtropical, Predominantly Open, Submerged",seagrass,field observation,NA,field observation
Rajkaran_and_Adams_2011,Mngazana,"EC, Subtropical, Predominantly Open",forested,field observation,NA,field observation
Rajkaran_and_Adams_2011,Nxaxo,"EC, Warm Temperate, Large Temporarily Closed",NA,field observation,NA,field observation
Rajkaran_and_Adams_2011,Kosi Bay,"KZN, Tropical, Estuarine Lake",forested,field observation,NA,field observation
Rajkaran_and_Adams_2011,Mhlathuze,"KZN, Subtropical, Predominantly Open",forested,field observation,NA,field observation
Rajkaran_and_Adams_2011,St Lucia,"KZN, Subtropical, Estuarine Lake",forested,field observation,NA,field observation
Rajkaran_and_Adams_2011,Nxaxo,Warm Temperate,forested,field observation,NA,field observation
Rajkaran_and_Adams_2011,Richards Bay,"KZN, Subtropical, Estuarine Lake",forested,field observation,NA,field observation
Rajkaran_and_Adams_2011,Nxaxo,"Eastern Cape, Warm Temperate, Predominantly Open",forested,field observation,NA,field observation
Rautenbach_2015,St Lucia,"KZN, Subtropical, Estuarine Lake",forested,field observation,NA,field observation
Raw_et_al_2019,Nahoon,"Eastern Cape, Warm Temperate, Predominantly Open, Neap",forested,field observation,NA,field observation
Raw_et_al_2019,Nahoon,"Eastern Cape, Warm Temperate, Predominantly Open, Neap",emergent,field observation,NA,field observation
Raw_et_al_2019,Nxaxo,"Eastern Cape, Warm Temperate, Large Temporarily Closed",forested,field observation,NA,field observation
Raw_et_al_2019,Nxaxo,"Eastern Cape, Warm Temperate, Large Temporarily Closed, Intertidal",emergent,field observation,NA,field observation
Veldkornet_2016_PhD,Knysna,"Eastern Cape, Warm Temperate, Predominantly Open, Intertidal",emergent,field observation,NA,field observation
Veldkornet_2016_PhD,Knysna,"Western Cape, Warm Temperate, Estuarine Bay, Intertidal",emergent,field observation,NA,field observation
Veldkornet_2016_PhD,Knysna,"Western Cape, Warm Temperate, Estuarine Bay, Supratidal",emergent,field observation,NA,field observation
Veldkornet_2016_PhD,Knysna,"Western Cape, Warm Temperate, Estuarine Bay, Submerged",emergent,field observation,NA,field observation
Veldkornet_2016_PhD,Kromme,"Eastern Cape, Warm Temperate, Predominantly Open, Intertidal",emergent,field observation,NA,field observation
Veldkornet_2016_PhD,Kromme,"Eastern Cape, Warm Temperate, Predominantly Open, Submerged",seagrass,field observation,NA,field observation
Veldkornet_2016_PhD,Kromme,"Western Cape, Warm Temperate, Predominantly Open, Intertidal",seagrass,field observation,NA,field observation
Veldkornet_2016_PhD,Swartkops,"Eastern Cape, Warm Temperate, Predominantly Open, Intertidal",emergent,field observation,NA,field observation
Veldkornet_2016_PhD,Swartkops,"Eastern Cape, Warm Temperate, Predominantly Open, Submerged",seagrass,field observation,NA,field observation
Veldkornet_2016_PhD,Swartkops,"Eastern Cape, Warm Temperate, Predominantly Open",emergent,field observation,NA,field observation
Veldkornet_2016_PhD,Kabeljous,"Eastern Cape, Warm Temperate, Large Temporarily Closed, Supratidal Fringe",emergent,field observation,NA,field observation
Veldkornet_2016_PhD,Kabeljous,"Eastern Cape, Warm Temperate, Large Temporarily Closed, Intertidal",emergent,field observation,NA,field observation
Veldkornet_2016_PhD,Berg,"Western Cape, Cool Temperate, Predominantly Open, Supratidal",emergent,field observation,low,field observation
Veldkornet_2016_PhD,Berg,"Western Cape, Cool Temperate, Predominantly Open, Supra, Supratidal",emergent,field observation,NA,field observation
Veldkornet_2016_PhD,Berg,"Western Cape, Cool Temperate, Predominantly Open, Supratidal",emergent,field observation,NA,field observation
Veldkornet_2016_PhD,Berg,"Western Cape, Cool Temperate, Predominantly Open, Intertidal",emergent,field observation,NA,field observation
Veldkornet_2016_PhD,Keurbooms,"Western Cape, Warm Temperate, Predominantly Open, Intertidal",emergent,field observation,NA,field observation
Veldkornet_2016_PhD,Keurbooms,"Western Cape, Warm Temperate, Predominantly Open, Supratidal",emergent,field observation,NA,field observation
Veldkornet_2016_PhD,Keurbooms,"Western Cape, Warm Temperate, Predominantly Open, Submerged",emergent,field observation,NA,field observation
Veldkornet_2016_PhD,Kromme,"Warm Temperate, Intertidal",emergent,field observation,NA,field observation
Veldkornet_2016_PhD,Kromme,"Warm Temperate, Supratidal",emergent,field observation,NA,field observation
Veldkornet_2016_PhD,Goukou,"Eastern Cape, Warm Temperate, Predominantly Open, Intertidal",emergent,field observation,NA,field observation
Veldkornet_2016_PhD,Goukou,"Eastern Cape, Warm Temperate, Predominantly Open, Supratidal/Fringe",emergent,field observation,NA,field observation
Veldkornet_2016_PhD,Gouritz,"Eastern Cape, Warm Temperate, Predominantly Open",emergent,field observation,NA,field observation
Veldkornet_2016_PhD,Great Brak,"Western Cape, Warm Temperate, Estuarine Bay, Intertidal",emergent,field observation,NA,field observation
Veldkornet_2016_PhD,Great Brak,"Western Cape, Warm Temperate, Estuarine Bay, Supratidal",emergent,field observation,NA,field observation
Veldkornet_2016_PhD,Kleinmond,"Western Cape, Cool Temperate, Estuarine Lake, Intertidal",emergent,field observation,NA,field observation
Veldkornet_2016_PhD,Uilkraals,"Western Cape, Cool Temperate, Predominantly Open, Supra, Intertidal",emergent,field observation,NA,field observation
Veldkornet_2016_PhD,Uilkraals,"Western Cape, Cool Temperate, Predominantly Open, Supratidal",emergent,field observation,NA,field observation
Veldkornet_2016_PhD,Uilkraals,"Western Cape, Cool Temperate, Predominantly Open, Intertidal",emergent,field observation,NA,field observation
Veldkornet_2016_PhD,Verlorenvlei,"Western Cape, Cool Temperate, Estuarine Lake, Supratidal",emergent,field observation,NA,field observation
Veldkornet_2016_PhD,Verlorenvlei,"Western Cape, Cool Temperate, Estuarine Lake, Intertidal",emergent,field observation,NA,field observation
Veldkornet_et_al_2016,Orange,"Western Cape, Cool Temperate, Large Fluvially Dominated, Supratidal",emergent,field observation,NA,field observation
Veldkornet_et_al_2016,Orange,"Western Cape, Cool Temperate, Large Fluvially Dominated, Intertidal",emergent,field observation,NA,field observation
Veldkornet_et_al_2016,Olifants,"Western Cape, Cool Temperate, Predominantly Open, Supratidal",emergent,field observation,NA,field observation
Veldkornet_et_al_2016,Olifants,"Western Cape, Cool Temperate, Predominantly Open, Intertidal",emergent,field observation,NA,field observation
Verle_2013,Mbashe,Warm Temperate,forested,field observation,NA,field observation
Vromans_2010,East Kleinemonde,"Eastern Cape, Warm Temperate, Large Temporarily Closed, Submerged",emergent,field observation,NA,field observation
Vromans_2010,East Kleinemonde,"Eastern Cape, Warm Temperate, Large Temporarily Closed, Supratidal",emergent,field observation,NA,field observation
Vromans_2010,East Kleinemonde,"Eastern Cape, Warm Temperate, Large Temporarily Closed, Intertidal",emergent,field observation,NA,field observation
Wooldridge_et_al_2016,Groen,"Western Cape, Cool Temperate, Arid Predominantly Closed, Supratidal",emergent,field observation,NA,field observation
