study_id,site_id,core_id,method_id,depth_min,depth_max,cs137_activity,cs137_activity_se,cs137_unit,excess_pb210_activity,excess_pb210_activity_se,total_pb210_activity,total_pb210_activity_se,pb210_unit,ra226_activity,ra226_activity_se,ra226_unit,be7_activity,be7_activity_se
Stevens_et_al_2024,PI,PI_W,single set of methods,0,2,0.7092246405832064,0.23025392971078665,disintegrationsPerMinutePerGram,33.50441668645479,6.618701750605519,40.337750019788125,6.254020180573781,disintegrationsPerMinutePerGram,0.4134,2.12,disintegrationsPerMinutePerGram,NA,NA
Stevens_et_al_2024,PI,PI_W,single set of methods,2,4,1.518238996335673,0.3178466824061191,disintegrationsPerMinutePerGram,27.961206479975743,4.424598445244643,34.79453981330907,3.8578007928373994,disintegrationsPerMinutePerGram,0.4134,2.12,disintegrationsPerMinutePerGram,NA,NA
Stevens_et_al_2024,PI,PI_W,single set of methods,4,6,2.9679182355968052,0.44051580230974313,disintegrationsPerMinutePerGram,26.1518755879308,3.4276553429765575,32.98520892126413,2.6560076629767653,disintegrationsPerMinutePerGram,0.4134,2.12,disintegrationsPerMinutePerGram,NA,NA
Stevens_et_al_2024,PI,PI_W,single set of methods,6,8,6.86995381290362,0.5485760414388958,disintegrationsPerMinutePerGram,36.44447530472552,4.09433611049407,43.27780863805886,3.4740673196199383,disintegrationsPerMinutePerGram,0.4134,2.12,disintegrationsPerMinutePerGram,57.01788220122931,64.77728171551479
Stevens_et_al_2024,PI,PI_W,single set of methods,8,10,4.639167731884215,0.29023780194923926,disintegrationsPerMinutePerGram,29.72800557519066,3.7342934803410714,36.56133890852399,3.041464014726031,disintegrationsPerMinutePerGram,0.4134,2.12,disintegrationsPerMinutePerGram,NA,NA
Stevens_et_al_2024,PI,PI_W,single set of methods,10,12,4.159323892795381,0.700484796295182,disintegrationsPerMinutePerGram,34.33124002014424,4.0521495835107375,41.16457335347758,3.4242476257861085,disintegrationsPerMinutePerGram,0.4134,2.12,disintegrationsPerMinutePerGram,NA,NA
Stevens_et_al_2024,PI,PI_W,single set of methods,12,14,2.9177395176872163,0.40423942215311875,disintegrationsPerMinutePerGram,40.5621880204616,4.490095110219712,47.395521353794926,3.932748358892865,disintegrationsPerMinutePerGram,0.4134,2.12,disintegrationsPerMinutePerGram,34.15426616880953,47.07179330198929
Stevens_et_al_2024,PI,PI_W,single set of methods,14,16,3.6777669667398802,0.9679373775689695,disintegrationsPerMinutePerGram,54.27752843118817,6.2280069456308516,61.11086176452151,5.838974744797386,disintegrationsPerMinutePerGram,0.4134,2.12,disintegrationsPerMinutePerGram,NA,NA
Stevens_et_al_2024,PI,PI_W,single set of methods,16,18,2.0441677336953603,0.7855415178197593,disintegrationsPerMinutePerGram,43.63525639088751,4.286217612100292,50.46858972422085,3.6982721605953066,disintegrationsPerMinutePerGram,0.4134,2.12,disintegrationsPerMinutePerGram,NA,NA
Stevens_et_al_2024,PI,PI_W,single set of methods,18,20,2.198654385399979,0.6215422927222143,disintegrationsPerMinutePerGram,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stevens_et_al_2024,PI,PI_W,single set of methods,20,22,NA,NA,disintegrationsPerMinutePerGram,36.44838196047873,4.136526897268169,43.28171529381206,3.5236927118264125,disintegrationsPerMinutePerGram,0.4134,2.12,disintegrationsPerMinutePerGram,NA,NA
Stevens_et_al_2024,PI,PI_W,single set of methods,22,24,NA,NA,disintegrationsPerMinutePerGram,28.492566859316472,3.5870462421123617,35.325900192649804,2.858750828352826,disintegrationsPerMinutePerGram,0.4134,2.12,disintegrationsPerMinutePerGram,NA,NA
Stevens_et_al_2024,PI,PI_W,single set of methods,24,26,NA,NA,disintegrationsPerMinutePerGram,9.218718245896863,2.9108342800967275,16.05205157923019,1.9438394382617592,disintegrationsPerMinutePerGram,0.4134,2.12,disintegrationsPerMinutePerGram,NA,NA
Stevens_et_al_2024,PI,PI_W,single set of methods,26,28,NA,NA,disintegrationsPerMinutePerGram,6.429646629717437,2.9049678991873984,13.26297996305077,1.935043681900954,disintegrationsPerMinutePerGram,0.4134,2.12,disintegrationsPerMinutePerGram,NA,NA
Stevens_et_al_2024,PI,PI_W,single set of methods,28,30,NA,NA,disintegrationsPerMinutePerGram,5.664032521660469,2.975454131246542,12.497365854993802,2.03933392133502,disintegrationsPerMinutePerGram,0.4134,2.12,disintegrationsPerMinutePerGram,NA,NA
Stevens_et_al_2024,PI,PI_W,single set of methods,30,32,NA,NA,disintegrationsPerMinutePerGram,0.5723542479377832,2.704420091711098,7.405687581271117,1.6184695202586366,disintegrationsPerMinutePerGram,0.4134,2.12,disintegrationsPerMinutePerGram,NA,NA
Stevens_et_al_2024,PI,PI_W,single set of methods,36,38,NA,NA,disintegrationsPerMinutePerGram,-2.95366224244508,2.75734008989442,3.8796710908882526,1.7054266114068126,disintegrationsPerMinutePerGram,0.4134,2.12,disintegrationsPerMinutePerGram,NA,NA
Stevens_et_al_2024,PI,PI_W,single set of methods,42,44,NA,NA,disintegrationsPerMinutePerGram,2.0096281944659964,2.667743527729902,8.84296152779933,1.5564096778484573,disintegrationsPerMinutePerGram,0.4134,2.12,disintegrationsPerMinutePerGram,NA,NA
Stevens_et_al_2024,PI,PI_W,single set of methods,48,50,NA,NA,disintegrationsPerMinutePerGram,0.5886173613062058,2.610206410307902,7.421950694639539,1.4555868438427226,disintegrationsPerMinutePerGram,0.4134,2.12,disintegrationsPerMinutePerGram,NA,NA
Stevens_et_al_2024,PI,PI_M,single set of methods,0,2,0.6582878698400986,2.1495436614745396,disintegrationsPerMinutePerGram,132.57461451152562,9.385627671613031,140.90794784485897,9.332202676225386,disintegrationsPerMinutePerGram,0.5,1,disintegrationsPerMinutePerGram,154.8061308028917,133.146854238585
Stevens_et_al_2024,PI,PI_M,single set of methods,2,4,5.6716432500549985,3.3841753405182953,disintegrationsPerMinutePerGram,139.16639943295314,17.559814852142548,147.49973276628648,17.531317624226823,disintegrationsPerMinutePerGram,0.5,1,disintegrationsPerMinutePerGram,NA,NA
Stevens_et_al_2024,PI,PI_M,single set of methods,4,6,5.3049116721560345,1.8567575763282436,disintegrationsPerMinutePerGram,134.04312889657817,12.184743420722711,142.37646222991148,12.14363916743434,disintegrationsPerMinutePerGram,0.5,1,disintegrationsPerMinutePerGram,NA,NA
Stevens_et_al_2024,PI,PI_M,single set of methods,6,8,NA,NA,disintegrationsPerMinutePerGram,94.08348007174475,15.892470394230463,102.41681340507807,15.860977751434236,disintegrationsPerMinutePerGram,0.5,1,disintegrationsPerMinutePerGram,NA,NA
Stevens_et_al_2024,PI,PI_M,single set of methods,8,10,NA,NA,disintegrationsPerMinutePerGram,42.62170967482346,4.393495500602019,50.955043008156785,4.278177499100544,disintegrationsPerMinutePerGram,0.5,1,disintegrationsPerMinutePerGram,NA,NA
Stevens_et_al_2024,PI,PI_M,single set of methods,12,14,11.592870648582611,1.8302720496363818,disintegrationsPerMinutePerGram,54.531470876831165,6.12446304248898,62.86480421016449,6.042271721696515,disintegrationsPerMinutePerGram,0.5,1,disintegrationsPerMinutePerGram,171.36738352902404,97.80540273859084
Stevens_et_al_2024,PI,PI_M,single set of methods,14,16,16.32788510143016,1.7200713319006378,disintegrationsPerMinutePerGram,58.367138371165055,5.053169269674655,66.70047170449838,4.953233253944768,disintegrationsPerMinutePerGram,0.5,1,disintegrationsPerMinutePerGram,NA,NA
Stevens_et_al_2024,PI,PI_M,single set of methods,16,18,19.22080794247438,0.8082803285369244,disintegrationsPerMinutePerGram,38.735624216972425,4.230772367212018,47.068957550305754,4.110892217410326,disintegrationsPerMinutePerGram,0.5,1,disintegrationsPerMinutePerGram,53.30270599503511,39.835656564857445
Stevens_et_al_2024,PI,PI_M,single set of methods,18,20,4.557186221050867,0.6089026024335661,disintegrationsPerMinutePerGram,11.197470126899567,4.804228565321937,19.5308034602329,4.699001181938058,disintegrationsPerMinutePerGram,0.5,1,disintegrationsPerMinutePerGram,4.719349365657609,36.46276440597171
