"study_id","author","year","bibtype","url"
"Adame_and_Najera_2025","Adame and Najera. Unpublished stocks from tidal wetlands in Mexico","2025","Article",NA
"Adame_and_Najera_2025","Adame and Najera. Unpublished stocks from tidal wetlands in Mexico","2025","Misc",NA
"Adame_et_al_2015","Adame MF, Santini NS, Tovilla C, Vázquez-Lule A, Castro L, Guevara M. 2015. Carbon stocks and soil sequestration rates of tropical riverine wetlands. Biogeosciences 12:3805-3818.","2015","Article","https://bg.copernicus.org/articles/12/3805/2015/"
"Adame_et_al_2015","Adame MF, Santini NS, Tovilla C, Vázquez-Lule A, Castro L, Guevara M. 2015. Carbon stocks and soil sequestration rates of tropical riverine wetlands. Biogeosciences 12:3805-3818.","2015","Misc",NA
"Adame_et_al_2018","Adame MF, Najera E, Lovelock CE, Brown CJ. 2018. Avoided emissions and conservation of scrub mangroves: potential for a blue carbon project in the Gulf of California, Mexico. Biology Letters 14:20180400","2018","Article",NA
"Adame_et_al_2018","Adame MF, Najera E, Lovelock CE, Brown CJ. 2018. Avoided emissions and conservation of scrub mangroves: potential for a blue carbon project in the Gulf of California, Mexico. Biology Letters 14:20180400","2018","Misc",NA
"Adame_et_al_2021","Adame MF, Reef R, Santini NS, Najera E, Turschwell MP, Hayes MA, Masque P, Lovelock CE. 2021. Mangroves in arid regions: Ecology, threats, and opportunities. Estuarine, Coastal and Shelf Science 248:106796","2021","Article","https://www.sciencedirect.com/science/article/abs/pii/S0272771419312089"
"Adame_et_al_2021","Adame MF, Reef R, Santini NS, Najera E, Turschwell MP, Hayes MA, Masque P, Lovelock CE. 2021. Mangroves in arid regions: Ecology, threats, and opportunities. Estuarine, Coastal and Shelf Science 248:106796","2021","Misc",NA
"Aldana-Gutiérrez_et_al_2021","Aldana-Gutiérrez G, Ruiz-Fernández AC, Pérez-Bernal LH, Flores-Verdugo F, Cuéllar-Martínez T,  Sanchez-Cabeza JA. 2021. Flujos e inventarios de carbono azul en manglares asociados a una laguna costera antropizada. Geofísica Internacional 60:13-30.","2021","Article","doi.org/10.22201/igeof.00167169p.2021.60.1.2011"
"Aldana-Gutiérrez_et_al_2021","Aldana-Gutiérrez G, Ruiz-Fernández AC, Pérez-Bernal LH, Flores-Verdugo F, Cuéllar-Martínez T,  Sanchez-Cabeza JA. 2021. Flujos e inventarios de carbono azul en manglares asociados a una laguna costera antropizada. Geofísica Internacional 60:13-30.","2021","Misc",NA
"Blount_2017","Blount KJ. 2017. Land use effects of carbon cycling in Oregon coastal wetlands. MS thesis, Univ Oregon.","2017","Article","https://scholarsbank.uoregon.edu/xmlui/bitstream/handle/1794/23152/Blount_oregon_0171N_12032.pdf?sequence=1&isAllowed=y"
"Blount_2017","Blount KJ. 2017. Land use effects of carbon cycling in Oregon coastal wetlands. MS thesis, Univ Oregon.","2017","Misc",NA
"Bridgham_et_al_2025","Bridgham S. Unpublished blue carbon data from the Coos Estuary, Oregon","2025","Article",NA
"Bridgham_et_al_2025","Bridgham S. Unpublished blue carbon data from the Coos Estuary, Oregon","2025","Misc",NA
"Brown_et_al_2019","Brown LN. 2019. California salt marsh accretion, ecosystem services, and disturbance responses in the face of climate change. PhD dissertation, University of California, Los Angeles","2019","Article","https://escholarship.org/uc/item/3gq3p803"
