ID,SITEID,PLOT,MEAS,MDATE,PROJID,LANDCOVID,PROTOID,LATITUDE,LONGITUDE,TREE_AREA,SAP_AREA,UND_AREA,PLOT_DESCRIPTION,NOTES
1,20,2,1,12/31/15 0:00,2,1,6,-7.78,39.32,401.14,12.56,0,,"Exact MDATE unknown, last day of measurement year used."
2,20,3,1,12/31/15 0:00,2,1,6,-7.8,39.28,401.14,12.56,0,,"Exact MDATE unknown, last day of measurement year used."
3,20,4,1,12/31/15 0:00,2,1,6,-7.81,39.35,401.14,12.56,0,,"Exact MDATE unknown, last day of measurement year used."
4,20,04A,1,12/31/15 0:00,2,1,6,-7.81,39.28,401.14,12.56,0,,"Exact MDATE unknown, last day of measurement year used."
5,20,05B,1,12/31/15 0:00,2,1,6,-7.85,39.25,401.14,12.56,0,,"Exact MDATE unknown, last day of measurement year used."
6,20,6,1,12/31/15 0:00,2,1,6,-7.77,39.33,401.14,12.56,0,,"Exact MDATE unknown, last day of measurement year used."
7,20,7,1,12/31/15 0:00,2,1,6,-7.79,39.33,401.14,12.56,0,,"Exact MDATE unknown, last day of measurement year used."
8,20,11,1,12/31/15 0:00,2,1,6,-7.76,39.29,401.14,12.56,0,,"Exact MDATE unknown, last day of measurement year used."
9,20,12B,1,12/31/15 0:00,2,1,6,-7.77,39.3,401.14,12.56,0,,"Exact MDATE unknown, last day of measurement year used."
10,20,13,1,12/31/15 0:00,2,1,6,-7.79,39.31,401.14,12.56,0,,"Exact MDATE unknown, last day of measurement year used."
11,20,14,1,12/31/15 0:00,2,1,6,-7.81,39.31,401.14,12.56,0,,"Exact MDATE unknown, last day of measurement year used."
12,20,14B,1,12/31/15 0:00,2,1,6,-7.83,39.24,498.75,12.56,0,,"Exact MDATE unknown, last day of measurement year used."
13,20,16,1,12/31/15 0:00,2,1,6,-7.76,39.29,401.14,12.56,0,,"Exact MDATE unknown, last day of measurement year used."
14,20,18,1,12/31/15 0:00,2,1,6,-7.78,39.3,401.14,12.56,0,,"Exact MDATE unknown, last day of measurement year used."
15,20,19,1,12/31/15 0:00,2,1,6,-7.79,39.36,401.14,12.56,0,,"Exact MDATE unknown, last day of measurement year used."
16,20,20,1,12/31/15 0:00,2,1,6,-7.79,39.3,498.75,12.56,0,,"Exact MDATE unknown, last day of measurement year used."
17,20,21,1,12/31/15 0:00,2,1,6,-7.8,39.29,401.14,12.56,0,,"Exact MDATE unknown, last day of measurement year used."
18,20,22,1,12/31/15 0:00,2,1,6,-7.8,39.31,401.14,12.56,0,,"Exact MDATE unknown, last day of measurement year used."
19,20,22A,1,12/31/15 0:00,2,1,6,-7.77,39.31,401.14,12.56,0,,"Exact MDATE unknown, last day of measurement year used."
20,20,23,1,12/31/15 0:00,2,1,6,-7.81,39.33,401.14,12.56,0,,"Exact MDATE unknown, last day of measurement year used."
21,20,25,1,12/31/15 0:00,2,1,6,-7.82,39.32,401.14,12.56,0,,"Exact MDATE unknown, last day of measurement year used."
