"study_id","site_id","core_id","method_id","depth_min","depth_max","dry_bulk_density","fraction_carbon","cs137_activity","cs137_activity_se","cs137_unit","excess_pb210_activity","excess_pb210_activity_se","total_pb210_activity","total_pb210_activity_se","pb210_unit","ra226_activity","ra226_activity_se","ra226_unit","delta_c13","be7_activity","be7_activity_se","be7_unit","age","age_min","age_max","depth_interval_notes"
"Eagle_et_al_2021","Martin Peña West","MPW1","single set of methods",0,1,0.2794,0.121578,0,0,"disintegrationsPerMinutePerGram",0.0912,1.1647,3.9874,1.1332,"disintegrationsPerMinutePerGram",3.8962,0.2688,"disintegrationsPerMinutePerGram",-28.7072,0,0,"disintegrationsPerMinutePerGram",2016,2016,2016,NA
"Eagle_et_al_2021","Martin Peña West","MPW1","single set of methods",1,2,0.6333,0.092254,0,0,"disintegrationsPerMinutePerGram",1.2081,0.8035,2.8908,0.7924,"disintegrationsPerMinutePerGram",1.6827,0.1333,"disintegrationsPerMinutePerGram",-28.8294,0,0,"disintegrationsPerMinutePerGram",2011,2007,2014,NA
"Eagle_et_al_2021","Martin Peña West","MPW1","single set of methods",2,3,0.2022,0.098364,0,0,"disintegrationsPerMinutePerGram",2.1562,0.4761,3.1332,0.4712,"disintegrationsPerMinutePerGram",0.977,0.0677,"disintegrationsPerMinutePerGram",-28.8283,0,0,"disintegrationsPerMinutePerGram",2009,2004,2013,NA
"Eagle_et_al_2021","Martin Peña West","MPW1","single set of methods",3,5,0.3289,0.079189,0,0,"disintegrationsPerMinutePerGram",1.8724,0.3423,2.5929,0.3397,"disintegrationsPerMinutePerGram",0.7206,0.0422,"disintegrationsPerMinutePerGram",-28.8231,0,0,"disintegrationsPerMinutePerGram",NA,NA,NA,NA
"Eagle_et_al_2021","Martin Peña West","MPW1","single set of methods",5,7,0.3236,0.09283,0,0,"disintegrationsPerMinutePerGram",1.5192,0.3135,2.3545,0.3115,"disintegrationsPerMinutePerGram",0.8353,0.0352,"disintegrationsPerMinutePerGram",-28.8177,0,0,"disintegrationsPerMinutePerGram",NA,NA,NA,NA
"Eagle_et_al_2021","Martin Peña West","MPW1","single set of methods",7,9,0.3251,0.079385,0,0,"disintegrationsPerMinutePerGram",1.4036,0.3967,2.467,0.393,"disintegrationsPerMinutePerGram",1.0634,0.054,"disintegrationsPerMinutePerGram",-28.9365,0,0,"disintegrationsPerMinutePerGram",NA,NA,NA,NA
"Eagle_et_al_2021","Martin Peña West","MPW1","single set of methods",9,11,0.383,0.095785,0.099,0.0227,"disintegrationsPerMinutePerGram",2.8179,0.2901,3.5297,0.2887,"disintegrationsPerMinutePerGram",0.7118,0.0285,"disintegrationsPerMinutePerGram",-28.9223,0,0,"disintegrationsPerMinutePerGram",NA,NA,NA,NA
"Eagle_et_al_2021","Martin Peña West","MPW1","single set of methods",11,13,0.4412,0.120765,0,0,"disintegrationsPerMinutePerGram",3.3166,0.3863,4.0503,0.3844,"disintegrationsPerMinutePerGram",0.7338,0.0385,"disintegrationsPerMinutePerGram",-28.9808,0,0,"disintegrationsPerMinutePerGram",NA,NA,NA,NA
"Eagle_et_al_2021","Martin Peña West","MPW1","single set of methods",13,15,0.4157,0.121079,0,0,"disintegrationsPerMinutePerGram",2.9789,0.3733,4.1287,0.3703,"disintegrationsPerMinutePerGram",1.1497,0.047,"disintegrationsPerMinutePerGram",-29.0053,0,0,"disintegrationsPerMinutePerGram",NA,NA,NA,NA
"Eagle_et_al_2021","Martin Peña West","MPW1","single set of methods",15,17,0.3329,0.105998,0,0,"disintegrationsPerMinutePerGram",2.3658,0.3646,2.9774,0.3636,"disintegrationsPerMinutePerGram",0.6117,0.0277,"disintegrationsPerMinutePerGram",-28.7282,0,0,"disintegrationsPerMinutePerGram",NA,NA,NA,NA
"Eagle_et_al_2021","Martin Peña West","MPW1","single set of methods",17,19,0.4449,0.081613,0,0,"disintegrationsPerMinutePerGram",1.3447,0.2924,2.2981,0.29,"disintegrationsPerMinutePerGram",0.9534,0.037,"disintegrationsPerMinutePerGram",-28.6123,0,0,"disintegrationsPerMinutePerGram",NA,NA,NA,NA
"Eagle_et_al_2021","Martin Peña West","MPW1","single set of methods",19,21,0.2991,0.097834,0,0,"disintegrationsPerMinutePerGram",1.2188,0.4517,2.0134,0.4496,"disintegrationsPerMinutePerGram",0.7946,0.0432,"disintegrationsPerMinutePerGram",-28.3744,0,0,"disintegrationsPerMinutePerGram",NA,NA,NA,NA
"Eagle_et_al_2021","Martin Peña West","MPW1","single set of methods",21,23,0.5553,0.094231,0.1296,0.0278,"disintegrationsPerMinutePerGram",1.4759,0.3954,2.2801,0.3938,"disintegrationsPerMinutePerGram",0.8042,0.0356,"disintegrationsPerMinutePerGram",-28.1185,0,0,"disintegrationsPerMinutePerGram",NA,NA,NA,NA
"Eagle_et_al_2021","Martin Peña West","MPW1","single set of methods",23,25,0.3167,0.132519,0.2305,0.035,"disintegrationsPerMinutePerGram",1.088,0.3541,2.1267,0.3516,"disintegrationsPerMinutePerGram",1.0387,0.0423,"disintegrationsPerMinutePerGram",-27.9687,0,0,"disintegrationsPerMinutePerGram",NA,NA,NA,NA
"Eagle_et_al_2021","Martin Peña West","MPW1","single set of methods",25,27,0.4367,0.127721,0.1916,0.0349,"disintegrationsPerMinutePerGram",1.9464,0.3919,2.8924,0.3893,"disintegrationsPerMinutePerGram",0.9461,0.0448,"disintegrationsPerMinutePerGram",-28.0007,0,0,"disintegrationsPerMinutePerGram",NA,NA,NA,NA
"Eagle_et_al_2021","Martin Peña West","MPW1","single set of methods",27,29,0.4293,0.121321,0.1713,0.0255,"disintegrationsPerMinutePerGram",1.9117,0.2824,2.8621,0.2808,"disintegrationsPerMinutePerGram",0.9505,0.0304,"disintegrationsPerMinutePerGram",-27.9617,0,0,"disintegrationsPerMinutePerGram",NA,NA,NA,NA
"Eagle_et_al_2021","Martin Peña West","MPW1","single set of methods",29,31,0.9718,0.101303,0.1408,0.0318,"disintegrationsPerMinutePerGram",1.4561,0.3458,2.4786,0.3435,"disintegrationsPerMinutePerGram",1.0225,0.0394,"disintegrationsPerMinutePerGram",NA,0,0,"disintegrationsPerMinutePerGram",NA,NA,NA,NA
"Eagle_et_al_2021","Martin Peña West","MPW1","single set of methods",31,33,0.2099,0.09693500000000001,0.1529,0.028,"disintegrationsPerMinutePerGram",1.8865,0.3594,2.7953,0.3572,"disintegrationsPerMinutePerGram",0.9088,0.0392,"disintegrationsPerMinutePerGram",NA,0,0,"disintegrationsPerMinutePerGram",NA,NA,NA,NA
