"study_id","site_id","core_id","core_year","core_latitude","core_longitude","core_position_method","vegetation_method","vegetation_notes","inundation_class","inundation_method","inundation_notes","pH","pH_notes","carbon_stock","carbon_stock_method","carbon_stock_0.5m","carbon_stock_0.1m"
"sanborn_and_coxson_2020","BC14-22","391",2014,54.18008,-130.18214,"handheld","field observation","PotAns, CarLyn, DesCes, FesRub, GlaMar, PlaMar, PlaMac, TriMar","high","field observation","visual estimate of the tidal zone",5.06,"pH is mean of several down-core values",25.14987,"EA",17.57307,29.5880823529412
"sanborn_and_coxson_2020","BC14-23","392",2014,54.18011,-130.1823,"handheld","field observation","PotAns, CarLyn, DesCes, PlaMac, PlaMar, TriMar","mid","field observation","visual estimate of the tidal zone",6.34,"pH is mean of several down-core values",8.235,"EA",NA,9.15
"sanborn_and_coxson_2020","BC14-25","393",2014,54.18072,-130.18513,"handheld","field observation","CarLyn","low","field observation","visual estimate of the tidal zone",6.86,"pH is mean of several down-core values",12.0404,"EA",12.0404,24.0808
"sanborn_and_coxson_2020","BC14-26","394",2014,54.18108,-130.18519,"handheld","field observation","PotAns, CarLyn, DecCes, FesRub, PlaMac, PlaMar, Trimar","mid","field observation","visual estimate of the tidal zone",5.26,"pH is mean of several down-core values",19.8979,"EA",NA,26.5305333333333
"sanborn_and_coxson_2020","BC14-27","395",2014,54.18097,-130.18494,"handheld","field observation","AngLuc, PotAns, CarLyn, ConGme, DesCes, FesRub, LigHul, PlaMac, SciMic, SymSub, TriMar","high","field observation","visual estimate of the tidal zone",5.27,"pH is mean of several down-core values",18.8039,"EA",NA,25.0718666666667
"sanborn_and_coxson_2020","BC14-28","396",2014,54.16811,-130.15836,"handheld","field observation","AngLuc, PotAns, CarLyn, CasHye, DesCes, FesRub, HorBra, LatPal, LupNoo, MaiDil, PlaMac, SymSub, TriMar","high","field observation","visual estimate of the tidal zone",5.41,"pH is mean of several down-core values",24.31421,"EA",NA,34.7345857142857
"sanborn_and_coxson_2020","BC14-29","397",2014,54.16805,-130.1585,"handheld","field observation","PotAns, CarLyn, DesCes, FesRub, GlaMar, PlaMac, SteHum, TriMar","mid","field observation","visual estimate of the tidal zone",5.26,"pH is mean of several down-core values",19.3882,"EA",NA,21.5424444444444
"sanborn_and_coxson_2020","BC14-30","398",2014,54.1683,-130.15872,"handheld","field observation","CarLyn","low","field observation","visual estimate of the tidal zone",7.05,"pH is mean of several down-core values",11.75355,"EA",NA,14.6919375
"sanborn_and_coxson_2020","BC14-31","399",2014,54.16633,-130.15577,"handheld","field observation","PotAns, CarLyn, DesCes, GlaMar, JunArc, PlaMac, TriMar","mid","field observation","visual estimate of the tidal zone",4.67,"pH is mean of several down-core values",19.17825,"EA",NA,23.9728125
"sanborn_and_coxson_2020","BC17-08","400",2017,54.17294,-130.16883,"handheld","field observation","AngLuc, PotAns, BroPac, CarLyn, DesCes, FesRub, GlaMar, LinHul, MaiDil, OenSar, PlaMac, PlaMar, SciMic, SymSub, TriMar","high","field observation","visual estimate of the tidal zone",5.22,"pH is mean of several down-core values",25.22463,"EA",NA,25.22463
"sanborn_and_coxson_2020","BC17-09","401",2017,54.17291,-130.16897,"handheld","field observation","PotAns, CarLyn, DesCes, FesRub, GlaMar, HorBra, PlaMac, PlaMar, SciMic, TriMar","mid","field observation","visual estimate of the tidal zone",6.22,"pH is mean of several down-core values",15.705,"EA",8.85375,15.705
"sanborn_and_coxson_2020","BC17-10","402",2017,54.17286,-130.16905,"handheld","field observation","CarLyn","low","field observation","visual estimate of the tidal zone",6.99,"pH is mean of several down-core values",10.761,"EA",5.4275,10.761
