study_id,site_id,core_id,method_id,depth_min,depth_max,dry_bulk_density,fraction_organic_matter,fraction_carbon,fraction_carbon_method,depth_interval_notes
Beers_et_al_2023,Anchor_River,AR-1,gouge auger used,0,5,0.2939492470045647,0.12383141286455256,NA,local regression,fraction C determined by equation based on relationship with LOI: (LOI*50.081)-0.4377
Beers_et_al_2023,Anchor_River,AR-1,gouge auger used,5,10,0.40173764136721063,0.17369088172383784,NA,local regression,fraction C determined by equation based on relationship with LOI: (LOI*50.081)-0.4377
Beers_et_al_2023,Anchor_River,AR-1,gouge auger used,10,15,0.4898803927027467,0.1223473015189055,NA,local regression,fraction C determined by equation based on relationship with LOI: (LOI*50.081)-0.4377
Beers_et_al_2023,Anchor_River,AR-1,gouge auger used,15,20,0.8752291553949353,0.07177240187607989,NA,local regression,fraction C determined by equation based on relationship with LOI: (LOI*50.081)-0.4377
Beers_et_al_2023,Anchor_River,AR-1,gouge auger used,20,25,1.3826540528331221,0.049992901616402866,NA,local regression,fraction C determined by equation based on relationship with LOI: (LOI*50.081)-0.4377
Beers_et_al_2023,Anchor_River,AR-1,gouge auger used,25,30,1.5280528226166525,0.04173436948074884,NA,local regression,fraction C determined by equation based on relationship with LOI: (LOI*50.081)-0.4377
Beers_et_al_2023,Anchor_River,AR-1,gouge auger used,35,40,1.6058999963230078,0.031704850270436964,NA,local regression,fraction C determined by equation based on relationship with LOI: (LOI*50.081)-0.4377
Beers_et_al_2023,Anchor_River,AR-1,gouge auger used,50,55,1.3933698581206369,0.03113664526303958,NA,local regression,fraction C determined by equation based on relationship with LOI: (LOI*50.081)-0.4377
Beers_et_al_2023,Anchor_River,AR-2,gouge auger used,0,5,0.342380484627547,0.15209520511286673,NA,local regression,fraction C determined by equation based on relationship with LOI: (LOI*50.081)-0.4377
Beers_et_al_2023,Anchor_River,AR-2,gouge auger used,5,10,0.33817820804420795,0.1500370096225025,NA,local regression,fraction C determined by equation based on relationship with LOI: (LOI*50.081)-0.4377
Beers_et_al_2023,Anchor_River,AR-2,gouge auger used,10,15,0.6707883996154919,0.15495867768595065,NA,local regression,fraction C determined by equation based on relationship with LOI: (LOI*50.081)-0.4377
Beers_et_al_2023,Anchor_River,AR-2,gouge auger used,15,20,0.9211390270679142,0.08075312691682034,NA,local regression,fraction C determined by equation based on relationship with LOI: (LOI*50.081)-0.4377
Beers_et_al_2023,Anchor_River,AR-2,gouge auger used,20,25,1.1129729530973407,0.06806722689075584,NA,local regression,fraction C determined by equation based on relationship with LOI: (LOI*50.081)-0.4377
