study_id,country,n
Abino_et_al_2014,Philippines,1
Adame_et_al_2013,Mexico,7
Adame_et_al_2015,Mexico,7
AfSIS_Sentinel_Sites,Mozambique,16
AfSPDB,Angola,3
Ajonina_et_al_2014,Benin,4
Allen_et_al_2007,Australia,1
Along_et_al_2000_MEPS,Vietnam,3
Alongi_1996,Australia,4
Alongi_et_al_1999,Australia,2
Alongi_et_al_2000,Australia,6
Alongi_et_al_2001,Thailand,4
Alongi_et_al_2004,Malaysia,3
Alongi_et_al_2005,China,3
Alongi_et_al_2008,Indonesia,4
Andreetta_et_al_2014,Kenya,5
Andreetta_et_al_2016,Guinnea-Bissau,2
Ashton_and_Macintosh_2002,Malaysia,9
AU_NatSoil,Australia,3
Banerjee_et_al_2012,India,14
Bhomia_et_al_2016_Honduras,Honduras,18
Bhomia_et_al_2016_India,India,6
Bianchi_et_al_2012,USA,4
Blue_Ventures_Unpublished,Madagascar,50
Bouillon_et_al_2003,India,55
Bouillon_et_al_2004_FEMS,Sri Lanka,9
Breithaupt_et_al_2014,USA,5
Brunskill_et_al_2002,Australia,3
Brunskill_et_al_2004,Indonesia,4
Bukoski_et_al_2017,Thailand,58
Bulmer_et_al_2016,New Zealand,4
C._Sanders_Submitted_to_ECSS,New Zealand,2
C._Sanders_Unpublished,Australia,24
Cahoon_and_Lynch_1997,USA,4
Callaway_et_al_1997,USA,1
Cardona_and_Botero_1998,Colombia,1
Ceron-Breton_et_al_2011,Mexico,6
Chanda_et_al_2013,India,4
Chen_and_Twilley_1999,USA,4
Chen_et_al_2010,Hong Kong,8
Chen_et_al_2012,Hong Kong,3
Chen_et_al_2014,Indonesia,9
Chen_et_al_2016,China,3
Chmura_et_al_2003,USA,5
Cifuentes_Unpublished,Costa Rica,82
DelVecchia_et_al_2014,Ecuador,8
Dissanayake_and_Chandrasekara_2014,Sri Lanka,3
Donato_et_al_2011,Federated States of Micronesia,134
Donato_et_al_2012,Republic of Palau,2
Duncan_et_al_2016,Philippines,16
Dung_et_al_2016,Vietnam,4
Dutta_et_al_2013,India,3
Eid_and_Shaltout_2016_Egypt,Egypt,3
Eid_et_al_2016_Saudi_Arabia,Saudi Arabia,6
Ezcurra_et_al_2016,Mexico,30
Ferreira_et_al_2007,Brazil,4
Frith_et_al_1976,Thailand,5
Frusher_et_al_1994,Australia,5
Fujimoto_et_al_1999,Micronesia,3
Gevana_and_Pampolina_2009,Philippines,1
Giani_et_al_1996,Mexico,5
Gillis_et_al_2017,Thailand,12
Gleason_and_Ewel_2002,Micronesia,1
Gomes_et_al_2016,Brazil,5
Gonneea_et_al_2004,Mexico,12
He_et_al_2002,China,5
Howe_et_al_2009,Australia,2
Hu_et_al_2010,China,1
Jennerjahn_and_Ittekkot_1997,Brazil,1
Jennerjahn_and_Ittekkot_2002,Brazil,1
Jones_et_al_2016,Madagascar,47
Kao_et_al_2002,Taiwan,2
Kauffman_et_al_2016,Mexico,7
Kauffmann_et_al_2011,Republic of Palau,6
Kauffmann_et_al_2014,Dominican Republic,9
Kazungu_1996,Kenya,2
Kelleway_et_al_2016,Australia,24
Keuskamp_et_al_2013,Saudi Arabia,2
Khan_et_al_2007,Japan,1
Kristensen_et_al_1992,Pakistan,1
Kristensen_et_al_2000,Thailand,1
Lacerda_et_al_1995,Brazil,2
Lallier-Verges_et_al_1998,French West Indies,5
Lang'at_et_al_2014,Kenya,1
Lee_and_Baker_1972,Hawaii,1
Leopold_et_al_2013,New Caledonia,2
Liu_2005,China,6
Liu_et_al_2008,China,16
Liu_et_al_2014,China,27
Livesley_and_Andrusiak_2012,Australia,3
Loi_and_Ni_2015,Vietnam,3
Lovelock_et_al_2010,New Zealand,36
Lunstrem_and_Chen_2014,Hong Kong,4
MacKenzie_et_al_2016,Vietnam,19
Mao_et_al_2011,China,2
Mao_et_al_2012,China,3
Marchand_et_al_2003,French Guiana,1
Marchand_et_al_2004,French Guiana,16
"Marchand_et_al_2004,_Marchand_et_al_2003",French Guiana,2
Marchio_et_al_2016,USA,7
Matsui_1998,Australia,37
McFadden_et_al_2016,Honduras,2
Mckee_et_al_2002,Belize,3
Mfilinge_et_al_2002,Japan,2
Middelburg_et_al_1996,Kenya,12
Moreno_and_Calderon_2011,Colombia,1
Murdiyarso_et_al_2015,Indonesia,8
MX_edaf_puntos,Mexico,10
MX_perfilv12,Mexico,16
Naidoo_1980,South Africa,6
Naidoo_and_Raiman_1982,South Africa,3
Nam_et_al_2016,Vietnam,90
NCSS,USA,8
Nsombo_et_al_2016,Cameroon,6
Osland_et_al_2012,USA,9
Otero_et_al_2009,Brazil,3
Owers_et_al_2016,Australia,3
Pazi_et_al_2016,Malaysia,3
Penha-Lopes_et_al_2009,Mozambique,1
Phang_et_al_2016,Singapore,1
