"study_id","site_id","core_id","latitude","longitude","year","position_notes","habitat","vegetation_class","inundation_class","inundation_notes","salinity_class","position_method","core_notes"
"Adaime_1978","Cananéia / Pta. Arrozal","MC 18",-25.0367,-47.93,1974,"direct from dataset","marsh","emergent",NA,NA,NA,NA,NA
"Adame_et_al_2013","Sian kaan Tular 1","Tul1S1",19.79358333,-87.5743,2011,"direct from dataset","marsh","emergent",NA,NA,NA,NA,NA
"Adame_et_al_2013","Sian kaan Tular 1","Tul1S2",19.79363333,-87.57433333,2011,"direct from dataset","marsh","emergent",NA,NA,NA,NA,NA
"Adame_et_al_2013","Sian kaan Tular 1","Tul1S3",19.79373333,-87.57438333,2011,"direct from dataset","marsh","emergent",NA,NA,NA,NA,NA
"Adame_et_al_2013","Sian kaan Tular 1","Tul1S4",19.793816669999998,-87.57441667,2011,"direct from dataset","marsh","emergent",NA,NA,NA,NA,NA
"Adame_et_al_2013","Sian kaan Tular 1","Tul1S5",19.79391667,-87.57445,2011,"direct from dataset","marsh","emergent",NA,NA,NA,NA,NA
"Adame_et_al_2013","Sian kaan Tular 1","Tul1S6",19.794,-87.5745,2011,"direct from dataset","marsh","emergent",NA,NA,NA,NA,NA
"Adame_et_al_2015","La Encrucijada","Encrucijada 1",15.03188056,-92.70791111,2012,"direct from dataset and estimated","marsh","emergent",NA,NA,NA,"other low resolution",NA
"Adame_et_al_2015","La Encrucijada","Encrucijada 2",15.0323186,-92.70890655,2012,"direct from dataset and estimated","marsh","emergent",NA,NA,NA,"other low resolution",NA
"Adame_et_al_2015","La Encrucijada","Encrucijada 3",15.03238417,-92.70855934,2012,"direct from dataset and estimated","marsh","emergent",NA,NA,NA,"other low resolution",NA
"Adame_et_al_2015","La Encrucijada","Encrucijada 4",15.03238417,-92.70855934,2012,"direct from dataset and estimated","marsh","emergent",NA,NA,NA,"other low resolution",NA
"Adame_et_al_2015","La Encrucijada","Encrucijada 5",15.03238417,-92.70855934,2012,"direct from dataset and estimated","marsh","emergent",NA,NA,NA,"other low resolution",NA
"Adame_et_al_2015","La Encrucijada","Encrucijada 6",15.03263889,-92.70883056,2012,"direct from dataset and estimated","marsh","emergent",NA,NA,NA,"other low resolution",NA
"Adame_et_al_2020","Insulator Creek","Plot 1",-18.8952599104916,146.26099029562,2016,"direct from dataset and estimated","marsh","emergent",NA,NA,NA,"other low resolution",NA
"Adame_et_al_2020","Insulator Creek","Plot 2",-18.8951126708873,146.260891898981,2016,"direct from dataset and estimated","marsh","emergent",NA,NA,NA,"other low resolution",NA
"Adame_et_al_2020","Insulator Creek","Plot 3",-18.8949543496924,146.26078599736,2016,"direct from dataset and estimated","marsh","emergent",NA,NA,NA,"other low resolution",NA
"Adame_et_al_2020","Insulator Creek","Plot 4",-18.8947947982654,146.260679754221,2016,"direct from dataset and estimated","marsh","emergent",NA,NA,NA,"other low resolution",NA
"Adame_et_al_2020","Insulator Creek","Plot 5",-18.8945943468993,146.260541666667,2016,"direct from dataset and estimated","marsh","emergent",NA,NA,NA,"other low resolution",NA
"Adame_et_al_2021","Arco","Arco 10m",30.4578789257437,-116.025855087149,2018,"direct from dataset and estimated","marsh","emergent",NA,NA,NA,"other low resolution",NA
"Adame_et_al_2021","Arco","Arco 30m",30.4577021252893,-116.025837227569,2018,"direct from dataset and estimated","marsh","emergent",NA,NA,NA,"other low resolution",NA
"Adame_et_al_2021","Arco","Arco 50m",30.4575242986184,-116.025812689808,2018,"direct from dataset and estimated","marsh","emergent",NA,NA,NA,"other low resolution",NA
"Adame_et_al_2021","Arco","Arco 70m",30.4573420866107,-116.025789898268,2018,"direct from dataset and estimated","marsh","emergent",NA,NA,NA,"other low resolution",NA
"Adame_et_al_2021","Arco","Arco 90m",30.4571622874464,-116.025769382576,2018,"direct from dataset and estimated","marsh","emergent",NA,NA,NA,"other low resolution",NA
"Adame_et_al_2021","Chapala","Chapala 10m",30.5133740346101,-115.982799611524,2018,"direct from dataset and estimated","marsh","emergent",NA,NA,NA,"other low resolution",NA
"Adame_et_al_2021","Chapala","Chapala 30m",30.5134371431058,-115.982996190987,2018,"direct from dataset and estimated","marsh","emergent",NA,NA,NA,"other low resolution",NA
"Adame_et_al_2021","Chapala","Chapala 50m",30.5135044541256,-115.983188326967,2018,"direct from dataset and estimated","marsh","emergent",NA,NA,NA,"other low resolution",NA
"Adame_et_al_2021","Chapala","Chapala 70m",30.5135684380306,-115.983386083945,2018,"direct from dataset and estimated","marsh","emergent",NA,NA,NA,"other low resolution",NA
"Adame_et_al_2021","Chapala","Chapala 90m",30.513634712485,-115.983579700134,2018,"direct from dataset and estimated","marsh","emergent",NA,NA,NA,"other low resolution",NA
"Adame_et_al_2021","Kenton","Kenton 10m",30.4653149710291,-115.98006346212,2018,"direct from dataset and estimated","marsh","emergent",NA,NA,NA,"other low resolution",NA
"Adame_et_al_2021","Kenton","Kenton 30m",30.465416832222,-115.980235827254,2018,"direct from dataset and estimated","marsh","emergent",NA,NA,NA,"other low resolution",NA
"Adame_et_al_2021","Kenton","Kenton 50m",30.4655152128799,-115.980405848819,2018,"direct from dataset and estimated","marsh","emergent",NA,NA,NA,"other low resolution",NA
"Adame_et_al_2021","Kenton","Kenton 70m",30.4656175841831,-115.980580505587,2018,"direct from dataset and estimated","marsh","emergent",NA,NA,NA,"other low resolution",NA
"Adame_et_al_2021","Kenton","Kenton 90m",30.4657176916862,-115.98075191678,2018,"direct from dataset and estimated","marsh","emergent",NA,NA,NA,"other low resolution",NA
"Anisfeld_et_al_1999","ANF99_BF1_rest","ANF99_BF1_rest",41.27355,-72.80412,1996,"direct from dataset","marsh","emergent",NA,NA,NA,NA,NA
"Anisfeld_et_al_1999","ANF99_BF2_rest","ANF99_BF2_rest",41.27355,-72.80412,1996,"direct from dataset","marsh","emergent",NA,NA,NA,NA,NA
"Anisfeld_et_al_1999","ANF99_ET1_ref","ANF99_ET1_ref",41.27049,-72.65656,1996,"direct from dataset","marsh","emergent",NA,NA,NA,NA,NA
"Anisfeld_et_al_1999","ANF99_ET2_ref","ANF99_ET2_ref",41.27049,-72.65656,1996,"direct from dataset","marsh","emergent",NA,NA,NA,NA,NA
"Anisfeld_et_al_1999","ANF99_HD1_ref","ANF99_HD1_ref",41.26247,-72.73653,1996,"direct from dataset","marsh","emergent",NA,NA,NA,NA,NA
"Anisfeld_et_al_1999","ANF99_HD2_ref","ANF99_HD2_ref",41.26247,-72.73653,1996,"direct from dataset","marsh","emergent",NA,NA,NA,NA,NA
"Anisfeld_et_al_1999","ANF99_HD3_ref","ANF99_HD3_ref",41.26247,-72.73653,1996,"direct from dataset","marsh","emergent",NA,NA,NA,NA,NA
"Anisfeld_et_al_1999","ANF99_LT1_restric","ANF99_LT1_restric",41.26251,-72.71495,1996,"direct from dataset","marsh","emergent",NA,NA,NA,NA,NA
"Anisfeld_et_al_1999","ANF99_LT2_restric","ANF99_LT2_restric",41.26251,-72.71495,1996,"direct from dataset","marsh","emergent",NA,NA,NA,NA,NA
"Anisfeld_et_al_1999","ANF99_SB1_ref","ANF99_SB1_ref",41.26083,-72.80944,1996,"direct from dataset","marsh","emergent",NA,NA,NA,NA,NA
"Anisfeld_et_al_1999","ANF99_SB2_restric","ANF99_SB2_restric",41.26107,-72.80945,1996,"direct from dataset","marsh","emergent",NA,NA,NA,NA,NA
"Anisfeld_et_al_1999","ANF99_SB3_restric","ANF99_SB3_restric",41.26107,-72.80945,1996,"direct from dataset","marsh","emergent",NA,NA,NA,NA,NA
"Anisfeld_et_al_1999","ANF99_SC1_restric","ANF99_SC1_restric",41.27212,-72.66681,1996,"direct from dataset","marsh","emergent",NA,NA,NA,NA,NA
"Anisfeld_et_al_1999","ANF99_SC2_restric","ANF99_SC2_restric",41.27212,-72.66681,1996,"direct from dataset","marsh","emergent",NA,NA,NA,NA,NA
"Azevedo_2015_unpublished","Patos Lagoon","MC 58",-32.0211,-52.1056,2012,"direct from dataset","marsh","emergent",NA,NA,NA,NA,NA
"Azevedo_2015_unpublished","Patos Lagoon","MC 59",-32.0211,-52.1056,2012,"direct from dataset","marsh","emergent",NA,NA,NA,NA,NA
"Azevedo_2015_unpublished","Patos Lagoon","MC 60",-32.0211,-52.1056,2012,"direct from dataset","marsh","emergent",NA,NA,NA,NA,NA
"Azevedo_2015_unpublished","Patos Lagoon","MC 61",-32.0211,-52.1056,2012,"direct from dataset","marsh","emergent",NA,NA,NA,NA,NA
"Azevedo_2015_unpublished","Patos Lagoon","MC 62",-32.0211,-52.1056,2012,"direct from dataset","marsh","emergent",NA,NA,NA,NA,NA
"Azevedo_2015_unpublished","Patos Lagoon","MC 63",-32.0211,-52.1056,2012,"direct from dataset","marsh","emergent",NA,NA,NA,NA,NA
"Azevedo_2015_unpublished","Patos Lagoon","MC 64",-32.0512,-52.0849,2012,"direct from dataset","marsh","emergent",NA,NA,NA,NA,NA
"Azevedo_2015_unpublished","Patos Lagoon","MC 65",-32.0512,-52.0849,2012,"direct from dataset","marsh","emergent",NA,NA,NA,NA,NA
"Azevedo_2015_unpublished","Patos Lagoon","MC 66",-32.0512,-52.0849,2012,"direct from dataset","marsh","emergent",NA,NA,NA,NA,NA
"Azevedo_2015_unpublished","Patos Lagoon","MC 67",-32.0512,-52.0849,2012,"direct from dataset","marsh","emergent",NA,NA,NA,NA,NA
"Azevedo_2015_unpublished","Patos Lagoon","MC 68",-32.0512,-52.0849,2012,"direct from dataset","marsh","emergent",NA,NA,NA,NA,NA
"Azevedo_2015_unpublished","Patos Lagoon","MC 69",-32.0512,-52.0849,2012,"direct from dataset","marsh","emergent",NA,NA,NA,NA,NA
"Azevedo_2015_unpublished","Patos Lagoon","MC 70",-32.0464,-52.1024,2012,"direct from dataset","marsh","emergent",NA,NA,NA,NA,NA
"Azevedo_2015_unpublished","Patos Lagoon","MC 71",-32.0464,-52.1024,2012,"direct from dataset","marsh","emergent",NA,NA,NA,NA,NA
