study_id,site_id,core_id,year,month,day,core_notes,latitude,longitude,position_accuracy,position_method,position_notes,elevation,elevation_datum,elevation_accuracy,elevation_method,elevation_notes,vegetation_class,habitat,core_length_flag
Okeefe-Suttles_et_al_2021_FL,Fort de Soto,FL_FDS,2015,10,19,NA,27.6275,-82.715883,1.366,other moderate resolution,Differential Global Positioning System (DGPS),-0.7759999999999999,NAVD88,2.512,other low resolution,Differential Global Positioning System (DGPS),forested,mangrove,core depth represents deposit depth
Okeefe-Suttles_et_al_2021_FL,E.G. Simmons,FL_EGSA,2015,10,21,NA,27.742156,-82.4676,1.827,other moderate resolution,Differential Global Positioning System (DGPS),1.4569999999999999,NAVD88,2.053,other low resolution,Differential Global Positioning System (DGPS),forested,mangrove,core depth represents deposit depth
Okeefe-Suttles_et_al_2021_FL,E.G. Simmons,FL_EGSB,2015,10,21,NA,27.742156,-82.4676,1.827,other moderate resolution,Differential Global Positioning System (DGPS),1.4569999999999999,NAVD88,2.053,other low resolution,Differential Global Positioning System (DGPS),forested,mangrove,core depth represents deposit depth
Okeefe-Suttles_et_al_2021_FL,Holly House,FL_HHMA,2015,10,21,NA,27.580827,-82.563715,0.079,other high resolution,Differential Global Positioning System (DGPS),-0.23800000000000002,NAVD88,0.097,other high resolution,Differential Global Positioning System (DGPS),forested,mangrove,core depth limited by length of corer
Okeefe-Suttles_et_al_2021_FL,Holly House,FL_HHMB,2015,10,21,NA,27.580827,-82.563715,0.079,other high resolution,Differential Global Positioning System (DGPS),-0.23800000000000002,NAVD88,0.097,other high resolution,Differential Global Positioning System (DGPS),forested,mangrove,core depth limited by length of corer
Okeefe-Suttles_et_al_2021_FL,Rocky Creek,FL_RCRA,2015,10,20,NA,27.993991,-82.586612,0.003,other high resolution,Differential Global Positioning System (DGPS),0.23199999999999998,NAVD88,0.006,other high resolution,Differential Global Positioning System (DGPS),emergent,marsh,core depth limited by length of corer
Okeefe-Suttles_et_al_2021_FL,Rocky Creek,FL_RCRB,2015,10,20,NA,27.993991,-82.586612,0.003,other high resolution,Differential Global Positioning System (DGPS),0.23199999999999998,NAVD88,0.006,other high resolution,Differential Global Positioning System (DGPS),emergent,marsh,core depth limited by length of corer
Okeefe-Suttles_et_al_2021_FL,Upper Tampa Bay,FL_UTR,2015,10,20,NA,28.007103,-82.633002,0.06,other high resolution,Differential Global Positioning System (DGPS),0.903,NAVD88,0.071,other high resolution,Differential Global Positioning System (DGPS),emergent,marsh,core depth limited by length of corer
Okeefe-Suttles_et_al_2021_FL,Weedon Island,FL_WI,2015,10,19,NA,27.846063,-82.6015,0.446,other high resolution,Differential Global Positioning System (DGPS),-0.134,NAVD88,0.597,other high resolution,Differential Global Positioning System (DGPS),forested,mangrove,core depth limited by length of corer
Okeefe-Suttles_et_al_2021_FL,Upper Tampa Bay,FL_UTSB,2015,10,21,not possible to take a sediment core so a section of sediment was removed with a shovel,28.007596,-82.631427,0.003,other high resolution,Differential Global Positioning System (DGPS),0.466,NAVD88,0.004,other high resolution,Differential Global Positioning System (DGPS),NA,unvegetated,core depth limited by length of corer
Okeefe-Suttles_et_al_2021_RI,Narragansett Bay,RI_MCA,2016,9,9,NA,41.6906,-71.45162,3,handheld,NA,NA,NA,NA,NA,NA,emergent,marsh,core depth limited by length of corer
Okeefe-Suttles_et_al_2021_RI,Narragansett Bay,RI_MCB,2016,9,9,NA,41.69052,-71.4516,3,handheld,NA,NA,NA,NA,NA,NA,emergent,marsh,core depth limited by length of corer
Okeefe-Suttles_et_al_2021_RI,Narragansett Bay,RI_PIA,2016,9,12,NA,41.62503,-71.32408,3,handheld,NA,NA,NA,NA,NA,NA,emergent,marsh,core depth limited by length of corer
Okeefe-Suttles_et_al_2021_RI,Narragansett Bay,RI_PIB,2016,9,12,NA,41.625,-71.32408,3,handheld,NA,NA,NA,NA,NA,NA,emergent,marsh,core depth limited by length of corer
Okeefe-Suttles_et_al_2021_RI,Narragansett Bay,RI_MDA,2016,9,9,NA,41.54387,-71.20399,3,handheld,NA,NA,NA,NA,NA,NA,emergent,marsh,core depth limited by length of corer
Okeefe-Suttles_et_al_2021_RI,Narragansett Bay,RI_MDB,2016,9,9,NA,41.54405,-71.20405,3,handheld,NA,NA,NA,NA,NA,NA,emergent,marsh,core depth limited by length of corer
Okeefe-Suttles_et_al_2021_Cape,Quivett,MA_QCNA,2015,6,3,NA,41.74713,-70.14275,3,handheld,Garmin GPSMAP 76Cx unit,1.298,NAVD88,0.05,RTK,NA,emergent,marsh,core depth limited by length of corer
Okeefe-Suttles_et_al_2021_Cape,Quivett,MA_QCNB,2015,6,3,NA,41.747,-70.14286,3,handheld,Garmin GPSMAP 76Cx unit,1.26,NAVD88,0.05,RTK,NA,emergent,marsh,core depth limited by length of corer
Okeefe-Suttles_et_al_2021_Cape,Quivett,MA_QCRA,2015,6,3,sampling site restored in 2005,41.74673,-70.14388,3,handheld,Garmin GPSMAP 76Cx unit,1.383,NAVD88,0.05,RTK,NA,emergent,marsh,core depth limited by length of corer
Okeefe-Suttles_et_al_2021_Cape,Bass,MA_BCNA,2015,6,10,NA,41.71575,-70.24023,3,handheld,Garmin GPSMAP 76Cx unit,1.429,NAVD88,0.05,RTK,NA,emergent,marsh,core depth limited by length of corer
Okeefe-Suttles_et_al_2021_Cape,Bass,MA_BCNB,2015,6,10,NA,41.71634,-70.24052,3,handheld,Garmin GPSMAP 76Cx unit,1.455,NAVD88,0.05,RTK,NA,emergent,marsh,core depth limited by length of corer
Okeefe-Suttles_et_al_2021_Cape,Bass,MA_BCRA,2015,6,10,sampling site restored in 2008,41.71596,-70.23595,3,handheld,Garmin GPSMAP 76Cx unit,1.51,NAVD88,0.05,RTK,NA,emergent,marsh,core depth limited by length of corer
Okeefe-Suttles_et_al_2021_Cape,Bass,MA_BCRB,2015,6,10,sampling site restored in 2008,41.71614,-70.23612,3,handheld,Garmin GPSMAP 76Cx unit,1.4480000000000002,NAVD88,0.05,RTK,NA,emergent,marsh,core depth limited by length of corer
Okeefe-Suttles_et_al_2021_Cape,Stony,MA_SBNA,2015,6,29,NA,41.7547,-70.11496,3,handheld,Garmin GPSMAP 76Cx unit,1.3259999999999998,NAVD88,0.05,RTK,NA,emergent,marsh,core depth limited by length of corer
Okeefe-Suttles_et_al_2021_Cape,Stony,MA_SBNB,2015,6,29,NA,41.75499,-70.11481,3,handheld,Garmin GPSMAP 76Cx unit,1.399,NAVD88,0.05,RTK,NA,emergent,marsh,core depth limited by length of corer
Okeefe-Suttles_et_al_2021_Cape,Stony,MA_SBRA,2015,6,29,sampling site restored in 2010,41.75255,-70.11337,3,handheld,Garmin GPSMAP 76Cx unit,1.307,NAVD88,0.05,RTK,NA,emergent,marsh,core depth limited by length of corer
Okeefe-Suttles_et_al_2021_Cape,Stony,MA_SBRB,2015,6,29,sampling site restored in 2010,41.75296,-70.11286,3,handheld,Garmin GPSMAP 76Cx unit,1.273,NAVD88,0.05,RTK,NA,emergent,marsh,core depth limited by length of corer
Okeefe-Suttles_et_al_2021_Cape,Boat,MA_BMNA,2015,7,7,NA,41.80247,-69.98717,3,handheld,Garmin GPSMAP 76Cx unit,1.158,NAVD88,0.05,RTK,NA,emergent,marsh,core depth limited by length of corer
Okeefe-Suttles_et_al_2021_Cape,Boat,MA_BMNB,2015,7,7,NA,41.80291,-69.98728,3,handheld,Garmin GPSMAP 76Cx unit,1.24,NAVD88,0.05,RTK,NA,emergent,marsh,core depth limited by length of corer
Okeefe-Suttles_et_al_2021_Cape,Boat,MA_BMRA,2015,7,7,sampling site restored in 2002,41.8012,-69.98638,3,handheld,Garmin GPSMAP 76Cx unit,1.014,NAVD88,0.05,RTK,NA,emergent,marsh,core depth limited by length of corer
Okeefe-Suttles_et_al_2021_Cape,Boat,MA_BMRB,2015,7,7,sampling site restored in 2002,41.80058,-69.98568,3,handheld,Garmin GPSMAP 76Cx unit,0.9620000000000001,NAVD88,0.05,RTK,NA,emergent,marsh,core depth limited by length of corer
Okeefe-Suttles_et_al_2021_Cape,Scusset,MA_SMB,2016,6,18,sampling site restored in 2001,41.77822,-70.51978,3,handheld,Garmin GPSMAP 76Cx unit,0.484,NAVD88,0.05,RTK,NA,emergent,marsh,core depth limited by length of corer
Okeefe-Suttles_et_al_2021_Cape,Scusset,MA_SMC,2016,7,19,sampling site restored in 2001,41.77885,-70.5196,3,handheld,Garmin GPSMAP 76Cx unit,0.6459999999999999,NAVD88,0.05,RTK,NA,emergent,marsh,core depth limited by length of corer
Okeefe-Suttles_et_al_2021_Cape,Scusset,MA_MCA,2016,7,19,NA,41.75978,-70.48632,3,handheld,Garmin GPSMAP 76Cx unit,1.0659999999999998,NAVD88,0.05,RTK,NA,emergent,marsh,core depth limited by length of corer
Okeefe-Suttles_et_al_2021_Cape,Scusset,MA_MCB,2016,7,19,NA,41.75978,-70.48613,3,handheld,Garmin GPSMAP 76Cx unit,0.8759999999999999,NAVD88,0.05,RTK,NA,emergent,marsh,core depth limited by length of corer
Okeefe-Suttles_et_al_2021_Wellfleet,Herring River,MA_HRPA,2017,10,27,NA,41.93744,-70.05544,3,handheld,Garmin GPSMAP 76Cx unit,0.063,NAVD88,0.05,RTK,NA,emergent,marsh,core depth limited by length of corer
Okeefe-Suttles_et_al_2021_Wellfleet,Herring River,MA_HRPB,2017,10,27,NA,41.93754,-70.05544,3,handheld,Garmin GPSMAP 76Cx unit,0.063,NAVD88,0.05,RTK,NA,emergent,marsh,core depth limited by length of corer
Okeefe-Suttles_et_al_2021_Wellfleet,Herring River,MA_HRHKA,2017,10,27,NA,41.94299,-70.05075,3,handheld,Garmin GPSMAP 76Cx unit,0.593,NAVD88,0.05,RTK,NA,scrub/shrub,scrub/shrub,core depth limited by length of corer
Okeefe-Suttles_et_al_2021_Wellfleet,Herring River,MA_HRHKB,2017,10,27,NA,41.94313,-70.05098,3,handheld,Garmin GPSMAP 76Cx unit,0.604,NAVD88,0.05,RTK,NA,scrub/shrub,scrub/shrub,core depth limited by length of corer
Okeefe-Suttles_et_al_2021_Wellfleet,Herring River,MA_HRHTA,2015,6,18,NA,41.9434,-70.05682,3,handheld,Garmin GPSMAP 76Cx unit,0.833,NAVD88,0.05,RTK,NA,forested,upland,core depth limited by length of corer
Okeefe-Suttles_et_al_2021_Wellfleet,Herring River,MA_HRHTB,2015,6,18,NA,41.94368,-70.05676,3,handheld,Garmin GPSMAP 76Cx unit,0.833,NAVD88,0.05,RTK,NA,forested,upland,core depth limited by length of corer
Okeefe-Suttles_et_al_2021_Wellfleet,Herring River,MA_HROCA,2015,6,19,NA,41.96033,-70.05624,3,handheld,Garmin GPSMAP 76Cx unit,0.39799999999999996,NAVD88,0.05,RTK,NA,emergent,marsh,core depth limited by length of corer
