study_id,site_id,core_id,year,month,day,core_notes,latitude,longitude,position_accuracy,position_method,position_notes,salinity_class,salinity_method,vegetation_class,vegetation_method,vegetation_notes,inundation_class,inundation_method,core_length_flag
Beers_et_al_2023,Anchor_River,AR-1,2016,7,7,NA,59.77316,-151.86098,3,handheld,NA,mesohaline,measurement,emergent,field observation,"Lymus, Poa, Angelica, Lathyrus, valerian, pushkey",mid,field observation,core depth represents deposit depth
Beers_et_al_2023,Anchor_River,AR-2,2016,7,7,NA,59.77322,-151.86127,3,handheld,NA,mesohaline,measurement,emergent,field observation,"Lymus, Poa, Angelica, Lathyrus, valerian, pushkey",mid,field observation,core depth represents deposit depth
Beers_et_al_2023,Anchor_River,AR-3,2016,7,7,NA,59.7733,-151.86189,3,handheld,NA,mesohaline,measurement,emergent,field observation,Carex ramenskii,mid,field observation,core depth represents deposit depth
Beers_et_al_2023,Anchor_River,AR-4,2016,7,7,NA,59.77335,-151.86243,3,handheld,NA,mesohaline,measurement,emergent,field observation,Carex ramenskii,mid,field observation,core depth represents deposit depth
Beers_et_al_2023,Anchor_River,AR-5,2016,7,7,NA,59.77356,-151.86311,3,handheld,NA,mesohaline,measurement,emergent,field observation,"Carex lyngbei, Lymus",mid,field observation,core depth represents deposit depth
Beers_et_al_2023,Anchor_River,AR-6,2016,7,7,NA,59.77411,-151.86417,3,handheld,NA,mesohaline,measurement,emergent,field observation,"Carex lyngbei, Lymus, Poa (big)",mid,field observation,core depth represents deposit depth
Beers_et_al_2023,Anchor_River,AR-7,2016,7,7,NA,59.77425,-151.86536,3,handheld,NA,mesohaline,measurement,emergent,field observation,"Potentilla, Carex ramenskii, Aster, small Poa arctica",mid,field observation,core depth represents deposit depth
Beers_et_al_2023,Beluga_Marsh,BM-1,2016,7,8,NA,59.64005,-151.53116,3,handheld,NA,saline,measurement,emergent,field observation,Puccinellia phryganodes,mid,field observation,core depth represents deposit depth
Beers_et_al_2023,Beluga_Marsh,BM-2,2016,7,8,NA,59.64043,-151.53098,3,handheld,NA,saline,measurement,emergent,field observation,"Triglochin maritima, plantain, Poa arctica",mid,field observation,core depth represents deposit depth
Beers_et_al_2023,Beluga_Marsh,BM-3,2016,7,8,NA,59.64074,-151.53076,3,handheld,NA,saline,measurement,emergent,field observation,Carex lyngbei,mid,field observation,core depth represents deposit depth
Beers_et_al_2023,Beluga_Marsh,BM-4,2016,7,10,NA,59.63765,-151.5278,3,handheld,NA,saline,measurement,emergent,field observation,"Triglochin maritima, plantain, Poa arctica",mid,field observation,core depth represents deposit depth
Beers_et_al_2023,Beluga_Marsh,BM-5,2016,7,10,NA,59.63757,-151.52858,3,handheld,NA,saline,measurement,emergent,field observation,Puccinellia phryganodes,mid,field observation,core depth represents deposit depth
Beers_et_al_2023,Beluga_Marsh,BM-6,2016,7,10,NA,59.63845,-151.52937,3,handheld,NA,saline,measurement,emergent,field observation,"Puccinellia phryganodes, plantain",mid,field observation,core depth represents deposit depth
Beers_et_al_2023,Beluga_Marsh,BM-7,2016,7,14,NA,59.64056,-151.5361,3,handheld,NA,saline,measurement,emergent,field observation,"Triglochin maritima, Carex lyngbei, Puccinellia nutkaensis, Potentila anserina, Carex ramenskii",mid,field observation,core depth represents deposit depth
