study_id,site_id,core_id,year,month,day,latitude,longitude,position_notes,salinity_class,salinity_method,vegetation_class,vegetation_method,habitat,core_length_flag
Radabaugh_et_al_2023,Blackwater_Bay,BWB1B,2017,5,1,25.92374,-81.61246,latitude and longitude from handheld GPS or better,brackish,field observation,forested,field observation,mangrove,core depth limited by length of corer
Radabaugh_et_al_2023,Cats_Claw_Basin,CCB1,2017,5,1,26.02219,-81.73437,latitude and longitude from handheld GPS or better,brackish,field observation,forested,field observation,mangrove,core depth limited by length of corer
Radabaugh_et_al_2023,Charlotte_Harbor01,CH_01NW,2020,2,4,26.9812259294,-82.1839152203,Real-time kinematic global position system (GPS),brackish,field observation,emergent,field observation,marsh,core depth limited by length of corer
Radabaugh_et_al_2023,Charlotte_Harbor01,CH_01SE,2020,2,4,26.9812305651,-82.1837621479,Real-time kinematic global position system (GPS),brackish,field observation,emergent,field observation,marsh,core depth limited by length of corer
Radabaugh_et_al_2023,Charlotte_Harbor02,CH_02NE,2020,2,4,26.9748813318,-82.1812366174,Real-time kinematic global position system (GPS),brackish,field observation,emergent,field observation,marsh,core depth limited by length of corer
Radabaugh_et_al_2023,Charlotte_Harbor02,CH_02SW,2020,2,4,26.9747382247,-82.181308427,Real-time kinematic global position system (GPS),brackish,field observation,emergent,field observation,marsh,core depth limited by length of corer
Radabaugh_et_al_2023,Charlotte_Harbor03,CH_03NE,2020,2,4,26.9689375292,-82.1776734854,Real-time kinematic global position system (GPS),brackish,field observation,forested,field observation,mangrove,core depth limited by length of corer
Radabaugh_et_al_2023,Charlotte_Harbor03,CH_03SW,2020,2,4,26.9688234888,-82.1777136895,Real-time kinematic global position system (GPS),brackish,field observation,forested,field observation,mangrove,core depth limited by length of corer
Radabaugh_et_al_2023,Little_Manatee_River01,LMR_1N,2018,10,26,27.671805,-82.417774,latitude and longitude from handheld GPS or better,brackish,field observation,emergent,field observation,marsh,core depth limited by length of corer
Radabaugh_et_al_2023,Little_Manatee_River01,LMR_1S,2018,10,26,27.671735,-82.417847,latitude and longitude from handheld GPS or better,brackish,field observation,emergent,field observation,marsh,core depth limited by length of corer
Radabaugh_et_al_2023,Little_Manatee_River02,LMR_2N,2018,10,26,27.667373,-82.429432,latitude and longitude from handheld GPS or better,brackish,field observation,emergent,field observation,marsh,core depth limited by length of corer
Radabaugh_et_al_2023,Little_Manatee_River02,LMR_2S,2018,10,26,27.667316,-82.429286,latitude and longitude from handheld GPS or better,brackish,field observation,emergent,field observation,marsh,core depth limited by length of corer
Radabaugh_et_al_2023,Little_Manatee_River03,LMR_3E,2018,10,26,27.672567,-82.43827,latitude and longitude from handheld GPS or better,brackish,field observation,emergent,field observation,marsh,core depth limited by length of corer
Radabaugh_et_al_2023,Little_Manatee_River03,LMR_3W,2018,10,26,27.672573,-82.438399,latitude and longitude from handheld GPS or better,brackish,field observation,emergent,field observation,marsh,core depth limited by length of corer
Radabaugh_et_al_2023,Peace_River01,Peace_1N,2018,10,26,27.060401,-81.997722,latitude and longitude from handheld GPS or better,brackish,field observation,emergent,field observation,marsh,core depth limited by length of corer
Radabaugh_et_al_2023,Peace_River01,Peace_1S,2018,10,26,27.060282,-81.997664,latitude and longitude from handheld GPS or better,brackish,field observation,emergent,field observation,marsh,core depth limited by length of corer
Radabaugh_et_al_2023,Peace_River02,Peace_2E,2018,10,26,27.04206,-81.98493,latitude and longitude from handheld GPS or better,brackish,field observation,emergent,field observation,marsh,core depth limited by length of corer
Radabaugh_et_al_2023,Peace_River02,Peace_2W,2018,10,26,27.042033,-81.985079,latitude and longitude from handheld GPS or better,brackish,field observation,emergent,field observation,marsh,core depth limited by length of corer
Radabaugh_et_al_2023,Peace_River03,Peace_3NE,2018,10,26,27.0299,-81.988902,latitude and longitude from handheld GPS or better,brackish,field observation,forested,field observation,mangrove,core depth limited by length of corer
