Date,Time,Site,Ecosystem,Plot,core depth (cm),salinity,pH,water table (cm),water depth (m),water temperature (C),soil respiration (umol m-2 s-1),redox potential (mV),chloride (mg/L),SO4 (mg/L),CH4 (ppm),Latitude,Longitude,elevation,XYZ source
27/01/2013,,Al Aryam,high sabkha,1,50,,,,,,0.387,355.4,,,,24.267838,54.226179,-31.745,RTK GPS
27/01/2013,,Al Aryam,high sabkha,2,27,,,,,,,,,,,24.268013,54.22627,-31.759,RTK GPS
27/01/2013,,Al Aryam,high sabkha,3,38.5,,,,,,0.421,353.4,,,,24.268171,54.226308,-31.712,RTK GPS
27/01/2013,,Al Aryam,high sabkha,4,40,,,,,,,393.6,,,,24.268516,54.226443,-31.808,RTK GPS
26/01/2013,,Thumayriyah,high sabkha,1,62,,,,,,,,,,,24.130454,53.029018,,Garmin GPS
26/01/2013,,Thumayriyah,high sabkha,2,30,,,,,,,,,,,24.130103,53.029047,,Garmin GPS
26/01/2013,,Thumayriyah,high sabkha,3,50,,,,,,,,,,,24.129726,53.029059,,Garmin GPS
27/01/2013,,Al Aryam,low sabkha,1,40,,,,,,0.839,361.8,,,,24.259597,54.236117,-31.849,RTK GPS
27/01/2013,,Al Aryam,low sabkha,2,35,,,,,,,,,,,24.25977,54.236139,-31.876,RTK GPS
27/01/2013,,Al Aryam,low sabkha,3,38,,,,,,,,,,,24.259938,54.23619,-31.878,RTK GPS
27/01/2013,,Al Aryam,low sabkha,4,38,,,,,,,,,,,24.260108,54.236263,-31.895,RTK GPS
27/01/2013,,Al Aryam,low sabkha,5,38,,,,,,0.47,362.6,,,,24.260288,54.236323,-31.892,RTK GPS
23/01/2013,,Sabkha Moon,low sabkha,1,44,,,,,,,,,,,24.123371,54.049667,-31.682,RTK GPS
23/01/2013,,Sabkha Moon,low sabkha,2,36,,,,,,1.435,,,,,24.123548,54.049641,-31.698,RTK GPS
23/01/2013,,Sabkha Moon,low sabkha,3,45,,,,,,,,,,,24.123734,54.04958,-31.713,RTK GPS
23/01/2013,,Sabkha Moon,low sabkha,4,38,,,,,,1.71,,,,,24.123909,54.049516,-31.731,RTK GPS
23/01/2013,,Sabkha Moon,low sabkha,5,33,,,,,,2.22,,,,,24.12394,54.049482,-31.748,RTK GPS
23/01/2013,,Sabkha Moon,low sabkha,6,50,,,,,,0.836,,,,,24.124147,54.049408,-31.759,RTK GPS
26/01/2013,,Thumayriyah,low sabkha,1,65,,7.1,,,,,,,,,24.132536,53.028825,,Garmin GPS
26/01/2013,,Thumayriyah,low sabkha,2,52,220,7.26,-34,,,,,146150,5250,,24.132749,53.029184,,Garmin GPS
26/01/2013,,Thumayriyah,low sabkha,3,50,175,7.2,-20,,,,,130494,4676,3.397,24.132956,53.029489,,Garmin GPS
n.d.,,Ajman Al Zorah,mangrove,1,75,51,6.8,,,,,,,,,25.4354,55.47844,,handheld GPS
n.d.,,Ajman Al Zorah,mangrove,2,68,45,6.9,,,,,,,,,25.4354,55.47844,,handheld GPS
n.d.,,Ajman Al Zorah,mangrove,3,74,45,6.9,,,,,,,,,25.4354,55.47844,,handheld GPS
n.d.,,Ajman Al Zorah,mangrove,4,81,44,6.9,,,,,,,,,25.4354,55.47844,,handheld GPS
n.d.,,Ajman Al Zorah,mangrove,5,78,41,7.1,,,,,,,,,25.4354,55.47844,,handheld GPS
n.d.,,Ajman Al Zorah,mangrove,6,85,37,7,,,,,,,,,25.4354,55.47844,,handheld GPS
n.d.,,Al Khor,mangrove,1,213,59,6.7,,,,,,,,,25.19062,55.32697,,handheld GPS
n.d.,,Al Khor,mangrove,2,280,64,6.7,,,,,,,,,25.19062,55.32697,,handheld GPS
n.d.,,Al Khor,mangrove,3,280,68,6.8,,,,,,,,,25.19062,55.32697,,handheld GPS
n.d.,,Al Khor,mangrove,4,230,69,6.8,,,,,,,,,25.19062,55.32697,,handheld GPS
n.d.,,Al Khor,mangrove,5,166,71,6.9,,,,,,,,,25.19062,55.32697,,handheld GPS
n.d.,,Al Khor,mangrove,6,196,71,6.8,,,,,,,,,25.19062,55.32697,,handheld GPS
18/11/2014,,Al Rams,mangrove,1,48,37,7.2,,,,,,,,,25.8981,56.03976,,handheld GPS
18/11/2014,,Al Rams,mangrove,2,30,41,7.1,,,,,,,,,25.8981,56.03976,,handheld GPS
18/11/2014,,Al Rams,mangrove,3,59,41,7,,,,,,,,,25.8981,56.03976,,handheld GPS
