study_id,site_id,core_id,depth_min,depth_max,dry_bulk_density,fraction_organic_matter,redox,sand,silt,clay,moisture
Adams_and_Human_2016,St Lucia,Adams_and_Human_2016_St Lucia-Black pipe-1-core-1,50,55,NA,0.017070073050000002,-95.66666667,NA,NA,NA,NA
Adams_and_Human_2016,St Lucia,Adams_and_Human_2016_St Lucia-Black pipe-1-core-1,0,5,NA,0.03052698784,-81.33333333,NA,NA,NA,0.225
Adams_and_Human_2016,St Lucia,Adams_and_Human_2016_St Lucia-Black pipe-2-core-1,50,55,NA,0.09274233649,-118.6666667,NA,NA,NA,0.531
Adams_and_Human_2016,St Lucia,Adams_and_Human_2016_St Lucia-Black pipe-2-core-1,0,5,NA,0.16420994400000002,-108,NA,NA,NA,0.631
Adams_and_Human_2016,St Lucia,Adams_and_Human_2016_St Lucia-Black pipe-3-core-1,50,55,NA,0.09132384843000001,-144,NA,NA,NA,0.507
Adams_and_Human_2016,St Lucia,Adams_and_Human_2016_St Lucia-Black pipe-3-core-1,0,5,NA,0.1532893521,-144.3333333,NA,NA,NA,0.597
Adams_and_Human_2016,St Lucia,Adams_and_Human_2016_St Lucia-Black pipe-4-core-1,50,55,NA,0.04640211139,-136,NA,NA,NA,0.33299999999999996
Adams_and_Human_2016,St Lucia,Adams_and_Human_2016_St Lucia-Black pipe-4-core-1,0,5,NA,0.1622411398,-122.6666667,NA,NA,NA,0.639
Adams_and_Human_2016,St Lucia,Adams_and_Human_2016_St Lucia-Croc center-1-core-1,50,55,NA,0.08749645064999999,-24.66666667,NA,NA,NA,0.379
Adams_and_Human_2016,St Lucia,Adams_and_Human_2016_St Lucia-Croc center-1-core-1,0,5,NA,0.08570778676,-24,NA,NA,NA,0.08749645064999999
Adams_and_Human_2016,St Lucia,Adams_and_Human_2016_St Lucia-Croc center-2-core-1,50,55,NA,0.09044320172999999,131.6666667,NA,NA,NA,0.36200000000000004
Adams_and_Human_2016,St Lucia,Adams_and_Human_2016_St Lucia-Croc center-2-core-1,0,5,NA,0.0870633289,-128.6666667,NA,NA,NA,0.09044320172999999
Adams_and_Human_2016,St Lucia,Adams_and_Human_2016_St Lucia-Croc center-3-core-1,50,55,NA,0.09151412188000001,102.6666667,NA,NA,NA,0.413
Adams_and_Human_2016,St Lucia,Adams_and_Human_2016_St Lucia-Croc center-3-core-1,0,5,NA,0.10084752829999999,13,NA,NA,NA,0.09151412188000001
Adams_and_Human_2016,St Lucia,Adams_and_Human_2016_St Lucia-Croc center-4-core-1,50,55,NA,NA,-74.33333333,NA,NA,NA,0.452
Adams_and_Human_2016,St Lucia,Adams_and_Human_2016_St Lucia-Croc center-4-core-1,0,5,NA,0.1020710158,-134.6666667,NA,NA,NA,NA
Adams_and_Human_2016,St Lucia,Adams_and_Human_2016_St Lucia-Back channel-1-core-1,50,55,NA,0.08749645064999999,-34.33333333,0.4517814856,0.41087532940000004,0.137343185,0.48700000000000004
Adams_and_Human_2016,St Lucia,Adams_and_Human_2016_St Lucia-Back channel-1-core-1,0,5,NA,0.1152420946,-24,0.3863724018,0.423330386,0.19029721219999998,0.48
Adams_and_Human_2016,St Lucia,Adams_and_Human_2016_St Lucia-Back channel-2-core-1,50,55,NA,0.09044320172999999,-133,NA,NA,NA,0.514
Adams_and_Human_2016,St Lucia,Adams_and_Human_2016_St Lucia-Back channel-2-core-1,0,5,NA,0.11288945780000001,-128.6666667,0.2558927229,0.5351460302000001,0.2089612469,0.48
Adams_and_Human_2016,St Lucia,Adams_and_Human_2016_St Lucia-Back channel-3-core-1,50,55,NA,0.09151412188000001,-34,NA,NA,NA,0.48
Adams_and_Human_2016,St Lucia,Adams_and_Human_2016_St Lucia-Back channel-3-core-1,0,5,NA,0.11316829029999999,13,0.47845987370000004,0.3773737861,0.1441663402,0.48100000000000004
Adams_and_Human_2016,St Lucia,Adams_and_Human_2016_St Lucia-Back channel-4-core-1,50,55,NA,NA,-142.3333333,0.198103613,0.6977865327,0.1041098543,0.47100000000000003
Adams_and_Human_2016,St Lucia,Adams_and_Human_2016_St Lucia-Back channel-4-core-1,0,5,NA,0.1112513618,-134.6666667,NA,NA,NA,0.48200000000000004
Adams_and_Human_2016,St Lucia,Adams_and_Human_2016_St Lucia-Croc memorial-1-core-1,50,55,NA,0.06868520792,-82.66666667,0.4937974894,0.3050804009,0.2011221097,0.38799999999999996
Adams_and_Human_2016,St Lucia,Adams_and_Human_2016_St Lucia-Croc memorial-1-core-1,0,5,NA,0.08243159103,-150.3333333,NA,NA,NA,0.396
