study_id,core_id,sample_id,depth_min,depth_max,c14_age,c14_age_se,c14_material,age,dry_bulk_density,fraction_organic_matter,fraction_carbon,method_id,site_id
Drexler_et_al_2009,BACHI,NA,2,4,NA,NA,NA,NA,0.287,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,4,6,NA,NA,NA,NA,0.257,0.408,0.197938,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,6,8,NA,NA,NA,NA,0.306,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,10,12,NA,NA,NA,NA,0.313,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,12,14,NA,NA,NA,NA,0.311,0.296,0.136226,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,14,16,NA,NA,NA,NA,0.311,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,16,18,NA,NA,NA,NA,0.192,0.488,0.242018,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,18,20,NA,NA,NA,NA,0.117,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,20,22,NA,NA,NA,NA,0.094,0.564,0.283894,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,22,24,NA,NA,NA,NA,0.08,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,24,26,NA,NA,NA,NA,0.084,0.588,0.297118,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,26,28,NA,NA,NA,NA,0.101,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,28,30,NA,NA,NA,NA,0.076,0.672,0.343402,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,30,32,NA,NA,NA,NA,0.073,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,32,34,NA,NA,NA,NA,0.068,0.684,0.350014,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,34,36,NA,NA,NA,NA,0.072,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,36,38,NA,NA,NA,NA,0.06,0.712,0.365442,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,38,40,NA,NA,NA,NA,0.062,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,40,42,NA,NA,NA,NA,0.066,NA,NA,single set of methods,Bacon Channel Island
