study_id,bibliography_id,publication_type,key,bibtype,doi,url,year,month,publisher,volume,number,author,title,journal,school,pages,keywords,editor,booktitle,institution,copyright,language
Weis_et_al_2001,Weis_et_al_2001,Article,Weis_et_al_2001,Article,10.2307/1353175,https://doi.org/10.2307/1353175,2001,dec,Springer Nature,24,6,Daniel A. Weis and John C. Callaway and Richard M. Gersberg,Vertical Accretion Rates and Heavy Metal Chronologies in Wetland Sediments of the Tijuana Estuary,Estuaries,NA,NA,NA,NA,NA,NA,NA,NA
Weis_et_al_2001,Weis_et_al_2001,MastersThesis,Weis 2001,MastersThesis,NA,NA,1999,NA,NA,NA,NA,Daniel Anthony Weis,Vertical accretion rates and heavy metal chronologies in wetland sediments of Tijuana Estuary,NA,San Diego State University,NA,NA,NA,NA,NA,NA,NA
Watson_and_Byrne_2013,Watson_and_Byrne_2013,Article,Watson_and_Byrne_2013,Article,10.1007/s12237-013-9598-z,https://doi.org/10.1007/s12237-013-9598-z,2013,feb,Springer Science and Business Media {LLC},36,3,Elizabeth Burke Watson and Roger Byrne,"Late Holocene Marsh Expansion in Southern San Francisco Bay, California",Estuaries and Coasts,NA,643--653,NA,NA,NA,NA,NA,NA
Vaughn_et_al_2020,Vaughn_et_al_2020,Misc,10.25573/SERC.10552004,Misc,10.25573/SERC.10552004,https://smithsonian.figshare.com/articles/Dataset_Increased_Organic_Carbon_Burial_in_Northern_Florida_Mangrove-Salt_Marsh_Transition_Zones/10552004,2020,NA,The Smithsonian Institution,NA,NA,Derrick Vaughn and Thomas Bianchi and Michael Shields and William Kenney and Todd Osborne,Dataset: Increased Organic Carbon Burial in Northern Florida Mangrove-Salt Marsh Transition Zones,NA,NA,NA,"50301 Carbon Sequestration Science, Soil Science",NA,NA,NA,NA,NA
Trettin_et_al_2017,Trettin_et_al_2017,data release,Trettin_et_al_2017,Misc,10.2737/rds-2017-0053,https://doi.org/10.2737/rds-2017-0053,2017,NA,{USDA} Forest Service,NA,NA,Carl C. Trettin and Christina E. Stringer and Stanley J. Zarnoch and Wenwu Tang and Zhaohua Dai,"Mangrove carbon stocks in Zambezi River Delta, Mozambique",NA,NA,NA,NA,NA,NA,NA,NA,NA
Thorne_et_al_2015,Thorne_et_al_2015,data release,Thorne_et_al_2015,Misc,10.5066/f7sj1hnc,https://www.sciencebase.gov/catalog/item/5006e99ee4b0abf7ce733f58,2015,NA,U.S. Geological Survey,NA,NA,U.S. Geological Survey {Karen Thorne},Marshes to Mudflats: Climate Change Effects Along a Latitudinal Gradient in the Pacific Northwest,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thom_1992,Thom_1992,Misc,Thom_2019,Misc,10.25573/data.10046189,https://smithsonian.figshare.com/articles/Dataset_Accretion_rates_of_low_intertidal_salt_marshes_in_the_Pacific_Northwest/10046189,2019,NA,The Smithsonian Institution,NA,NA,Ronald M. Thom,Dataset: Accretion rates of low intertidal salt marshes in the Pacific Northwest,NA,NA,NA,"Soil Science, 50301 Carbon Sequestration Science",NA,NA,NA,NA,NA
Thom_1992,Thom_1992,Article,Thom_1992,Article,10.1007/bf03160603,https://doi.org/10.1007/bf03160603,1992,dec,Springer Science and Business Media {LLC},12,3,Ronald M. Thom,Accretion rates of low intertidal salt marshes in the Pacific Northwest,Wetlands,NA,147--156,NA,NA,NA,NA,NA,NA
Smith_et_al_2015,Smith_et_al_2015,data release,Smith_et_al_2015,Misc,10.3133/ds877,https://doi.org/10.3133/ds877,2015,NA,{US} Geological Survey,NA,NA,Kathryn E. L. Smith and James G. Flocks and Gregory D. Steyer and Sarai C. Piazza,Wetland paleoecological study of southwest coastal Louisiana: sediment cores and diatom calibration dataset,NA,NA,NA,NA,NA,NA,NA,NA,NA
Campbell_et_al_2015,Schile-Beers_and_Megonigal_2017,synthesis,Schile-Beers_and_Megonigal_2017,Misc,10.5479/data_serc/10088/31949,https://repository.si.edu/handle/10088/31949,2017,NA,Smithsonian Environmental Research Center,NA,NA,Lisa M. Schile,Abu Dhabi Blue Carbon Demonstration Project,NA,NA,NA,NA,NA,NA,NA,NA,NA
Campbell_et_al_2015,Campbell_et_al_2015,Article,Campbell_et_al_2015,Article,10.1007/s12237-014-9802-9,https://doi.org/10.1007/s12237-014-9802-9,2014,mar,Springer Nature,38,1,J. E. Campbell,"Carbon Storage in Seagrass Beds of Abu Dhabi, United Arab Emirates",Estuaries and Coasts,NA,242--251,NA,NA,NA,NA,NA,NA
Schile-Beers_and_Megonigal_2017,Schile-Beers_and_Megonigal_2017,data release,Schile-Beers_and_Megonigal_2017,Misc,10.5479/data_serc/10088/31949,https://repository.si.edu/handle/10088/31949,2017,NA,Smithsonian Environmental Research Center,NA,NA,Lisa M. Schile,Abu Dhabi Blue Carbon Demonstration Project,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abino_et_al_2014,Sanderman_2018,synthesis,Sanderman_2017,Misc,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,Jonathan Sanderman,Global mangrove soil carbon: dataset and spatial maps,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adame_et_al_2013,Sanderman_2018,synthesis,Sanderman_2017,Misc,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,Jonathan Sanderman,Global mangrove soil carbon: dataset and spatial maps,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adame_et_al_2015,Sanderman_2018,synthesis,Sanderman_2017,Misc,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,Jonathan Sanderman,Global mangrove soil carbon: dataset and spatial maps,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ajonina_et_al_2014,Sanderman_2018,synthesis,Sanderman_2017,Misc,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,Jonathan Sanderman,Global mangrove soil carbon: dataset and spatial maps,NA,NA,NA,NA,NA,NA,NA,NA,NA
Allen_et_al_2007,Sanderman_2018,synthesis,Sanderman_2017,Misc,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,Jonathan Sanderman,Global mangrove soil carbon: dataset and spatial maps,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alongi_1996,Sanderman_2018,synthesis,Sanderman_2017,Misc,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,Jonathan Sanderman,Global mangrove soil carbon: dataset and spatial maps,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alongi_et_al_1999,Sanderman_2018,synthesis,Sanderman_2017,Misc,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,Jonathan Sanderman,Global mangrove soil carbon: dataset and spatial maps,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alongi_et_al_2000,Sanderman_2018,synthesis,Sanderman_2017,Misc,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,Jonathan Sanderman,Global mangrove soil carbon: dataset and spatial maps,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alongi_et_al_2001,Sanderman_2018,synthesis,Sanderman_2017,Misc,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,Jonathan Sanderman,Global mangrove soil carbon: dataset and spatial maps,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alongi_et_al_2004,Sanderman_2018,synthesis,Sanderman_2017,Misc,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,Jonathan Sanderman,Global mangrove soil carbon: dataset and spatial maps,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alongi_et_al_2005,Sanderman_2018,synthesis,Sanderman_2017,Misc,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,Jonathan Sanderman,Global mangrove soil carbon: dataset and spatial maps,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alongi_et_al_2008,Sanderman_2018,synthesis,Sanderman_2017,Misc,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,Jonathan Sanderman,Global mangrove soil carbon: dataset and spatial maps,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andreetta_et_al_2014,Sanderman_2018,synthesis,Sanderman_2017,Misc,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,Jonathan Sanderman,Global mangrove soil carbon: dataset and spatial maps,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andreetta_et_al_2016,Sanderman_2018,synthesis,Sanderman_2017,Misc,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,Jonathan Sanderman,Global mangrove soil carbon: dataset and spatial maps,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ashton_and_Macintosh_2002,Sanderman_2018,synthesis,Sanderman_2017,Misc,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,Jonathan Sanderman,Global mangrove soil carbon: dataset and spatial maps,NA,NA,NA,NA,NA,NA,NA,NA,NA
Banerjee_et_al_2012,Sanderman_2018,synthesis,Sanderman_2017,Misc,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,Jonathan Sanderman,Global mangrove soil carbon: dataset and spatial maps,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bouillon_et_al_2003,Sanderman_2018,synthesis,Sanderman_2017,Misc,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,Jonathan Sanderman,Global mangrove soil carbon: dataset and spatial maps,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brunskill_et_al_2002,Sanderman_2018,synthesis,Sanderman_2017,Misc,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,Jonathan Sanderman,Global mangrove soil carbon: dataset and spatial maps,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brunskill_et_al_2004,Sanderman_2018,synthesis,Sanderman_2017,Misc,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,Jonathan Sanderman,Global mangrove soil carbon: dataset and spatial maps,NA,NA,NA,NA,NA,NA,NA,NA,NA
