study_id,site_id,core_id,method_id,depth_min,depth_max,dry_bulk_density,fraction_carbon,cs137_activity,cs137_activity_se,cs137_unit,excess_pb210_activity,excess_pb210_activity_se,total_pb210_activity,total_pb210_activity_se,pb210_unit,ra226_activity,ra226_activity_se,ra226_unit
Luk_et_al_2020,SITE_1,MARSH_1_1,soil carbon measured,0,2,0.14,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_1,MARSH_1_1,soil carbon measured,2,4,0.16,0.196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_1,MARSH_1_1,soil carbon measured,4,6,0.17,0.214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_1,MARSH_1_1,soil carbon measured,6,8,0.15,0.215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_1,MARSH_1_1,soil carbon measured,8,10,0.16,0.21899999999999997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_1,MARSH_1_1,soil carbon measured,10,12,0.14,0.196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_1,MARSH_1_1,soil carbon measured,12,14,0.16,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_1,MARSH_1_1,soil carbon measured,14,16,0.12,0.19899999999999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_1,MARSH_1_1,soil carbon measured,16,18,0.11,0.191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_1,MARSH_1_1,soil carbon measured,18,20,0.14,0.21899999999999997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_1,MARSH_1_1,soil carbon measured,20,22,0.12,0.212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_1,MARSH_1_1,soil carbon measured,22,24,0.16,0.249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_1,MARSH_1_1,soil carbon measured,24,26,0.18,0.254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_1,MARSH_1_1,soil carbon measured,26,28,0.16,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_1,MARSH_1_1,soil carbon measured,28,30,0.2,0.195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_1,MARSH_1_1,soil carbon measured,30,32,0.23,0.152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_1,MARSH_1_1,soil carbon measured,32,34,0.23,0.154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_1,MARSH_1_1,soil carbon measured,34,36,0.22,0.155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_1,MARSH_1_1,soil carbon measured,36,38,0.2,0.124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_1,MARSH_1_1,soil carbon measured,38,40,0.29,0.14300000000000002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_1,MARSH_1_1,soil carbon measured,40,42,0.21,0.145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
