study_id,site_id,core_id,latitude,longitude,position_method,elevation,elevation_datum,salinity,salinity_class,salinity_method,habitat,core_length_flag
Smith_and_Kirwan_2021,Monie_Bay,MB_1_HF,38.21157,-75.81158,RTK,0.7684,NAVD88,0.399667,fresh,measurement,upland,core depth represents deposit depth
Smith_and_Kirwan_2021,Monie_Bay,MB_2_HF,38.21172,-75.81123,RTK,0.8064,NAVD88,0.292,fresh,measurement,upland,core depth represents deposit depth
Smith_and_Kirwan_2021,Monie_Bay,MB_3_HF,38.21197,-75.81055,RTK,0.7134,NAVD88,0.393,fresh,measurement,upland,core depth represents deposit depth
Smith_and_Kirwan_2021,Monie_Bay,MB_4_HF,38.21213,-75.80994,RTK,0.6454,NAVD88,0.363667,fresh,measurement,upland,core depth represents deposit depth
Smith_and_Kirwan_2021,Monie_Bay,MB_1_MF,38.21173,-75.81184,RTK,0.5964,NAVD88,1.985333,oligohaline,measurement,upland,core depth represents deposit depth
Smith_and_Kirwan_2021,Monie_Bay,MB_2_MF,38.21197,-75.81139,RTK,0.5654,NAVD88,0.767,oligohaline,measurement,upland,core depth represents deposit depth
Smith_and_Kirwan_2021,Monie_Bay,MB_3_MF,38.21244,-75.81092,RTK,0.6554,NAVD88,0.524,oligohaline,measurement,upland,core depth represents deposit depth
Smith_and_Kirwan_2021,Monie_Bay,MB_4_MF,38.21251,-75.81031,RTK,0.3564,NAVD88,0.954333,oligohaline,measurement,upland,core depth represents deposit depth
Smith_and_Kirwan_2021,Monie_Bay,MB_1_LF,38.21176,-75.81213,RTK,0.4654,NAVD88,6.310333,mesohaline,measurement,upland,core depth represents deposit depth
Smith_and_Kirwan_2021,Monie_Bay,MB_2_LF,38.21212,-75.81162,RTK,0.3724,NAVD88,7.232,mesohaline,measurement,upland,core depth represents deposit depth
Smith_and_Kirwan_2021,Monie_Bay,MB_3_LF,38.21248,-75.81112,RTK,0.3914,NAVD88,8.09,mesohaline,measurement,upland,core depth represents deposit depth
Smith_and_Kirwan_2021,Monie_Bay,MB_4_LF,38.21268,-75.81049,RTK,0.2514,NAVD88,5.646667,mesohaline,measurement,upland,core depth represents deposit depth
