study_id,estuary_id,site_id,core_id,core_date,core_latitude,core_longitude,core_position_method,core_position_notes,core_elevation,core_elevation_datum,core_elevation_method,core_elevation_notes,salinity_class,salinity_method,vegetation_class,vegetation_method,inundation_class,inundation_method,core_length_flag
Poppe_et_al_2019,Snohomish River Estuary,Heron_Point,HP_A,2013-06-20,48.0313999999999,-122.154799999999,RTK-GPS,NA,2.6109168000000005,NAVD88,RTK-GPS,NA,riverine,measurement,forested,measurement,NA,NA,core depth limited by length of corer
Poppe_et_al_2019,Snohomish River Estuary,Heron_Point,HP_B,2013-06-20,48.0313999999999,-122.154799999999,RTK-GPS,NA,2.586227999999997,NAVD88,RTK-GPS,NA,riverine,measurement,forested,measurement,NA,NA,core depth limited by length of corer
Poppe_et_al_2019,Snohomish River Estuary,Marysville_Mitigation,MA_A,2013-06-12,48.0382,-122.1634,RTK-GPS,NA,1.9525488,NAVD88,RTK-GPS,NA,estuarine,measurement,emergent,measurement,NA,NA,core depth limited by length of corer
Poppe_et_al_2019,Snohomish River Estuary,Marysville_Mitigation,MA_B,2013-06-12,48.0382,-122.1634,RTK-GPS,NA,1.9946112,NAVD88,RTK-GPS,NA,estuarine,measurement,emergent,measurement,NA,NA,core depth limited by length of corer
Poppe_et_al_2019,Snohomish River Estuary,North_Ebey,NE_A,2013-06-20,48.0352,-122.1626,RTK-GPS,NA,2.3954232,NAVD88,RTK-GPS,NA,estuarine,measurement,emergent,measurement,NA,NA,core depth limited by length of corer
Poppe_et_al_2019,Snohomish River Estuary,North_Ebey,NE_B,2013-06-20,NA,NA,NA,"No RTK, close proximity to A",NA,NA,NA,"No RTK, close proximity to A",estuarine,measurement,emergent,measurement,NA,NA,core depth limited by length of corer
Poppe_et_al_2019,Snohomish River Estuary,Otter_Island,OI_A,2013-06-20,48.0084999999999,-122.1483,RTK-GPS,NA,2.6093928,NAVD88,RTK-GPS,NA,riverine,measurement,forested,measurement,NA,NA,core depth limited by length of corer
Poppe_et_al_2019,Snohomish River Estuary,Otter_Island,OI_B,2013-06-20,48.0084,-122.1486,RTK-GPS,NA,2.5636728,NAVD88,RTK-GPS,NA,riverine,measurement,forested,measurement,NA,NA,core depth limited by length of corer
Poppe_et_al_2019,Snohomish River Estuary,Quilceda_Marsh,QM_A,2013-06-20,48.0444,-122.2048,RTK-GPS,NA,1.8644616,NAVD88,RTK-GPS,NA,estuarine,measurement,emergent,measurement,NA,NA,core depth limited by length of corer
Poppe_et_al_2019,Snohomish River Estuary,Quilceda_Marsh,QM_B,2013-06-20,48.0444,-122.2047,RTK-GPS,NA,1.8245328,NAVD88,RTK-GPS,NA,estuarine,measurement,emergent,measurement,NA,NA,core depth limited by length of corer
Poppe_et_al_2019,Snohomish River Estuary,Quilceda_Marsh,QM_C,2013-06-20,48.0446999999999,-122.2051,RTK-GPS,NA,2.1448776,NAVD88,RTK-GPS,NA,estuarine,measurement,emergent,measurement,NA,NA,core depth limited by length of corer
Poppe_et_al_2019,Snohomish River Estuary,Qwuloolt,QW_A,2013-06-12,48.0394999999999,-122.1573,RTK-GPS,NA,1.3658088,NAVD88,RTK-GPS,NA,estuarine,measurement,emergent,measurement,NA,NA,core depth limited by length of corer
Poppe_et_al_2019,Snohomish River Estuary,Qwuloolt,QW_B,2013-06-12,48.0394999999999,-122.1573,RTK-GPS,NA,1.44018,NAVD88,RTK-GPS,NA,estuarine,measurement,emergent,measurement,NA,NA,core depth limited by length of corer
Poppe_et_al_2019,Snohomish River Estuary,Smith_Island_County,SN_A,2013-06-12,48.0165999999999,-122.1636,RTK-GPS,NA,0.7839456,NAVD88,RTK-GPS,NA,estuarine,measurement,emergent,measurement,NA,NA,core depth limited by length of corer
Poppe_et_al_2019,Snohomish River Estuary,Smith_Island_County,SN_B,2013-06-12,48.0167,-122.1636,RTK-GPS,NA,0.813816,NAVD88,RTK-GPS,NA,estuarine,measurement,emergent,measurement,NA,NA,core depth limited by length of corer
Poppe_et_al_2019,Snohomish River Estuary,Spencer_Island,SP_A,2013-05-28,47.9902,-122.1611,RTK-GPS,NA,1.8845784,NAVD88,RTK-GPS,NA,estuarine,measurement,emergent,measurement,NA,NA,core depth limited by length of corer
Poppe_et_al_2019,Snohomish River Estuary,Spencer_Island,SP_B,2013-05-28,NA,NA,NA,"No RTK, close proximity to A",NA,NA,NA,"No RTK, close proximity to A",estuarine,measurement,emergent,measurement,NA,NA,core depth limited by length of corer
Poppe_et_al_2019,Snohomish River Estuary,Smith_Island_City,SS_A,2013-06-12,48.0035999999999,-122.1616,RTK-GPS,NA,1.7233392,NAVD88,RTK-GPS,NA,estuarine,measurement,emergent,measurement,NA,NA,core depth limited by length of corer
Poppe_et_al_2019,Snohomish River Estuary,Smith_Island_City,SS_B,2013-06-12,48.0035999999999,-122.1616,RTK-GPS,NA,1.5633192,NAVD88,RTK-GPS,NA,estuarine,measurement,emergent,measurement,NA,NA,core depth limited by length of corer
Poppe_et_al_2019,Snohomish River Estuary,Union_Slough,US_A,2013-05-13,48.0307,-122.1784,RTK-GPS,NA,0.8125968,NAVD88,RTK-GPS,NA,estuarine,measurement,unvegetated,measurement,NA,NA,core depth limited by length of corer
Poppe_et_al_2019,Snohomish River Estuary,Union_Slough,US_B,2013-05-13,48.0307,-122.1784,RTK-GPS,NA,0.7525512,NAVD88,RTK-GPS,NA,estuarine,measurement,unvegetated,measurement,NA,NA,core depth limited by length of corer
Poppe_et_al_2019,Snohomish River Estuary,WDFW_Forest,WF_A,2013-07-10,47.9652999999999,-122.1513,RTK-GPS,NA,0.8772144000000001,NAVD88,RTK-GPS,NA,riverine,measurement,forested,measurement,NA,NA,core depth limited by length of corer
Poppe_et_al_2019,Snohomish River Estuary,WDFW_Forest,WF_B,2013-07-10,47.9654,-122.1512,RTK-GPS,NA,0.8833104,NAVD88,RTK-GPS,NA,riverine,measurement,forested,measurement,NA,NA,core depth limited by length of corer
Poppe_et_al_2019,Snohomish River Estuary,WDFW_Wetland,WW_A,2013-07-10,47.975,-122.1799,RTK-GPS,NA,0.8135112000000001,NAVD88,RTK-GPS,NA,riverine,measurement,emergent,measurement,NA,NA,core depth limited by length of corer
Poppe_et_al_2019,Snohomish River Estuary,WDFW_Wetland,WW_B,2013-07-10,47.975,-122.1799,RTK-GPS,NA,0.7757160000000001,NAVD88,RTK-GPS,NA,riverine,measurement,emergent,measurement,NA,NA,core depth limited by length of corer
Poppe_and_Rybczyk_2018,Padilla Bay,Mud,1G,2013-12-02,48.549,-122.501,RTK-GPS,NA,0.69,NAVD88,RTK-GPS,NA,saline,NA,unvegetated,measurement,low,measurement,core depth limited by length of corer
Poppe_and_Rybczyk_2018,Padilla Bay,1,2J,2013-12-02,48.549,-122.509,RTK-GPS,NA,0.37,NAVD88,RTK-GPS,NA,saline,NA,seagrass,measurement,low,measurement,core depth limited by length of corer
Poppe_and_Rybczyk_2018,Padilla Bay,2,3F,2013-12-02,48.549,-122.514,RTK-GPS,NA,0.18,NAVD88,RTK-GPS,NA,saline,NA,seagrass,measurement,low,measurement,core depth limited by length of corer
Poppe_and_Rybczyk_2018,Padilla Bay,3,4F,2013-12-02,48.549,-122.523,RTK-GPS,NA,-0.03,NAVD88,RTK-GPS,NA,saline,NA,seagrass,measurement,low,measurement,core depth limited by length of corer
Poppe_and_Rybczyk_2018,Padilla Bay,4,5B,2013-12-02,48.549,-122.529,RTK-GPS,NA,-0.13,NAVD88,RTK-GPS,NA,saline,NA,seagrass,measurement,low,measurement,core depth limited by length of corer
Poppe_and_Rybczyk_2018,Padilla Bay,5,5F,2013-12-02,48.55,-122.536,RTK-GPS,NA,-0.35,NAVD88,RTK-GPS,NA,saline,NA,seagrass,measurement,low,measurement,core depth limited by length of corer
Poppe_and_Rybczyk_2018,Padilla Bay,6,5J,2013-12-02,48.55,-122.544,RTK-GPS,NA,-0.79,NAVD88,RTK-GPS,NA,saline,NA,seagrass,measurement,low,measurement,core depth limited by length of corer
Poppe_and_Rybczyk_2019,Stillaguamish River Estuary,HM5,1,2016-07-17,48.227,-122.384,RTK-GPS,NA,2.66,NAVD88,RTK-GPS,NA,brackish,measurement,emergent,measurement,high,measurement,core depth limited by length of corer
Poppe_and_Rybczyk_2019,Stillaguamish River Estuary,HM5,2,2016-07-17,48.227,-122.383,RTK-GPS,NA,2.73,NAVD88,RTK-GPS,NA,brackish,measurement,emergent,measurement,high,measurement,core depth limited by length of corer
Poppe_and_Rybczyk_2019,Stillaguamish River Estuary,LM5,3,2016-07-17,48.226,-122.384,RTK-GPS,NA,1.82,NAVD88,RTK-GPS,NA,brackish,measurement,emergent,measurement,low,measurement,core depth limited by length of corer
Poppe_and_Rybczyk_2019,Stillaguamish River Estuary,LM5,4,2016-07-17,48.226,-122.383,RTK-GPS,NA,1.85,NAVD88,RTK-GPS,NA,brackish,measurement,emergent,measurement,low,measurement,core depth limited by length of corer
Poppe_and_Rybczyk_2019,Stillaguamish River Estuary,TF,5A,2016-07-03,48.202,-122.386,RTK-GPS,NA,1.5,NAVD88,RTK-GPS,NA,brackish,measurement,unvegetated,measurement,low,measurement,core depth limited by length of corer
Poppe_and_Rybczyk_2019,Stillaguamish River Estuary,TF,5B,2016-07-03,48.202,-122.386,RTK-GPS,NA,1.5,NAVD88,RTK-GPS,NA,brackish,measurement,unvegetated,measurement,low,measurement,core depth limited by length of corer
Poppe_and_Rybczyk_2019,Stillaguamish River Estuary,HM1,7,2015-02-23,48.192,-122.363,RTK-GPS,NA,2.4,NAVD88,RTK-GPS,NA,brackish,measurement,emergent,measurement,high,measurement,core depth limited by length of corer
Poppe_and_Rybczyk_2019,Stillaguamish River Estuary,HM1,8,2015-02-23,48.191,-122.363,RTK-GPS,NA,2.39,NAVD88,RTK-GPS,NA,brackish,measurement,emergent,measurement,high,measurement,core depth limited by length of corer
Poppe_and_Rybczyk_2019,Stillaguamish River Estuary,LM1,9,2015-02-12,48.188,-122.363,RTK-GPS,NA,2.01,NAVD88,RTK-GPS,NA,brackish,measurement,emergent,measurement,low,measurement,core depth limited by length of corer
Poppe_and_Rybczyk_2019,Stillaguamish River Estuary,LM1,10,2015-02-12,48.187,-122.363,RTK-GPS,NA,1.99,NAVD88,RTK-GPS,NA,brackish,measurement,emergent,measurement,low,measurement,core depth limited by length of corer
Poppe_and_Rybczyk_2019,Stillaguamish River Estuary,HM3,11,2016-07-20,48.201,-122.372,RTK-GPS,NA,2.63,NAVD88,RTK-GPS,NA,brackish,measurement,emergent,measurement,high,measurement,core depth limited by length of corer
Poppe_and_Rybczyk_2019,Stillaguamish River Estuary,HM3,20,2016-07-20,48.2,-122.371,RTK-GPS,NA,2.55,NAVD88,RTK-GPS,NA,brackish,measurement,emergent,measurement,high,measurement,core depth limited by length of corer
Poppe_and_Rybczyk_2019,Stillaguamish River Estuary,LM3,13,2016-07-20,48.201,-122.373,RTK-GPS,NA,2.22,NAVD88,RTK-GPS,NA,brackish,measurement,emergent,measurement,low,measurement,core depth limited by length of corer
Poppe_and_Rybczyk_2019,Stillaguamish River Estuary,LM3,16,2016-07-20,48.201,-122.373,RTK-GPS,NA,2.21,NAVD88,RTK-GPS,NA,brackish,measurement,emergent,measurement,low,measurement,core depth limited by length of corer
