study_id,estuary_id,site_id,site_description,site_latitude_max,site_latitude_min,site_longitude_max,site_longitude_min,salinity_class,salinity_method,vegetation_class,vegetation_method,inundation_class,inundation_method
Poppe_and_Rybczyk_2018,Padilla Bay,1,Intertidal eelgrass meadow in Padilla Bay,48.549,48.549,-122.509,-122.509,saline,NA,seagrass,measurement,low,measurement
Poppe_and_Rybczyk_2018,Padilla Bay,2,Intertidal eelgrass meadow in Padilla Bay,48.549,48.549,-122.514,-122.514,saline,NA,seagrass,measurement,low,measurement
Poppe_and_Rybczyk_2018,Padilla Bay,3,Intertidal eelgrass meadow in Padilla Bay,48.549,48.549,-122.523,-122.523,saline,NA,seagrass,measurement,low,measurement
Poppe_and_Rybczyk_2018,Padilla Bay,4,Intertidal eelgrass meadow in Padilla Bay,48.549,48.549,-122.529,-122.529,saline,NA,seagrass,measurement,low,measurement
Poppe_and_Rybczyk_2018,Padilla Bay,5,Intertidal eelgrass meadow in Padilla Bay,48.55,48.55,-122.536,-122.536,saline,NA,seagrass,measurement,low,measurement
Poppe_and_Rybczyk_2018,Padilla Bay,6,Intertidal eelgrass meadow in Padilla Bay,48.55,48.55,-122.544,-122.544,saline,NA,seagrass,measurement,low,measurement
Poppe_and_Rybczyk_2018,Padilla Bay,Mud,Mudflat upslope of eelgrass beds in Padilla Bay,48.549,48.549,-122.501,-122.501,saline,NA,unvegetated,measurement,low,measurement
Poppe_and_Rybczyk_2019,Stillaguamish River Estuary,HM1,Natural high marsh adjacent to Hat Slough in Stillaguamish River estuary,48.192099999999996,48.1909,-122.363,-122.363,brackish,measurement,emergent,measurement,high,field observation
Poppe_and_Rybczyk_2019,Stillaguamish River Estuary,HM3,Natural high marsh seaward of restoration site in Stillaguamish River estuary,48.2011,48.1999,-122.37089999999999,-122.3721,brackish,measurement,emergent,measurement,high,field observation
Poppe_and_Rybczyk_2019,Stillaguamish River Estuary,HM4,Natural high marsh north of restoration site in Stillaguamish River estuary,48.217,48.217,-122.37,-122.37,brackish,measurement,emergent,measurement,high,field observation
