study_id,estuary_id,site_id,core_id,depth_min,depth_max,dry_bulk_density,fraction_organic_matter,fraction_carbon_measured,fraction_carbon_modeled,cs137_activity,total_pb210_activity,total_pb210_activity_sd,excess_pb210_activity,excess_pb210_activity_sd,pb214_activity,pb214_activity_sd,depth_interval_notes
Poppe_and_Rybczyk_2018,Padilla Bay,Mud,1G,0,2,0.85,0.0257,0.007893671,0.006894536,NA,34.5488582,7.738130961,16.50854401,8.616572385,19.06486065,2.331748344,excess pb210 activity corrected for decay since date of core collection
Poppe_and_Rybczyk_2018,Padilla Bay,Mud,1G,2,4,1.3,0.0195,0.004927643,0.004956195,NA,31.35473433,7.080597773,13.23763051,7.947576542,18.93440308,2.338871467,excess pb210 activity corrected for decay since date of core collection
Poppe_and_Rybczyk_2018,Padilla Bay,Mud,1G,4,6,1.33,0.0157,0.004473773,0.003758451,NA,24.60421436,5.620947589,6.347210043,6.476821777,18.64735639,2.313675344,excess pb210 activity corrected for decay since date of core collection
Poppe_and_Rybczyk_2018,Padilla Bay,Mud,1G,6,8,1.03,0.04,0.012298854,0.011399549,NA,22.24319387,5.189414102,3.736957139,6.068536854,18.73485856,2.35135961,excess pb210 activity corrected for decay since date of core collection
Poppe_and_Rybczyk_2018,Padilla Bay,Mud,1G,8,10,0.85,0.0562,0.015268466,0.016457742,NA,16.36180645,4.141473631,-4.441607366,5.207994954,20.53917988,2.615386684,excess pb210 activity corrected for decay since date of core collection
Poppe_and_Rybczyk_2018,Padilla Bay,Mud,1G,10,12,0.93,0.0549,0.015128193,0.016066481,NA,20.68628867,5.021677196,1.462824047,5.956957313,19.31095959,2.47994429,excess pb210 activity corrected for decay since date of core collection
Poppe_and_Rybczyk_2018,Padilla Bay,Mud,1G,12,14,0.87,0.0567,0.016801101,0.016630088,NA,21.74271277,5.25565466,1.12481266,6.257532663,20.68544917,2.640647829,excess pb210 activity corrected for decay since date of core collection
Poppe_and_Rybczyk_2018,Padilla Bay,Mud,1G,14,16,0.8,0.062,NA,0.01828108,NA,18.16211174,4.680325617,-2.82389865,5.754734403,20.81551701,2.708016112,excess pb210 activity corrected for decay since date of core collection
Poppe_and_Rybczyk_2018,Padilla Bay,Mud,1G,16,18,0.84,0.0583,NA,0.017122736,NA,22.13645981,5.274117106,3.237377773,6.186235515,19.09531983,2.440144056,excess pb210 activity corrected for decay since date of core collection
Poppe_and_Rybczyk_2018,Padilla Bay,Mud,1G,18,20,0.84,0.0628,NA,0.018526336,NA,19.53964108,4.862399722,-1.607105398,5.923525769,21.04881325,2.701692613,excess pb210 activity corrected for decay since date of core collection
Poppe_and_Rybczyk_2018,Padilla Bay,Mud,1G,20,22,0.79,0.0603,NA,0.017749492,NA,23.49264627,5.658536077,1.669055405,6.736871668,21.92811221,2.803577266,excess pb210 activity corrected for decay since date of core collection
Poppe_and_Rybczyk_2018,Padilla Bay,Mud,1G,22,24,0.79,0.0614,NA,0.018091999,NA,23.61791017,5.586447327,3.453848521,6.570188958,20.38118292,2.588873728,excess pb210 activity corrected for decay since date of core collection
Poppe_and_Rybczyk_2018,Padilla Bay,Mud,1G,24,26,0.71,0.0684,NA,0.020294158,NA,NA,NA,NA,NA,NA,NA,NA
Poppe_and_Rybczyk_2018,Padilla Bay,Mud,1G,26,28,0.83,0.0545,NA,0.015932869,NA,NA,NA,NA,NA,NA,NA,NA
Poppe_and_Rybczyk_2018,Padilla Bay,Mud,1G,28,30,0.9,0.0437,NA,0.012557308,NA,NA,NA,NA,NA,NA,NA,NA
Poppe_and_Rybczyk_2018,Padilla Bay,Mud,1G,30,32,0.97,0.044,NA,0.012633409,NA,NA,NA,NA,NA,NA,NA,NA
Poppe_and_Rybczyk_2018,Padilla Bay,Mud,1G,32,34,1.02,0.0407,NA,0.011601203,NA,NA,NA,NA,NA,NA,NA,NA
Poppe_and_Rybczyk_2018,Padilla Bay,Mud,1G,34,36,0.95,0.0411,NA,0.011730452,NA,NA,NA,NA,NA,NA,NA,NA
Poppe_and_Rybczyk_2018,Padilla Bay,Mud,1G,36,38,0.92,0.0434,NA,0.01244016,NA,NA,NA,NA,NA,NA,NA,NA
Poppe_and_Rybczyk_2018,Padilla Bay,Mud,1G,38,40,1,0.0426,NA,0.012213016,NA,NA,NA,NA,NA,NA,NA,NA
Poppe_and_Rybczyk_2018,Padilla Bay,Mud,1G,40,42,0.97,0.0409,NA,0.011666613,NA,NA,NA,NA,NA,NA,NA,NA
Poppe_and_Rybczyk_2018,Padilla Bay,Mud,1G,42,44,0.94,0.0339,NA,0.009470899,NA,NA,NA,NA,NA,NA,NA,NA
Poppe_and_Rybczyk_2018,Padilla Bay,1,2J,0,2,1.12,0.018473505,0.004971,0.004641,NA,30.88028158,5.363479909,11.31572034,5.629170765,19.5964592,1.655974028,excess pb210 activity corrected for decay since date of core collection
Poppe_and_Rybczyk_2018,Padilla Bay,1,2J,2,4,1.35,0.012112403,0.003234,0.002647,NA,26.94537065,4.809073771,9.215953967,5.067537032,17.75775369,1.54759934,excess pb210 activity corrected for decay since date of core collection
Poppe_and_Rybczyk_2018,Padilla Bay,1,2J,4,6,1.26,0.014219992,0.002701,0.003308,NA,21.38797763,4.014898783,1.750033544,4.375519055,19.64362351,1.703435354,excess pb210 activity corrected for decay since date of core collection
Poppe_and_Rybczyk_2018,Padilla Bay,1,2J,6,8,1.3,0.014063285,0.003211,0.003258,NA,24.41965548,4.36112616,4.965102671,4.678220851,19.47151278,1.64835315,excess pb210 activity corrected for decay since date of core collection
Poppe_and_Rybczyk_2018,Padilla Bay,1,2J,8,10,1.48,0.012440191,0.003776,0.00275,NA,22.40560201,4.123891439,3.332272622,4.458461961,19.085564,1.650970953,excess pb210 activity corrected for decay since date of core collection
Poppe_and_Rybczyk_2018,Padilla Bay,1,2J,10,12,1.41,0.012248469,0.003234,0.00269,NA,19.07236488,3.420333344,0.798773366,3.811729019,18.28801374,1.520088383,excess pb210 activity corrected for decay since date of core collection
Poppe_and_Rybczyk_2018,Padilla Bay,1,2J,12,14,1.52,0.010808796,0.002575,0.002238,NA,19.48881052,3.551237181,1.983442822,3.927005593,17.54184599,1.499353975,excess pb210 activity corrected for decay since date of core collection
Poppe_and_Rybczyk_2018,Padilla Bay,1,2J,14,16,1.39,0.011059908,NA,0.002317175,NA,16.88192236,3.099720882,-2.014916332,3.539829066,18.85927406,1.568202959,excess pb210 activity corrected for decay since date of core collection
Poppe_and_Rybczyk_2018,Padilla Bay,1,2J,16,18,1.53,0.011161847,NA,0.002349123,NA,17.5374359,3.095350927,-0.948485026,3.515564715,18.46664697,1.510233224,excess pb210 activity corrected for decay since date of core collection
Poppe_and_Rybczyk_2018,Padilla Bay,1,2J,18,20,1.46,0.011398964,NA,0.002423435,NA,NA,NA,NA,NA,NA,NA,NA
Poppe_and_Rybczyk_2018,Padilla Bay,1,2J,20,22,1.21,0.011707317,NA,0.002520073,NA,NA,NA,NA,NA,NA,NA,NA
Poppe_and_Rybczyk_2018,Padilla Bay,1,2J,22,24,1.44,0.014164306,NA,0.003290093,NA,NA,NA,NA,NA,NA,NA,NA
Poppe_and_Rybczyk_2018,Padilla Bay,1,2J,24,26,1.29,0.016318538,NA,0.00396523,NA,NA,NA,NA,NA,NA,NA,NA
Poppe_and_Rybczyk_2018,Padilla Bay,1,2J,26,28,1.33,0.016412661,NA,0.003994728,NA,NA,NA,NA,NA,NA,NA,NA
Poppe_and_Rybczyk_2018,Padilla Bay,1,2J,28,30,1.36,0.015033073,NA,0.003562365,NA,NA,NA,NA,NA,NA,NA,NA
Poppe_and_Rybczyk_2018,Padilla Bay,1,2J,30,32,1.09,0.017116524,NA,0.004215319,NA,NA,NA,NA,NA,NA,NA,NA
Poppe_and_Rybczyk_2018,Padilla Bay,1,2J,32,34,1.14,0.011970075,NA,0.002602421,NA,NA,NA,NA,NA,NA,NA,NA
Poppe_and_Rybczyk_2018,Padilla Bay,1,2J,34,36,1.27,0.011639185,NA,0.002498721,NA,NA,NA,NA,NA,NA,NA,NA
Poppe_and_Rybczyk_2018,Padilla Bay,2,3F,0,2,0.95,0.033419023,0.009777769,0.009324522,NA,40.99,7.326836901,21.21546782,7.555143353,19.80584111,1.795032941,excess pb210 activity corrected for decay since date of core collection
Poppe_and_Rybczyk_2018,Padilla Bay,2,3F,2,4,1.2,0.023536512,0.006360479,0.006227343,NA,33.36,6.120113727,14.70293913,6.372153591,18.6841414,1.732896193,excess pb210 activity corrected for decay since date of core collection
Poppe_and_Rybczyk_2018,Padilla Bay,2,3F,4,6,1.21,0.020712909,0.00527513,0.005342426,NA,32.02,5.814407519,12.91924793,6.082020538,19.12602909,1.743091502,excess pb210 activity corrected for decay since date of core collection
Poppe_and_Rybczyk_2018,Padilla Bay,2,3F,6,8,1.32,0.017650303,0.003433395,0.004382605,NA,22.57,4.266552886,4.794001744,4.577642227,17.78431602,1.631533136,excess pb210 activity corrected for decay since date of core collection
Poppe_and_Rybczyk_2018,Padilla Bay,2,3F,8,10,1.25,0.018102372,0.004012365,0.004524283,NA,26.06,4.7582242,7.524194025,5.054413983,18.55594957,1.669930044,excess pb210 activity corrected for decay since date of core collection
Poppe_and_Rybczyk_2018,Padilla Bay,2,3F,10,12,1.38,0.01529745,NA,0.003645221,NA,18.37,3.608946719,-0.586584256,4.009123451,18.95484401,1.722292184,excess pb210 activity corrected for decay since date of core collection
Poppe_and_Rybczyk_2018,Padilla Bay,2,3F,12,14,1.48,0.015330189,NA,0.003655481,NA,16.56,3.304550726,-2.498820191,3.748017862,19.04668287,1.723326715,excess pb210 activity corrected for decay since date of core collection
Poppe_and_Rybczyk_2018,Padilla Bay,2,3F,14,16,1.49,0.015673981,NA,0.003763226,NA,16.98,3.400446561,-0.551922517,3.83609897,17.51903099,1.612247539,excess pb210 activity corrected for decay since date of core collection
Poppe_and_Rybczyk_2018,Padilla Bay,2,3F,16,18,1.56,0.018172378,NA,0.004546223,NA,NA,NA,NA,NA,NA,NA,NA
Poppe_and_Rybczyk_2018,Padilla Bay,2,3F,18,20,1.48,0.018068536,NA,0.004513679,NA,NA,NA,NA,NA,NA,NA,NA
Poppe_and_Rybczyk_2018,Padilla Bay,2,3F,20,22,1.46,0.016514806,NA,0.00402674,NA,NA,NA,NA,NA,NA,NA,NA
Poppe_and_Rybczyk_2018,Padilla Bay,2,3F,22,24,1.47,0.016189962,NA,0.003924934,NA,NA,NA,NA,NA,NA,NA,NA
Poppe_and_Rybczyk_2018,Padilla Bay,2,3F,24,26,1.53,0.016052319,NA,0.003881797,NA,NA,NA,NA,NA,NA,NA,NA
Poppe_and_Rybczyk_2018,Padilla Bay,2,3F,26,28,1.5,0.017985612,NA,0.004487691,NA,NA,NA,NA,NA,NA,NA,NA
Poppe_and_Rybczyk_2018,Padilla Bay,2,3F,28,30,1.39,0.019032083,NA,0.004815655,NA,NA,NA,NA,NA,NA,NA,NA
Poppe_and_Rybczyk_2018,Padilla Bay,2,3F,30,32,1.42,0.018497758,NA,0.004648197,NA,NA,NA,NA,NA,NA,NA,NA
