study_id,site_id,core_id,year,month,day,latitude,longitude,position_method,position_notes,elevation,elevation_datum,elevation_accuracy,elevation_method,salinity_class,salinity_method,habitat,inundation_class,inundation_method,core_length_flag
Marot_et_al_2020,Grand Bay,14CCT01_GB36M,2014,9,16,30.37953,-88.41276999999998,other high resolution,NA,0.2552,NAVD88,0.014,other high resolution,polyhaline,measurement,marsh,NA,field observation,core depth represents deposit depth
Marot_et_al_2020,Grand Bay,14CCT01_GB36R,2014,9,16,30.37953,-88.41276999999998,other high resolution,NA,0.2552,NAVD88,0.014,other high resolution,polyhaline,measurement,marsh,NA,field observation,core depth represents deposit depth
Marot_et_al_2020,Grand Bay,14CCT01_GB39M,2014,9,17,30.35484,-88.40569,other high resolution,NA,0.255,NAVD88,0.014,other high resolution,polyhaline,measurement,marsh,NA,field observation,core depth represents deposit depth
Marot_et_al_2020,Grand Bay,14CCT01_GB53D,2014,9,16,30.38452,-88.39787,other high resolution,NA,0.2445,NAVD88,0.014,other high resolution,polyhaline,measurement,marsh,NA,field observation,core depth limited by length of corer
Marot_et_al_2020,Grand Bay,14CCT01_GB53M,2014,9,16,30.38452,-88.39787,other high resolution,NA,0.2445,NAVD88,0.014,other high resolution,polyhaline,measurement,marsh,NA,field observation,core depth represents deposit depth
Marot_et_al_2020,Grand Bay,14CCT01_GB53M_2,2014,9,16,30.38452,-88.39787,other high resolution,NA,0.2445,NAVD88,0.014,other high resolution,polyhaline,measurement,marsh,NA,field observation,NA
Marot_et_al_2020,Grand Bay,14CCT01_GB53R,2014,9,16,30.38452,-88.39787,other high resolution,NA,0.2445,NAVD88,0.014,other high resolution,polyhaline,measurement,marsh,NA,field observation,core depth represents deposit depth
Marot_et_al_2020,Grand Bay,14CCT01_GB60M,2014,9,16,30.38936,-88.39754,other high resolution,NA,0.2645,NAVD88,0.014,other high resolution,polyhaline,measurement,marsh,NA,field observation,core depth represents deposit depth
Marot_et_al_2020,Grand Bay,14CCT01_GB60R,2014,9,16,30.38936,-88.39754,other high resolution,NA,0.2645,NAVD88,0.014,other high resolution,polyhaline,measurement,marsh,NA,field observation,core depth represents deposit depth
Marot_et_al_2020,Grand Bay,14CCT01_GB64M,2014,9,16,30.38717,-88.38207,other high resolution,NA,0.2293,NAVD88,0.014,other high resolution,polyhaline,measurement,marsh,NA,field observation,core depth represents deposit depth
Marot_et_al_2020,Grand Bay,14CCT01_GB64R,2014,9,16,30.38717,-88.38207,other high resolution,NA,0.2293,NAVD88,0.014,other high resolution,polyhaline,measurement,marsh,NA,field observation,core depth represents deposit depth
Marot_et_al_2020,Grand Bay,15CCT02_GB101G,2015,5,30,30.35998,-88.36807,other high resolution,NA,NA,NAVD88,0.014,other high resolution,mesohaline,measurement,marsh,low,field observation,core depth limited by length of corer
Marot_et_al_2020,Grand Bay,15CCT02_GB102G,2015,5,30,30.37012,-88.35863,other high resolution,NA,NA,NAVD88,0.014,other high resolution,mesohaline,measurement,marsh,low,field observation,core depth limited by length of corer
Marot_et_al_2020,Grand Bay,15CCT02_GB103G,2015,5,30,30.36207,-88.34867,other high resolution,NA,NA,NAVD88,0.014,other high resolution,mesohaline,measurement,marsh,low,field observation,core depth limited by length of corer
Marot_et_al_2020,Grand Bay,15CCT02_GB104G,2015,5,30,30.36648,-88.33118,other high resolution,NA,NA,NAVD88,0.014,other high resolution,mesohaline,measurement,marsh,low,field observation,core depth limited by length of corer
Marot_et_al_2020,Grand Bay,15CCT02_GB105G,2015,5,30,30.37928,-88.322516,other high resolution,NA,NA,NAVD88,0.014,other high resolution,mesohaline,measurement,marsh,low,field observation,core depth limited by length of corer
Marot_et_al_2020,Grand Bay,15CCT02_GB106G,2015,5,31,30.38203,-88.34453,other high resolution,NA,NA,NAVD88,0.014,other high resolution,polyhaline,measurement,marsh,low,field observation,core depth limited by length of corer
Marot_et_al_2020,Grand Bay,15CCT02_GB107G,2015,5,31,30.37673,-88.36403,other high resolution,NA,NA,NAVD88,0.014,other high resolution,mesohaline,measurement,marsh,low,field observation,core depth limited by length of corer
Marot_et_al_2020,Grand Bay,15CCT02_GB108G,2015,5,31,30.39206,-88.37344,other high resolution,NA,NA,NAVD88,0.014,other high resolution,mesohaline,measurement,marsh,low,field observation,core depth limited by length of corer
Marot_et_al_2020,Grand Bay,15CCT02_GB109G,2015,6,1,30.37952,-88.37947,other high resolution,NA,NA,NAVD88,0.014,other high resolution,mesohaline,measurement,marsh,low,field observation,core depth limited by length of corer
Marot_et_al_2020,Grand Bay,15CCT02_GB110G,2015,6,1,30.35684,-88.34421,other high resolution,NA,NA,NAVD88,0.014,other high resolution,mesohaline,measurement,marsh,low,field observation,core depth limited by length of corer
Marot_et_al_2020,Grand Bay,15CCT02_GB111G,2015,6,1,30.3616,-88.32574,other high resolution,NA,NA,NAVD88,0.014,other high resolution,mesohaline,measurement,marsh,low,field observation,core depth limited by length of corer
Marot_et_al_2020,Grand Bay,15CCT02_GB112G,2015,6,1,30.36582,-88.31331,other high resolution,NA,NA,NAVD88,0.014,other high resolution,mesohaline,measurement,marsh,low,field observation,core depth limited by length of corer
Marot_et_al_2020,Grand Bay,15CCT02_GB113G,2015,6,1,30.3842,-88.33029,other high resolution,NA,NA,NAVD88,0.014,other high resolution,mesohaline,measurement,marsh,low,field observation,core depth limited by length of corer
Marot_et_al_2020,Grand Bay,15CCT02_GB114G,2015,6,1,30.39457,-88.3422,other high resolution,NA,NA,NAVD88,0.014,other high resolution,mesohaline,measurement,marsh,low,field observation,core depth limited by length of corer
Marot_et_al_2020,Grand Bay,15CCT02_GB115G,2015,6,1,30.38905,-88.35863,other high resolution,NA,NA,NAVD88,0.014,other high resolution,mesohaline,measurement,marsh,low,field observation,core depth limited by length of corer
Marot_et_al_2020,Grand Bay,15CCT02_GB116G,2015,6,2,30.38411,-88.40079,other high resolution,NA,NA,NAVD88,0.014,other high resolution,mesohaline,measurement,marsh,low,field observation,core depth limited by length of corer
Marot_et_al_2020,Grand Bay,15CCT02_GB117G,2015,6,2,30.37738,-88.40844,other high resolution,NA,NA,NAVD88,0.014,other high resolution,mesohaline,measurement,marsh,low,field observation,core depth limited by length of corer
Marot_et_al_2020,Grand Bay,15CCT02_GB118G,2015,6,2,30.39162,-88.35088,other high resolution,NA,NA,NAVD88,0.014,other high resolution,mesohaline,measurement,marsh,low,field observation,core depth limited by length of corer
Marot_et_al_2020,Grand Bay,15CCT02_GB119G,2015,6,3,30.37248,-88.39394,other high resolution,NA,NA,NAVD88,0.014,other high resolution,mesohaline,measurement,marsh,low,field observation,core depth limited by length of corer
Marot_et_al_2020,Grand Bay,15CCT02_GB120G,2015,6,3,30.37491,-88.39432999999998,other high resolution,NA,NA,NAVD88,0.014,other high resolution,mesohaline,measurement,marsh,low,field observation,core depth limited by length of corer
Marot_et_al_2020,Grand Bay,15CCT02_GB121G,2015,6,3,30.36782,-88.39443,other high resolution,NA,NA,NAVD88,0.014,other high resolution,mesohaline,measurement,marsh,low,field observation,core depth limited by length of corer
Marot_et_al_2020,Grand Bay,15CCT02_GB144G,2015,6,3,30.40981,-88.4025,other high resolution,NA,NA,NAVD88,0.014,other high resolution,mesohaline,measurement,marsh,low,field observation,core depth limited by length of corer
Marot_et_al_2020,Grand Bay,15CCT02_GB147G,2015,6,3,30.3947,-88.39982,other high resolution,NA,NA,NAVD88,0.014,other high resolution,mesohaline,measurement,marsh,low,field observation,core depth limited by length of corer
Marot_et_al_2020,Grand Bay,15CCT02_GB148G,2015,6,2,30.39095,-88.39874,other high resolution,NA,NA,NAVD88,0.014,other high resolution,mesohaline,measurement,marsh,low,field observation,core depth limited by length of corer
Marot_et_al_2020,Grand Bay,15CCT02_GB151G,2015,6,3,30.40042,-88.39828,other high resolution,NA,NA,NAVD88,0.014,other high resolution,mesohaline,measurement,marsh,low,field observation,core depth limited by length of corer
Marot_et_al_2020,Grand Bay,15CCT02_GB152G,2015,5,29,30.38753,-88.3982,other high resolution,NA,NA,NAVD88,0.014,other high resolution,mesohaline,measurement,marsh,low,field observation,core depth limited by length of corer
Marot_et_al_2020,Grand Bay,15CCT02_GB158G,2015,6,2,30.38568,-88.39629,other high resolution,NA,NA,NAVD88,0.014,other high resolution,mesohaline,measurement,marsh,low,field observation,core depth limited by length of corer
Marot_et_al_2020,Grand Bay,15CCT02_GB159G,2015,5,29,30.37892,-88.39558,other high resolution,NA,NA,NAVD88,0.014,other high resolution,mesohaline,measurement,marsh,low,field observation,core depth limited by length of corer
Marot_et_al_2020,Grand Bay,15CCT02_GB161G,2015,6,2,30.37448,-88.39228,other high resolution,NA,NA,NAVD88,0.014,other high resolution,mesohaline,measurement,marsh,low,field observation,core depth limited by length of corer
Marot_et_al_2020,Grand Bay,15CCT02_GB162G,2015,5,31,30.36999,-88.38802,other high resolution,NA,NA,NAVD88,0.014,other high resolution,mesohaline,measurement,marsh,low,field observation,core depth limited by length of corer
Marot_et_al_2020,Grand Bay,15CCT02_GB163G,2015,5,31,30.36825,-88.38219,other high resolution,NA,NA,NAVD88,0.014,other high resolution,mesohaline,measurement,marsh,low,field observation,core depth limited by length of corer
Marot_et_al_2020,Grand Bay,15CCT02_GB165G,2015,5,30,30.36492,-88.37463,other high resolution,NA,NA,NAVD88,0.014,other high resolution,mesohaline,measurement,marsh,low,field observation,core depth limited by length of corer
Marot_et_al_2020,Grand Bay,15CCT02_GB170S,2015,5,29,30.37653,-88.39072,other high resolution,NA,NA,NAVD88,0.014,other high resolution,NA,measurement,marsh,NA,field observation,core depth limited by length of corer
Marot_et_al_2020,Grand Bay,15CCT02_GB171S,2015,5,29,30.3766,-88.39073,other high resolution,NA,NA,NAVD88,0.014,other high resolution,NA,measurement,marsh,NA,field observation,core depth limited by length of corer
Marot_et_al_2020,Grand Bay,15CCT02_GB172S,2015,5,29,30.37667,-88.39076,other high resolution,NA,NA,NAVD88,0.014,other high resolution,NA,measurement,marsh,NA,field observation,core depth limited by length of corer
Marot_et_al_2020,Grand Bay,15CCT02_GB173S,2015,6,3,30.4177611111111,-88.4055222222222,other high resolution,NA,NA,NAVD88,0.014,other high resolution,oligohaline,measurement,marsh,NA,field observation,core depth limited by length of corer
Marot_et_al_2020,Grand Bay,15CCT02_GB174S,2015,6,3,30.4174583333333,-88.4053722222222,other high resolution,NA,NA,NAVD88,0.014,other high resolution,NA,measurement,marsh,NA,field observation,core depth limited by length of corer
Marot_et_al_2020,Grand Bay,16CCT03_GB200G,2016,NA,NA,30.38188,-88.41036,other low resolution,nearest core position used,NA,NA,NA,NA,NA,NA,marsh,low,field observation,NA
Marot_et_al_2020,Grand Bay,16CCT03_GB200G_2,2016,NA,NA,30.38188,-88.41036,other low resolution,nearest core position used,NA,NA,NA,NA,NA,NA,marsh,low,field observation,NA
Marot_et_al_2020,Grand Bay,16CCT03_GB200G_3,2016,NA,NA,30.38188,-88.41036,other low resolution,nearest core position used,NA,NA,NA,NA,NA,NA,marsh,low,field observation,NA
Marot_et_al_2020,Grand Bay,16CCT03_GB230G,2016,5,15,30.38188,-88.41035999999998,other high resolution,NA,-1.081,NAVD88,0.014,other high resolution,mesohaline,measurement,marsh,low,field observation,core depth limited by length of corer
Marot_et_al_2020,Grand Bay,16CCT03_GB230M,2016,5,15,30.38188,-88.41035999999998,other high resolution,NA,-1.081,NAVD88,0.014,other high resolution,mesohaline,measurement,marsh,low,field observation,core depth represents deposit depth
Marot_et_al_2020,Grand Bay,16CCT03_GB231G,2016,5,15,30.38523,-88.40717999999998,other high resolution,NA,-0.602,NAVD88,0.014,other high resolution,polyhaline,measurement,marsh,low,field observation,core depth limited by length of corer
Marot_et_al_2020,Grand Bay,16CCT03_GB231M,2016,5,15,30.38523,-88.40717999999998,other high resolution,NA,-0.602,NAVD88,0.014,other high resolution,polyhaline,measurement,marsh,low,field observation,core depth represents deposit depth
Marot_et_al_2020,Grand Bay,16CCT03_GB232G,2016,5,15,30.37852,-88.40553,other high resolution,NA,-1.126,NAVD88,0.014,other high resolution,polyhaline,measurement,marsh,low,field observation,core depth limited by length of corer
Marot_et_al_2020,Grand Bay,16CCT03_GB232M,2016,5,15,30.37852,-88.40553,other high resolution,NA,-1.126,NAVD88,0.014,other high resolution,polyhaline,measurement,marsh,low,field observation,core depth represents deposit depth
Marot_et_al_2020,Grand Bay,16CCT03_GB232M_2,2016,5,15,30.37852,-88.40553,other high resolution,NA,-1.126,NAVD88,0.014,other high resolution,polyhaline,measurement,marsh,low,field observation,NA
Marot_et_al_2020,Grand Bay,16CCT03_GB233G,2016,5,14,30.37274,-88.39029999999998,other high resolution,NA,NA,NAVD88,0.014,other high resolution,polyhaline,measurement,marsh,low,field observation,core depth limited by length of corer
Marot_et_al_2020,Grand Bay,16CCT03_GB233G_2,2016,5,14,30.37274,-88.39029999999998,other high resolution,NA,NA,NAVD88,0.014,other high resolution,polyhaline,measurement,marsh,low,field observation,NA
Marot_et_al_2020,Grand Bay,16CCT03_GB233M,2016,5,14,30.37274,-88.39029999999998,other high resolution,NA,NA,NAVD88,0.014,other high resolution,polyhaline,measurement,marsh,low,field observation,core depth represents deposit depth
Marot_et_al_2020,Grand Bay,16CCT03_GB234G,2016,5,15,30.38269,-88.39235999999998,other high resolution,NA,-0.755,NAVD88,0.014,other high resolution,polyhaline,measurement,marsh,low,field observation,core depth limited by length of corer
Marot_et_al_2020,Grand Bay,16CCT03_GB234M,2016,5,15,30.38269,-88.39235999999998,other high resolution,NA,-0.755,NAVD88,0.014,other high resolution,polyhaline,measurement,marsh,low,field observation,core depth represents deposit depth
Marot_et_al_2020,Grand Bay,16CCT03_GB235G,2016,5,14,30.38826,-88.39140999999998,other high resolution,NA,NA,NAVD88,0.014,other high resolution,polyhaline,measurement,marsh,low,field observation,core depth limited by length of corer
Marot_et_al_2020,Grand Bay,16CCT03_GB235M,2016,5,14,30.38826,-88.39140999999998,other high resolution,NA,NA,NAVD88,0.014,other high resolution,polyhaline,measurement,marsh,low,field observation,core depth represents deposit depth
Marot_et_al_2020,Grand Bay,16CCT03_GB236G,2016,5,14,30.39025,-88.37956,other high resolution,NA,NA,NAVD88,0.014,other high resolution,polyhaline,measurement,marsh,low,field observation,core depth limited by length of corer
Marot_et_al_2020,Grand Bay,16CCT03_GB236M,2016,5,14,30.39025,-88.37956,other high resolution,NA,NA,NAVD88,0.014,other high resolution,polyhaline,measurement,marsh,low,field observation,core depth represents deposit depth
Marot_et_al_2020,Grand Bay,16CCT03_GB237G_2,2016,5,14,30.39351,-88.36821,other high resolution,NA,NA,NAVD88,0.014,other high resolution,polyhaline,measurement,marsh,low,field observation,NA
Marot_et_al_2020,Grand Bay,16CCT03_GB237M,2016,5,14,30.39351,-88.36821,other high resolution,NA,NA,NAVD88,0.014,other high resolution,polyhaline,measurement,marsh,low,field observation,core depth represents deposit depth
Marot_et_al_2020,Grand Bay,16CCT03_GB238G,2016,5,14,30.39063,-88.35183999999998,other high resolution,NA,NA,NAVD88,0.014,other high resolution,polyhaline,measurement,marsh,low,field observation,core depth limited by length of corer
Marot_et_al_2020,Grand Bay,16CCT03_GB238G_2,2016,5,14,30.39063,-88.35183999999998,other high resolution,NA,NA,NAVD88,0.014,other high resolution,polyhaline,measurement,marsh,low,field observation,NA
Marot_et_al_2020,Grand Bay,16CCT03_GB238M,2016,5,14,30.39063,-88.35183999999998,other high resolution,NA,NA,NAVD88,0.014,other high resolution,polyhaline,measurement,marsh,low,field observation,core depth represents deposit depth
Marot_et_al_2020,Grand Bay,16CCT03_GB239G,2016,5,15,30.37759,-88.35566,other high resolution,NA,-2.307,NAVD88,0.014,other high resolution,polyhaline,measurement,marsh,low,field observation,core depth limited by length of corer
Marot_et_al_2020,Grand Bay,16CCT03_GB239M,2016,5,15,30.37759,-88.35566,other high resolution,NA,-2.307,NAVD88,0.014,other high resolution,polyhaline,measurement,marsh,low,field observation,core depth represents deposit depth
Marot_et_al_2020,Grand Bay,16CCT03_GB240G_2,2016,5,15,30.36283,-88.33422,other high resolution,NA,NA,NAVD88,0.014,other high resolution,polyhaline,measurement,marsh,low,field observation,NA
Marot_et_al_2020,Grand Bay,16CCT03_GB240M,2016,5,15,30.36283,-88.33422,other high resolution,NA,NA,NAVD88,0.014,other high resolution,polyhaline,measurement,marsh,low,field observation,core depth represents deposit depth
Marot_et_al_2020,Grand Bay,16CCT03_GB241G_2,2016,5,14,30.39351,-88.36821,other high resolution,NA,NA,NAVD88,0.014,other high resolution,polyhaline,measurement,marsh,low,field observation,NA
Marot_et_al_2020,Grand Bay,16CCT03_GB242G_2,2016,5,15,30.38188,-88.41035999999998,other high resolution,NA,-1.081,NAVD88,0.014,other high resolution,mesohaline,measurement,marsh,low,field observation,NA
Marot_et_al_2020,Grand Bay,16CCT03_GB243G_2,2016,5,15,30.36283,-88.33422,other high resolution,NA,NA,NAVD88,0.014,other high resolution,polyhaline,measurement,marsh,low,field observation,NA
Marot_et_al_2020,Grand Bay,16CCT03_GB243G_3,2016,5,15,30.36283,-88.33422,other high resolution,NA,NA,NAVD88,0.014,other high resolution,polyhaline,measurement,marsh,low,field observation,NA
Marot_et_al_2020,Grand Bay,16CCT03_GB244G,2016,5,16,30.38129,-88.39472,other high resolution,NA,-0.753,NAVD88,0.014,other high resolution,polyhaline,measurement,marsh,low,field observation,core depth limited by length of corer
Marot_et_al_2020,Grand Bay,16CCT03_GB244M,2016,5,16,30.38129,-88.39472,other high resolution,NA,-0.753,NAVD88,0.014,other high resolution,polyhaline,measurement,marsh,low,field observation,core depth represents deposit depth
