plot ID,latitude,longitude,plot_size(m2),canopy height class
102,0.124139722,9.860104446,401.1499659,1
107,0.106596111,9.852651666,401.1499659,3
109,0.116867422,9.818035787,498.7592497,3
110,0.117174998,9.892850002,498.7592497,3
111,0.107308333,9.766093056,498.7592497,3
112,0.087826714,9.773460917,498.7592497,3
301,0.128052223,9.458970001,113.0973355,1
302,0.115742499,9.5135225,113.0973355,1
303,0.094682779,9.464591111,113.0973355,1
305,0.106965556,9.499821111,113.0973355,2
306,0.095258887,9.479883889,113.0973355,2
307,0.114062646,9.481034768,498.7592497,3
308,0.107424444,9.470356945,498.7592497,3
901,0.119769215,9.854377901,401.1499659,3
902,0.122410833,9.887208611,401.1499659,1
904,0.108130555,9.872912778,401.1499659,1
905,0.119679442,9.483135,498.7592497,3
