PUBLICATION_DATE,UID,SITE_ID,VISIT_NO,DATE_COL,STATE,SITE_USE,SAMPLE_ID,PIT,LAYER,DEPTH,DEPTH_FLAG,CLAY,CLAY_FLAG,SILT,SILT_FLAG,SAND,SAND_FLAG,CACO3_2MM,CACO3_2MM_FLAG,CACO3_20MM,CACO3_20MM_FLAG,CACO3_2TO20MM,CACO3_2TO20MM_FLAG,TOT_CARBON,TOT_CARBON_FLAG,TOT_NITROGEN,TOT_NITROGEN_FLAG,TOT_SULFUR,TOT_SULFUR_FLAG,PH_H2O,PH_H2O_FLAG,PH_CACL2,PH_CACL2_FLAG,CEC,CEC_FLAG,CA,CA_FLAG,K,K_FLAG,MG,MG_FLAG,SODIUM,SODIUM_FLAG,AL,AL_FLAG,FE,FE_FLAG,MN,MN_FLAG,P,P_FLAG,SI,SI_FLAG,EC,EC_FLAG,AL_DC,AL_DC_FLAG,FE_DC,FE_DC_FLAG,MN_DC,MN_DC_FLAG,OLSEN_P,OLSEN_P_FLAG,MEHLICH_P,MEHLICH_P_FLAG,AG,AG_FLAG,AS,AS_FLAG,BA,BA_FLAG,BE,BE_FLAG,CD,CD_FLAG,CO,CO_FLAG,CR,CR_FLAG,CU,CU_FLAG,HG,HG_FLAG,MN_T,MN_T_FLAG,MO,MO_FLAG,NI,NI_FLAG,P_T,P_T_FLAG,PB,PB_FLAG,SB,SB_FLAG,SE,SE_FLAG,SN,SN_FLAG,SR,SR_FLAG,V,V_FLAG,W,W_FLAG,ZN,ZN_FLAG,BULK_DEN_DBF,BULK_DEN_DBF_FLAG
7/28/2016,2610,NWCA11-1240,1,5/3/2011,FL,NWCA_PROBABILITY,NWCA11-1240-1-11-FL-077-001-1,D,1,15,NA,20.3,NA,29,NA,50.7,NA,NA,Analysis could not be done or was not relevant to the sample,NA,Analysis could not be done or was not relevant to the sample,NA,Analysis could not be done or was not relevant to the sample,2.11,NA,0.13,< PQL 0.2 %,0,< MDL 0.04 %,4.6,NA,3.9,NA,7.2,NA,0.2,< PQL 0.4 cmol(+) / kg,0.1,< PQL 0.3 cmol(+) / kg,0.1,NA,0,NA,0.13,NA,0.28,NA,0,< MDL 0.1 mg / kg,0,< MDL 26 mg / kg,0,< MDL 0.0002 %,0.6,NA,0.2,NA,0.2,NA,0,< MDL 0.0006 %,1.4,NA,1.7,NA,0,< MDL 0.001 mg / kg,1.65,NA,35.81,NA,0.68,NA,0.11,NA,1.42,NA,17.67,NA,4.14,NA,14,NA,40.34,NA,0.2,NA,3.99,NA,90.13,NA,15.57,NA,0.04,NA,293.04,NA,0.92,NA,5.21,NA,34.93,NA,-0.01,< MDL 0 mg / kg,8.72,NA,0.87,NA
7/28/2016,2610,NWCA11-1240,1,5/3/2011,FL,NWCA_PROBABILITY,NWCA11-1240-1-11-FL-077-001-2,D,2,47,NA,24,NA,26.5,NA,49.5,NA,0,< MDL 0.5 %,NA,Analysis could not be done or was not relevant to the sample,NA,Analysis could not be done or was not relevant to the sample,1.14,NA,0.1,< PQL 0.2 %,0,< MDL 0.04 %,4.5,NA,3.9,NA,5.5,NA,0,< MDL 0.07 cmol(+) / kg,0.1,< PQL 0.3 cmol(+) / kg,0,< MDL 0.01 cmol(+) / kg,0,NA,0.11,NA,0.24,NA,0,< MDL 0.1 mg / kg,0,< MDL 26 mg / kg,0,< MDL 0.0002 %,0.04,NA,0.2,NA,0.3,NA,0,< MDL 0.0006 %,1.3,NA,0.8,NA,0.02,NA,1.27,NA,33.47,NA,0.69,NA,0.08,NA,1.49,NA,18.63,NA,3.9,NA,13,NA,38.66,NA,0.16,NA,4,NA,52.91,NA,13.84,NA,0.04,NA,305.86,NA,0.89,NA,4.83,NA,35.06,NA,0,NA,7.7,NA,1.08,NA
7/28/2016,2610,NWCA11-1240,1,5/3/2011,FL,NWCA_PROBABILITY,NWCA11-1240-1-11-FL-077-001-3,D,3,85,NA,30.2,NA,26.1,NA,43.7,NA,0,< MDL 0.5 %,NA,Analysis could not be done or was not relevant to the sample,NA,Analysis could not be done or was not relevant to the sample,0.63,NA,0.02,< MDL 0.04 %,0,< MDL 0.04 %,4.6,NA,3.8,NA,5.1,NA,0.1,< PQL 0.4 cmol(+) / kg,0.1,< PQL 0.3 cmol(+) / kg,0.1,NA,0,NA,0.1,NA,0.4,NA,0,< MDL 0.1 mg / kg,0,< MDL 26 mg / kg,0.01,NA,0.04,NA,0.2,NA,1.2,NA,0,< MDL 0.0006 %,0.2,< PQL 0.7 mg / kg,0.3,< PQL 0.6 mg / kg,0.01,NA,1.6,NA,40.66,NA,0.64,NA,0.08,NA,1.82,NA,22.31,NA,5.19,NA,17,NA,42.24,NA,0.17,NA,4.95,NA,41.59,NA,14.04,NA,0.04,NA,269.43,NA,1.05,NA,5.83,NA,42.74,NA,-0.01,< MDL 0 mg / kg,9.88,NA,1.33,NA
7/28/2016,2611,NWCA11-2426,1,4/18/2011,SC,NWCA_PROBABILITY,NWCA11-2426-1-11-SC-029-001-1,B,1,28,NA,4,NA,11,NA,85,NA,0,< MDL 0.5 %,NA,Analysis could not be done or was not relevant to the sample,NA,Analysis could not be done or was not relevant to the sample,3.45,NA,0.19,< PQL 0.2 %,0.2,NA,5.2,NA,5.2,NA,6.4,NA,2.2,NA,0.9,NA,7.1,NA,29.4,NA,0.02,NA,0.02,NA,0,< MDL 0.1 mg / kg,24.1,< MDL 26 mg / kg,0,< MDL 0.0002 %,13.8,NA,0.1,NA,0,< MDL 0.01 %,0,< MDL 0.0006 %,3.8,NA,12.3,NA,0,< MDL 0.001 mg / kg,1.93,NA,15.13,NA,0.17,NA,0,< MDL 0.001 mg / kg,0.87,NA,11.45,NA,2.06,NA,23,NA,57.15,NA,1.1,NA,2.76,NA,140.8,NA,5.16,NA,0.06,NA,368.19,NA,0.33,NA,24.12,NA,16.39,NA,-0.02,< MDL 0 mg / kg,7.89,NA,0.6,NA
7/28/2016,2611,NWCA11-2426,1,4/18/2011,SC,NWCA_PROBABILITY,NWCA11-2426-1-11-SC-029-001-2,B,2,125,NA,5.5,NA,14,NA,80.5,NA,0,< MDL 0.5 %,NA,Analysis could not be done or was not relevant to the sample,NA,Analysis could not be done or was not relevant to the sample,0.52,NA,0.05,< PQL 0.2 %,0.3,NA,3.5,NA,3.6,NA,3,NA,1.2,NA,0.5,NA,4.5,NA,16.1,NA,0.01,NA,0.02,NA,0,< MDL 0.1 mg / kg,10.1,< MDL 26 mg / kg,0,< MDL 0.0002 %,9.44,NA,0.1,NA,0,< MDL 0.01 %,0,< MDL 0.0006 %,1.1,NA,5.1,NA,0,< MDL 0.001 mg / kg,5.04,NA,12.88,NA,0.22,NA,0.01,NA,0.99,NA,10.48,NA,1.06,NA,18,NA,60.54,NA,0.84,NA,2.86,NA,62.06,NA,5.08,NA,0.06,NA,295.47,NA,0.3,NA,18.21,NA,14.35,NA,-0.03,< MDL 0 mg / kg,7.6,NA,1.27,NA
7/28/2016,2668,NWCA11-1266,1,5/12/2011,FL,NWCA_PROBABILITY,NWCA11-1266-1-11-FL-009-001-1,C,1,6,LAYER 1 AND 2 COLLECTED TOGETHER.,0.4,NA,2.4,NA,97.2,NA,NA,Analysis could not be done or was not relevant to the sample,NA,Analysis could not be done or was not relevant to the sample,NA,Analysis could not be done or was not relevant to the sample,0.85,NA,0.09,< PQL 0.2 %,0.03,< MDL 0.04 %,7.1,NA,6.9,NA,4.1,NA,2.9,NA,0.2,< PQL 0.3 cmol(+) / kg,4.1,NA,9.2,NA,0.01,NA,0.01,NA,0,< MDL 0.1 mg / kg,8.2,< MDL 26 mg / kg,0,< MDL 0.0002 %,0.64,NA,0.1,NA,0,< MDL 0.01 %,0,< MDL 0.0006 %,1.5,NA,2,NA,0.01,NA,0.28,NA,16.85,NA,0.05,NA,0.12,NA,0.07,NA,1.05,NA,0.59,NA,8,NA,9.12,NA,0.12,NA,0.37,NA,45.09,NA,1.89,NA,0.01,NA,173.41,NA,0.07,NA,15.49,NA,1.27,NA,0,NA,0.96,NA,1.11,NA
7/28/2016,2668,NWCA11-1266,1,5/12/2011,FL,NWCA_PROBABILITY,NWCA11-1266-1-11-FL-009-001-3,C,3,39,NA,0,NA,4.4,NA,95.6,NA,0,< MDL 0.5 %,NA,Analysis could not be done or was not relevant to the sample,NA,Analysis could not be done or was not relevant to the sample,0.21,NA,0.02,< MDL 0.04 %,0.03,< MDL 0.04 %,7.9,NA,7.7,NA,1.1,NA,2,NA,0.2,< PQL 0.3 cmol(+) / kg,3.4,NA,10.7,NA,0.01,NA,0,< MDL 0.0001 %,0,< MDL 0.1 mg / kg,0,< MDL 26 mg / kg,0,< MDL 0.0002 %,6.56,NA,0.1,NA,0,< MDL 0.01 %,0,< MDL 0.0006 %,0.7,NA,0.9,NA,0,< MDL 0.001 mg / kg,0.12,NA,6.47,NA,0.04,NA,0.1,NA,0.05,NA,0.56,NA,0.44,NA,0,< MDL 1.3 ug / kg,4.35,NA,0.11,NA,0.12,NA,24.78,NA,0.76,NA,0,< MDL 0.002 mg / kg,46.51,NA,0.05,NA,9.12,NA,0.38,NA,0,NA,1.01,NA,1.1,NA
7/28/2016,2668,NWCA11-1266,1,5/12/2011,FL,NWCA_PROBABILITY,NWCA11-1266-1-11-FL-009-001-4,C,4,80,NA,0.8,NA,1.9,NA,97.3,NA,0,< MDL 0.5 %,NA,Analysis could not be done or was not relevant to the sample,NA,Analysis could not be done or was not relevant to the sample,0.72,NA,0.06,< PQL 0.2 %,0.14,< PQL 0.2 %,7.6,NA,7.5,NA,2.7,NA,3.5,NA,0.2,< PQL 0.3 cmol(+) / kg,4.6,NA,12.5,NA,0.21,NA,0.01,NA,0,< MDL 0.1 mg / kg,62.9,< PQL 129 mg / kg,0.09,NA,7.38,NA,0.1,NA,0,< MDL 0.01 %,0,< MDL 0.0006 %,0.6,< PQL 0.7 mg / kg,15.3,NA,0.01,NA,0.35,NA,6.93,NA,0.1,NA,0.11,NA,0.19,NA,2.58,NA,0.29,NA,3,< PQL 6.5 ug / kg,7.42,NA,0.1,NA,0.77,NA,63.04,NA,2.55,NA,0,< MDL 0.002 mg / kg,273.19,NA,0.1,NA,14.85,NA,2.03,NA,0,NA,0.99,NA,1.15,NA
7/28/2016,2668,NWCA11-1266,1,5/12/2011,FL,NWCA_PROBABILITY,NWCA11-1266-1-11-FL-009-001-5,C,5,100,NA,8.1,NA,1.3,NA,90.6,NA,0,< MDL 0.5 %,NA,Analysis could not be done or was not relevant to the sample,NA,Analysis could not be done or was not relevant to the sample,0.18,< PQL 0.2 %,0,< MDL 0.04 %,0.07,< PQL 0.2 %,7.6,NA,7.5,NA,4.2,NA,2.2,NA,0.3,NA,4.4,NA,11.1,NA,0.05,NA,0.01,NA,0,< MDL 0.1 mg / kg,60,< PQL 129 mg / kg,0.01,NA,7.42,NA,0.1,NA,0,< MDL 0.01 %,0,< MDL 0.0006 %,0.5,< PQL 0.7 mg / kg,4,NA,0.01,NA,0.45,NA,26.27,NA,0.3,NA,0.09,NA,1,NA,12.13,NA,0.55,NA,15,NA,13.52,NA,0.14,NA,3.69,NA,51.05,NA,4.89,NA,0.01,NA,173.77,NA,0.34,NA,20.48,NA,9.3,NA,0,NA,3.83,NA,1.5,NA
7/28/2016,2669,NWCA11-1304,1,4/29/2011,FL,NWCA_PROBABILITY,NWCA11-1304-1-11-FL-107-001-1,C,1,9,NA,2.5,NA,7.3,NA,90.2,NA,NA,Analysis could not be done or was not relevant to the sample,NA,Analysis could not be done or was not relevant to the sample,NA,Analysis could not be done or was not relevant to the sample,18.91,NA,0.41,NA,0.07,< PQL 0.2 %,4.9,NA,4.5,NA,23.6,NA,15.3,NA,0.4,NA,3.6,NA,0.4,NA,0.01,NA,0.04,NA,11.2,NA,33.5,< PQL 129 mg / kg,0,< MDL 0.0002 %,0.62,NA,0,< MDL 0.001 %,0,< MDL 0.01 %,0,< MDL 0.0006 %,10.7,NA,13.8,NA,0.01,NA,0.31,NA,7.8,NA,0.09,NA,0.11,NA,0.37,NA,14.92,NA,1.75,NA,27,NA,32.83,NA,0.29,NA,5.06,NA,245.52,NA,3.21,NA,0.02,NA,172.38,NA,0.15,NA,73.73,NA,4.01,NA,-0.02,< MDL 0 mg / kg,8.19,NA,0.3,NA
