study_id,site_id,core_id,year,month,day,latitude,longitude,position_accuracy,position_method,elevation,habitat,geomorphic_id,position_notes
Bukoski_et_al_2020,Krabi_River_Estuary_178,Krabi_River_Estuary_178_563,2015,5,26,8.03622611554645,98.9533802915835,NA,other low resolution,NA,mangrove,Coastal fringe,position at subplot level
Bukoski_et_al_2020,Krabi_River_Estuary_178,Krabi_River_Estuary_178_564,2015,5,26,8.03609046329525,98.9536525652877,NA,other low resolution,NA,mangrove,Interior,position at subplot level
Bukoski_et_al_2020,Krabi_River_Estuary_178,Krabi_River_Estuary_178_565,2015,5,26,8.03600908203993,98.953906682146,NA,other low resolution,NA,mangrove,Interior,position at subplot level
Bukoski_et_al_2020,Krabi_River_Estuary_178,Krabi_River_Estuary_178_566,2015,5,26,8.03590959942916,98.9540700482334,NA,other low resolution,NA,mangrove,Interior,position at subplot level
Bukoski_et_al_2020,Krabi_River_Estuary_179,Krabi_River_Estuary_179_568,2015,5,27,8.05802464480267,98.9438119478234,NA,other low resolution,NA,mangrove,Coastal fringe,position at subplot level
Bukoski_et_al_2020,Krabi_River_Estuary_179,Krabi_River_Estuary_179_569,2015,5,27,8.05807893533687,98.9439390010028,NA,other low resolution,NA,mangrove,Interior,position at subplot level
Bukoski_et_al_2020,Krabi_River_Estuary_179,Krabi_River_Estuary_179_570,2015,5,27,8.05831414744865,98.94414771128,NA,other low resolution,NA,mangrove,Interior,position at subplot level
Bukoski_et_al_2020,Krabi_River_Estuary_179,Krabi_River_Estuary_179_571,2015,5,27,8.05830514137564,98.9444381370608,NA,other low resolution,NA,mangrove,Interior,position at subplot level
Bukoski_et_al_2020,Krabi_River_Estuary_180,Krabi_River_Estuary_180_573,2015,5,28,8.06934131918001,98.949383058091,NA,other low resolution,NA,mangrove,Interior,position at subplot level
Bukoski_et_al_2020,Krabi_River_Estuary_180,Krabi_River_Estuary_180_574,2015,5,28,8.0695131750807,98.9493104285659,NA,other low resolution,NA,mangrove,Interior,position at subplot level
Bukoski_et_al_2020,Krabi_River_Estuary_180,Krabi_River_Estuary_180_575,2015,5,28,8.06969407423622,98.9492196458073,NA,other low resolution,NA,mangrove,Interior,position at subplot level
