study_id,site_id,plot_id,year,month,day,latitude,longitude,method_id,plot_area,plot_sapling_area,site_notes,position_accuracy,position_notes,disturbance_notes,disturbance_year,habitat,ecosystem_condition,disturbance_class,ecotype,plot_shape,plot_notes,aboveground_plant_carbon,belowground_plant_carbon,basal_area,field_or_manipulation_code,harvest_or_allometry
Bukoski_et_al_2020,Krabi_River_Estuary,Krabi_River_Estuary_563,2015,5,26,8.03622611554645,98.9533802915835,1,153.94,12.57,NA,NA,subplot-level,NA,NA,mangrove,Intact,No disturbance,Coastal fringe,circular,"Tall, thick, dense RHAP roots; just off canal.",1544.42,59.120000000000005,0.439,field,allometry
Bukoski_et_al_2020,Krabi_River_Estuary,Krabi_River_Estuary_564,2015,5,26,8.03609046329525,98.9536525652877,1,153.94,12.57,NA,NA,subplot-level,Some cutting,NA,mangrove,Intact,Harvest low,Interior,circular,Small depression and canal. Transition zone.,378.65,142.49,0.198,field,allometry
Bukoski_et_al_2020,Krabi_River_Estuary,Krabi_River_Estuary_565,2015,5,26,8.03600908203993,98.953906682146,1,153.94,12.57,NA,NA,subplot-level,Some cutting,NA,mangrove,Intact,Harvest low,Interior,circular,"Small canals and mounds approx 1.5 m high.  Subplots 3, 4 & 5 relatively similar; RHAP w/ interspersed species and mud lobster mounds.",490.25,77.83,0.234,field,allometry
Bukoski_et_al_2020,Krabi_River_Estuary,Krabi_River_Estuary_566,2015,5,26,8.03590959942916,98.9540700482334,1,153.94,12.57,NA,NA,subplot-level,Some cutting,NA,mangrove,Intact,Harvest low,Interior,circular,"Mounds approx 1 - 1.5 m high.  Subplots 3, 4 & 5 relatively similar; RHAP w/ interspersed species and mud lobster mounds.",329.77,132.74,0.189,field,allometry
Bukoski_et_al_2020,Krabi_River_Estuary,Krabi_River_Estuary_567,2015,5,26,8.03584629586342,98.9542061843819,1,153.94,12.57,NA,NA,subplot-level,Some cutting,NA,mangrove,Intact,Harvest low,Interior,circular,"Mounds approx 1 m high; small canals.  Subplots 3, 4 & 5 relatively similar; RHAP w/ interspersed species and mud lobster mounds.",583.8,235.88,0.383,field,allometry
Bukoski_et_al_2020,Krabi_River_Estuary,Krabi_River_Estuary_568,2015,5,27,8.05802464480267,98.9438119478234,1,153.94,12.57,NA,NA,subplot-level,Some cutting to the N of the plot,NA,mangrove,Intact,No disturbance,Coastal fringe,circular,Significant Acanthus ilicifolius (approx 1 - 1.5 m).,706.51,144.8,0.269,field,allometry
Bukoski_et_al_2020,Krabi_River_Estuary,Krabi_River_Estuary_569,2015,5,27,8.05807893533687,98.9439390010028,1,153.94,12.57,NA,NA,subplot-level,Moderate cutting in area; many saplings due to advanced regen,NA,mangrove,Intact,Harvest medium,Interior,circular,Many saplings due to advanced regen.,1500.89,57.52,0.422,field,allometry
Bukoski_et_al_2020,Krabi_River_Estuary,Krabi_River_Estuary_570,2015,5,27,8.05831414744865,98.94414771128,1,153.94,12.57,NA,NA,subplot-level,AI regen; natural or human disturbance,NA,mangrove,Intact,Disturbed,Interior,circular,Lots of Acanthus ilicifolius.,963.33,145.01,0.312,field,allometry
Bukoski_et_al_2020,Krabi_River_Estuary,Krabi_River_Estuary_571,2015,5,27,8.05830514137564,98.9444381370608,1,153.94,12.57,NA,NA,subplot-level,AI regen; natural or human disturbance,NA,mangrove,Intact,Disturbed,Interior,circular,Lots of Acanthus ilicifolius.,649.02,31.3,0.2,field,allometry
Bukoski_et_al_2020,Krabi_River_Estuary,Krabi_River_Estuary_572,2015,5,27,8.05841370486154,98.9445651830266,1,153.94,12.57,NA,NA,subplot-level,Heavy cutting for timber for houses; primarily cutting AVAL,NA,mangrove,Intact,Harvest high,Interior,circular,NA,798.46,238.31,0.362,field,allometry
Bukoski_et_al_2020,Krabi_River_Estuary,Krabi_River_Estuary_573,2015,5,28,8.06934131918001,98.949383058091,1,153.94,12.57,NA,NA,subplot-level,P3-1 center on cut branches,NA,mangrove,Intact,Disturbed,Interior,circular,Flat w/ some low points and canals.  Dense RHAP roots with wet floor.,944.18,197.25,0.4,field,allometry
Bukoski_et_al_2020,Krabi_River_Estuary,Krabi_River_Estuary_574,2015,5,28,8.0695131750807,98.9493104285659,1,153.94,12.57,NA,NA,subplot-level,Primarily natural disturbance; large fallen XYGR,NA,mangrove,Intact,No disturbance,Interior,circular,NA,1257.05,99.36,0.409,field,allometry
Bukoski_et_al_2020,Krabi_River_Estuary,Krabi_River_Estuary_575,2015,5,28,8.06969407423622,98.9492196458073,1,153.94,12.57,NA,NA,subplot-level,Primarily natural disturbance; large fallen XYGR,NA,mangrove,Intact,No disturbance,Interior,circular,NA,968.17,408.77000000000004,0.564,field,allometry
Bukoski_et_al_2020,Krabi_River_Estuary,Krabi_River_Estuary_576,2015,5,28,8.06985687217486,98.9490471810035,1,153.94,12.57,NA,NA,subplot-level,Primarily natural disturbance; large fallen XYGR,NA,mangrove,Intact,No disturbance,Interior,circular,NA,1319.07,148.33,0.406,field,allometry
Bukoski_et_al_2020,Krabi_River_Estuary,Krabi_River_Estuary_577,2015,5,28,8.0699563638522,98.948974560321,1,153.94,12.57,NA,NA,subplot-level,Primarily natural disturbance; large fallen XYGR,NA,mangrove,Intact,No disturbance,Interior,circular,NA,1032.04,71.46,0.335,field,allometry
Bukoski_et_al_2020,Krabi_River_Estuary,Krabi_River_Estuary_578,2015,5,30,8.04104634351756,98.9449577852693,1,153.94,12.57,"Many mounds w/ many canals, uneven.  Patchy canopy of approx 8-10 m",NA,subplot-level,Large XYGR fallen w/ 8 vegetative sprouts emerging from it in adv. stage,NA,mangrove,Intact,No disturbance,Interior,circular,Large XYGR fallen w/ 8 vegetative sprouts emerging from it in advanced stage of decay.,1107.27,363.05,0.527,field,allometry
Bukoski_et_al_2020,Krabi_River_Estuary,Krabi_River_Estuary_579,2015,5,30,8.04093777522255,98.9447944430552,1,153.94,12.57,"Many mounds w/ many canals, uneven.  Patchy canopy of approx 8-10 m",NA,subplot-level,NA,NA,mangrove,Intact,No disturbance,Interior,circular,NA,837.02,176.66000000000003,0.384,field,allometry
Bukoski_et_al_2020,Krabi_River_Estuary,Krabi_River_Estuary_580,2015,5,30,8.040793022289,98.9446129550807,1,153.94,12.57,"Many mounds w/ many canals, uneven.  Patchy canopy of approx 8-10 m",NA,subplot-level,NA,NA,mangrove,Intact,No disturbance,Interior,circular,NA,635.9200000000001,74.89,0.267,field,allometry
Bukoski_et_al_2020,Krabi_River_Estuary,Krabi_River_Estuary_581,2015,5,30,8.04077490917648,98.9444496007524,1,153.94,12.57,"Many mounds w/ many canals, uneven.  Patchy canopy of approx 8-10 m",NA,subplot-level,Some cutting evident,NA,mangrove,Intact,Harvest low,Interior,circular,NA,706.25,57.55,0.261,field,allometry
Bukoski_et_al_2020,Krabi_River_Estuary,Krabi_River_Estuary_582,2015,5,30,8.04061204530986,98.9441229094725,1,153.94,12.57,"Many mounds w/ many canals, uneven.  Patchy canopy of approx 8-10 m",NA,subplot-level,NA,NA,mangrove,Intact,No disturbance,Interior,circular,NA,571.3199999999999,92.63,0.26,field,allometry
Bukoski_et_al_2020,Krabi_River_Estuary,Krabi_River_Estuary_583,2015,5,31,8.04364322916019,98.9514463755976,1,153.94,12.57,Many mud lobster mounds.  8-10 m high,NA,subplot-level,Some cutting apparent during walk to P5-1,NA,mangrove,Intact,Disturbed,Interior,circular,NA,1289.3899999999999,170.73000000000002,0.433,field,allometry
Bukoski_et_al_2020,Krabi_River_Estuary,Krabi_River_Estuary_584,2015,5,31,8.04376080496007,98.9513102299448,1,153.94,12.57,Many mud lobster mounds.  8-10 m high,NA,subplot-level,NA,NA,mangrove,Intact,No disturbance,Interior,circular,NA,1087.38,146.82,0.363,field,allometry
Bukoski_et_al_2020,Krabi_River_Estuary,Krabi_River_Estuary_585,2015,5,31,8.04385123872333,98.9511287102294,1,153.94,12.57,Many mud lobster mounds.  8-10 m high,NA,subplot-level,NA,NA,mangrove,Intact,No disturbance,Interior,circular,NA,1141.77,196.53,0.43,field,allometry
Bukoski_et_al_2020,Krabi_River_Estuary,Krabi_River_Estuary_586,2015,5,31,8.04393262362213,98.9509199651773,1,153.94,12.57,Many mud lobster mounds.  8-10 m high,NA,subplot-level,Large XYGR stem snapped and fell on transect B; natural disturbance w/ veg. regrowth,NA,mangrove,Intact,No disturbance,Interior,circular,Large XG stem snapped and fell on transect B. Regen apparent.,883.12,315.3,0.466,field,allometry
Bukoski_et_al_2020,Krabi_River_Estuary,Krabi_River_Estuary_587,2015,5,31,8.04402305394546,98.95071121895,1,153.94,12.57,Many mud lobster mounds.  8-10 m high,NA,subplot-level,NA,NA,mangrove,Intact,No disturbance,Interior,circular,Deep canal running through plot (approx 1m below ground level).  Canopy 6-8 m high.,688.5600000000001,150.87,0.287,field,allometry
