study_id,site_id,core_id,depth_min,depth_max,dry_bulk_density,fraction_carbon,compaction_notes,cs137_activity,cs137_unit
Ensign_et_al_2020,Choptank River,ChoptankNontidal,0,2,0.10193,0.261,The mean compaction of the cores was 12.1 cm with a standard deviation of 6.6 cm,0.466,disintegrationsPerMinutePerGram
Ensign_et_al_2020,Choptank River,ChoptankNontidal,2,3,0.13681,NA,The mean compaction of the cores was 12.1 cm with a standard deviation of 6.6 cm,NA,disintegrationsPerMinutePerGram
Ensign_et_al_2020,Choptank River,ChoptankNontidal,3,4,0.22343,0.232,The mean compaction of the cores was 12.1 cm with a standard deviation of 6.6 cm,0.606,disintegrationsPerMinutePerGram
Ensign_et_al_2020,Choptank River,ChoptankNontidal,4,5,0.26053,NA,The mean compaction of the cores was 12.1 cm with a standard deviation of 6.6 cm,NA,disintegrationsPerMinutePerGram
Ensign_et_al_2020,Choptank River,ChoptankNontidal,5,6,0.30568,NA,The mean compaction of the cores was 12.1 cm with a standard deviation of 6.6 cm,0.966,disintegrationsPerMinutePerGram
Ensign_et_al_2020,Choptank River,ChoptankNontidal,6,7,0.46692,NA,The mean compaction of the cores was 12.1 cm with a standard deviation of 6.6 cm,NA,disintegrationsPerMinutePerGram
Ensign_et_al_2020,Choptank River,ChoptankNontidal,7,8,0.59092,0.104,The mean compaction of the cores was 12.1 cm with a standard deviation of 6.6 cm,1.396,disintegrationsPerMinutePerGram
Ensign_et_al_2020,Choptank River,ChoptankNontidal,8,9,0.6278,NA,The mean compaction of the cores was 12.1 cm with a standard deviation of 6.6 cm,1.503,disintegrationsPerMinutePerGram
Ensign_et_al_2020,Choptank River,ChoptankNontidal,9,10,0.60594,0.076,The mean compaction of the cores was 12.1 cm with a standard deviation of 6.6 cm,1.616,disintegrationsPerMinutePerGram
Ensign_et_al_2020,Choptank River,ChoptankNontidal,10,11,0.73682,NA,The mean compaction of the cores was 12.1 cm with a standard deviation of 6.6 cm,1.501,disintegrationsPerMinutePerGram
Ensign_et_al_2020,Choptank River,ChoptankNontidal,11,12,0.79487,0.058,The mean compaction of the cores was 12.1 cm with a standard deviation of 6.6 cm,1.346,disintegrationsPerMinutePerGram
Ensign_et_al_2020,Choptank River,ChoptankNontidal,12,13,0.77742,NA,The mean compaction of the cores was 12.1 cm with a standard deviation of 6.6 cm,NA,disintegrationsPerMinutePerGram
Ensign_et_al_2020,Choptank River,ChoptankNontidal,13,14,0.8008,NA,The mean compaction of the cores was 12.1 cm with a standard deviation of 6.6 cm,0.843,disintegrationsPerMinutePerGram
Ensign_et_al_2020,Choptank River,ChoptankNontidal,14,15,0.87818,NA,The mean compaction of the cores was 12.1 cm with a standard deviation of 6.6 cm,NA,disintegrationsPerMinutePerGram
Ensign_et_al_2020,Choptank River,ChoptankNontidal,15,16,0.77502,NA,The mean compaction of the cores was 12.1 cm with a standard deviation of 6.6 cm,0.76,disintegrationsPerMinutePerGram
Ensign_et_al_2020,Choptank River,ChoptankNontidal,16,17,0.91284,NA,The mean compaction of the cores was 12.1 cm with a standard deviation of 6.6 cm,NA,disintegrationsPerMinutePerGram
