study_id,site_id,site_description,site_latitude_max,site_latitude_min,site_longitude_max,site_longitude_min
Wang_et_al_2023,Big_Egg,Jamaica Bay estuary,40.689,40.5227,-73.9819,-73.7128
Wang_et_al_2023,Black_Bank,Jamaica Bay estuary,40.689,40.5227,-73.9819,-73.7128
Wang_et_al_2023,Duck_Point,Jamaica Bay estuary,40.689,40.5227,-73.9819,-73.7128
Wang_et_al_2023,East_High,Jamaica Bay estuary,40.689,40.5227,-73.9819,-73.7128
Wang_et_al_2023,Fresh_Creek,Jamaica Bay estuary,40.689,40.5227,-73.9819,-73.7128
Wang_et_al_2023,JoCo,Jamaica Bay estuary,40.689,40.5227,-73.9819,-73.7128
Wang_et_al_2023,Little_Egg,Jamaica Bay estuary,40.689,40.5227,-73.9819,-73.7128
Wang_et_al_2023,Ruffle_Bar,Jamaica Bay estuary,40.689,40.5227,-73.9819,-73.7128
Wang_et_al_2023,Spring_Creek,Jamaica Bay estuary,40.689,40.5227,-73.9819,-73.7128
Wang_et_al_2023,Yellow_Bar,Jamaica Bay estuary,40.689,40.5227,-73.9819,-73.7128
Wang_et_al_2023,Stony_Creek,Jamaica Bay estuary,40.689,40.5227,-73.9819,-73.7128
Wang_et_al_2023,Four_Sparrow,Jamaica Bay estuary,40.689,40.5227,-73.9819,-73.7128
