heirarchy,attribute_name_v1p2,action,attribute_name,reason,required,conditional_on,conditional_variables,conditional_on_absence,definition,data_type,format_unit_codes,data_category,parent_data_category,quality_class,uncontrolled,manager_notes
methods,study_id,,study_id,,required,,,,"Unique identifier for the study made up of the first authorês family name, as well as the second authorês family name or ¥et al.ê if more than three, then publication year separated by underscores.",character,,,,,,
methods,coring_method, ,coring_method,,encouraged,,,,Code indicating what type of device was used to collect soil depth profiles.,factor,"gouge auger = A half cylinder coring device in which the coring section is open, not sealed off by a fin. hargas corer = A large diameter (>10 cm) coring device consisting of a tube, piston, and a cutting head. mcauley corer = A half cylinder coring device with the coring section sealed off by a fin attached to a rotating pivot point. mccaffrey peat cutter = U-shaped blade that extracts a core by cutting down through peat. none specified = No coring device was specified. other shallow corer = Any other type of coring device typically taking cores shallower than 30 centimeters. piston corer = A device that extrudes core into tube upward with a plunger. push core = Any number of coring types involving driving a tube into the sediment to recover a core. pvc and hammer = PVC pipe was driven into the sediment with a hammer to recover a core. russian corer = A half cylinder coring device with the coring section sealed off by a fin attached to a rotating pivot point. vibracore = A technique involving collecting a core by sinking a continuous pipe into sediment attaching a source of vibration, then recovering using a winch and pulley. surface sample = A technique involving collecting a core shallower than ~5 cm using a circular metal cutter.",,,,,
methods,roots_flag,,roots_flag,,encouraged,,,,Code indicating whether live roots were included or excluded from carbon assessments.,factor,roots and rhizomes included = Roots and rhizomes were included in dry bulk density and or organic matter and carbon measurements. roots and rhizomes separated = Roots and rhizomes were separated from soil before dry bulk density and or organic matter and carbon measurements.,,carbon_stock,,,
methods,sediment_sieved_flag,,sediment_sieved_flag,,encouraged,,,,Code indicating whether or not sediment was sieved prior to carbon measurements.,factor,sediment sieved = Sediment was sieved prior to analysis for organics. sediment not sieved = Sediment was not sieved prior to analysis for organics.,,,,,
methods,sediment_sieve_size,,sediment_sieve_size,,conditional,sediment_sieved_flag,sediment sieved,,"If sediment was sieved, the size of sieve used.",numeric,millimeters,,,,,
methods,compaction_flag,,compaction_flag,,optional,,,,Code indicating how the authors qualified or quantified compaction of the core.,factor,compaction qualified = Compaction was at least qualified and noted by the authors. compaction quantified = Compaction was quantified and corrected for in core based measurements. corer limits compaction = Authors specified that the coring deviceês design minimized compaction. no obvious compaction = Authors observed no obvious compaction. not specified = Compaction was not specified.,,,,,
methods,dry_bulk_density_temperature,,dry_bulk_density_temperature,,encouraged,,,,Temperature at which samples were dried to measure dry bulk density. This can include either samples that were freeze dried or oven dried.,numeric,celsius,dry_bulk_density,carbon_stock,,,
methods,dry_bulk_density_time,,dry_bulk_density_time,,encouraged,,,,Time over which samples were dried to measure dry bulk density.,numeric,hour,dry_bulk_density,carbon_stock,,,
methods,dry_bulk_density_sample_volume,,dry_bulk_density_sample_volume,,encouraged,,,dry_bulk_density_sample_mass,"Sample volume used for bulk density measurements, if held constant.",numeric,cubicCentimeters,dry_bulk_density,carbon_stock,,,
methods,dry_bulk_density_sample_mass,,dry_bulk_density_sample_mass,,encouraged,,,dry_bulk_density_sample_volume,"Sample mass used for bulk density measurements, if held constant.",numeric,grams,dry_bulk_density,carbon_stock,,,
