Source,Site,Core,Habitat_type,Latitude,Longitude,accuracy_flag,Country,Year_collected,U_depth_m,L_depth_m,Method,OC_perc,BD_reported_g_cm3,SOM_perc,Conv_factor
Ward 2020,Alta low marsh,,Saltmarsh,69.9783,23.4315,From GPS coords of site,Norway,2015,0,0.27,LOI,0.48,1.59,1.09,%Corg = 0.47 x %LOI + 0.0008 x (%LOI)^2 
Ward 2020,Alta high marsh,,Saltmarsh,69.9783,23.4315,From GPS coords of site,Norway,2015,0,0.31,LOI,0.92,1.79,1.8,%Corg = 0.47 x %LOI + 0.0008 x (%LOI)^2 
Ward 2020,Stabbursnes low marsh,,Saltmarsh,70.1942,24.9275,From GPS coords of site,Norway,2015,0,0.31,LOI,1.72,1.45,4.7,%Corg = 0.47 x %LOI + 0.0008 x (%LOI)^2 
Ward 2020,Stabbursnes high marsh,,Saltmarsh,70.1942,24.9275,From GPS coords of site,Norway,2015,0,0.23,LOI,0.72,1.93,1.5,%Corg = 0.47 x %LOI + 0.0008 x (%LOI)^2 
Ward 2020,Birtvarre low marsh,,Saltmarsh,69.4959,20.8204,From GPS coords of site,Norway,2015,0,0.1,LOI,7.79,0.94,15.8,%Corg = 0.47 x %LOI + 0.0008 x (%LOI)^2 
Ward 2020,Birtvarre high marsh,,Saltmarsh,69.4959,20.8204,From GPS coords of site,Norway,2015,0,0.09,LOI,8.08,1.09,16.6,%Corg = 0.47 x %LOI + 0.0008 x (%LOI)^2 
Ward 2020,Storfjord low marsh,,Saltmarsh,69.2713,19.9266,From GPS coords of site,Norway,2015,0,0.23,LOI,5.07,1.19,9.46,%Corg = 0.47 x %LOI + 0.0008 x (%LOI)^2 
Ward 2020,Storfjord high marsh,,Saltmarsh,69.2713,19.9266,From GPS coords of site,Norway,2015,0,0.22,LOI,1.46,1.52,3.09,%Corg = 0.47 x %LOI + 0.0008 x (%LOI)^2 
Ward 2020,Storslett low marsh,,Saltmarsh,69.7819,20.9953,From GPS coords of site,Norway,2015,0,0.25,LOI,0.92,1.49,1.96,%Corg = 0.47 x %LOI + 0.0008 x (%LOI)^2 
Ward 2020,Storslett high marsh,,Saltmarsh,69.7819,20.9953,From GPS coords of site,Norway,2015,0,0.33,LOI,2.04,1.59,4.24,%Corg = 0.47 x %LOI + 0.0008 x (%LOI)^2 
