/* DATA DESCRIPTION:
Citation:	Kusumaningtyas, Mariska Astrid; Hutahaean, Andreas A; Jennerjahn, Tim C (2018): Carbon, nitrogen and stable carbon isotopes in the sediment core C49 from Central Segara Anakan, Indonesia. PANGAEA, https://doi.org/10.1594/PANGAEA.896866, 
	In supplement to: Kusumaningtyas, Mariska Astrid; Hutahaean, Andreas A; Fischer, Helmut W; Pérez-Mayo, Manuel; Ransby, Daniela; Jennerjahn, Tim C (2019): Variability in the organic carbon stocks, sources, and accumulation rates of Indonesian mangrove ecosystems. Estuarine, Coastal and Shelf Science, 218, 310-323, https://doi.org/10.1016/j.ecss.2018.12.007
Abstract:	What was sampled: Mangrove sediment
	Parameter measured and method:
	1. Organic carbon (Corg), analyzed using elemental analyzer (Eurovector E3000 Elemental Analyzer)
	2. Total nitrogen (N), analyzed using elemental analyzer (Eurovector E3000 Elemental Analyzer)
	3. Stable carbon isotope composition (δ13Corg), analyzed using Thermo Finnigan Delta plus mass spectrometer coupled to a Flash EA1112 Elemental Analyzer
	Where was sampled: Central Segara Anakan Lagoon, Central Java, Indonesia
	When was sampled: Sediment samples were taken in November 2016.
	How it was sampled: Mangrove sediments were collected using a 1 m long semi-cylindrical auger. Sediments were taken down to 1 m depth, and were sampled in 5 cm interval.
Project(s):	Leibniz Centre for Tropical Marine Research (ZMT) (URI: https://www.leibniz-zmt.de/en/)
	Science for the Protection of Indonesian Coastal Environment (SPICE)
Coverage:	LATITUDE: -7.691030 * LONGITUDE: 108.846530
	DATE/TIME START: 2016-11-27T00:00:00 * DATE/TIME END: 2016-11-27T00:00:00
	MINIMUM DEPTH, sediment/rock: 0.025 m * MAXIMUM DEPTH, sediment/rock: 0.975 m
Event(s):	Segara_Anakan_Center-C49 (C49) * LATITUDE: -7.691030 * LONGITUDE: 108.846530 * DATE/TIME: 2016-11-27T00:00:00 * Recovery: 1.0 m * LOCATION: Central Segara Anakan * METHOD/DEVICE: Hand auger (drill) (HADR)
Parameter(s):	DEPTH, sediment/rock [m] (Depth) * GEOCODE * PI: Kusumaningtyas, Mariska Astrid (https://orcid.org/0000-0003-3538-4959, m.astridkusuma@yahoo.com)
	Depth, top/min [m] (Depth top) * PI: Kusumaningtyas, Mariska Astrid (https://orcid.org/0000-0003-3538-4959, m.astridkusuma@yahoo.com)
	Depth, bottom/max [m] (Depth bot) * PI: Kusumaningtyas, Mariska Astrid (https://orcid.org/0000-0003-3538-4959, m.astridkusuma@yahoo.com)
	Carbon, organic, total [%] (TOC) * PI: Kusumaningtyas, Mariska Astrid (https://orcid.org/0000-0003-3538-4959, m.astridkusuma@yahoo.com) * METHOD/DEVICE: Element analyser, Eurovector E3000
	Nitrogen, total [%] (TN) * PI: Kusumaningtyas, Mariska Astrid (https://orcid.org/0000-0003-3538-4959, m.astridkusuma@yahoo.com) * METHOD/DEVICE: Element analyser, Eurovector E3000
	δ13C, organic carbon [‰ PDB] (δ13C Corg) * PI: Kusumaningtyas, Mariska Astrid (https://orcid.org/0000-0003-3538-4959, m.astridkusuma@yahoo.com) * METHOD/DEVICE: Mass spectrometer Thermo Finnigan DELTA plus coupled to a Flash EA1112 Elemental Analyzer
	Carbon/Nitrogen ratio (C/N) * PI: Kusumaningtyas, Mariska Astrid (https://orcid.org/0000-0003-3538-4959, m.astridkusuma@yahoo.com) * COMMENT: C_org/N, atomic
	Density, dry bulk [g/cm**3] (DBD) * PI: Kusumaningtyas, Mariska Astrid (https://orcid.org/0000-0003-3538-4959, m.astridkusuma@yahoo.com)
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0)
Size:	140 data points
*/
Depth [m]	Depth top [m]	Depth bot [m]	TOC [%]	TN [%]	δ13C Corg [‰ PDB]	C/N	DBD [g/cm**3]
0.025	0.00	0.05	3.69	0.34	-27.81	12.76	0.32
0.075	0.05	0.10	3.82	0.31	-27.97	14.22	0.54
0.125	0.10	0.15	3.93	0.29	-28.11	15.89	0.60
0.175	0.15	0.20	2.96	0.22	-27.41	15.92	0.72
0.225	0.20	0.25	2.48	0.21	-26.35	14.02	0.71
0.275	0.25	0.30	2.12	0.18	-23.86	13.64	0.79
0.325	0.30	0.35	1.74	0.14	-25.50	14.17	0.87
0.375	0.35	0.40	1.69	0.13	-26.38	15.14	0.63
0.425	0.40	0.45	2.31	0.17	-25.40	15.60	0.79
0.475	0.45	0.50	2.31	0.16	-25.92	17.15	0.52
0.525	0.50	0.55	2.06	0.14	-27.36	16.67	0.53
0.575	0.55	0.60	1.62	0.11	-26.70	17.33	0.88
0.625	0.60	0.65	1.57	0.12	-26.95	15.08	0.84
0.675	0.65	0.70	2.43	0.14	-27.89	20.27	0.68
0.725	0.70	0.75	1.73	0.12	-26.85	16.68	0.83
0.775	0.75	0.80	2.35	0.15	-27.26	17.99	0.64
0.825	0.80	0.85	2.28	0.14	-27.23	18.74	0.74
0.875	0.85	0.90	1.86	0.13	-26.82	16.72	0.75
0.925	0.90	0.95	2.03	0.14	-27.17	17.57	0.78
0.975	0.95	1.00	2.35	0.14	-27.20	19.05	0.78
