/* DATA DESCRIPTION:
Citation:	Kusumaningtyas, Mariska Astrid; Hutahaean, Andreas A; Jennerjahn, Tim C (2018): Carbon, nitrogen and stable carbon isotopes in the sediment core E44 from Eastern Segara Anakan, Indonesia. PANGAEA, https://doi.org/10.1594/PANGAEA.896868, 
	In supplement to: Kusumaningtyas, Mariska Astrid; Hutahaean, Andreas A; Fischer, Helmut W; Pérez-Mayo, Manuel; Ransby, Daniela; Jennerjahn, Tim C (2019): Variability in the organic carbon stocks, sources, and accumulation rates of Indonesian mangrove ecosystems. Estuarine, Coastal and Shelf Science, 218, 310-323, https://doi.org/10.1016/j.ecss.2018.12.007
Abstract:	What was sampled: Mangrove sediment
	Parameter measured and method:
	1. Organic carbon (Corg), analyzed using elemental analyzer (Eurovector E3000 Elemental Analyzer)
	2. Total nitrogen (N), analyzed using elemental analyzer (Eurovector E3000 Elemental Analyzer)
	3. Stable carbon isotope composition (δ13Corg), analyzed using Thermo Finnigan Delta plus mass spectrometer coupled to a Flash EA1112 Elemental Analyzer
	Where was sampled: Eastern Segara Anakan Lagoon, Central Java, Indonesia
	When was sampled: Sediment samples were taken in December 2016.
	How it was sampled: Mangrove sediments were collected using a 1 m long semi-cylindrical auger. Sediments were taken down to 1 m depth, and were sampled in 5 cm interval.
Project(s):	Leibniz Centre for Tropical Marine Research (ZMT) (URI: https://www.leibniz-zmt.de/en/)
	Science for the Protection of Indonesian Coastal Environment (SPICE)
Coverage:	LATITUDE: -7.711250 * LONGITUDE: 108.929920
	DATE/TIME START: 2016-12-04T00:00:00 * DATE/TIME END: 2016-12-04T00:00:00
	MINIMUM DEPTH, sediment/rock: 0.025 m * MAXIMUM DEPTH, sediment/rock: 0.975 m
Event(s):	Segara_Anakan_East-E44 (E44) * LATITUDE: -7.711250 * LONGITUDE: 108.929920 * DATE/TIME: 2016-12-04T00:00:00 * Recovery: 1.0 m * LOCATION: Eastern Segara Anakan * METHOD/DEVICE: Hand auger (drill) (HADR)
Parameter(s):	DEPTH, sediment/rock [m] (Depth) * GEOCODE * PI: Kusumaningtyas, Mariska Astrid (https://orcid.org/0000-0003-3538-4959, m.astridkusuma@yahoo.com)
	Depth, top/min [m] (Depth top) * PI: Kusumaningtyas, Mariska Astrid (https://orcid.org/0000-0003-3538-4959, m.astridkusuma@yahoo.com)
	Depth, bottom/max [m] (Depth bot) * PI: Kusumaningtyas, Mariska Astrid (https://orcid.org/0000-0003-3538-4959, m.astridkusuma@yahoo.com)
	Carbon, organic, total [%] (TOC) * PI: Kusumaningtyas, Mariska Astrid (https://orcid.org/0000-0003-3538-4959, m.astridkusuma@yahoo.com) * METHOD/DEVICE: Element analyser, Eurovector E3000
	Nitrogen, total [%] (TN) * PI: Kusumaningtyas, Mariska Astrid (https://orcid.org/0000-0003-3538-4959, m.astridkusuma@yahoo.com) * METHOD/DEVICE: Element analyser, Eurovector E3000
	δ13C, organic carbon [‰ PDB] (δ13C Corg) * PI: Kusumaningtyas, Mariska Astrid (https://orcid.org/0000-0003-3538-4959, m.astridkusuma@yahoo.com) * METHOD/DEVICE: Mass spectrometer Thermo Finnigan DELTA plus coupled to a Flash EA1112 Elemental Analyzer
	Carbon/Nitrogen ratio (C/N) * PI: Kusumaningtyas, Mariska Astrid (https://orcid.org/0000-0003-3538-4959, m.astridkusuma@yahoo.com) * COMMENT: C_org/N, atomic
	Density, dry bulk [g/cm**3] (DBD) * PI: Kusumaningtyas, Mariska Astrid (https://orcid.org/0000-0003-3538-4959, m.astridkusuma@yahoo.com)
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0)
Size:	140 data points
*/
Depth [m]	Depth top [m]	Depth bot [m]	TOC [%]	TN [%]	δ13C Corg [‰ PDB]	C/N	DBD [g/cm**3]
0.025	0.00	0.05	4.28	0.25	-28.13	20.03	0.60
0.075	0.05	0.10	6.09	0.25	-28.10	28.17	0.53
0.125	0.10	0.15	5.47	0.26	-28.26	24.70	0.62
0.175	0.15	0.20	8.79	0.34	-28.20	30.50	0.54
0.225	0.20	0.25	9.03	0.31	-28.10	34.40	0.56
0.275	0.25	0.30	9.55	0.31	-27.92	35.80	0.60
0.325	0.30	0.35	10.32	0.34	-27.84	35.31	0.51
0.375	0.35	0.40	15.00	0.42	-27.90	41.74	0.44
0.425	0.40	0.45	11.57	0.39	-27.62	34.97	0.58
0.475	0.45	0.50	10.45	0.36	-27.75	34.13	0.56
0.525	0.50	0.55	9.80	0.36	-27.59	32.00	0.58
0.575	0.55	0.60	9.67	0.33	-27.81	34.26	0.58
0.625	0.60	0.65	10.94	0.37	-27.76	34.76	0.52
0.675	0.65	0.70	12.30	0.40	-27.56	36.14	0.51
0.725	0.70	0.75	8.38	0.31	-26.88	31.63	0.63
0.775	0.75	0.80	8.73	0.29	-27.07	35.11	0.56
0.825	0.80	0.85	8.78	0.30	-27.36	34.37	0.58
0.875	0.85	0.90	9.16	0.29	-27.91	37.36	0.66
0.925	0.90	0.95	10.61	0.29	-27.36	42.08	0.58
0.975	0.95	1.00	10.80	0.30	-26.90	41.43	0.63
