/* DATA DESCRIPTION:
Citation:	Kusumaningtyas, Mariska Astrid; Hutahaean, Andreas A; Jennerjahn, Tim C (2018): Carbon, nitrogen and stable carbon isotopes in the sediment core E47 from Eastern Segara Anakan, Indonesia. PANGAEA, https://doi.org/10.1594/PANGAEA.896870, 
	In supplement to: Kusumaningtyas, Mariska Astrid; Hutahaean, Andreas A; Fischer, Helmut W; Pérez-Mayo, Manuel; Ransby, Daniela; Jennerjahn, Tim C (2019): Variability in the organic carbon stocks, sources, and accumulation rates of Indonesian mangrove ecosystems. Estuarine, Coastal and Shelf Science, 218, 310-323, https://doi.org/10.1016/j.ecss.2018.12.007
Abstract:	What was sampled: Mangrove sediment
	Parameter measured and method:
	1. Organic carbon (Corg), analyzed using elemental analyzer (Eurovector E3000 Elemental Analyzer)
	2. Total nitrogen (N), analyzed using elemental analyzer (Eurovector E3000 Elemental Analyzer)
	3. Stable carbon isotope composition (δ13Corg), analyzed using Thermo Finnigan Delta plus mass spectrometer coupled to a Flash EA1112 Elemental Analyzer
	Where was sampled: Eastern Segara Anakan Lagoon, Central Java, Indonesia
	When was sampled: Sediment samples were taken in December 2016.
	How it was sampled: Mangrove sediments were collected using a 1 m long semi-cylindrical auger. Sediments were taken down to 1 m depth, and were sampled in 5 cm interval.
Project(s):	Leibniz Centre for Tropical Marine Research (ZMT) (URI: https://www.leibniz-zmt.de/en/)
	Science for the Protection of Indonesian Coastal Environment (SPICE)
Coverage:	LATITUDE: -7.718310 * LONGITUDE: 108.950580
	DATE/TIME START: 2016-12-03T00:00:00 * DATE/TIME END: 2016-12-03T00:00:00
	MINIMUM DEPTH, sediment/rock: 0.025 m * MAXIMUM DEPTH, sediment/rock: 0.975 m
Event(s):	Segara_Anakan_East-E47 (E47) * LATITUDE: -7.718310 * LONGITUDE: 108.950580 * DATE/TIME: 2016-12-03T00:00:00 * Recovery: 1.0 m * LOCATION: Eastern Segara Anakan * METHOD/DEVICE: Hand auger (drill) (HADR)
Parameter(s):	DEPTH, sediment/rock [m] (Depth) * GEOCODE * PI: Kusumaningtyas, Mariska Astrid (https://orcid.org/0000-0003-3538-4959, m.astridkusuma@yahoo.com)
	Depth, top/min [m] (Depth top) * PI: Kusumaningtyas, Mariska Astrid (https://orcid.org/0000-0003-3538-4959, m.astridkusuma@yahoo.com)
	Depth, bottom/max [m] (Depth bot) * PI: Kusumaningtyas, Mariska Astrid (https://orcid.org/0000-0003-3538-4959, m.astridkusuma@yahoo.com)
	Carbon, organic, total [%] (TOC) * PI: Kusumaningtyas, Mariska Astrid (https://orcid.org/0000-0003-3538-4959, m.astridkusuma@yahoo.com) * METHOD/DEVICE: Element analyser, Eurovector E3000
	Nitrogen, total [%] (TN) * PI: Kusumaningtyas, Mariska Astrid (https://orcid.org/0000-0003-3538-4959, m.astridkusuma@yahoo.com) * METHOD/DEVICE: Element analyser, Eurovector E3000
	δ13C, organic carbon [‰ PDB] (δ13C Corg) * PI: Kusumaningtyas, Mariska Astrid (https://orcid.org/0000-0003-3538-4959, m.astridkusuma@yahoo.com) * METHOD/DEVICE: Mass spectrometer Thermo Finnigan DELTA plus coupled to a Flash EA1112 Elemental Analyzer
	Carbon/Nitrogen ratio (C/N) * PI: Kusumaningtyas, Mariska Astrid (https://orcid.org/0000-0003-3538-4959, m.astridkusuma@yahoo.com) * COMMENT: C_org/N, atomic
	Density, dry bulk [g/cm**3] (DBD) * PI: Kusumaningtyas, Mariska Astrid (https://orcid.org/0000-0003-3538-4959, m.astridkusuma@yahoo.com)
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0)
Size:	140 data points
*/
Depth [m]	Depth top [m]	Depth bot [m]	TOC [%]	TN [%]	δ13C Corg [‰ PDB]	C/N	DBD [g/cm**3]
0.025	0.00	0.05	6.90	0.34	-28.85	23.73	0.32
0.075	0.05	0.10	7.09	0.33	-29.06	24.91	0.40
0.125	0.10	0.15	7.43	0.34	-29.03	25.86	0.42
0.175	0.15	0.20	7.87	0.32	-29.11	28.68	0.50
0.225	0.20	0.25	6.43	0.26	-29.04	28.60	0.56
0.275	0.25	0.30	5.80	0.25	-29.39	27.05	0.60
0.325	0.30	0.35	6.16	0.26	-28.87	27.20	0.56
0.375	0.35	0.40	7.16	0.26	-29.14	31.61	0.61
0.425	0.40	0.45	6.22	0.26	-29.12	27.80	0.56
0.475	0.45	0.50	5.12	0.23	-28.50	25.62	0.54
0.525	0.50	0.55	7.32	0.27	-28.39	31.85	0.58
0.575	0.55	0.60	7.03	0.27	-27.59	30.45	0.56
0.625	0.60	0.65	8.29	0.28	-27.96	34.41	0.54
0.675	0.65	0.70	6.07	0.26	-27.28	27.42	0.66
0.725	0.70	0.75	6.42	0.26	-27.44	28.66	0.53
0.775	0.75	0.80	6.72	0.26	-27.20	29.92	0.46
0.825	0.80	0.85	6.18	0.27	-27.39	27.19	0.41
0.875	0.85	0.90	8.54	0.30	-27.33	32.87	0.47
0.925	0.90	0.95	7.67	0.29	-27.46	30.72	0.57
0.975	0.95	1.00	7.62	0.28	-27.46	31.94	0.65
