/* DATA DESCRIPTION:
Citation:	Kusumaningtyas, Mariska Astrid; Hutahaean, Andreas A; Jennerjahn, Tim C (2018): Carbon, nitrogen and stable carbon isotopes in the sediment core C42 from Central Segara Anakan, Indonesia. PANGAEA, https://doi.org/10.1594/PANGAEA.896863, 
	In supplement to: Kusumaningtyas, Mariska Astrid; Hutahaean, Andreas A; Fischer, Helmut W; Pérez-Mayo, Manuel; Ransby, Daniela; Jennerjahn, Tim C (2019): Variability in the organic carbon stocks, sources, and accumulation rates of Indonesian mangrove ecosystems. Estuarine, Coastal and Shelf Science, 218, 310-323, https://doi.org/10.1016/j.ecss.2018.12.007
Abstract:	What was sampled: Mangrove sediment
	Parameter measured and method:
	1. Organic carbon (Corg), analyzed using elemental analyzer (Eurovector E3000 Elemental Analyzer)
	2. Total nitrogen (N), analyzed using elemental analyzer (Eurovector E3000 Elemental Analyzer)
	3. Stable carbon isotope composition (δ13Corg), analyzed using Thermo Finnigan Delta plus mass spectrometer coupled to a Flash EA1112 Elemental Analyzer
	Where was sampled: Central Segara Anakan Lagoon, Central Java, Indonesia
	When was sampled: Sediment samples were taken in November 2016.
	How it was sampled: Mangrove sediments were collected using a 1 m long semi-cylindrical auger. Sediments were taken down to 1 m depth, and were sampled in 5 cm interval.
Project(s):	Leibniz Centre for Tropical Marine Research (ZMT) (URI: https://www.leibniz-zmt.de/en/)
	Science for the Protection of Indonesian Coastal Environment (SPICE)
Coverage:	LATITUDE: -7.679640 * LONGITUDE: 108.818890
	DATE/TIME START: 2016-11-26T00:00:00 * DATE/TIME END: 2016-11-26T00:00:00
	MINIMUM DEPTH, sediment/rock: 0.025 m * MAXIMUM DEPTH, sediment/rock: 0.975 m
Event(s):	Segara_Anakan_Center-C42 (C42) * LATITUDE: -7.679640 * LONGITUDE: 108.818890 * DATE/TIME: 2016-11-26T00:00:00 * Recovery: 1.0 m * LOCATION: Central Segara Anakan * METHOD/DEVICE: Hand auger (drill) (HADR)
Parameter(s):	DEPTH, sediment/rock [m] (Depth) * GEOCODE * PI: Kusumaningtyas, Mariska Astrid (https://orcid.org/0000-0003-3538-4959, m.astridkusuma@yahoo.com)
	Depth, top/min [m] (Depth top) * PI: Kusumaningtyas, Mariska Astrid (https://orcid.org/0000-0003-3538-4959, m.astridkusuma@yahoo.com)
	Depth, bottom/max [m] (Depth bot) * PI: Kusumaningtyas, Mariska Astrid (https://orcid.org/0000-0003-3538-4959, m.astridkusuma@yahoo.com)
	Carbon, organic, total [%] (TOC) * PI: Kusumaningtyas, Mariska Astrid (https://orcid.org/0000-0003-3538-4959, m.astridkusuma@yahoo.com) * METHOD/DEVICE: Element analyser, Eurovector E3000
	Nitrogen, total [%] (TN) * PI: Kusumaningtyas, Mariska Astrid (https://orcid.org/0000-0003-3538-4959, m.astridkusuma@yahoo.com) * METHOD/DEVICE: Element analyser, Eurovector E3000
	δ13C, organic carbon [‰ PDB] (δ13C Corg) * PI: Kusumaningtyas, Mariska Astrid (https://orcid.org/0000-0003-3538-4959, m.astridkusuma@yahoo.com) * METHOD/DEVICE: Mass spectrometer Thermo Finnigan DELTA plus coupled to a Flash EA1112 Elemental Analyzer
	Carbon/Nitrogen ratio (C/N) * PI: Kusumaningtyas, Mariska Astrid (https://orcid.org/0000-0003-3538-4959, m.astridkusuma@yahoo.com) * COMMENT: C_org/N, atomic
	Density, dry bulk [g/cm**3] (DBD) * PI: Kusumaningtyas, Mariska Astrid (https://orcid.org/0000-0003-3538-4959, m.astridkusuma@yahoo.com)
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0)
Size:	139 data points
*/
Depth [m]	Depth top [m]	Depth bot [m]	TOC [%]	TN [%]	δ13C Corg [‰ PDB]	C/N	DBD [g/cm**3]
0.025	0.00	0.05	5.28	0.37	-28.14	16.54	0.43
0.075	0.05	0.10	3.23	0.24	-27.24	15.56	0.63
0.125	0.10	0.15	2.75	0.21	-27.15	15.17	0.67
0.175	0.15	0.20	3.18	0.24	-27.26	15.25	0.51
0.225	0.20	0.25	1.91	0.16	-26.84	13.81	0.79
0.275	0.25	0.30	1.99	0.16	-26.87	14.62	0.66
0.325	0.30	0.35	1.87	0.15	-26.66	14.36	0.89
0.375	0.35	0.40	1.97	0.16	-26.85	14.35	0.73
0.425	0.40	0.45	1.57	0.13		13.77	0.85
0.475	0.45	0.50	1.83	0.15	-26.82	14.45	0.82
0.525	0.50	0.55	1.58	0.13	-26.49	13.71	0.79
0.575	0.55	0.60	1.86	0.14	-26.82	15.37	0.87
0.625	0.60	0.65	1.35	0.11	-26.73	14.68	1.00
0.675	0.65	0.70	1.39	0.12	-26.71	13.37	0.85
0.725	0.70	0.75	1.30	0.12	-26.08	13.07	0.90
0.775	0.75	0.80	1.05	0.10	-25.58	12.31	0.87
0.825	0.80	0.85	1.05	0.10	-25.74	12.45	1.04
0.875	0.85	0.90	0.98	0.09	-25.62	13.25	0.88
0.925	0.90	0.95	0.87	0.09	-25.76	11.98	1.16
0.975	0.95	1.00	1.09	0.09	-25.84	13.46	0.96
