/* DATA DESCRIPTION:
Citation:	Kusumaningtyas, Mariska Astrid; Hutahaean, Andreas A; Jennerjahn, Tim C (2018): Carbon, nitrogen and stable carbon isotopes in the sediment core E46 from Eastern Segara Anakan, Indonesia. PANGAEA, https://doi.org/10.1594/PANGAEA.896869, 
	In supplement to: Kusumaningtyas, Mariska Astrid; Hutahaean, Andreas A; Fischer, Helmut W; Pérez-Mayo, Manuel; Ransby, Daniela; Jennerjahn, Tim C (2019): Variability in the organic carbon stocks, sources, and accumulation rates of Indonesian mangrove ecosystems. Estuarine, Coastal and Shelf Science, 218, 310-323, https://doi.org/10.1016/j.ecss.2018.12.007
Abstract:	What was sampled: Mangrove sediment
	Parameter measured and method:
	1. Organic carbon (Corg), analyzed using elemental analyzer (Eurovector E3000 Elemental Analyzer)
	2. Total nitrogen (N), analyzed using elemental analyzer (Eurovector E3000 Elemental Analyzer)
	3. Stable carbon isotope composition (δ13Corg), analyzed using Thermo Finnigan Delta plus mass spectrometer coupled to a Flash EA1112 Elemental Analyzer
	Where was sampled: Eastern Segara Anakan Lagoon, Central Java, Indonesia
	When was sampled: Sediment samples were taken in December 2016.
	How it was sampled: Mangrove sediments were collected using a 1 m long semi-cylindrical auger. Sediments were taken down to 1 m depth, and were sampled in 5 cm interval.
Project(s):	Leibniz Centre for Tropical Marine Research (ZMT) (URI: https://www.leibniz-zmt.de/en/)
	Science for the Protection of Indonesian Coastal Environment (SPICE)
Coverage:	LATITUDE: -7.696530 * LONGITUDE: 108.951780
	DATE/TIME START: 2016-12-03T00:00:00 * DATE/TIME END: 2016-12-03T00:00:00
	MINIMUM DEPTH, sediment/rock: 0.025 m * MAXIMUM DEPTH, sediment/rock: 0.975 m
Event(s):	Segara_Anakan_East-E46 (E46) * LATITUDE: -7.696530 * LONGITUDE: 108.951780 * DATE/TIME: 2016-12-03T00:00:00 * Recovery: 1.0 m * LOCATION: Eastern Segara Anakan * METHOD/DEVICE: Hand auger (drill) (HADR)
Parameter(s):	DEPTH, sediment/rock [m] (Depth) * GEOCODE * PI: Kusumaningtyas, Mariska Astrid (https://orcid.org/0000-0003-3538-4959, m.astridkusuma@yahoo.com)
	Depth, top/min [m] (Depth top) * PI: Kusumaningtyas, Mariska Astrid (https://orcid.org/0000-0003-3538-4959, m.astridkusuma@yahoo.com)
	Depth, bottom/max [m] (Depth bot) * PI: Kusumaningtyas, Mariska Astrid (https://orcid.org/0000-0003-3538-4959, m.astridkusuma@yahoo.com)
	Carbon, organic, total [%] (TOC) * PI: Kusumaningtyas, Mariska Astrid (https://orcid.org/0000-0003-3538-4959, m.astridkusuma@yahoo.com) * METHOD/DEVICE: Element analyser, Eurovector E3000
	Nitrogen, total [%] (TN) * PI: Kusumaningtyas, Mariska Astrid (https://orcid.org/0000-0003-3538-4959, m.astridkusuma@yahoo.com) * METHOD/DEVICE: Element analyser, Eurovector E3000
	δ13C, organic carbon [‰ PDB] (δ13C Corg) * PI: Kusumaningtyas, Mariska Astrid (https://orcid.org/0000-0003-3538-4959, m.astridkusuma@yahoo.com) * METHOD/DEVICE: Mass spectrometer Thermo Finnigan DELTA plus coupled to a Flash EA1112 Elemental Analyzer
	Carbon/Nitrogen ratio (C/N) * PI: Kusumaningtyas, Mariska Astrid (https://orcid.org/0000-0003-3538-4959, m.astridkusuma@yahoo.com) * COMMENT: C_org/N, atomic
	Density, dry bulk [g/cm**3] (DBD) * PI: Kusumaningtyas, Mariska Astrid (https://orcid.org/0000-0003-3538-4959, m.astridkusuma@yahoo.com)
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0)
Size:	140 data points
*/
Depth [m]	Depth top [m]	Depth bot [m]	TOC [%]	TN [%]	δ13C Corg [‰ PDB]	C/N	DBD [g/cm**3]
0.025	0.00	0.05	4.00	0.26	-27.52	17.69	0.33
0.075	0.05	0.10	4.35	0.28	-27.56	18.43	0.60
0.125	0.10	0.15	4.51	0.28	-27.53	18.97	0.65
0.175	0.15	0.20	4.02	0.25	-27.25	18.45	0.56
0.225	0.20	0.25	4.38	0.26	-27.73	19.42	0.58
0.275	0.25	0.30	3.95	0.25	-27.50	18.79	0.72
0.325	0.30	0.35	4.55	0.22	-27.80	23.78	0.69
0.375	0.35	0.40	3.93	0.20	-27.50	22.94	0.73
0.425	0.40	0.45	3.30	0.20	-27.38	19.07	0.60
0.475	0.45	0.50	3.73	0.19	-27.48	22.45	0.62
0.525	0.50	0.55	4.41	0.22	-27.52	23.89	0.64
0.575	0.55	0.60	4.45	0.22	-27.49	23.68	0.45
0.625	0.60	0.65	4.77	0.23	-27.38	24.42	0.48
0.675	0.65	0.70	5.09	0.23	-27.46	26.05	0.59
0.725	0.70	0.75	5.68	0.25	-27.19	26.38	0.73
0.775	0.75	0.80	6.36	0.28	-27.40	26.76	0.60
0.825	0.80	0.85	7.02	0.31	-27.35	26.50	0.63
0.875	0.85	0.90	7.08	0.28	-27.39	29.81	0.64
0.925	0.90	0.95	12.89	0.32	-27.89	47.13	0.56
0.975	0.95	1.00	10.99	0.30	-28.08	42.15	0.43
