/* DATA DESCRIPTION:
Citation:	Kusumaningtyas, Mariska Astrid; Hutahaean, Andreas A; Jennerjahn, Tim C (2018): Carbon, nitrogen and stable carbon isotopes in the sediment core C26 from Central Segara Anakan, Indonesia. PANGAEA, https://doi.org/10.1594/PANGAEA.896861, 
	In supplement to: Kusumaningtyas, Mariska Astrid; Hutahaean, Andreas A; Fischer, Helmut W; Pérez-Mayo, Manuel; Ransby, Daniela; Jennerjahn, Tim C (2019): Variability in the organic carbon stocks, sources, and accumulation rates of Indonesian mangrove ecosystems. Estuarine, Coastal and Shelf Science, 218, 310-323, https://doi.org/10.1016/j.ecss.2018.12.007
Abstract:	What was sampled: Mangrove sediment
	Parameter measured and method:
	1. Organic carbon (Corg), analyzed using elemental analyzer (Eurovector E3000 Elemental Analyzer)
	2. Total nitrogen (N), analyzed using elemental analyzer (Eurovector E3000 Elemental Analyzer)
	3. Stable carbon isotope composition (δ13Corg), analyzed using Thermo Finnigan Delta plus mass spectrometer coupled to a Flash EA1112 Elemental Analyzer
	Where was sampled: Central Segara Anakan Lagoon, Central Java, Indonesia
	When was sampled: Sediment samples were taken in December 2016.
	How it was sampled: Mangrove sediments were collected using a 1 m long semi-cylindrical auger. Sediments were taken down to 1 m depth, and were sampled in 5 cm interval.
Project(s):	Leibniz Centre for Tropical Marine Research (ZMT) (URI: https://www.leibniz-zmt.de/en/)
	Science for the Protection of Indonesian Coastal Environment (SPICE)
Coverage:	LATITUDE: -7.677470 * LONGITUDE: 108.841110
	DATE/TIME START: 2016-12-11T00:00:00 * DATE/TIME END: 2016-12-11T00:00:00
	MINIMUM DEPTH, sediment/rock: 0.025 m * MAXIMUM DEPTH, sediment/rock: 0.975 m
Event(s):	Segara_Anakan_Center-C26 (C26) * LATITUDE: -7.677470 * LONGITUDE: 108.841110 * DATE/TIME: 2016-12-11T00:00:00 * Recovery: 1.0 m * LOCATION: Central Segara Anakan * METHOD/DEVICE: Hand auger (drill) (HADR)
Parameter(s):	DEPTH, sediment/rock [m] (Depth) * GEOCODE * PI: Kusumaningtyas, Mariska Astrid (https://orcid.org/0000-0003-3538-4959, m.astridkusuma@yahoo.com)
	Depth, top/min [m] (Depth top) * PI: Kusumaningtyas, Mariska Astrid (https://orcid.org/0000-0003-3538-4959, m.astridkusuma@yahoo.com)
	Depth, bottom/max [m] (Depth bot) * PI: Kusumaningtyas, Mariska Astrid (https://orcid.org/0000-0003-3538-4959, m.astridkusuma@yahoo.com)
	Carbon, organic, total [%] (TOC) * PI: Kusumaningtyas, Mariska Astrid (https://orcid.org/0000-0003-3538-4959, m.astridkusuma@yahoo.com) * METHOD/DEVICE: Element analyser, Eurovector E3000
	Nitrogen, total [%] (TN) * PI: Kusumaningtyas, Mariska Astrid (https://orcid.org/0000-0003-3538-4959, m.astridkusuma@yahoo.com) * METHOD/DEVICE: Element analyser, Eurovector E3000
	δ13C, organic carbon [‰ PDB] (δ13C Corg) * PI: Kusumaningtyas, Mariska Astrid (https://orcid.org/0000-0003-3538-4959, m.astridkusuma@yahoo.com) * METHOD/DEVICE: Mass spectrometer Thermo Finnigan DELTA plus coupled to a Flash EA1112 Elemental Analyzer
	Carbon/Nitrogen ratio (C/N) * PI: Kusumaningtyas, Mariska Astrid (https://orcid.org/0000-0003-3538-4959, m.astridkusuma@yahoo.com) * COMMENT: C_org/N, atomic
	Density, dry bulk [g/cm**3] (DBD) * PI: Kusumaningtyas, Mariska Astrid (https://orcid.org/0000-0003-3538-4959, m.astridkusuma@yahoo.com)
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0)
Size:	140 data points
*/
Depth [m]	Depth top [m]	Depth bot [m]	TOC [%]	TN [%]	δ13C Corg [‰ PDB]	C/N	DBD [g/cm**3]
0.025	0.00	0.05	2.27	0.26	-27.46	10.22	0.58
0.075	0.05	0.10	2.18	0.22	-26.97	11.33	0.82
0.125	0.10	0.15	1.84	0.19	-26.55	11.57	0.69
0.175	0.15	0.20	1.93	0.19	-26.43	12.18	1.00
0.225	0.20	0.25	1.35	0.15	-26.15	10.79	0.94
0.275	0.25	0.30	1.39	0.16	-26.26	10.38	0.96
0.325	0.30	0.35	1.18	0.13	-25.79	10.74	0.91
0.375	0.35	0.40	1.23	0.13	-25.36	10.86	1.00
0.425	0.40	0.45	1.47	0.17	-26.28	10.18	0.87
0.475	0.45	0.50	2.09	0.19	-27.05	12.74	0.88
0.525	0.50	0.55	1.39	0.15	-26.32	10.57	0.98
0.575	0.55	0.60	1.37	0.15	-26.24	10.61	0.90
0.625	0.60	0.65	1.38	0.15	-26.07	10.63	0.98
0.675	0.65	0.70	1.13	0.13	-25.94	10.33	0.90
0.725	0.70	0.75	1.32	0.14	-26.36	11.08	0.87
0.775	0.75	0.80	1.26	0.14	-26.42	10.65	0.96
0.825	0.80	0.85	1.17	0.12	-26.01	11.10	0.86
0.875	0.85	0.90	0.97	0.12	-25.39	9.86	1.02
0.925	0.90	0.95	1.02	0.12	-25.59	10.28	0.87
0.975	0.95	1.00	1.07	0.12	-25.84	10.83	1.06
