/* DATA DESCRIPTION:
Citation:	Kusumaningtyas, Mariska Astrid; Hutahaean, Andreas A; Jennerjahn, Tim C (2018): Carbon, nitrogen and stable carbon isotopes in the sediment core B4 from Berau, Indonesia. PANGAEA, https://doi.org/10.1594/PANGAEA.896857, 
	In supplement to: Kusumaningtyas, Mariska Astrid; Hutahaean, Andreas A; Fischer, Helmut W; Pérez-Mayo, Manuel; Ransby, Daniela; Jennerjahn, Tim C (2019): Variability in the organic carbon stocks, sources, and accumulation rates of Indonesian mangrove ecosystems. Estuarine, Coastal and Shelf Science, 218, 310-323, https://doi.org/10.1016/j.ecss.2018.12.007
Abstract:	What was sampled: Mangrove sediment
	Parameter measured and method:
	1. Organic carbon (Corg), analyzed using elemental analyzer (Eurovector E3000 Elemental Analyzer)
	2. Total nitrogen (N), analyzed using elemental analyzer (Eurovector E3000 Elemental Analyzer)
	3. Stable carbon isotope composition (δ13Corg), analyzed using Thermo Finnigan Delta plus mass spectrometer coupled to a Flash EA1112 Elemental Analyzer
	Where was sampled: Berau, East Kalimantan, Indonesia
	When was sampled: Sediment samples were taken in May 2013
	How it was sampled: Mangrove sediments were collected using a 1 m long semi-cylindrical auger. Sediments were taken down to 1 m depth, and were sampled in 5 cm interval.
Project(s):	Leibniz Centre for Tropical Marine Research (ZMT) (URI: https://www.leibniz-zmt.de/en/)
	Science for the Protection of Indonesian Coastal Environment (SPICE)
Coverage:	LATITUDE: 2.191190 * LONGITUDE: 117.980170
	DATE/TIME START: 2013-05-26T00:00:00 * DATE/TIME END: 2013-05-26T00:00:00
	MINIMUM DEPTH, sediment/rock: 0.025 m * MAXIMUM DEPTH, sediment/rock: 0.975 m
Event(s):	Berau-B4 (B4) * LATITUDE: 2.191190 * LONGITUDE: 117.980170 * DATE/TIME: 2013-05-26T00:00:00 * Recovery: 1.0 m * LOCATION: Berau * METHOD/DEVICE: Hand auger (drill) (HADR)
Parameter(s):	DEPTH, sediment/rock [m] (Depth) * GEOCODE * PI: Kusumaningtyas, Mariska Astrid (https://orcid.org/0000-0003-3538-4959, m.astridkusuma@yahoo.com)
	Depth, top/min [m] (Depth top) * PI: Kusumaningtyas, Mariska Astrid (https://orcid.org/0000-0003-3538-4959, m.astridkusuma@yahoo.com)
	Depth, bottom/max [m] (Depth bot) * PI: Kusumaningtyas, Mariska Astrid (https://orcid.org/0000-0003-3538-4959, m.astridkusuma@yahoo.com)
	Carbon, organic, total [%] (TOC) * PI: Kusumaningtyas, Mariska Astrid (https://orcid.org/0000-0003-3538-4959, m.astridkusuma@yahoo.com) * METHOD/DEVICE: Element analyser, Eurovector E3000
	Nitrogen, total [%] (TN) * PI: Kusumaningtyas, Mariska Astrid (https://orcid.org/0000-0003-3538-4959, m.astridkusuma@yahoo.com) * METHOD/DEVICE: Element analyser, Eurovector E3000
	δ13C, organic carbon [‰ PDB] (δ13C Corg) * PI: Kusumaningtyas, Mariska Astrid (https://orcid.org/0000-0003-3538-4959, m.astridkusuma@yahoo.com) * METHOD/DEVICE: Mass spectrometer Thermo Finnigan DELTA plus coupled to a Flash EA1112 Elemental Analyzer
	Carbon/Nitrogen ratio (C/N) * PI: Kusumaningtyas, Mariska Astrid (https://orcid.org/0000-0003-3538-4959, m.astridkusuma@yahoo.com) * COMMENT: C_org/N, atomic
	Density, dry bulk [g/cm**3] (DBD) * PI: Kusumaningtyas, Mariska Astrid (https://orcid.org/0000-0003-3538-4959, m.astridkusuma@yahoo.com)
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0)
Size:	133 data points
*/
Depth [m]	Depth top [m]	Depth bot [m]	TOC [%]	TN [%]	δ13C Corg [‰ PDB]	C/N	DBD [g/cm**3]
0.025	0.00	0.05	2.10	0.12	-28.26	20.73	1.08
0.075	0.05	0.10	2.61	0.11	-28.44	27.93	1.10
0.125	0.10	0.15	2.01	0.10	-28.32	23.38	1.38
0.175	0.15	0.20	2.34	0.10	-28.26	26.28	1.28
0.225	0.20	0.25	1.32	0.05	-27.96	31.95	2.39
0.275	0.25	0.30	1.87	0.08	-28.18	27.96	1.42
0.325	0.30	0.35	1.84	0.08	-27.98	28.20	2.92
0.375	0.35	0.40	2.16	0.10	-27.78	26.47	1.59
0.425	0.40	0.45	2.50	0.09	-27.79	31.01	1.54
0.475	0.45	0.50	2.56	0.09	-27.75	33.17	1.63
0.525	0.50	0.55	1.86	0.08	-27.82	28.21	0.89
0.575	0.55	0.60	4.89	0.19	-27.42	29.98	1.16
0.625	0.60	0.65	3.20	0.19	-27.59	20.06	0.99
0.675	0.65	0.70	3.14	0.17	-27.49	21.92	1.23
0.725	0.70	0.75	1.30	0.04	-27.26	42.14	1.91
0.825	0.80	0.85	1.94	0.05	-27.79	43.51	2.51
0.875	0.85	0.90	2.76	0.07	-27.90	43.51	2.59
0.925	0.90	0.95	1.75	0.08	-27.68	26.88	1.70
0.975	0.95	1.00	1.59	0.07	-27.66	28.04	1.23
