study_id,site_id,core_id,method_id,depth_min,depth_max,dry_bulk_density,fraction_carbon,fraction_nitrogen,cs137_peak_age,cs137_activity,cs137_activity_se,cs137_unit,excess_pb210_activity,total_pb210_activity,pb210_unit
Drake_et_al_2024,RC_U,RC_U_A,single set of methods,0,2,NA,NA,NA,1964,0,NA,picocuriesPerGram,34.6030974598237,34.6030974598237,disintegrationsPerMinutePerGram
Drake_et_al_2024,RC_U,RC_U_A,single set of methods,2,4,NA,NA,NA,1964,0.0839554655870445,NA,picocuriesPerGram,21.0576923076923,21.0576923076923,disintegrationsPerMinutePerGram
Drake_et_al_2024,RC_U,RC_U_A,single set of methods,4,6,NA,NA,NA,1964,0.251334622823985,NA,picocuriesPerGram,16.469320868257,16.469320868257,disintegrationsPerMinutePerGram
Drake_et_al_2024,RC_U,RC_U_A,single set of methods,6,8,NA,NA,NA,1964,1.17687378640777,0.0562341747572816,picocuriesPerGram,11.9136866235167,11.9136866235167,disintegrationsPerMinutePerGram
Drake_et_al_2024,RC_U,RC_U_A,single set of methods,8,10,NA,NA,NA,1964,0.9351953125,NA,picocuriesPerGram,2.8782958984375,2.8782958984375,disintegrationsPerMinutePerGram
Drake_et_al_2024,RC_U,RC_U_A,single set of methods,10,12,NA,NA,NA,1964,0.234067278287462,NA,picocuriesPerGram,NA,0,disintegrationsPerMinutePerGram
Drake_et_al_2024,RC_U,RC_U_A,single set of methods,12,14,NA,NA,NA,1964,0.29158924205379,NA,picocuriesPerGram,NA,0,disintegrationsPerMinutePerGram
Drake_et_al_2024,RC_U,RC_U_A,single set of methods,14,16,NA,NA,NA,1964,0,NA,picocuriesPerGram,NA,0,disintegrationsPerMinutePerGram
Drake_et_al_2024,RC_U,RC_U_A,single set of methods,16,18,NA,NA,NA,1964,0,NA,picocuriesPerGram,NA,0,disintegrationsPerMinutePerGram
Drake_et_al_2024,RC_U,RC_U_A,single set of methods,18,20,NA,NA,NA,1964,0,NA,picocuriesPerGram,NA,0,disintegrationsPerMinutePerGram
Drake_et_al_2024,RC_U,RC_U_A,single set of methods,20,22,NA,NA,NA,1964,0,NA,picocuriesPerGram,NA,0,disintegrationsPerMinutePerGram
Drake_et_al_2024,RC_U,RC_U_A,single set of methods,22,24,NA,NA,NA,1964,0,NA,picocuriesPerGram,NA,0,disintegrationsPerMinutePerGram
