study_id,site_id,core_id,method_id,depth_min,depth_max,sample_id,dry_bulk_density,fraction_carbon,cs137_activity,cs137_activity_se,cs137_unit,excess_pb210_activity,total_pb210_activity,pb210_unit
Stahl_et_al_2024,GCE11,GCE11_TFL,single set of methods,0,2,DUP,1.7062008362579726,5.5e-4,0.00168468764678252,0.00673038985439173,picocuriesPerGram,-4.515385501507158,0.8641152601638744,disintegrationsPerMinutePerGram
Stahl_et_al_2024,GCE11,GCE11_TFL,single set of methods,2,4,ORIG,0.796968542305848,0.0054,0.01894502923976608,0.00855649122807017,picocuriesPerGram,NA,1.560262345679012,NA
Stahl_et_al_2024,GCE11,GCE11_TFL,single set of methods,4,6,ORIG,0.4890946845817171,0.08948,0.2615261958997723,0.02405432801822324,picocuriesPerGram,6.249042645061442,11.628543406732474,disintegrationsPerMinutePerGram
Stahl_et_al_2024,GCE11,GCE11_TFL,single set of methods,6,8,ORIG,0.7888799426542783,0.02245,0.0938026981450253,0.01530109612141652,picocuriesPerGram,NA,5.4981672756230084,NA
Stahl_et_al_2024,GCE11,GCE11_TFL,single set of methods,8,10,ORIG,0.898851582461079,0.01286,0.0454049043062201,0.00987942583732057,picocuriesPerGram,-2.332073362681133,3.0474273989898992,disintegrationsPerMinutePerGram
Stahl_et_al_2024,GCE11,GCE11_TFL,single set of methods,10,12,ORIG,0.8267721608485646,0.02845,0.2521268990169795,0.01958954423592493,picocuriesPerGram,NA,6.464334475225897,NA
Stahl_et_al_2024,GCE11,GCE11_TFL,single set of methods,12,14,ORIG,0.9287150687695463,0.01516,0.13555308504724847,0.01187821011673151,picocuriesPerGram,-2.177776038059149,3.2017247236118833,disintegrationsPerMinutePerGram
Stahl_et_al_2024,GCE11,GCE11_TFL,single set of methods,14,16,ORIG,1.29238952198303,0.00627,0.02428466076696165,0.00764857423795477,picocuriesPerGram,-4.134072350221235,1.2454284114497978,disintegrationsPerMinutePerGram
Stahl_et_al_2024,GCE11,GCE11_TFL,single set of methods,16,18,ORIG,0.9860793299682624,0.0324,0.1892910447761194,0.01423557213930348,picocuriesPerGram,-1.414110698099999,3.9653900635710335,disintegrationsPerMinutePerGram
Stahl_et_al_2024,GCE11,GCE11_TFL,single set of methods,18,20,ORIG,0.685899040346417,0.05683,0.6294636871508381,0.03019039106145252,picocuriesPerGram,2.0139582699863237,7.393459031657356,disintegrationsPerMinutePerGram
