study_id,site_id,core_id,method_id,depth_min,depth_max,sample_id,dry_bulk_density,fraction_organic_matter,cs137_activity,cs137_activity_se,cs137_unit,excess_pb210_activity,excess_pb210_activity_se,total_pb210_activity,total_pb210_activity_se,pb210_unit,pb214_activity,pb214_activity_se,pb214_unit,bi214_activity,bi214_activity_se,bi214_unit,age,age_se
Messerschmidt_and_Kirwan_2020,GCREW,C3,single set of methods,0,1,C3_0_loi,NA,0.8245878594249202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Messerschmidt_and_Kirwan_2020,GCREW,C3,single set of methods,1,2,C3_1_loi,NA,0.8183098255411565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Messerschmidt_and_Kirwan_2020,GCREW,C3,single set of methods,2,3,C3_2_loi,NA,0.8321756043345373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Messerschmidt_and_Kirwan_2020,GCREW,C3,single set of methods,3,4,C3_3_loi,NA,0.8512568381691018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Messerschmidt_and_Kirwan_2020,GCREW,C3,single set of methods,4,5,C3_4_loi,NA,0.8446478401607322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Messerschmidt_and_Kirwan_2020,GCREW,C3,single set of methods,5,7,NA,0.2193,NA,0.003678837699087962,0.0036819899798144905,disintegrationsPerMinutePerGram,19.246547402075155,0.42261719449936636,19.26620161883594,0.02075141114888972,disintegrationsPerMinutePerGram,0.13628526930763807,0.021700992859088584,disintegrationsPerMinutePerGram,0.20465896799867095,0.033912397656410756,disintegrationsPerMinutePerGram,2018,6.796028120077345
Messerschmidt_and_Kirwan_2020,GCREW,C3,single set of methods,5,6,C3_5_loi,NA,0.8630510427979342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Messerschmidt_and_Kirwan_2020,GCREW,C3,single set of methods,6,7,C3_6_loi,NA,0.8518660562333709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Messerschmidt_and_Kirwan_2020,GCREW,C3,single set of methods,7,9,NA,0.0875,NA,0.4681495648775689,0.040822912844149746,disintegrationsPerMinutePerGram,16.03364361881649,0.4195014390555249,16.129306572746675,0.020522133469904114,disintegrationsPerMinutePerGram,0.1269474499030078,0.019880390129367286,disintegrationsPerMinutePerGram,0.3855449497730679,0.045438354968903055,disintegrationsPerMinutePerGram,2005.2044428460615,3.535016910728217
Messerschmidt_and_Kirwan_2020,GCREW,C3,single set of methods,7,8,C3_7_loi,NA,0.837410940707644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Messerschmidt_and_Kirwan_2020,GCREW,C3,single set of methods,8,9,C3_8_loi,NA,0.8257167927526264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
