study_id,site_id,core_id,method_id,depth_min,depth_max,fraction_organic_matter,excess_pb210_activity,total_pb210_activity,total_pb210_activity_se,pb210_unit
Palinkas_and_Cornwell_2024,Corsica River,M1,single set of methods,0,2,0.193,NA,NA,NA,disintegrationsPerMinutePerGram
Palinkas_and_Cornwell_2024,Corsica River,M1,single set of methods,4,6,0.182,3.49,4.09,0.2,disintegrationsPerMinutePerGram
Palinkas_and_Cornwell_2024,Corsica River,M1,single set of methods,8,10,0.158,NA,NA,NA,disintegrationsPerMinutePerGram
Palinkas_and_Cornwell_2024,Corsica River,M1,single set of methods,12,14,0.178,4.05,4.65,0.23,disintegrationsPerMinutePerGram
Palinkas_and_Cornwell_2024,Corsica River,M1,single set of methods,16,18,0.172,NA,NA,NA,disintegrationsPerMinutePerGram
Palinkas_and_Cornwell_2024,Corsica River,M1,single set of methods,20,22,0.27,NA,NA,NA,disintegrationsPerMinutePerGram
Palinkas_and_Cornwell_2024,Corsica River,M1,single set of methods,24,26,0.205,1.73,2.33,0.12,disintegrationsPerMinutePerGram
Palinkas_and_Cornwell_2024,Corsica River,M1,single set of methods,28,30,0.212,1.68,2.28,0.11,disintegrationsPerMinutePerGram
Palinkas_and_Cornwell_2024,Corsica River,M1,single set of methods,30,35,0.255,NA,NA,NA,disintegrationsPerMinutePerGram
Palinkas_and_Cornwell_2024,Corsica River,M1,single set of methods,35,40,0.203,NA,NA,NA,disintegrationsPerMinutePerGram
Palinkas_and_Cornwell_2024,Corsica River,M1,single set of methods,40,45,0.166,1.19,1.79,0.09,disintegrationsPerMinutePerGram
Palinkas_and_Cornwell_2024,Corsica River,M1,single set of methods,45,50,0.158,1,1.6,0.08,disintegrationsPerMinutePerGram
Palinkas_and_Cornwell_2024,Corsica River,M1,single set of methods,50,55,0.128,0.75,1.35,0.07,disintegrationsPerMinutePerGram
Palinkas_and_Cornwell_2024,Corsica River,M1,single set of methods,55,60,0.052,0.09,0.69,0.03,disintegrationsPerMinutePerGram
Palinkas_and_Cornwell_2024,Corsica River,M2,single set of methods,0,2,0.49,NA,NA,NA,disintegrationsPerMinutePerGram
Palinkas_and_Cornwell_2024,Corsica River,M2,single set of methods,4,6,NA,NA,NA,NA,disintegrationsPerMinutePerGram
Palinkas_and_Cornwell_2024,Corsica River,M2,single set of methods,8,10,0.351,NA,NA,NA,disintegrationsPerMinutePerGram
Palinkas_and_Cornwell_2024,Corsica River,M2,single set of methods,12,14,0.367,5.75,6.35,0.32,disintegrationsPerMinutePerGram
Palinkas_and_Cornwell_2024,Corsica River,M2,single set of methods,16,18,0.411,6.1,6.7,0.33,disintegrationsPerMinutePerGram
Palinkas_and_Cornwell_2024,Corsica River,M2,single set of methods,20,22,0.35,NA,NA,NA,disintegrationsPerMinutePerGram
Palinkas_and_Cornwell_2024,Corsica River,M2,single set of methods,24,26,0.366,NA,NA,NA,disintegrationsPerMinutePerGram
Palinkas_and_Cornwell_2024,Corsica River,M2,single set of methods,28,30,0.339,2.7,3.3,0.17,disintegrationsPerMinutePerGram
Palinkas_and_Cornwell_2024,Corsica River,M2,single set of methods,35,40,0.305,1.1,1.7,0.08,disintegrationsPerMinutePerGram
Palinkas_and_Cornwell_2024,Corsica River,M2,single set of methods,45,50,0.257,1.6,2.2,0.11,disintegrationsPerMinutePerGram
Palinkas_and_Cornwell_2024,Corsica River,M2,single set of methods,50,55,0.183,NA,NA,NA,disintegrationsPerMinutePerGram
Palinkas_and_Cornwell_2024,Corsica River,M2,single set of methods,55,60,0.189,1.11,1.71,0.09,disintegrationsPerMinutePerGram
Palinkas_and_Cornwell_2024,Corsica River,M3,single set of methods,0,2,0.233,NA,NA,NA,disintegrationsPerMinutePerGram
Palinkas_and_Cornwell_2024,Corsica River,M3,single set of methods,4,6,0.189,NA,NA,NA,disintegrationsPerMinutePerGram
Palinkas_and_Cornwell_2024,Corsica River,M3,single set of methods,8,10,0.176,3.47,4.07,0.2,disintegrationsPerMinutePerGram
Palinkas_and_Cornwell_2024,Corsica River,M3,single set of methods,12,14,0.214,4.68,5.28,0.26,disintegrationsPerMinutePerGram
Palinkas_and_Cornwell_2024,Corsica River,M3,single set of methods,16,18,0.218,4.52,5.12,0.26,disintegrationsPerMinutePerGram
Palinkas_and_Cornwell_2024,Corsica River,M3,single set of methods,20,22,0.219,4.37,4.97,0.25,disintegrationsPerMinutePerGram
Palinkas_and_Cornwell_2024,Corsica River,M3,single set of methods,22,24,0.317,3.55,4.15,0.21,disintegrationsPerMinutePerGram
Palinkas_and_Cornwell_2024,Corsica River,M3,single set of methods,24,26,0.174,2.87,3.47,0.17,disintegrationsPerMinutePerGram
Palinkas_and_Cornwell_2024,Corsica River,M3,single set of methods,26,28,0.18,NA,NA,NA,disintegrationsPerMinutePerGram
Palinkas_and_Cornwell_2024,Corsica River,M3,single set of methods,28,30,0.111,1.44,2.04,0.1,disintegrationsPerMinutePerGram
Palinkas_and_Cornwell_2024,Corsica River,M3,single set of methods,30,35,0.157,2.81,3.41,0.17,disintegrationsPerMinutePerGram
Palinkas_and_Cornwell_2024,Corsica River,M3,single set of methods,35,40,0.097,NA,NA,NA,disintegrationsPerMinutePerGram
Palinkas_and_Cornwell_2024,Corsica River,M3,single set of methods,40,45,0.118,0.91,1.51,0.08,disintegrationsPerMinutePerGram
Palinkas_and_Cornwell_2024,Corsica River,M3,single set of methods,45,47,0.097,0.66,1.26,0.06,disintegrationsPerMinutePerGram
Palinkas_and_Cornwell_2024,Corsica River,M4,single set of methods,0,2,0.243,NA,NA,NA,disintegrationsPerMinutePerGram
Palinkas_and_Cornwell_2024,Corsica River,M4,single set of methods,4,6,0.233,5.59,6.19,0.31,disintegrationsPerMinutePerGram
Palinkas_and_Cornwell_2024,Corsica River,M4,single set of methods,8,10,0.374,5.51,6.11,0.31,disintegrationsPerMinutePerGram
Palinkas_and_Cornwell_2024,Corsica River,M4,single set of methods,12,14,0.143,2.08,2.68,0.13,disintegrationsPerMinutePerGram
Palinkas_and_Cornwell_2024,Corsica River,M4,single set of methods,16,18,0.128,2.21,2.81,0.14,disintegrationsPerMinutePerGram
Palinkas_and_Cornwell_2024,Corsica River,M4,single set of methods,20,22,0.206,2.96,3.56,0.18,disintegrationsPerMinutePerGram
Palinkas_and_Cornwell_2024,Corsica River,M4,single set of methods,24,26,0.308,3.65,4.25,0.21,disintegrationsPerMinutePerGram
Palinkas_and_Cornwell_2024,Corsica River,M4,single set of methods,28,30,0.272,3.54,4.14,0.21,disintegrationsPerMinutePerGram
Palinkas_and_Cornwell_2024,Corsica River,M4,single set of methods,35,40,0.289,3.17,3.77,0.19,disintegrationsPerMinutePerGram
Palinkas_and_Cornwell_2024,Corsica River,M4,single set of methods,45,50,0.169,NA,NA,NA,disintegrationsPerMinutePerGram
Palinkas_and_Cornwell_2024,Corsica River,M4,single set of methods,55,60,0.184,NA,NA,NA,disintegrationsPerMinutePerGram
Palinkas_and_Cornwell_2024,Corsica River,M4,single set of methods,65,70,0.178,1.99,2.59,0.13,disintegrationsPerMinutePerGram
Palinkas_and_Cornwell_2024,Corsica River,M4,single set of methods,75,80,0.181,2.4,3,0.15,disintegrationsPerMinutePerGram
Palinkas_and_Cornwell_2024,Corsica River,M4,single set of methods,85,90,0.15,1.63,2.23,0.11,disintegrationsPerMinutePerGram
