study_id,site_id,core_id,year,month,day,core_notes,latitude,longitude,position_method,position_notes,elevation,elevation_datum,elevation_method,salinity_class,salinity_method,vegetation_class,vegetation_method,vegetation_notes,habitat
Brown_et_al_2024,OREGON_YAQUINA_WINANT,WINANT,2011,7,11,"Cores were collected using a 10 cm diameter stainless-steel corer, which was split lengthwise and hinged on one side. The unhinged edge was sealed closed with electrical tape prior to insertion into the ground. Compaction of the core was measured by measuring distance from top of corer to marsh surface inside and outside of the corer at 3 locations.  The core was sectioned into approximately 2 cm slices in the field.",44.58126572725608,-123.9944616208708,RTK,NA,2.469,NAVD88,RTK,estuarine,field observation,emergent,field observation,"Distichlis spicata (co-dominant), Jaumea carnosa (co-dominant), Juncus balticus, Deschampsia cespitosa, Salicornia virginica within 10 cm",marsh
Brown_et_al_2024,OREGON_YAQUINA_CRITESERS,CRITESERS,2011,7,11,"Cores were collected using a 10 cm diameter stainless-steel corer, which was split lengthwise and hinged on one side. The unhinged edge was sealed closed with electrical tape prior to insertion into the ground. Compaction of the core was measured by measuring distance from top of corer to marsh surface inside and outside of the corer at 3 locations.  The core was sectioned into approximately 2 cm slices in the field.",44.589955125963975,-123.94499004478386,RTK,NA,2.555,NAVD88,RTK,estuarine,field observation,emergent,field observation,"Juncus balticus (dominant), Salicornia virginica, Grindelia stricta, Deschampsia cespitosa (minor)",marsh
Brown_et_al_2024,OREGON_YAQUINA_POOLE,POOLE SLOUGH,2011,7,12,"Cores were collected using a 10 cm diameter stainless-steel corer, which was split lengthwise and hinged on one side. The unhinged edge was sealed closed with electrical tape prior to insertion into the ground. Compaction of the core was measured by measuring distance from top of corer to marsh surface inside and outside of the corer at 3 locations.  The core was sectioned into approximately 2 cm slices in the field.",44.56245250335287,-123.99946076482829,RTK,NA,2.372,NAVD88,RTK,estuarine,field observation,emergent,field observation,"Dominant Plants - Juncus balticus, Deschampsia cespitosa, Meadow Barley, Agrostis stolonifera, Red fescue, Distichlis spicata",marsh
Brown_et_al_2024,OREGON_YAQUINA_MCAFFREY,MCAFFREY SLOUGH,2011,7,12,"Cores were collected using a 10 cm diameter stainless-steel corer, which was split lengthwise and hinged on one side. The unhinged edge was sealed closed with electrical tape prior to insertion into the ground. Compaction of the core was measured by measuring distance from top of corer to marsh surface inside and outside of the corer at 3 locations.  The core was sectioned into approximately 2 cm slices in the field.",44.57332849967844,-124.0192985115216,RTK,NA,2.2,NAVD88,RTK,estuarine,field observation,emergent,field observation,"Jaumea carnosa (Co-dominant),  Distichlis spicata (co-dominant), Salicornia virginica, Triglochin maritimum (minor)",marsh
Brown_et_al_2024,OREGON_ALSEA_54C,ALSEA 54C,2011,7,28,"Cores were collected using a 10 cm diameter stainless-steel corer, which was split lengthwise and hinged on one side. The unhinged edge was sealed closed with electrical tape prior to insertion into the ground. Compaction of the core was measured by measuring distance from top of corer to marsh surface inside and outside of the corer at 3 locations.  The core was sectioned into approximately 2 cm slices in the field.",44.4173888920041,-124.01013856115976,RTK,NA,2.227,NAVD88,RTK,estuarine,field observation,emergent,field observation,"Dominant Plants - Carex lyngbyei, triglochin maritimum, Deschampsia cespitosa",marsh
Brown_et_al_2024,OREGON_ALSEA_1A,ALSEA 1A,2011,7,28,"Cores were collected using a 10 cm diameter stainless-steel corer, which was split lengthwise and hinged on one side. The unhinged edge was sealed closed with electrical tape prior to insertion into the ground. Compaction of the core was measured by measuring distance from top of corer to marsh surface inside and outside of the corer at 3 locations.  The core was sectioned into approximately 2 cm slices in the field.",44.425868647960186,-124.03913511134208,RTK,NA,2.376,NAVD88,RTK,estuarine,field observation,emergent,field observation,"Dominant Plants: Distichlis spicata, Salicornia virginica, Jaumea carnosa, Glaux maritima, Grindelia stricta, Deschampsia cespitosa",marsh
Brown_et_al_2024,OREGON_ALSEA_63,ALSEA 63,2011,7,29,"Cores were collected using a 10 cm diameter stainless-steel corer, which was split lengthwise and hinged on one side. The unhinged edge was sealed closed with electrical tape prior to insertion into the ground. Compaction of the core was measured by measuring distance from top of corer to marsh surface inside and outside of the corer at 3 locations.  The core was sectioned into approximately 2 cm slices in the field.",44.42674993217939,-124.03195355204709,RTK,NA,2.351,NAVD88,RTK,estuarine,field observation,emergent,field observation,"Deschampsia cespitosa, Juncus balticus, Glaux maritima (minor), Triglochin maritimum, Hordeum brachyantherum",marsh
Brown_et_al_2024,OREGON_SALMON_21,SALMON 21,2011,8,19,"Cores were collected using a 10 cm diameter stainless-steel corer, which was split lengthwise and hinged on one side. The unhinged edge was sealed closed with electrical tape prior to insertion into the ground. Compaction of the core was measured by measuring distance from top of corer to marsh surface inside and outside of the corer at 3 locations.  The core was sectioned into approximately 2 cm slices in the field.",45.02965190632282,-123.97932541165228,RTK,NA,2.52,NAVD88,RTK,estuarine,field observation,emergent,field observation,"Juncus balticus (dominant), Argentina egedeii, Agrostis spp.",marsh
Brown_et_al_2024,OREGON_SALMON_40C,SALMON 40C,2011,8,19,"Cores were collected using a 10 cm diameter stainless-steel corer, which was split lengthwise and hinged on one side. The unhinged edge was sealed closed with electrical tape prior to insertion into the ground. Compaction of the core was measured by measuring distance from top of corer to marsh surface inside and outside of the corer at 3 locations.  The core was sectioned into approximately 2 cm slices in the field.",45.03440657797575,-123.98389506495974,RTK,NA,2.313,NAVD88,RTK,estuarine,field observation,emergent,field observation,Co-dominant: Salicornia virginica and Distichlis spicata. Minor Deschampsia cespitosa. Triglochin maritimum near core.,marsh
Brown_et_al_2024,OREGON_ALSEA_02,ALSEA 02,2013,6,5,"Cores were collected using a 10 cm diameter stainless-steel corer, which was split lengthwise and hinged on one side. The unhinged edge was sealed closed with electrical tape prior to insertion into the ground. Compaction of the core was measured by measuring distance from top of corer to marsh surface inside and outside of the corer at 3 locations.  The core was sectioned into approximately 2 cm slices in the field.",44.428419310787206,-124.05683080975,RTK,NA,2.227,NAVD88,RTK,estuarine,field observation,emergent,field observation,Jaumea carnosa,marsh
