Place,Sample,Description,d-GPS point name,Eastings,Northings,Elev HZ,Elev MSL,Hz_Prec_m,Vt_Prec_m,PDOP,Sats,WGS_84_lat,Lat_D,Lat_M,Lat_S,Lat_DD,WGS_84_long,Long_D,Long_M,Long_S,Long_DD
Portela Alta,,Land mark,VG_PORTELA_ALTA,57742.253,-245049.4,147.24,145.24,0.008,0.011,1.1,7,,,,,,,,,,
Alcoutim,AL,sampling point,ALCOUTIM,58599.626,-243261.976,2.209,0.013,0.016,,1.7,7,"37°28'29.91""N",37,28,29.91,37.474975,"7°28'14.31""W",7,28,14.31,-7.470641667
Corte das Donas,,Land mark,VG_CORTEDONAS,58512.456,-253097.593,170.88,168.88,0.009,0.015,2.1,6,,NA,,,,,,,,0
Laranjeiras,LAR,sampling point,LARANJEIRAS_ML,59841.474,-251196.821,2.311,0.311,0.009,0.017,8.5,9,"37°24'12.28""N",37,24,12.28,37.40341111,"7°27'26.09""W",7,27,26.09,-7.457247222
Eira Velha,,Land mark,VG_EIRAVELHA,59934.173,-258953.794,131.31,129.31,0.008,0.011,2.7,5,,,,,0,,,,,0
Foz Odeleite,FO,sampling point,FOZODELEITE,60808.447,-256955.96,2.334,0.334,0.012,0.018,1.6,8,"37°21'5.26""N",37,21,5.26,37.35146111,"7°26'48.47""W",7,26,48.47,-7.446797222
Vicente,,Land mark,VG_VICENTE,60692.532,-262549.502,85.5,83.5,0.008,0.013,1.7,6,,,,,0,,,,,0
Almada Ouro,Aouro,sampling point,ALMADA_DOURO,61149.393,-261793.396,2.532,0.532,0.009,0.013,1.5,7,"37°18'28.28""N",37,18,28.28,37.30785556,"7°26'36.06""W",7,26,36.06,-7.44335
EspigÃ£o,,Land mark,VG_ESPIGAO,61021.128,-267839.871,49.43,47.43,0.008,0.016,3,6,,,,,0,,,,,0
Foz Beliche,FB,profile point,FozBEL_01,61919.802,-267067,3.365,1.365,0.007,0.01,1.8,8,,,,,0,,,,,0
,FB,profile point,FozBEL_02,61920.63,-267066,3.406,1.406,0.007,0.011,1.3,9,,,,,0,,,,,0
,FB,profile point,FozBEL_03,61921.37,-267064,3.389,1.389,0.007,0.011,1.6,9,,,,,0,,,,,0
,FB,profile point,FozBEL_04,61921.9,-267063,3.453,1.453,0.006,0.01,1.6,9,,,,,0,,,,,0
FB1,FB1,sampling point,FozBEL_05 Sal,61922.506,-267062,3.432,1.432,0.007,0.011,1.3,10,"37°15'37.21""N",37,15,37.21,37.26033611,"7°26'6.24""W",7,26,6.24,-7.435066667
,FB,profile point,FozBEL_06,61922.573,-267061,3.349,1.349,0.007,0.011,2.2,10,,,,,0,,,,,0
,FB,profile point,FozBEL_07,61922.806,-267061,3.354,1.354,0.007,0.012,1.6,10,,,,,0,,,,,0
,FB,profile point,FozBEL_08,61922.909,-267061,3.175,1.175,0.007,0.011,1.6,10,,,,,0,,,,,0
,FB,profile point,FozBEL_09,61923.007,-267060,2.965,0.965,0.006,0.009,0.8,10,,,,,0,,,,,0
,FB,profile point,FozBEL_10,61923.421,-267059,2.844,0.844,0.007,0.01,1.6,10,,,,,0,,,,,0
,FB,profile point,FozBEL_11,61923.755,-267058,2.871,0.871,0.007,0.011,1.6,10,,,,,0,,,,,0
,FB,profile point,FozBEL_12,61924.126,-267057,2.768,0.768,0.006,0.01,1.6,10,,,,,0,,,,,0
FB2,FB2,sampling point,FozBEL_13 Sp,61924.614,-267057,2.752,0.752,0.012,0.019,1.6,10,"37°15'37.38""N",37,15,37.38,37.26038333,"7°26'6.15""W",7,26,6.15,-7.435041667
,FB,profile point,FozBEL_14,61924.904,-267056,2.7,0.7,0.007,0.01,1.6,10,,,,,0,,,,,0
,FB,profile point,FozBEL_15,61925.736,-267055,2.764,0.764,0.008,0.013,1.7,10,,,,,0,,,,,0
,FB,profile point,FozBEL_16,61926.564,-267053,2.808,0.808,0.008,0.012,1.7,10,,,,,0,,,,,0
,FB,profile point,FozBEL_17,61926.914,-267052,2.582,0.582,0.011,0.017,2.4,10,,,,,0,,,,,0
,FB,profile point,FozBEL_18,61927.065,-267051,2.599,0.599,0.008,0.013,1.7,10,,,,,0,,,,,0
FB3,FB3,sampling point,FozBEL_19,61927.302,-267051,2.471,0.471,0.009,0.014,1.7,10,"37°15'37.57""N",37,15,37.57,37.26043611,"7°26'6.04""W",7,26,6.04,-7.435011111
,FB,profile point,FozBEL_20,61927.818,-267050,2.269,0.269,0.008,0.012,1.8,9,,,,,0,,,,,0
,FB,profile point,FozBEL_21,61928.028,-267049,2.205,0.205,0.008,0.012,1.8,9,,,,,0,,,,,0
,FB,profile point,FozBEL_22,61928.235,-267048,2.044,0.044,0.009,0.014,1.5,9,,,,,0,,,,,0
,FB,profile point,FozBEL_23,61928.417,-267048,1.914,-0.086,0.007,0.011,1.8,9,,,,,0,,,,,0
,FB,profile point,FozBEL_24,61928.656,-267047,1.788,-0.212,0.013,0.02,1.8,9,,,,,0,,,,,0
,FB,profile point,FozBEL_25,61928.918,-267046,1.686,-0.314,0.008,0.012,2.6,9,,,,,0,,,,,0
,FB,profile point,FozBEL_26,61929.192,-267046,1.478,-0.522,0.009,0.013,2.6,9,,,,,0,,,,,0
,FB,profile point,FozBEL_27,61929.346,-267045,1.328,-0.672,0.007,0.011,1.8,9,,,,,0,,,,,0
,FB,profile point,FozBEL_28,61929.388,-267045,1.081,-0.919,0.008,0.012,1.8,9,,,,,0,,,,,0
,FB,profile point,FozBEL_29,61929.503,-267044,0.938,-1.062,0.013,0.02,2.6,9,,,,,0,,,,,0
,FB,profile point,FozBEL_30,61929.647,-267044,0.807,-1.193,0.009,0.014,1.3,9,,,,,0,,,,,0
,FB,profile point,FozBEL_31,61929.671,-267043,0.669,-1.331,0.008,0.013,1.8,9,,,,,0,,,,,0
,FB,profile point,FozBEL_32,61929.797,-267043,0.508,-1.492,0.009,0.014,1.8,9,,,,,0,,,,,0
Castro Marim Castelo,,Land mark,VG_CASTROMAR,61389.115,-271702.764,46.81,44.81,0.005,0.009,1.9,6,,,,,0,,,,,0
Ponte Internacional,PI1,sampling point,CMponte_27,62974.271,-269471.977,3.188,1.188,,,,,"37°14'18.79""N",37,14,18.79,37.23855278,"7°25'24.29""W",7,25,24.29,-7.423413889
,PI,profile point,CMponte_26,62983.051,-269465.611,3.167,1.167,,,,,,,,,0,,,,,0
,PI,profile point,CMponte_25,62983.875,-269465.018,2.553,0.553,,,,,,,,,0,,,,,0
,PI,profile point,CMponte_24,62984.23,-269464.793,2.358,0.358,,,,,,,,,0,,,,,0
,PI,profile point,CMponte_23,62984.37,-269464.513,2.536,0.536,,,,,,,,,0,,,,,0
,PI,profile point,CMponte_22,62984.91,-269464.141,3.169,1.169,,,,,,,,,0,,,,,0
,PI,profile point,CMponte_21,62986.365,-269462.688,3.494,1.494,,,,,,,,,0,,,,,0
,PI,profile point,CMponte_20,62987.319,-269461.775,4.16,2.16,,,,,,,,,0,,,,,0
,PI,profile point,CMponte_19,62988.726,-269460.376,4.198,2.198,,,,,,,,,0,,,,,0
,PI,profile point,CMponte_18,62989.36,-269459.85,4.055,2.055,,,,,,,,,0,,,,,0
,PI,profile point,CMPontep2_17,62989.4,-269459.96,3.935,1.935,0.01,0.018,1.8,7,,,,,0,,,,,0
,PI,profile point,CMPontep2_16,62990.123,-269459.247,3.405,1.405,0.007,0.013,1.8,7,,,,,0,,,,,0
,PI,profile point,CMPontep2_15,62990.658,-269458.702,3.266,1.266,0.01,0.018,2.5,7,,,,,0,,,,,0
,PI,profile point,CMPontep2_14,62992.208,-269457.515,3.225,1.225,0.009,0.016,1.5,7,,,,,0,,,,,0
,PI,profile point,CMPontep2_13,62993.362,-269456.427,3.166,1.166,0.01,0.018,1.5,7,,,,,0,,,,,0
,PI,profile point,CMPontep2_12,62994.63,-269455.159,3.116,1.116,0.008,0.016,2.6,7,,,,,0,,,,,0
,PI,profile point,CMPontep2_11,62995.916,-269453.917,3.16,1.16,0.008,0.015,1.8,7,,,,,0,,,,,0
PI2,PI2,sampling point,CMPI_sdensi,62997.536,-269452.581,3.198,1.198,0.006,0.011,1.8,7,"37°14'19.42""N",37,14,19.42,37.23872778,"7°25'23.34""W",7,25,23.34,-7.42315
,PI,profile point,CMPontep2_10,62998.47,-269451.035,3.124,1.124,0.007,0.014,1.8,7,,,,,0,,,,,0
,PI,profile point,CMPontep2_09,63000.453,-269448.847,3.064,1.064,0.007,0.015,1.9,7,,,,,0,,,,,0
,PI,profile point,CMPontep2_08,63002.004,-269447.066,2.883,0.883,0.007,0.014,1.2,7,,,,,0,,,,,0
,PI,profile point,CMPontep2_07,63003.472,-269445.643,2.844,0.844,0.01,0.019,1.9,7,,,,,0,,,,,0
,PI,profile point,CMPontep2_06,63005.101,-269443.943,2.785,0.785,0.005,0.01,1.9,7,,,,,0,,,,,0
PI3,PI3,sampling point,CMPI_Smar,63006.818,-269442.632,2.614,0.614,0.01,0.02,1.9,7,"37°14'19.74""N",37,14,19.74,37.23881667,"7°25'22.97""W",7,25,22.97,-7.423047222
,PI,profile point,CMPontep2_05,63007.948,-269441.656,2.506,0.506,0.006,0.012,1.9,7,,,,,0,,,,,0
,PI,profile point,CMPontep2_04,63009.204,-269440.551,2.374,0.374,0.008,0.015,1.9,7,,,,,0,,,,,0
,PI,profile point,CMPontep2_03,63010.829,-269439.759,2.129,0.129,0.008,0.016,2.7,7,,,,,0,,,,,0
PI4,PI4,sampling point,CMPImargem,63012.253,-269438.821,2.011,0.011,0.007,0.015,1.9,7,"37°14'19.86""N",37,14,19.86,37.23885,"7°25'22.74""W",7,25,22.74,-7.422983333
,PI,profile point,CMPontep2_02,63013.083,-269437.748,1.841,-0.159,0.009,0.019,2.2,7,,,,,0,,,,,0
,PI,profile point,CMPontep2_01,63013.879,-269437.478,1.716,-0.284,0.007,0.015,2.2,7,,,,,0,,,,,0
Castro Marim,SCM,sampling point,CMarimSapal,59401.402,-272673.316,3.96,1.96,0.007,0.013,1.8,7,"37°12'35.80""N",37,12,35.8,37.20994444,"7°27'50.15""W",7,27,50.15,-7.463930556
Esteiro da LezÃ­ria,LEZ,profile point,CMLez_p3_13,61399.252,-272410.426,3.444,1.444,0.01,0.016,2.4,6,,,,,0,,,,,0
,LEZ,profile point,CMLez_p3_12,61397.85,-272408.257,3.263,1.263,0.008,0.013,1.6,7,,,,,0,,,,,0
,LEZ,profile point,CMLez_p3_11,61397.84,-272405.271,3.321,1.321,0.01,0.015,2.3,7,,,,,0,,,,,0
,LEZ,profile point,CMLez_p3_10,61396.063,-272403.031,3.257,1.257,0.007,0.012,1.3,7,,,,,0,,,,,0
,LEZ,profile point,CMLez_p3_09,61394.471,-272400.622,3.241,1.241,0.006,0.01,1.6,7,,,,,0,,,,,0
LEZ1,LEZ1,sampling point,CMLezalto,61394.114,-272397.855,3.317,1.317,0.006,0.01,1.6,7,"37°12'44.28""N",37,12,44.28,37.2123,"7°26'29.26""W",7,26,29.26,-7.441461111
,LEZ,profile point,CMLez_p3_08,61393.673,-272395.108,3.331,1.331,0.01,0.015,2.3,7,,,,,0,,,,,0
,LEZ,profile point,CMLez_p3_07,61393.469,-272392.269,3.385,1.385,0.009,0.014,1.3,8,,,,,0,,,,,0
,LEZ,profile point,CMLez_p3_06,61392.962,-272390.614,3.432,1.432,0.009,0.014,0.8,8,,,,,0,,,,,0
,LEZ,profile point,CMLez_p3_05,61392.416,-272389.156,3.448,1.448,0.012,0.019,2.4,6,,,,,0,,,,,0
,LEZ,profile point,CMLez_p3_04,61392.229,-272388.611,3.031,1.031,0.007,0.011,1.7,8,,,,,0,,,,,0
LEZ2,LEZ2,sampling point,CMLezmed,61390.198,-272388.367,3.062,1.062,0.007,0.012,1.3,8,"37°12'44.58""N",37,12,44.58,37.21238333,"7°26'29.41""W",7,26,29.41,-7.441502778
,LEZ,profile point,CMLez_p3_03,61392.052,-272388.25,2.496,0.496,0.007,0.011,1.3,8,,,,,0,,,,,0
,LEZ,profile point,CMLez_p3_02,61391.773,-272387.974,2.261,0.261,0.011,0.018,1.6,8,,,,,0,,,,,0
LEZ3,LEZ3,sampling point,CMLez_bxo,61391.183,-272387.306,2.202,0.202,0.012,0.018,2.1,6,"37°12'44.62""N",37,12,44.62,37.21239444,"7°26'29.37""W",7,26,29.37,-7.441491667
Vila Real da Santo AntÃ³nio,VRSA,Total station origin,CASTELO,63558.838,-272824.746,3.786,1.786,,,,,,,,,0,,,,,0
,VRSA,profile point,ETAR007,63507.4,-272711.46,3.88,1.88,,,,,,,,,0,,,,,0
,VRSA,profile point,ETAR006,63509.02,-272715.06,3.33,1.33,,,,,,,,,0,,,,,0
,VRSA,profile point,ETAR005,63509.61,-272716.52,3.16,1.16,,,,,,,,,0,,,,,0
,VRSA,profile point,ETAR004,63510.01,-272717.87,3.13,1.13,,,,,,,,,0,,,,,0
,VRSA,profile point,ETAR003,63542.95,-272794,3.14,1.14,,,,,,,,,0,,,,,0
,VRSA,profile point,ETAR002,63549.04,-272808.49,3.12,1.12,,,,,,,,,0,,,,,0
,VRSA,profile point,ETAR001,63551.96,-272814.47,2.97,0.97,,,,,,,,,0,,,,,0
VRSA1,VRSA1,sampling point,ETAR1,63557.17,-272825.6,3.21,1.21,,,,,"37°12'29.88""N",37,12,29.88,37.2083,"7°25'1.68""W",7,25,1.68,-7.417133333
,VRSA,profile point,ETAR2,63557.25,-272826.48,3.23,1.23,,,,,,,,,0,,,,,0
,VRSA,profile point,ETAR3,63557.42,-272826.95,3.24,1.24,,,,,,,,,0,,,,,0
,VRSA,profile point,ETAR4,63557.87,-272827.7,3.34,1.34,,,,,,,,,0,,,,,0
,VRSA,profile point,ETAR5,63558.31,-272828.9,3.63,1.63,,,,,,,,,0,,,,,0
,VRSA,profile point,ETAR6,63558.4,-272829.57,3.89,1.89,,,,,,,,,0,,,,,0
,VRSA,profile point,ETAR7,63558.57,-272830.43,4.12,2.12,,,,,,,,,0,,,,,0
,VRSA,profile point,ETAR8,63558.91,-272831.28,4.08,2.08,,,,,,,,,0,,,,,0
