#,"Gillen, M.N., Messerschmidt, T., Kirwan, M.L. 2000. Shear Stress, Biomass,"
#,"Bulk Density, Organic Matter on the Bank of the York River, VA 2018. Virginia"
#,"Coast Reserve Long-Term Ecological Research Project Data Publication"
#,"knb-lter-vcr.314.2"
#,"(http://www.vcrlter.virginia.edu/cgi-bin/showDataset.cgi?docid=knb-lter-vcr.314)"
#,
#,This dataset is distributed by the Virginia Coast Reserve Long-Term Ecological
#,Research Project and use is subject to the VCR/LTER Data Access Policy
#,(http://www.vcrlter.virginia.edu/data/docs/IMPolicy_VCRLTER06.pdf). Data users
#,working on scientific papers are encouraged to contact the data authors
#,regarding availability of updated data and/or possible collaborations.
#,
#,Full metadata descriptions are available at:
#,http://www.vcrlter.virginia.edu/cgi-bin/showDataset.cgi?docid=knb-lter-vcr.3
#,For additional information about the data contact: Matthew Kirwan
#,(kirwan@vims.edu)
#,
#,Collection and/or distribution of this data was supported by National Science
#,Foundation grants BSR-8702333-06; DEB-9211772; DEB-9411974; DEB-0080381,
#,DEB-0621014, DEB-1237733 and DEB-1832221. VCR/LTER:
#,http://www.vcrlter.virginia.edu
#,# # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # #
Site,Location,SampleID,Depth,DryWeight
Goodwin,Edge,GIE-1,10,10.1
Goodwin,Edge,GIE-1,20,0
Goodwin,Edge,GIE-1,30,4.5
Goodwin,Edge,GIE-1,40,0.2
Goodwin,Edge,GIE-2,10,13
Goodwin,Edge,GIE-2,20,16
Goodwin,Edge,GIE-2,30,1.4
Goodwin,Edge,GIE-2,40,0.1
Goodwin,Edge,GIE-2,50,0.3
Goodwin,Edge,GIE-2,60,0
Goodwin,Edge,GIE-2,64,0
Goodwin,Edge,GIE-3,10,13
Goodwin,Edge,GIE-3,20,16
Goodwin,Edge,GIE-3,30,1.4
Goodwin,Interior,GII-1,10,64.1
Goodwin,Interior,GII-1,20,39.4
Goodwin,Interior,GII-1,30,0.5
Goodwin,Interior,GII-1,40,0.2
Goodwin,Interior,GII-1,50,0
Goodwin,Interior,GII-2,10,98.5
Goodwin,Interior,GII-2,20,4
Goodwin,Interior,GII-2,30,0.5
Goodwin,Interior,GII-2,40,0
Goodwin,Interior,GII-2,50,0
Goodwin,Interior,GII-2,53,0
Goodwin,Interior,GII-3,10,34
Goodwin,Interior,GII-3,20,10.8
Goodwin,Interior,GII-3,30,1
Goodwin,Interior,GII-3,40,0
Goodwin,Interior,GII-3,45,0
Catlett,Edge,CIE-1,10,16.5
Catlett,Edge,CIE-1,20,6.3
Catlett,Edge,CIE-1,30,1.6
Catlett,Edge,CIE-1,40,0.2
Catlett,Edge,CIE-1,50,0.1
Catlett,Edge,CIE-1,56,0
Catlett,Edge,CIE-2,10,42.3
Catlett,Edge,CIE-2,20,5.6
Catlett,Edge,CIE-2,30,1.1
Catlett,Edge,CIE-2,40,0
Catlett,Edge,CIE-2,50,0
Catlett,Edge,CIE-3,10,34.9
Catlett,Edge,CIE-3,20,14.2
Catlett,Edge,CIE-3,30,0.3
Catlett,Edge,CIE-3,40,0
Catlett,Edge,CIE-3,50,0
Catlett,Edge,CIE-3,55,0
Catlett,Interior,CII-1,10,11.95
Catlett,Interior,CII-1,20,3.35
Catlett,Interior,CII-1,30,0.55
Catlett,Interior,CII-1,40,0
Catlett,Interior,CII-1,50,0
Catlett,Interior,CII-1,60,0
Catlett,Interior,CII-1,63,0
Catlett,Interior,CII-2,10,36.7
Catlett,Interior,CII-2,20,32.1
Catlett,Interior,CII-2,30,3.3
Catlett,Interior,CII-2,40,0.6
Catlett,Interior,CII-2,47,0.2
Catlett,Interior,CII-3,10,36.8
Catlett,Interior,CII-3,20,13.7
Catlett,Interior,CII-3,30,1
Catlett,Interior,CII-3,40,0.2
Catlett,Interior,CII-3,50,0
Catlett,Interior,CII-3,58,0
Taskinas,Edge,TCE-1,10,0.4
Taskinas,Edge,TCE-1,20,4.1
Taskinas,Edge,TCE-1,30,16.5
Taskinas,Edge,TCE-1,40,3.7
Taskinas,Edge,TCE-1,50,2.3
Taskinas,Edge,TCE-1,60,1.5
Taskinas,Edge,TCE-1,70,2
Taskinas,Edge,TCE-2,10,0.1
Taskinas,Edge,TCE-2,20,0.5
Taskinas,Edge,TCE-2,30,0.8
Taskinas,Edge,TCE-2,40,3.2
Taskinas,Edge,TCE-2,50,4.3
Taskinas,Edge,TCE-2,60,3.5
Taskinas,Edge,TCE-2,72,10.2
Taskinas,Edge,TCE-3,10,0
Taskinas,Edge,TCE-3,20,5.1
Taskinas,Edge,TCE-3,30,25.9
Taskinas,Edge,TCE-3,40,16.9
Taskinas,Edge,TCE-3,50,2.1
Taskinas,Edge,TCE-3,60,7
Taskinas,Interior,TCI-1,10,71.8
Taskinas,Interior,TCI-1,20,19.5
Taskinas,Interior,TCI-1,30,7.5
Taskinas,Interior,TCI-1,40,0.9
Taskinas,Interior,TCI-1,50,0
Taskinas,Interior,TCI-2,10,21.5
Taskinas,Interior,TCI-2,20,21.7
Taskinas,Interior,TCI-2,30,5.8
Taskinas,Interior,TCI-2,40,0.9
Taskinas,Interior,TCI-2,50,0
Taskinas,Interior,TCI-3,10,22.6
Taskinas,Interior,TCI-3,20,8.2
Taskinas,Interior,TCI-3,30,5.4
Taskinas,Interior,TCI-3,40,1.8
Taskinas,Interior,TCI-3,50,0.7
Taskinas,Interior,TCI-3,60,0.1
SweetHall,Edge,SHE-1,10,13.3
SweetHall,Edge,SHE-1,20,11.5
SweetHall,Edge,SHE-1,30,15.3
SweetHall,Edge,SHE-1,40,20.6
SweetHall,Edge,SHE-1,50,9.1
SweetHall,Edge,SHE-1,58,0.4
SweetHall,Edge,SHE-2,10,3.9
SweetHall,Edge,SHE-2,20,13.1
SweetHall,Edge,SHE-2,30,11.8
SweetHall,Edge,SHE-2,40,9.5
SweetHall,Edge,SHE-2,50,8.3
SweetHall,Edge,SHE-2,60,0
SweetHall,Edge,SHE-2,62,0
SweetHall,Edge,SHE-3,10,9.8
SweetHall,Edge,SHE-3,20,14.6
SweetHall,Edge,SHE-3,30,11.5
SweetHall,Edge,SHE-3,40,9.5
