#,"Gillen, M.N., Messerschmidt, T., Kirwan, M.L. 2000. Shear Stress, Biomass,"
#,"Bulk Density, Organic Matter on the Bank of the York River, VA 2018. Virginia"
#,"Coast Reserve Long-Term Ecological Research Project Data Publication"
#,"knb-lter-vcr.314.2"
#,"(http://www.vcrlter.virginia.edu/cgi-bin/showDataset.cgi?docid=knb-lter-vcr.314)"
#,
#,This dataset is distributed by the Virginia Coast Reserve Long-Term Ecological
#,Research Project and use is subject to the VCR/LTER Data Access Policy
#,(http://www.vcrlter.virginia.edu/data/docs/IMPolicy_VCRLTER06.pdf). Data users
#,working on scientific papers are encouraged to contact the data authors
#,regarding availability of updated data and/or possible collaborations.
#,
#,Full metadata descriptions are available at:
#,http://www.vcrlter.virginia.edu/cgi-bin/showDataset.cgi?docid=knb-lter-vcr.3
#,For additional information about the data contact: Matthew Kirwan
#,(kirwan@vims.edu)
#,
#,Collection and/or distribution of this data was supported by National Science
#,Foundation grants BSR-8702333-06; DEB-9211772; DEB-9411974; DEB-0080381,
#,DEB-0621014, DEB-1237733 and DEB-1832221. VCR/LTER:
#,http://www.vcrlter.virginia.edu
#,# # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # #
Site,Location,SampleID,Depth,ShearStrength,BGB,WC,BD,OM
Goodwin,Edge,GIE-AVG,7.5,3.1,12.0333333,72.15234826,0.176929367,19.9445576
Goodwin,Edge,GIE-AVG,17.5,4.8,10.6666667,74.45285059,0.268262023,22.50188287
Goodwin,Edge,GIE-AVG,27.5,3.1,2.43333333,67.7533536,0.249271655,15.05039358
Goodwin,Edge,GIE-AVG,37.5,10.9,0.15,56.21689507,0.594857515,9.497929455
Goodwin,Edge,GIE-AVG,47.5,17.5,0.3,36.64447127,1.291198589,4.075516758
Goodwin,Interior,GII-AVG,7.5,36,65.53333333,74.64335276,0.294455743,38.8745749
Goodwin,Interior,GII-AVG,17.5,8.25,18.06666667,81.34896791,0.262086811,42.19770851
Goodwin,Interior,GII-AVG,27.5,5.25,0.666666667,71.94700874,0.558709449,21.31300897
Goodwin,Interior,GII-AVG,37.5,1.2,0.066666667,71.54749976,0.473864744,20.02932492
Goodwin,Interior,GII-AVG,47.5,12.2,0,53.62425502,0.860961397,9.925728031
Catlett,Edge,CIE-AVG,5,8.4875,31.2333333,69.01172415,0.545685004,18.86295059
Catlett,Edge,CIE-AVG,15,6.575,8.7,68.64458554,0.748445218,15.71194698
Catlett,Edge,CIE-AVG,25,4.4875,1,69.50443632,0.789710912,15.96169558
Catlett,Edge,CIE-AVG,35,5.5375,0.06666667,59.020787,1.448861719,11.28426648
Catlett,Edge,CIE-AVG,45,7.2375,0.03333333,41.67058784,2.585997262,5.066551185
Catlett,Interior,CII-AVG,7.5,19.9,28.48333333,76.21288724,0.488147309,26.33704065
Catlett,Interior,CII-AVG,17.5,23.5,16.38333333,55.09673123,1.41327043,18.93229288
Catlett,Interior,CII-AVG,27.5,18,1.616666667,35.87040144,2.73299595,4.432780065
