#,"Gillen, M.N., Messerschmidt, T., Kirwan, M.L. 2000. Shear Stress, Biomass,"
#,"Bulk Density, Organic Matter on the Bank of the York River, VA 2018. Virginia"
#,"Coast Reserve Long-Term Ecological Research Project Data Publication"
#,"knb-lter-vcr.314.2"
#,"(http://www.vcrlter.virginia.edu/cgi-bin/showDataset.cgi?docid=knb-lter-vcr.314)"
#,
#,This dataset is distributed by the Virginia Coast Reserve Long-Term Ecological
#,Research Project and use is subject to the VCR/LTER Data Access Policy
#,(http://www.vcrlter.virginia.edu/data/docs/IMPolicy_VCRLTER06.pdf). Data users
#,working on scientific papers are encouraged to contact the data authors
#,regarding availability of updated data and/or possible collaborations.
#,
#,Full metadata descriptions are available at:
#,http://www.vcrlter.virginia.edu/cgi-bin/showDataset.cgi?docid=knb-lter-vcr.3
#,For additional information about the data contact: Matthew Kirwan
#,(kirwan@vims.edu)
#,
#,Collection and/or distribution of this data was supported by National Science
#,Foundation grants BSR-8702333-06; DEB-9211772; DEB-9411974; DEB-0080381,
#,DEB-0621014, DEB-1237733 and DEB-1832221. VCR/LTER:
#,http://www.vcrlter.virginia.edu
#,# # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # #
Site,Location,Depth,WC,BD,OM
Goodwin,Edge,1,61.41956137,0.257019318,12.81813115
Goodwin,Edge,2,73.07806471,0.245401007,21.35028212
Goodwin,Edge,3,71.90967364,0.137398462,32.41051778
Goodwin,Edge,4,72.18638601,0.052155075,30.27158987
Goodwin,Edge,5,69.97872235,0.096559304,20.2076809
Goodwin,Edge,6,73.49839113,0.094378881,25.7841484
Goodwin,Edge,7,70.86402266,0.196429031,17.69567331
Goodwin,Edge,8,72.32709004,0.180593114,19.37075879
Goodwin,Edge,9,70.21957766,0.146565787,17.18970572
Goodwin,Edge,10,73.85265983,0.266680023,19.68250179
Goodwin,Edge,11,72.25475842,0.301598617,16.68601583
Goodwin,Edge,12,73.85155828,0.2310134,19.05614881
Goodwin,Edge,13,73.30046812,0.205150722,19.24747867
Goodwin,Edge,14,73.89135077,0.387271723,19.33999096
Goodwin,Edge,15,72.02565873,0.309556364,17.24421594
Goodwin,Edge,16,71.66233813,0.248329458,22.12395052
Goodwin,Edge,17,68.05996676,0.308903829,14.84878149
Goodwin,Edge,18,73.94921859,0.298988476,19.28563824
Goodwin,Edge,19,79.25952193,0.363048341,27.4560519
Goodwin,Edge,20,79.33320756,0.12204001,28.79499218
Goodwin,Edge,21,81.51854649,0.140199589,29.84447724
