#,"Gillen, M.N., Messerschmidt, T., Kirwan, M.L. 2000. Shear Stress, Biomass,"
#,"Bulk Density, Organic Matter on the Bank of the York River, VA 2018. Virginia"
#,"Coast Reserve Long-Term Ecological Research Project Data Publication"
#,"knb-lter-vcr.314.2"
#,"(http://www.vcrlter.virginia.edu/cgi-bin/showDataset.cgi?docid=knb-lter-vcr.314)"
#,
#,This dataset is distributed by the Virginia Coast Reserve Long-Term Ecological
#,Research Project and use is subject to the VCR/LTER Data Access Policy
#,(http://www.vcrlter.virginia.edu/data/docs/IMPolicy_VCRLTER06.pdf). Data users
#,working on scientific papers are encouraged to contact the data authors
#,regarding availability of updated data and/or possible collaborations.
#,
#,Full metadata descriptions are available at:
#,http://www.vcrlter.virginia.edu/cgi-bin/showDataset.cgi?docid=knb-lter-vcr.3
#,For additional information about the data contact: Matthew Kirwan
#,(kirwan@vims.edu)
#,
#,Collection and/or distribution of this data was supported by National Science
#,Foundation grants BSR-8702333-06; DEB-9211772; DEB-9411974; DEB-0080381,
#,DEB-0621014, DEB-1237733 and DEB-1832221. VCR/LTER:
#,http://www.vcrlter.virginia.edu
#,# # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # #
Site,Location,SampleID,Depth,ShearStrength
Goodwin,Edge,GIE-1,7.5,6
Goodwin,Edge,GIE-1,17.5,0
Goodwin,Edge,GIE-1,27.5,0
Goodwin,Edge,GIE-1,37.5,8
Goodwin,Edge,GIE-1,47.5,26
Goodwin,Edge,GIE-1,57.5,42
Goodwin,Edge,GIE-1,67.5,33
Goodwin,Edge,GIE-1,77.5,14
Goodwin,Edge,GIE-1,87.5,11
Goodwin,Edge,GIE-1,97.5,16.5
Goodwin,Edge,GIE-2,7.5,0
Goodwin,Edge,GIE-2,17.5,0
Goodwin,Edge,GIE-2,27.5,0
Goodwin,Edge,GIE-2,37.5,24
Goodwin,Edge,GIE-2,47.5,18
Goodwin,Edge,GIE-2,57.5,26
Goodwin,Edge,GIE-2,67.5,43
Goodwin,Edge,GIE-2,77.5,25
Goodwin,Edge,GIE-2,87.5,27.5
Goodwin,Edge,GIE-2,97.5,14
Goodwin,Edge,GIE-3,7.5,0
Goodwin,Edge,GIE-3,17.5,0
Goodwin,Edge,GIE-3,27.5,0
Goodwin,Edge,GIE-3,37.5,10
Goodwin,Edge,GIE-3,47.5,33
Goodwin,Edge,GIE-3,57.5,42
Goodwin,Edge,GIE-3,67.5,25
Goodwin,Edge,GIE-3,77.5,26
Goodwin,Edge,GIE-3,87.5,17
Goodwin,Edge,GIE-3,97.5,19
Goodwin,Edge,GIE-4,7.5,0
Goodwin,Edge,GIE-4,17.5,8
Goodwin,Edge,GIE-4,27.5,13
Goodwin,Edge,GIE-4,37.5,24
Goodwin,Edge,GIE-4,47.5,36
Goodwin,Edge,GIE-4,57.5,35
Goodwin,Edge,GIE-4,67.5,33
Goodwin,Edge,GIE-4,77.5,25
Goodwin,Edge,GIE-4,87.5,20
Goodwin,Edge,GIE-4,97.5,19
Goodwin,Edge,GIE-5,7.5,0
Goodwin,Edge,GIE-5,17.5,0
Goodwin,Edge,GIE-5,27.5,6
Goodwin,Edge,GIE-5,37.5,18
Goodwin,Edge,GIE-5,47.5,21
Goodwin,Edge,GIE-5,57.5,32
Goodwin,Edge,GIE-5,67.5,30
Goodwin,Edge,GIE-5,77.5,35
Goodwin,Edge,GIE-5,87.5,30
Goodwin,Edge,GIE-5,97.5,16
Goodwin,Edge,GIE-6,7.5,6
Goodwin,Edge,GIE-6,17.5,0
Goodwin,Edge,GIE-6,27.5,0
Goodwin,Edge,GIE-6,37.5,0
Goodwin,Edge,GIE-6,47.5,9
Goodwin,Edge,GIE-6,57.5,37
Goodwin,Edge,GIE-6,67.5,33
Goodwin,Edge,GIE-6,77.5,27
Goodwin,Edge,GIE-6,87.5,35
Goodwin,Edge,GIE-6,97.5,29
Goodwin,Edge,GIE-7,7.5,0
Goodwin,Edge,GIE-7,17.5,0
Goodwin,Edge,GIE-7,27.5,0
Goodwin,Edge,GIE-7,37.5,6
Goodwin,Edge,GIE-7,47.5,0
Goodwin,Edge,GIE-7,57.5,8
Goodwin,Edge,GIE-7,67.5,22
Goodwin,Edge,GIE-7,77.5,31
Goodwin,Edge,GIE-7,87.5,36
Goodwin,Edge,GIE-7,97.5,23
Goodwin,Edge,GIE-8,7.5,0
Goodwin,Edge,GIE-8,17.5,11
Goodwin,Edge,GIE-8,27.5,7
Goodwin,Edge,GIE-8,37.5,10
Goodwin,Edge,GIE-8,47.5,6
Goodwin,Edge,GIE-8,57.5,14
Goodwin,Edge,GIE-8,67.5,11
Goodwin,Edge,GIE-8,77.5,37
Goodwin,Edge,GIE-8,87.5,55
Goodwin,Edge,GIE-8,97.5,32
Goodwin,Edge,GIE-9,7.5,5
Goodwin,Edge,GIE-9,17.5,24
Goodwin,Edge,GIE-9,27.5,0
Goodwin,Edge,GIE-9,37.5,0
Goodwin,Edge,GIE-9,47.5,0
Goodwin,Edge,GIE-9,57.5,
Goodwin,Edge,GIE-9,67.5,
Goodwin,Edge,GIE-9,77.5,
Goodwin,Edge,GIE-9,87.5,
Goodwin,Edge,GIE-9,97.5,
Goodwin,Edge,GIE-10,7.5,14
Goodwin,Edge,GIE-10,17.5,5
Goodwin,Edge,GIE-10,27.5,5
Goodwin,Edge,GIE-10,37.5,9
Goodwin,Edge,GIE-10,47.5,26
Goodwin,Edge,GIE-10,57.5,45
Goodwin,Edge,GIE-10,67.5,53
Goodwin,Edge,GIE-10,77.5,45
Goodwin,Edge,GIE-10,87.5,50
Goodwin,Edge,GIE-10,97.5,42
Goodwin,Interior,GII-1,7.5,51
Goodwin,Interior,GII-1,17.5,13
