#,"Gillen, M.N., Messerschmidt, T., Kirwan, M.L. 2000. Shear Stress, Biomass,"
#,"Bulk Density, Organic Matter on the Bank of the York River, VA 2018. Virginia"
#,"Coast Reserve Long-Term Ecological Research Project Data Publication"
#,"knb-lter-vcr.314.2"
#,"(http://www.vcrlter.virginia.edu/cgi-bin/showDataset.cgi?docid=knb-lter-vcr.314)"
#,
#,This dataset is distributed by the Virginia Coast Reserve Long-Term Ecological
#,Research Project and use is subject to the VCR/LTER Data Access Policy
#,(http://www.vcrlter.virginia.edu/data/docs/IMPolicy_VCRLTER06.pdf). Data users
#,working on scientific papers are encouraged to contact the data authors
#,regarding availability of updated data and/or possible collaborations.
#,
#,Full metadata descriptions are available at:
#,http://www.vcrlter.virginia.edu/cgi-bin/showDataset.cgi?docid=knb-lter-vcr.3
#,For additional information about the data contact: Matthew Kirwan
#,(kirwan@vims.edu)
#,
#,Collection and/or distribution of this data was supported by National Science
#,Foundation grants BSR-8702333-06; DEB-9211772; DEB-9411974; DEB-0080381,
#,DEB-0621014, DEB-1237733 and DEB-1832221. VCR/LTER:
#,http://www.vcrlter.virginia.edu
#,# # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # #
Site,Code,Point,Latitude,Longitude,Elevation
Goodwin,Edge,100,37.22125713,-76.40316643,0.0285
Goodwin,Edge,101,37.2212707,-76.40317393,0.178
Goodwin,Edge,102,37.22128538,-76.40317851,0.1319
Goodwin,Edge,103,37.22126806,-76.40317176,0.1589
Goodwin,1m,104,37.22126417,-76.4031854,0.3161
Goodwin,1m,105,37.22127814,-76.40319076,0.3438
Goodwin,1m,106,37.22126012,-76.40318229,0.3281
Goodwin,1m,107,37.22125413,-76.40318188,0.3031
Goodwin,Transect,108,37.22125588,-76.40317591,0.2358
Goodwin,Transect,109,37.22125133,-76.4032103,0.3278
Goodwin,Transect,110,37.22124363,-76.40324487,0.3276
Goodwin,Transect,111,37.22123829,-76.40327966,0.2989
Goodwin,Transect,112,37.22123284,-76.40331335,0.3106
Goodwin,Transect,113,37.22122807,-76.40334035,0.3066
Goodwin,Interior,114,37.22124348,-76.40334489,0.323
Goodwin,Interior,115,37.2212557,-76.40335049,0.3309
Goodwin,Interior,116,37.22121719,-76.40333248,0.31
Goodwin,Interior,117,37.2212033,-76.40332732,0.309
Catlett,Edge,100,37.29646759,-76.55360068,0.165
Catlett,Edge,101,37.29647451,-76.55359212,0.177
Catlett,Edge,102,37.29648217,-76.55358511,0.152
Catlett,Edge,103,37.29648876,-76.55357481,0.13
Catlett,1m,104,37.2964845,-76.55356857,0.221
Catlett,1m,105,37.29647624,-76.5535762,0.223
Catlett,1m,106,37.29646716,-76.55358347,0.244
Catlett,1m,107,37.29646037,-76.55359066,0.25
Catlett,Transect,117,37.29632159,-76.55361101,-0.188
Catlett,Transect,118,37.29632031,-76.55359467,-0.007
Catlett,Transect,119,37.29631796,-76.55357013,0.238
Catlett,Transect,120,37.29631792,-76.55353954,0.23
Catlett,Transect,121,37.29631242,-76.55351435,0.263
Catlett,Transect,122,37.29630493,-76.55347953,0.268
Catlett,Transect,123,37.29630149,-76.55345195,0.29
Catlett,Interior,130,37.29630686,-76.55343916,0.265
Catlett,Interior,131,37.29629587,-76.55344586,0.285
Catlett,Interior,132,37.29628327,-76.55344797,0.271
Catlett,Interior,133,37.29627588,-76.55346616,0.258
Catlett,Interior,134,37.29628812,-76.55346534,0.261
Taskinas,Interior,100,37.41542606,-76.71542059,0.4683
Taskinas,Interior,101,37.4154282,-76.7154314,0.4739
Taskinas,Interior,102,37.41542931,-76.71543899,0.4625
Taskinas,Interior,103,37.41543291,-76.71544932,0.4739
Taskinas,Interior,104,37.41543622,-76.71546402,0.4739
Taskinas,Transect,105,37.41545963,-76.71543156,0.4912
