"[ID, identification; cm, centimeter; N, number of times a single sample was run;  _m, micron; %, percent; _, phi particle size scale, mm; millimeters; g, gram; QA, quality assurance; QC, quality control;  T, QA guidelines were not met by the lab, if no concentration is reported, then the QC problem was judged to be severve enough to invalidate the results, if a concentration is reported it is to be used with discretion; D, there was insufficient material for analysis; 0, passed QA/QC inspection; nem, not enough material]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMPLE ID,DEPTH (cm),"SEDIMENT TEXTURE (Folk, 1954)",NUMBER OF RUNS (N),"MEAN GRAIN SIZE  (Folk and Ward, µm)","STANDARD DEVIATION (Folk and Ward, µm)","SORTING (Folk and Ward, µm)","STANDARD DEVIATION (Folk and Ward, µm)","SKEWNESS (Folk and Ward, µm)","STANDARD DEVIATION (Folk and Ward, µm)","KURTOSIS (Folk and Ward, µm)","STANDARD DEVIATION (Folk and Ward, µm)","MEAN GRAIN SIZE  (Folk and Ward, _)","STANDARD DEVIATION (Folk and Ward, _)","SORTING (Folk and Ward, _)","STANDARD DEVIATION (Folk and Ward, _)","SKEWNESS (Folk and Ward, _)","STANDARD DEVIATION (Folk and Ward, _)","KURTOSIS (Folk and Ward, _)","STANDARD DEVIATION (Folk and Ward, _)","MEAN GRAIN SIZE (Folk and Ward, Descriptive)","SORTING (Folk and Ward, Descriptive)","SKEWNESS (Folk and Ward, Descriptive)","KURTOSIS (Folk and Ward, Descriptive)","D10  (µm)",STANDARD DEVIATION D10 (µm),"D50  (µm)",STANDARD DEVIATION D50  (µm),"D90  (µm)",STANDARD DEVIATION D90  (µm),% SAND,STANDARD DEVIATION (%),% MUD,STANDARD DEVIATION (%),% VERY COARSE SAND,% COARSE SAND,% MEDIUM SAND,% FINE SAND,% VERY FINE SAND,% VERY COARSE SILT,% COARSE SILT,% MEDIUM SILT,% FINE SILT,% VERY FINE SILT,% CLAY,Coarse Flag > 1mm (g),QA/QC Flag,
15BIM09-DA40S,Surface Sample,Mud/Sandy Mud,N=8,7.50,0.46,4.925,0.169,0.038,0.004,0.907,0.016,7.061,0.088,2.299,0.050,-0.038,0.004,0.907,0.016,Fine Silt,Very Poorly Sorted,Symmetrical,Mesokurtic,1.01,0.02,7.52,0.56,62.71,7.21,10.0%,1.1%,90.0%,1.1%,0.0%,0.5%,1.2%,2.7%,5.6%,10.0%,13.5%,15.5%,16.2%,13.2%,21.6%,0.000,0,
15BIM09-DA42S,Surface Sample,Muddy Sand,N=8,133.31,54.45,5.087,1.676,-0.714,0.051,2.095,1.117,3.039,0.626,2.264,0.494,0.714,0.051,2.095,1.117,Very Fine Sand,Very Poorly Sorted,Very Fine Skewed,Very Leptokurtic,6.22,3.70,239.19,17.18,403.99,9.80,77.2%,7.2%,22.8%,7.2%,0.0%,3.1%,44.2%,25.0%,4.8%,3.1%,3.1%,3.2%,3.7%,3.3%,6.4%,0.000,T,
15BIM09-DA45S,Surface Sample,Sand,N=8,354.14,0.53,1.414,0.002,-0.031,0.004,1.061,0.007,1.498,0.002,0.500,0.002,0.031,0.004,1.061,0.007,Medium Sand,Moderately Well Sorted,Symmetrical,Mesokurtic,227.17,0.32,354.73,0.39,546.63,1.88,98.0%,0.1%,2.0%,0.1%,0.1%,15.3%,69.4%,12.6%,0.7%,0.4%,0.4%,0.3%,0.2%,0.2%,0.5%,0.000,0,
15BIM09-DA46S,Surface Sample,Sand,N=8,306.07,2.92,1.752,0.167,-0.290,0.062,2.113,0.459,1.708,0.014,0.802,0.138,0.290,0.062,2.113,0.459,Medium Sand,Moderately Sorted,Fine Skewed,Very Leptokurtic,174.27,10.60,311.46,1.81,482.99,1.67,94.5%,1.0%,5.5%,1.0%,0.0%,8.4%,64.3%,20.3%,1.4%,1.1%,1.1%,0.8%,0.7%,0.6%,1.3%,0.000,0,
15BIM09-DA51G,Surface Sample,Sand,N=8,392.09,1.59,1.409,0.004,0.027,0.010,1.008,0.007,1.351,0.006,0.495,0.004,-0.027,0.010,1.008,0.007,Medium Sand,Well Sorted,Symmetrical,Mesokurtic,254.01,1.85,389.88,1.12,613.64,4.20,99.1%,0.3%,0.9%,0.3%,0.3%,23.5%,67.1%,7.8%,0.5%,0.1%,0.1%,0.1%,0.1%,0.1%,0.3%,0.000,0,
15BIM09-DA52G,Surface Sample,Sand,N=8,376.07,2.65,1.787,0.171,-0.175,0.098,1.698,0.435,1.411,0.010,0.831,0.138,0.175,0.098,1.698,0.435,Medium Sand,Moderately Sorted,Fine Skewed,Very Leptokurtic,198.95,7.15,378.71,0.92,666.06,5.42,95.6%,0.9%,4.4%,0.9%,1.7%,23.5%,57.2%,12.1%,1.0%,0.5%,0.6%,0.7%,0.8%,0.6%,1.1%,0.045,0,
15BIM09-DA54G,Surface Sample,Sand,N=8,516.23,17.47,1.522,0.031,-0.056,0.024,1.090,0.056,0.955,0.049,0.606,0.030,0.056,0.024,1.090,0.056,Coarse Sand,Moderately Well Sorted,Symmetrical,Mesokurtic,301.00,17.15,517.26,16.81,862.05,18.68,97.5%,0.8%,2.5%,0.8%,4.5%,48.8%,40.9%,2.9%,0.3%,0.2%,0.3%,0.4%,0.5%,0.4%,0.7%,0.176,0,
15BIM09-DA56G,Surface Sample,Sand,N=8,523.10,1.32,1.393,0.004,-0.007,0.007,1.019,0.005,0.935,0.004,0.478,0.005,0.007,0.007,1.019,0.005,Coarse Sand,Well Sorted,Symmetrical,Mesokurtic,341.48,0.25,522.53,0.92,799.33,6.24,98.8%,0.0%,1.2%,0.0%,2.3%,53.0%,41.9%,1.4%,0.2%,0.1%,0.1%,0.2%,0.2%,0.2%,0.3%,0.082,0,
15BIM09-DA58G,Surface Sample,Sand,N=8,489.78,2.33,1.342,0.005,0.012,0.003,0.967,0.001,1.030,0.007,0.424,0.005,-0.012,0.003,0.967,0.001,Medium Sand,Well Sorted,Symmetrical,Mesokurtic,335.80,0.24,488.56,2.36,717.97,6.80,100.0%,0.0%,0.0%,0.0%,0.3%,46.6%,52.0%,1.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.036,0,
15BIM09-DA60G(L),Surface Sample,Sand,N=8,406.54,5.06,1.395,0.017,-0.086,0.036,1.213,0.096,1.299,0.018,0.480,0.018,0.086,0.036,1.213,0.096,Medium Sand,Well Sorted,Symmetrical,Leptokurtic,269.19,5.06,407.77,4.68,600.47,9.27,96.9%,0.5%,3.1%,0.5%,0.3%,24.4%,67.8%,4.0%,0.4%,0.3%,0.4%,0.5%,0.6%,0.5%,0.9%,0.000,0,
15BIM09-DA60G(R)frDA60(L),Surface Sample,Sand,N=8,406.70,3.62,1.496,0.084,-0.183,0.079,1.604,0.346,1.298,0.013,0.579,0.081,0.183,0.079,1.604,0.346,Medium Sand,Moderately Well Sorted,Fine Skewed,Very Leptokurtic,261.08,8.20,409.21,2.63,606.98,5.09,96.0%,0.7%,4.0%,0.7%,0.2%,25.2%,65.9%,4.3%,0.5%,0.4%,0.5%,0.7%,0.8%,0.6%,0.9%,0.000,0,
15BIM09-DA61GfrDA60(L)&(R),Surface Sample,Sand,N=8,394.03,2.09,1.951,0.085,-0.379,0.017,3.258,0.232,1.344,0.008,0.962,0.063,0.379,0.017,3.258,0.232,Medium Sand,Moderately Sorted,Very Fine Skewed,Extremely Leptokurtic,235.09,8.54,399.90,1.17,592.70,2.91,94.0%,0.5%,6.0%,0.5%,0.1%,22.8%,65.8%,4.6%,0.7%,0.6%,0.8%,1.0%,1.2%,0.9%,1.4%,0.000,0,
15BIM09-DA62G,Surface Sample,Sand,N=8,420.21,0.81,1.465,0.006,-0.004,0.008,1.037,0.011,1.251,0.003,0.550,0.006,0.004,0.008,1.037,0.011,Medium Sand,Moderately Well Sorted,Symmetrical,Mesokurtic,257.52,0.97,419.81,0.75,683.11,5.04,98.8%,0.2%,1.2%,0.2%,1.2%,30.9%,59.2%,7.2%,0.3%,0.1%,0.1%,0.2%,0.2%,0.2%,0.4%,0.180,0,
15BIM09-DA64G,Surface Sample,Sand,N=8,317.96,9.74,2.298,0.064,-0.307,0.021,2.584,0.161,1.654,0.044,1.200,0.040,0.307,0.021,2.584,0.161,Medium Sand,Poorly Sorted,Very Fine Skewed,Very Leptokurtic,145.64,11.22,319.43,8.10,590.30,21.37,92.9%,0.5%,7.1%,0.5%,0.5%,16.6%,53.5%,20.5%,1.7%,0.8%,1.1%,1.2%,1.3%,1.0%,1.6%,0.000,0,
15BIM09-DA66G,Surface Sample,Sand,N=8,566.54,4.30,1.502,0.008,-0.059,0.005,0.974,0.002,0.820,0.011,0.587,0.008,0.059,0.005,0.974,0.002,Coarse Sand,Moderately Well Sorted,Symmetrical,Mesokurtic,330.43,0.44,572.62,4.28,940.24,14.38,99.0%,0.0%,1.0%,0.0%,7.0%,55.5%,34.4%,2.0%,0.2%,0.1%,0.1%,0.1%,0.2%,0.2%,0.3%,0.263,0,
15BIM09-DA68G,Surface Sample,Sand,N=8,404.87,0.85,1.468,0.002,-0.065,0.003,1.036,0.003,1.304,0.003,0.554,0.002,0.065,0.003,1.036,0.003,Medium Sand,Moderately Well Sorted,Symmetrical,Mesokurtic,243.60,0.77,408.77,0.84,650.07,2.45,99.0%,0.0%,1.0%,0.0%,0.2%,29.1%,59.6%,9.7%,0.4%,0.1%,0.1%,0.2%,0.1%,0.2%,0.3%,0.018,0,
15BIM09-DA70G,Surface Sample,Sand,N=8,312.15,0.50,1.382,0.004,0.084,0.006,1.047,0.011,1.680,0.002,0.467,0.004,-0.084,0.006,1.047,0.011,Medium Sand,Well Sorted,Symmetrical,Mesokurtic,210.71,0.29,308.92,0.40,482.11,2.66,100.0%,0.0%,0.0%,0.0%,0.2%,8.4%,66.9%,24.2%,0.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.000,0,
15BIM09-DA71G,Surface Sample,Sand,N=8,369.21,0.89,1.525,0.004,0.017,0.004,1.044,0.006,1.437,0.003,0.609,0.004,-0.017,0.004,1.044,0.006,Medium Sand,Moderately Well Sorted,Symmetrical,Mesokurtic,216.33,0.20,365.55,0.78,638.09,4.87,98.2%,0.0%,1.8%,0.0%,0.6%,22.5%,59.6%,14.9%,0.6%,0.2%,0.2%,0.3%,0.3%,0.3%,0.6%,0.014,0,
15BIM09-DA72GfrDA71,Surface Sample,Sand,N=8,377.96,0.88,1.541,0.008,-0.023,0.009,1.072,0.020,1.404,0.003,0.623,0.008,0.023,0.009,1.072,0.020,Medium Sand,Moderately Well Sorted,Symmetrical,Mesokurtic,217.80,1.73,376.68,0.51,651.39,3.52,97.4%,0.3%,2.6%,0.3%,0.7%,24.4%,58.7%,13.0%,0.6%,0.3%,0.4%,0.5%,0.4%,0.3%,0.6%,0.000,0,
15BIM09-DA74G,Surface Sample,Sand,N=8,340.87,0.80,1.459,0.003,0.080,0.004,1.012,0.005,1.553,0.003,0.545,0.003,-0.080,0.004,1.012,0.005,Medium Sand,Moderately Well Sorted,Symmetrical,Mesokurtic,214.40,0.52,335.61,0.71,566.94,3.17,100.0%,0.0%,0.0%,0.0%,0.3%,15.8%,63.4%,20.3%,0.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.000,0,
15BIM09-DA76G,Surface Sample,Sand,N=8,521.25,2.28,1.439,0.007,-0.057,0.004,1.039,0.009,0.940,0.006,0.525,0.007,0.057,0.004,1.039,0.009,Coarse Sand,Moderately Well Sorted,Symmetrical,Mesokurtic,324.65,0.83,524.12,2.50,816.31,7.31,98.0%,0.1%,2.0%,0.1%,2.5%,52.7%,40.7%,1.9%,0.2%,0.2%,0.3%,0.3%,0.4%,0.3%,0.6%,0.037,0,
15BIM09-DA77G,Surface Sample,Sand,N=8,514.00,0.65,1.387,0.004,-0.008,0.004,0.981,0.005,0.960,0.002,0.472,0.004,0.008,0.004,0.981,0.005,Coarse Sand,Well Sorted,Symmetrical,Mesokurtic,336.26,1.49,514.06,0.47,782.28,3.44,99.5%,0.2%,0.5%,0.2%,1.5%,51.8%,44.7%,1.5%,0.1%,0.0%,0.1%,0.1%,0.0%,0.1%,0.2%,0.064,0,
15BIM09-DA78G,Surface Sample,Sand,N=8,486.48,1.45,1.456,0.005,0.007,0.003,0.991,0.002,1.040,0.004,0.542,0.004,-0.007,0.003,0.991,0.002,Medium Sand,Moderately Well Sorted,Symmetrical,Mesokurtic,300.99,0.18,484.67,1.13,791.05,6.07,99.4%,0.0%,0.6%,0.0%,2.5%,44.3%,49.3%,3.2%,0.2%,0.1%,0.1%,0.1%,0.1%,0.1%,0.2%,0.117,0,
15BIM09-DA80G,Surface Sample,Sand,N=8,433.48,1.19,1.367,0.002,-0.019,0.003,0.994,0.001,1.206,0.004,0.451,0.002,0.019,0.003,0.994,0.001,Medium Sand,Well Sorted,Symmetrical,Mesokurtic,288.94,0.68,434.08,1.01,645.17,3.16,99.3%,0.0%,0.7%,0.0%,0.0%,32.7%,62.9%,3.5%,0.2%,0.1%,0.1%,0.1%,0.1%,0.1%,0.2%,0.027,0,
15BIM09-DA81G,Surface Sample,Sand,N=8,326.69,2.82,1.476,0.002,-0.013,0.002,1.020,0.003,1.614,0.012,0.562,0.001,0.013,0.002,1.020,0.003,Medium Sand,Moderately Well Sorted,Symmetrical,Mesokurtic,197.48,1.58,326.84,2.60,537.11,5.46,98.6%,0.1%,1.4%,0.1%,0.0%,13.6%,61.9%,22.3%,0.7%,0.2%,0.1%,0.2%,0.2%,0.2%,0.5%,0.000,0,
15BIM09-DA82G,Surface Sample,Sand,N=8,326.32,3.97,1.505,0.012,-0.015,0.006,1.052,0.009,1.616,0.018,0.590,0.011,0.015,0.006,1.052,0.009,Medium Sand,Moderately Well Sorted,Symmetrical,Mesokurtic,193.29,0.38,326.18,4.15,547.96,9.94,97.9%,0.2%,2.1%,0.2%,0.2%,14.3%,60.3%,22.4%,0.7%,0.2%,0.2%,0.3%,0.4%,0.3%,0.7%,0.011,0,
15BIM09-DA83GfrDA82,Surface Sample,Sand,N=8,329.00,0.84,1.498,0.009,-0.005,0.008,1.043,0.011,1.604,0.004,0.583,0.009,0.005,0.008,1.043,0.011,Medium Sand,Moderately Well Sorted,Symmetrical,Mesokurtic,196.06,1.15,328.32,1.16,551.11,4.53,98.2%,0.1%,1.8%,0.1%,0.2%,14.6%,60.7%,22.0%,0.7%,0.2%,0.2%,0.3%,0.3%,0.3%,0.6%,0.016,0,
15BIM09-DA86G,Surface Sample,Sand,N=8,403.43,1.69,1.442,0.002,0.018,0.004,1.003,0.003,1.310,0.006,0.528,0.002,-0.018,0.004,1.003,0.003,Medium Sand,Moderately Well Sorted,Symmetrical,Mesokurtic,253.27,1.10,401.32,1.56,650.05,3.72,98.9%,0.1%,1.1%,0.1%,0.4%,27.4%,62.9%,7.9%,0.4%,0.1%,0.2%,0.2%,0.2%,0.2%,0.3%,0.023,0,
15BIM09-DA88G,Surface Sample,Sand,N=8,262.20,0.33,1.548,0.027,-0.187,0.021,1.542,0.097,1.931,0.002,0.630,0.025,0.187,0.021,1.542,0.097,Medium Sand,Moderately Well Sorted,Fine Skewed,Very Leptokurtic,158.68,0.68,264.50,0.24,409.39,1.12,95.3%,0.1%,4.7%,0.1%,0.0%,3.8%,52.9%,37.1%,1.5%,0.5%,0.6%,0.7%,0.8%,0.7%,1.3%,0.000,0,
15BIM09-DA90G,Surface Sample,Sand,N=8,248.43,4.00,2.328,0.162,-0.391,0.036,3.362,0.214,2.009,0.023,1.216,0.101,0.391,0.036,3.362,0.214,Medium Sand,Poorly Sorted,Very Fine Skewed,Extremely Leptokurtic,83.99,47.90,255.01,0.93,414.87,1.67,90.7%,1.6%,9.3%,1.6%,0.0%,4.6%,47.6%,36.7%,1.8%,1.1%,1.3%,1.5%,1.7%,1.4%,2.3%,0.000,0,
15BIM09-DA91G,Surface Sample,Sand,N=8,488.73,1.36,1.443,0.002,-0.025,0.004,0.998,0.002,1.033,0.004,0.529,0.002,0.025,0.004,0.998,0.002,Medium Sand,Moderately Well Sorted,Symmetrical,Mesokurtic,303.24,0.96,490.11,1.09,777.92,3.89,99.5%,0.0%,0.5%,0.0%,1.8%,46.1%,48.1%,3.3%,0.2%,0.1%,0.0%,0.1%,0.0%,0.1%,0.2%,0.034,0,
15BIM09-DA92G,Surface Sample,Sand,N=8,433.75,0.93,1.401,0.003,0.009,0.005,0.991,0.004,1.205,0.003,0.487,0.003,-0.009,0.005,0.991,0.004,Medium Sand,Well Sorted,Symmetrical,Mesokurtic,281.57,0.46,432.49,0.74,671.53,3.50,99.3%,0.1%,0.7%,0.1%,0.4%,33.2%,61.2%,4.2%,0.3%,0.1%,0.1%,0.1%,0.1%,0.1%,0.2%,0.000,0,
15BIM09-DA93G,Surface Sample,Muddy Sand,N=8,71.13,0.77,5.193,0.029,-0.724,0.005,2.075,0.135,3.813,0.016,2.377,0.008,0.724,0.005,2.075,0.135,Very Fine Sand,Very Poorly Sorted,Very Fine Skewed,Very Leptokurtic,3.65,0.06,159.75,0.90,279.44,2.45,75.4%,0.2%,24.6%,0.2%,0.0%,2.2%,12.3%,52.4%,8.5%,2.5%,3.1%,4.0%,4.5%,3.9%,6.5%,0.000,0,
15BIM09-DA94GfrDA93,Surface Sample,Muddy Sand,N=8,75.36,6.61,5.222,0.459,-0.713,0.008,2.538,0.892,3.736,0.127,2.379,0.127,0.713,0.008,2.538,0.892,Very Fine Sand,Very Poorly Sorted,Very Fine Skewed,Very Leptokurtic,3.76,0.64,163.48,0.84,293.95,8.64,77.5%,2.9%,22.5%,2.9%,0.0%,2.2%,14.3%,52.4%,8.5%,1.4%,2.8%,3.7%,4.2%,3.7%,6.7%,0.000,0,
15BIM09-DA95G,Surface Sample,Sand,N=8,316.53,2.94,1.442,0.001,-0.017,0.001,1.027,0.002,1.660,0.013,0.528,0.001,0.017,0.001,1.027,0.002,Medium Sand,Moderately Well Sorted,Symmetrical,Mesokurtic,197.09,1.76,316.80,2.92,503.80,4.38,98.4%,0.0%,1.6%,0.0%,0.0%,10.4%,63.9%,23.4%,0.7%,0.2%,0.2%,0.2%,0.2%,0.2%,0.6%,0.000,0,
15BIM09-DA96G,Surface Sample,Sand,N=8,407.61,3.35,1.424,0.004,-0.001,0.003,1.009,0.004,1.295,0.012,0.510,0.004,0.001,0.003,1.009,0.004,Medium Sand,Moderately Well Sorted,Symmetrical,Mesokurtic,258.66,1.47,407.06,3.06,642.58,7.68,99.1%,0.0%,0.9%,0.0%,0.3%,27.9%,63.4%,7.2%,0.4%,0.1%,0.1%,0.1%,0.1%,0.2%,0.3%,0.018,0,
15BIM09-DA97G,Surface Sample,Sand,N=8,414.43,4.47,1.410,0.008,0.028,0.010,1.025,0.005,1.271,0.016,0.496,0.008,-0.028,0.010,1.025,0.005,Medium Sand,Well Sorted,Symmetrical,Mesokurtic,269.28,1.61,411.54,3.72,649.23,13.24,98.8%,0.0%,1.2%,0.0%,0.5%,28.2%,64.4%,5.3%,0.3%,0.2%,0.2%,0.2%,0.1%,0.2%,0.3%,0.000,0,
15BIM09-DA98G,Surface Sample,Sand,N=8,362.14,0.20,1.353,0.002,0.046,0.002,0.994,0.003,1.465,0.001,0.436,0.002,-0.046,0.002,0.994,0.003,Medium Sand,Well Sorted,Symmetrical,Mesokurtic,247.66,0.32,359.67,0.25,540.02,1.03,100.0%,0.0%,0.0%,0.0%,0.1%,14.7%,74.5%,10.4%,0.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.000,0,
15BIM09-DA100G,Surface Sample,Sand,N=8,255.97,0.99,1.575,0.023,-0.105,0.026,1.350,0.082,1.966,0.006,0.656,0.021,0.105,0.026,1.350,0.082,Medium Sand,Moderately Well Sorted,Fine Skewed,Leptokurtic,149.76,1.09,256.22,0.87,426.81,2.14,95.5%,0.2%,4.5%,0.2%,0.0%,5.2%,47.4%,40.9%,2.0%,0.5%,0.6%,0.7%,0.8%,0.7%,1.3%,0.000,0,
15BIM09-DA102G,Surface Sample,Muddy Sand,N=8,35.88,5.58,7.389,0.217,-0.381,0.131,0.718,0.019,4.818,0.226,2.885,0.042,0.381,0.131,0.718,0.019,Very Coarse Silt,Very Poorly Sorted,Very Fine Skewed,Platykurtic,1.56,0.10,63.60,21.79,286.12,2.37,49.3%,3.1%,50.7%,3.1%,0.1%,2.0%,13.1%,27.0%,7.1%,7.0%,8.3%,8.5%,8.3%,6.5%,12.1%,0.028,0,
15BIM09-DA103G,Surface Sample,Sandy Mud,N=8,8.77,0.04,5.045,0.024,-0.018,0.012,0.904,0.008,6.833,0.007,2.335,0.007,0.018,0.012,0.904,0.008,Medium Silt,Very Poorly Sorted,Symmetrical,Platykurtic,1.08,0.01,9.40,0.14,70.71,1.21,11.3%,0.2%,88.7%,0.2%,0.0%,0.4%,1.1%,3.8%,6.0%,12.4%,15.1%,15.3%,15.1%,11.7%,19.1%,0.000,0,
