study_id,site_id,core_id,year,month,day,latitude,longitude,position_method,salinity_class,salinity_method,vegetation_class,vegetation_method,habitat,inundation_class,inundation_method,core_length_flag
Costa_et_al_2023,Galapagos-Carthago Grande (CG)-I,Galapagos-Carthago Grande (CG)-I-1,2015,4,10,-0.625645,-90.9348,handheld,mixoeuhaline,field observation,forested to shrub,field observation,mangrove,low,field observation,core depth represents deposit depth
Costa_et_al_2023,Galapagos-Carthago Grande (CG)-I,Galapagos-Carthago Grande (CG)-I-2,2015,4,10,-0.625645,-90.9348,handheld,mixoeuhaline,field observation,forested to shrub,field observation,mangrove,low,field observation,core depth represents deposit depth
Costa_et_al_2023,Galapagos-Carthago Grande (CG)-I,Galapagos-Carthago Grande (CG)-I-3,2015,4,10,-0.625645,-90.9348,handheld,mixoeuhaline,field observation,forested to shrub,field observation,mangrove,low,field observation,core depth represents deposit depth
Costa_et_al_2023,Galapagos-Carthago Grande (CG)-II,Galapagos-Carthago Grande (CG)-II-1,2015,4,10,-0.629,-90.920109,handheld,mixoeuhaline,field observation,forested to shrub,field observation,mangrove,low,field observation,core depth represents deposit depth
Costa_et_al_2023,Galapagos-Carthago Chica (CC)-I,Galapagos-Carthago Chica (CC)-I-1,2015,4,11,-0.658014,-90.863225,handheld,mixoeuhaline,field observation,scrub shrub,field observation,mangrove,low,field observation,core depth represents deposit depth
Costa_et_al_2023,Galapagos-Carthago Chica (CC)-II,Galapagos-Carthago Chica (CC)-II-1,2015,4,11,-0.653216,-90.868574,handheld,mixoeuhaline,field observation,scrub shrub,field observation,mangrove,low,field observation,core depth represents deposit depth
Costa_et_al_2023,Galapagos-Carthago Chica (CC)-III,Galapagos-Carthago Chica (CC)-III-1,2015,4,11,-0.653009,-90.865779,handheld,mixoeuhaline,field observation,scrub shrub,field observation,mangrove,low,field observation,core depth limited by length of corer
Costa_et_al_2023,Galapagos-Norte (N)-I,Galapagos-Norte (N)-I-1,2015,4,12,0.161576,-91.345364,handheld,mixoeuhaline,field observation,scrub shrub,field observation,mangrove,low,field observation,core depth represents deposit depth
Costa_et_al_2023,Galapagos-Norte (N)-III,Galapagos-Norte (N)-III-1,2015,4,12,0.160178,-91.361832,handheld,mixoeuhaline,field observation,scrub shrub,field observation,mangrove,low,field observation,core depth represents deposit depth
Costa_et_al_2023,Galapagos-Norte (N)-IV,Galapagos-Norte (N)-IV-1,2015,4,12,0.155076,-91.365055,handheld,mixoeuhaline,field observation,scrub shrub,field observation,mangrove,low,field observation,core depth represents deposit depth
Costa_et_al_2023,Galapagos-Poza de Patillos (PP)-I,Galapagos-Poza de Patillos (PP)-I-1,2015,4,13,-0.343705,-91.388415,handheld,mixoeuhaline,field observation,forested,field observation,mangrove,low,field observation,core depth represents deposit depth
