study_id,site_id,core_id,method_id,depth_min,depth_max,sample_id,dry_bulk_density,fraction_organic_matter,cs137_activity,cs137_activity_se,cs137_unit,excess_pb210_activity,excess_pb210_activity_se,total_pb210_activity,total_pb210_activity_se,pb210_unit,delta_c13
Strand_et_al_2024,CSI-Core,CSI-Core_1,single set of methods,0,2,A1-Core1,2.1,0.03,0.02,0.03,disintegrationsPerMinutePerGram,11.62,1.24,12.62,1.23,disintegrationsPerMinutePerGram,-25.6
Strand_et_al_2024,CSI-Core,CSI-Core_1,single set of methods,2,4,NA,1.63,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,CSI-Core,CSI-Core_1,single set of methods,4,6,NA,1.33,0.11,0.17,0.05,disintegrationsPerMinutePerGram,0,0.22,2.55,0.2,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-Core,CSI-Core_1,single set of methods,6,8,NA,1.09,0.13,NA,NA,NA,1.55,0.23,2.68,0.21,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-Core,CSI-Core_1,single set of methods,8,10,NA,1.04,0.17,0.19,0.05,disintegrationsPerMinutePerGram,1.68,0.29,3.82,0.27,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-Core,CSI-Core_1,single set of methods,10,12,NA,1.1,0.16,NA,NA,NA,2.82,0.25,3.14,0.23,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-Core,CSI-Core_1,single set of methods,12,14,A2-core 1,0.72,0.29,NA,NA,NA,2.14,0.33,4.62,0.32,disintegrationsPerMinutePerGram,-25.9
Strand_et_al_2024,CSI-Core,CSI-Core_1,single set of methods,14,16,NA,0.65,0.25,0.26,0.07,disintegrationsPerMinutePerGram,3.62,0.28,3.67,0.26,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-Core,CSI-Core_1,single set of methods,16,18,NA,0.79,0.21,0.53,0.05,disintegrationsPerMinutePerGram,2.67,0.15,1.15,0.11,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-Core,CSI-Core_1,single set of methods,18,20,NA,0.54,0.3,0.62,0.05,disintegrationsPerMinutePerGram,0.15,0.29,3.81,0.28,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-Core,CSI-Core_1,single set of methods,20,22,NA,0.58,0.3,NA,NA,NA,2.81,0.39,5.54,0.38,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-Core,CSI-Core_1,single set of methods,22,24,NA,0.53,0.34,NA,NA,NA,4.54,0.43,6.09,0.42,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-Core,CSI-Core_1,single set of methods,24,26,NA,0.47,0.37,NA,NA,NA,5.09,0.39,5.47,0.38,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-Core,CSI-Core_1,single set of methods,26,28,NA,0.39,0.41,NA,NA,NA,4.47,0.35,4.79,0.33,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-Core,CSI-Core_1,single set of methods,28,30,NA,0.39,0.41,NA,NA,NA,3.79,0.29,3.76,0.27,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-Core,CSI-Core_1,single set of methods,30,32,A3-Core1,0.35,0.43,NA,NA,NA,2.76,0.24,3.03,0.22,disintegrationsPerMinutePerGram,-18.62
Strand_et_al_2024,CSI-Core,CSI-Core_1,single set of methods,32,34,NA,0.34,0.49,NA,NA,NA,2.03,0.22,2.76,0.19,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-Core,CSI-Core_1,single set of methods,34,36,NA,0.33,0.5,NA,NA,NA,1.76,0.2,2.29,0.17,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-Core,CSI-Core_1,single set of methods,36,38,NA,0.38,0.45,NA,NA,NA,1.29,0.2,2.43,0.18,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-Core,CSI-Core_1,single set of methods,38,40,NA,0.41,0.43,NA,NA,NA,1.43,0.2,2.37,0.18,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-Core,CSI-Core_1,single set of methods,40,42,NA,0.43,0.47,NA,NA,NA,1.37,0.2,2.17,0.17,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-Core,CSI-Core_1,single set of methods,42,44,NA,0.27,0.5,NA,NA,NA,1.17,0.2,2.4,0.18,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-Core,CSI-Core_1,single set of methods,44,46,NA,0.27,0.54,NA,NA,NA,1.4,0.21,2.09,0.18,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-Core,CSI-Core_1,single set of methods,46,48,NA,0.33,0.58,NA,NA,NA,1.09,0.19,1.79,0.16,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-Core,CSI-Core_1,single set of methods,48,50,A4-Core 1,0.3,0.55,NA,NA,NA,0.79,0.18,1.44,0.15,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-Core,CSI-Core_1,single set of methods,40,42,NA,0.59,0.31,NA,NA,NA,1.37,0.2,2.17,0.17,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-Core,CSI-Core_1,single set of methods,42,44,NA,0.41,0.44,NA,NA,NA,1.17,0.2,2.4,0.18,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-Core,CSI-Core_1,single set of methods,44,46,NA,0.41,NA,NA,NA,NA,1.4,0.21,2.09,0.18,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-Core,CSI-Core_1,single set of methods,46,48,NA,0.47,0.53,NA,NA,NA,1.09,0.19,1.79,0.16,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-Core,CSI-Core_1,single set of methods,48,50,NA,0.4,0.58,NA,NA,NA,0.79,0.18,1.44,0.15,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-Core,CSI-Core_1,single set of methods,50,52,A5-Core 1,0.39,0.58,NA,NA,NA,NA,NA,NA,NA,NA,-27
Strand_et_al_2024,CSI-Core,CSI-Core_1,single set of methods,52,54,NA,0.52,0.56,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,CSI-Core,CSI-Core_1,single set of methods,54,56,NA,0.5,0.56,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,CSI-Core,CSI-Core_1,single set of methods,56,58,NA,0.43,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,CSI-Core,CSI-Core_1,single set of methods,58,60,NA,0.37,0.64,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,CSI-Core,CSI-Core_1,single set of methods,60,62,NA,0.37,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,CSI-Core,CSI-Core_1,single set of methods,62,64,A6-Core 1,0.36,0.61,NA,NA,NA,NA,NA,NA,NA,NA,-22.6
Strand_et_al_2024,CSI-Core,CSI-Core_1,single set of methods,64,66,NA,0.44,0.62,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,CSI-Core,CSI-Core_1,single set of methods,66,68,NA,0.37,0.58,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,CSI-Core,CSI-Core_1,single set of methods,68,70,NA,0.35,0.56,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,CSI-Core,CSI-Core_1,single set of methods,70,72,NA,0.37,0.59,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,CSI-Core,CSI-Core_1,single set of methods,72,74,NA,0.33,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,CSI-Core,CSI-Core_1,single set of methods,74,76,A7-Core 1,0.37,0.57,NA,NA,NA,NA,NA,NA,NA,NA,-23.3
Strand_et_al_2024,CSI-Core,CSI-Core_1,single set of methods,76,78,NA,0.44,0.51,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,CSI-Core,CSI-Core_1,single set of methods,78,80,NA,0.41,0.59,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,CSI-Core,CSI-Core_1,single set of methods,80,82,NA,0.35,0.62,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,CSI-Core,CSI-Core_1,single set of methods,82,84,NA,0.38,0.59,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,CSI-Core,CSI-Core_1,single set of methods,84,86,NA,0.38,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,CSI-Core,CSI-Core_1,single set of methods,86,88,NA,0.35,0.57,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,CSI-Core,CSI-Core_1,single set of methods,88,90,A8-Core 1,0.32,0.56,NA,NA,NA,NA,NA,NA,NA,NA,-24.6
Strand_et_al_2024,CSI-Core,CSI-Core_2,single set of methods,0,2,A9-Core 2,0.4,0.48,0.16,0.09,disintegrationsPerMinutePerGram,3.93,0.35,4.88,0.32,disintegrationsPerMinutePerGram,-22.9
Strand_et_al_2024,CSI-Core,CSI-Core_2,single set of methods,2,4,NA,0.29,0.55,0.5,0.1,disintegrationsPerMinutePerGram,15.56,1.07,16.51,1.06,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-Core,CSI-Core_2,single set of methods,4,6,NA,0.27,0.44,NA,NA,NA,12.93,0.91,13.87,0.9,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-Core,CSI-Core_2,single set of methods,6,8,NA,0.29,0.48,NA,NA,NA,10.68,0.78,11.63,0.77,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-Core,CSI-Core_2,single set of methods,8,10,NA,0.29,0.55,0.82,0.08,disintegrationsPerMinutePerGram,8.08,0.6,11.63,0.59,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-Core,CSI-Core_2,single set of methods,10,12,NA,0.25,0.63,NA,NA,NA,8.06,0.66,9.03,0.65,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-Core,CSI-Core_2,single set of methods,12,14,NA,0.24,0.7,NA,NA,NA,6.66,0.61,9.01,0.6,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-Core,CSI-Core_2,single set of methods,14,16,A10-core 2,0.32,0.6,NA,NA,NA,7.71,0.62,7.61,0.6,disintegrationsPerMinutePerGram,-27.8
Strand_et_al_2024,CSI-Core,CSI-Core_2,single set of methods,16,18,NA,0.27,0.58,2.32,0.13,disintegrationsPerMinutePerGram,6.21,0.52,8.65,0.5,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-Core,CSI-Core_2,single set of methods,18,20,NA,0.31,0.58,1.23,0.15,disintegrationsPerMinutePerGram,4.76,0.41,7.16,0.39,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-Core,CSI-Core_2,single set of methods,20,22,NA,0.4,0.51,0.88,0.12,disintegrationsPerMinutePerGram,3.25,0.32,5.7,0.3,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-Core,CSI-Core_2,single set of methods,22,24,NA,0.49,0.48,NA,NA,NA,2.71,0.29,4.19,0.26,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-Core,CSI-Core_2,single set of methods,24,26,NA,0.42,0.46,NA,NA,NA,1.7,0.23,3.66,0.18,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-Core,CSI-Core_2,single set of methods,26,28,NA,0.48,0.47,NA,NA,NA,1.5,0.21,2.64,0.16,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-Core,CSI-Core_2,single set of methods,28,30,NA,0.54,0.51,NA,NA,NA,0.99,0.2,2.45,0.15,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-Core,CSI-Core_2,single set of methods,30,32,A11-Core 2,0.42,0.52,NA,NA,NA,0.82,0.19,1.94,0.14,disintegrationsPerMinutePerGram,-27.7
Strand_et_al_2024,CSI-Core,CSI-Core_2,single set of methods,32,34,NA,0.39,0.52,NA,NA,NA,0.2,0.16,1.77,0.09,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-Core,CSI-Core_2,single set of methods,34,36,NA,0.35,0.54,NA,NA,NA,0.11,0.17,1.15,0.1,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-Core,CSI-Core_2,single set of methods,36,38,NA,0.34,0.56,NA,NA,NA,0.12,0.16,1.06,0.09,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-Core,CSI-Core_2,single set of methods,38,40,NA,0.3,0.57,NA,NA,NA,0.1,0.19,1.04,0.14,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-Core,CSI-Core_2,single set of methods,40,42,NA,0.27,0.58,NA,NA,NA,0,0.19,0.92,0.14,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-Core,CSI-Core_2,single set of methods,42,44,NA,0.3,0.59,NA,NA,NA,0,0.17,0.9,0.11,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-Core,CSI-Core_2,single set of methods,44,46,NA,0.27,0.61,NA,NA,NA,0,0.16,0.72,0.1,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-Core,CSI-Core_2,single set of methods,46,48,NA,0.27,0.61,NA,NA,NA,0.11,0.18,1.06,0.12,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-Core,CSI-Core_2,single set of methods,48,50,A12-core 2,0.27,0.62,NA,NA,NA,0,0.17,0.81,0.11,disintegrationsPerMinutePerGram,-27.5
Strand_et_al_2024,CSI-Core,CSI-Core_2,single set of methods,40,42,NA,0.36,0.55,NA,NA,NA,0,0.19,0.92,0.14,disintegrationsPerMinutePerGram,NA
