study_id,site_id,core_id,depth_min,depth_max,dry_bulk_density,fraction_carbon,depth_interval_notes,representative_depth_min,representative_depth_max,method_id
Kauffman_et_al_2020,Blind Slough Swamp,COL-BLI-TS-1,5,10,0.4945964789959909,0.05847192764282227,vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate,0,15,single set of methods
Kauffman_et_al_2020,Blind Slough Swamp,COL-BLI-TS-1,20,25,0.3724943350183022,0.09421598434448242,vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate,15,30,single set of methods
Kauffman_et_al_2020,Blind Slough Swamp,COL-BLI-TS-1,37,42,0.6446749172041136,0.05155980110168457,vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate,30,50,single set of methods
Kauffman_et_al_2020,Blind Slough Swamp,COL-BLI-TS-1,72,77,0.5651908663064319,0.05876053810119629,vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate,50,100,single set of methods
Kauffman_et_al_2020,Blind Slough Swamp,COL-BLI-TS-1,NA,NA,0.4814362907442914,0.07380803108215332,vertical slice of 5cm taken within the given representative depth range,100,250,single set of methods
Kauffman_et_al_2020,Blind Slough Swamp,COL-BLI-TS-2,5,10,0.34382081227122185,0.10398167610168456,vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate,0,15,single set of methods
Kauffman_et_al_2020,Blind Slough Swamp,COL-BLI-TS-2,20,25,0.3400732089942479,0.125911865234375,vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate,15,30,single set of methods
Kauffman_et_al_2020,Blind Slough Swamp,COL-BLI-TS-2,37,42,0.3770263203765034,0.11226216316223143,vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate,30,50,single set of methods
Kauffman_et_al_2020,Blind Slough Swamp,COL-BLI-TS-2,72,77,0.4758584626111208,0.11043665885925293,vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate,50,100,single set of methods
Kauffman_et_al_2020,Blind Slough Swamp,COL-BLI-TS-2,NA,NA,0.45651037127418514,0.06093482494354248,vertical slice of 5cm taken within the given representative depth range,100,280,single set of methods
Kauffman_et_al_2020,Blind Slough Swamp,COL-BLI-TS-3,5,10,0.5119400383475684,0.0712577486038208,vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate,0,15,single set of methods
Kauffman_et_al_2020,Blind Slough Swamp,COL-BLI-TS-3,20,25,0.5401777932717449,0.05667919635772705,vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate,15,30,single set of methods
Kauffman_et_al_2020,Blind Slough Swamp,COL-BLI-TS-3,37,42,0.44430887223287424,0.08489937782287597,vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate,30,50,single set of methods
Kauffman_et_al_2020,Blind Slough Swamp,COL-BLI-TS-3,72,77,0.5613561094648771,0.06340590953826904,vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate,50,100,single set of methods
Kauffman_et_al_2020,Blind Slough Swamp,COL-BLI-TS-3,NA,NA,0.4668816454592994,0.11315502166748048,vertical slice of 5cm taken within the given representative depth range,100,185,single set of methods
Kauffman_et_al_2020,Blind Slough Swamp,COL-BLI-TS-4,5,10,0.2921387484748126,0.15569501876831054,vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate,0,15,single set of methods
Kauffman_et_al_2020,Blind Slough Swamp,COL-BLI-TS-4,20,25,0.3465225727732265,0.1151687240600586,vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate,15,30,single set of methods
Kauffman_et_al_2020,Blind Slough Swamp,COL-BLI-TS-4,37,42,0.4997385393062576,0.0722115135192871,vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate,30,50,single set of methods
Kauffman_et_al_2020,Blind Slough Swamp,COL-BLI-TS-4,72,77,0.36011852884782997,0.13502658843994142,vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate,50,100,single set of methods
Kauffman_et_al_2020,Blind Slough Swamp,COL-BLI-TS-4,NA,NA,0.4565975248387659,0.07360744953155518,vertical slice of 5cm taken within the given representative depth range,100,250,single set of methods
Kauffman_et_al_2020,Blind Slough Swamp,COL-BLI-TS-5,5,10,0.2991981872058567,0.10446544647216796,vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate,0,15,single set of methods
Kauffman_et_al_2020,Blind Slough Swamp,COL-BLI-TS-5,20,25,0.2542269478821684,0.1256147003173828,vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate,15,30,single set of methods
Kauffman_et_al_2020,Blind Slough Swamp,COL-BLI-TS-5,37,42,0.40988321422346174,0.0848724365234375,vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate,30,50,single set of methods
Kauffman_et_al_2020,Blind Slough Swamp,COL-BLI-TS-5,72,77,0.5210040090639707,0.07733548641204833,vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate,50,100,single set of methods
Kauffman_et_al_2020,Blind Slough Swamp,COL-BLI-TS-5,NA,NA,0.3074777758410319,0.12423506736755371,vertical slice of 5cm taken within the given representative depth range,100,250,single set of methods
Kauffman_et_al_2020,Blind Slough Swamp,COL-BLI-TS-6,5,10,0.3146243681366569,0.11061055183410644,vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate,0,15,single set of methods
Kauffman_et_al_2020,Blind Slough Swamp,COL-BLI-TS-6,20,25,0.3771134739410842,0.09222117424011232,vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate,15,30,single set of methods
Kauffman_et_al_2020,Blind Slough Swamp,COL-BLI-TS-6,37,42,0.4681889489280112,0.07835079669952393,vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate,30,50,single set of methods
Kauffman_et_al_2020,Blind Slough Swamp,COL-BLI-TS-6,72,77,0.40343385044448327,0.11323396682739258,vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate,50,100,single set of methods
