study_id,site_id,core_id,year,latitude,longitude,position_notes,elevation_datum,elevation_method,elevation_notes,salinity_class,vegetation_class,vegetation_method,habitat,core_length_flag
McClellan_et_al_2021,S01,S01-1,2016,29.946667,-93.410833,triplicate samples were collected haphazardly within 10 m of these coordinates,NAVD88,RTK,Site elevation: 0.24 ± 0.03,saline,NA,measurement,unvegetated,core depth represents deposit depth
McClellan_et_al_2021,S06,S06-1,2016,29.937778,-93.400833,triplicate samples were collected haphazardly within 10 m of these coordinates,NAVD88,RTK,Site elevation: 0.1 ± 0.03,saline,emergent,measurement,marsh,core depth limited by length of corer
McClellan_et_al_2021,S14,S14-1,2016,29.961667,-93.413056,triplicate samples were collected haphazardly within 10 m of these coordinates,NAVD88,RTK,Site elevation: 0.1 ± 0.03,saline,emergent,measurement,marsh,core depth limited by length of corer
McClellan_et_al_2021,S33,S33-1,2016,29.918889,-93.346667,triplicate samples were collected haphazardly within 10 m of these coordinates,NAVD88,RTK,Site elevation: 0.32 ± 0.03,saline,emergent,measurement,marsh,core depth limited by length of corer
McClellan_et_al_2021,S50,S50-1A,2016,29.926944,-93.438056,triplicate samples were collected haphazardly within 10 m of these coordinates,NAVD88,RTK,Site elevation: 0.13 ± 0.01,saline,emergent,measurement,marsh,core depth limited by length of corer
McClellan_et_al_2021,S50,S50-4B,2016,29.944167,-93.439167,triplicate samples were collected haphazardly within 10 m of these coordinates,NAVD88,RTK,Site elevation: 0.07 ± 0.02,saline,emergent,measurement,marsh,core depth limited by length of corer
McClellan_et_al_2021,S01,S01-2,2016,29.946667,-93.410833,triplicate samples were collected haphazardly within 10 m of these coordinates,NAVD88,RTK,Site elevation: 0.24 ± 0.03,saline,NA,measurement,unvegetated,core depth represents deposit depth
McClellan_et_al_2021,S06,S06-2,2016,29.937778,-93.400833,triplicate samples were collected haphazardly within 10 m of these coordinates,NAVD88,RTK,Site elevation: 0.1 ± 0.03,saline,emergent,measurement,marsh,core depth limited by length of corer
McClellan_et_al_2021,S14,S14-2,2016,29.961667,-93.413056,triplicate samples were collected haphazardly within 10 m of these coordinates,NAVD88,RTK,Site elevation: 0.1 ± 0.03,saline,emergent,measurement,marsh,core depth limited by length of corer
McClellan_et_al_2021,S33,S33-2,2016,29.918889,-93.346667,triplicate samples were collected haphazardly within 10 m of these coordinates,NAVD88,RTK,Site elevation: 0.32 ± 0.03,saline,emergent,measurement,marsh,core depth limited by length of corer
McClellan_et_al_2021,S50,S50-2A,2016,29.926944,-93.438056,triplicate samples were collected haphazardly within 10 m of these coordinates,NAVD88,RTK,Site elevation: 0.13 ± 0.01,saline,emergent,measurement,marsh,core depth limited by length of corer
McClellan_et_al_2021,S50,S50-5B,2016,29.944167,-93.439167,triplicate samples were collected haphazardly within 10 m of these coordinates,NAVD88,RTK,Site elevation: 0.07 ± 0.02,saline,emergent,measurement,marsh,core depth limited by length of corer
McClellan_et_al_2021,S01,S01-3,2016,29.946667,-93.410833,triplicate samples were collected haphazardly within 10 m of these coordinates,NAVD88,RTK,Site elevation: 0.24 ± 0.03,saline,NA,measurement,unvegetated,core depth represents deposit depth
McClellan_et_al_2021,S06,S06-3,2016,29.937778,-93.400833,triplicate samples were collected haphazardly within 10 m of these coordinates,NAVD88,RTK,Site elevation: 0.1 ± 0.03,saline,emergent,measurement,marsh,core depth limited by length of corer
McClellan_et_al_2021,S14,S14-3,2016,29.961667,-93.413056,triplicate samples were collected haphazardly within 10 m of these coordinates,NAVD88,RTK,Site elevation: 0.1 ± 0.03,saline,emergent,measurement,marsh,core depth limited by length of corer
McClellan_et_al_2021,S33,S33-3,2016,29.918889,-93.346667,triplicate samples were collected haphazardly within 10 m of these coordinates,NAVD88,RTK,Site elevation: 0.32 ± 0.03,saline,emergent,measurement,marsh,core depth limited by length of corer
McClellan_et_al_2021,S50,S50-3A,2016,29.926944,-93.438056,triplicate samples were collected haphazardly within 10 m of these coordinates,NAVD88,RTK,Site elevation: 0.13 ± 0.01,saline,emergent,measurement,marsh,core depth limited by length of corer
McClellan_et_al_2021,S50,S50-6B,2016,29.944167,-93.439167,triplicate samples were collected haphazardly within 10 m of these coordinates,NAVD88,RTK,Site elevation: 0.07 ± 0.02,saline,emergent,measurement,marsh,core depth limited by length of corer
McClellan_et_al_2021,W16,W16-1,2016,29.501111,-91.480833,triplicate samples were collected haphazardly within 10 m of these coordinates,NAVD88,LiDAR,Site elevation: 0.02 ± 0.05,fresh,forested to emergent,measurement,swamp,core depth limited by length of corer
McClellan_et_al_2021,W29,W29-1,2016,29.5125,-91.465556,triplicate samples were collected haphazardly within 10 m of these coordinates,NAVD88,LiDAR,Site elevation: 0.53 ± 0.02,fresh,forested to emergent,measurement,swamp,core depth limited by length of corer
McClellan_et_al_2021,W41,W41-1,2016,29.532222,-91.436111,triplicate samples were collected haphazardly within 10 m of these coordinates,NAVD88,LiDAR,Site elevation: 0.51 ± 0.06,fresh,forested to emergent,measurement,swamp,core depth limited by length of corer
McClellan_et_al_2021,W60,W60-1,2016,29.554167,-91.428333,triplicate samples were collected haphazardly within 10 m of these coordinates,NAVD88,LiDAR,Site elevation: 0.5 ± 0.1,fresh,forested to emergent,measurement,swamp,core depth limited by length of corer
McClellan_et_al_2021,W16,W16-2,2016,29.501111,-91.480833,triplicate samples were collected haphazardly within 10 m of these coordinates,NAVD88,LiDAR,Site elevation: 0.02 ± 0.05,fresh,forested to emergent,measurement,swamp,core depth limited by length of corer
McClellan_et_al_2021,W29,W29-2,2016,29.5125,-91.465556,triplicate samples were collected haphazardly within 10 m of these coordinates,NAVD88,LiDAR,Site elevation: 0.53 ± 0.02,fresh,forested to emergent,measurement,swamp,core depth limited by length of corer
McClellan_et_al_2021,W41,W41-2,2016,29.532222,-91.436111,triplicate samples were collected haphazardly within 10 m of these coordinates,NAVD88,LiDAR,Site elevation: 0.51 ± 0.06,fresh,forested to emergent,measurement,swamp,core depth limited by length of corer
McClellan_et_al_2021,W60,W60-2,2016,29.554167,-91.428333,triplicate samples were collected haphazardly within 10 m of these coordinates,NAVD88,LiDAR,Site elevation: 0.5 ± 0.1,fresh,forested to emergent,measurement,swamp,core depth limited by length of corer
McClellan_et_al_2021,W16,W16-3,2016,29.501111,-91.480833,triplicate samples were collected haphazardly within 10 m of these coordinates,NAVD88,LiDAR,Site elevation: 0.02 ± 0.05,fresh,forested to emergent,measurement,swamp,core depth limited by length of corer
McClellan_et_al_2021,W29,W29-3,2016,29.5125,-91.465556,triplicate samples were collected haphazardly within 10 m of these coordinates,NAVD88,LiDAR,Site elevation: 0.53 ± 0.02,fresh,forested to emergent,measurement,swamp,core depth limited by length of corer
McClellan_et_al_2021,W41,W41-3,2016,29.532222,-91.436111,triplicate samples were collected haphazardly within 10 m of these coordinates,NAVD88,LiDAR,Site elevation: 0.51 ± 0.06,fresh,forested to emergent,measurement,swamp,core depth limited by length of corer
McClellan_et_al_2021,W60,W60-3,2016,29.554167,-91.428333,triplicate samples were collected haphazardly within 10 m of these coordinates,NAVD88,LiDAR,Site elevation: 0.5 ± 0.1,fresh,forested to emergent,measurement,swamp,core depth limited by length of corer
