study_id,site_id,core_id,method_id,depth_min,depth_max,sample_id,dry_bulk_density,fraction_carbon,marker_type,marker_date
Curtis_et_al_2022,HSF,HSF1,single set of methods,0,10,HSF1_1,0.594,0.0869,artificial horizon,2013
Curtis_et_al_2022,HSF,HSF1,single set of methods,10,20,HSF1_2,0.667,0.0563,artificial horizon,2013
Curtis_et_al_2022,HSF,HSF1,single set of methods,20,30,HSF1_3,0.697,0.0439,artificial horizon,2013
Curtis_et_al_2022,HSF,HSF1,single set of methods,30,40,HSF1_4,0.627,0.0533,artificial horizon,2013
Curtis_et_al_2022,HSF,HSF1,single set of methods,40,50,HSF1_5,0.668,0.0468,artificial horizon,2013
Curtis_et_al_2022,HSF,HSF1,single set of methods,50,60,HSF1_6,0.823,0.0221,artificial horizon,2013
Curtis_et_al_2022,HSF,HSF1,single set of methods,60,70,HSF1_7,0.946,0.0136,artificial horizon,2013
Curtis_et_al_2022,HSF,HSF1,single set of methods,70,80,HSF1_8,1.081,0.0109,artificial horizon,2013
Curtis_et_al_2022,HSF,HSF1,single set of methods,80,90,HSF1_9,1.038,0.0135,artificial horizon,2013
Curtis_et_al_2022,HSF,HSF1,single set of methods,90,100,HSF1_10,1.002,0.0129,artificial horizon,2013
Curtis_et_al_2022,HSF,HSF2,single set of methods,0,10,HSF2_1,0.624,0.0827,artificial horizon,2013
Curtis_et_al_2022,HSF,HSF2,single set of methods,10,20,HSF2_2,0.714,0.0748,artificial horizon,2013
Curtis_et_al_2022,HSF,HSF2,single set of methods,20,30,HSF2_3,0.79,0.0508,artificial horizon,2013
Curtis_et_al_2022,HSF,HSF2,single set of methods,30,40,HSF2_4,0.895,0.0264,artificial horizon,2013
Curtis_et_al_2022,HSF,HSF2,single set of methods,40,50,HSF2_5,0.808,0.0248,artificial horizon,2013
Curtis_et_al_2022,HSF,HSF2,single set of methods,50,60,HSF2_6,0.805,0.0257,artificial horizon,2013
Curtis_et_al_2022,HSF,HSF2,single set of methods,60,70,HSF2_7,0.9,0.0237,artificial horizon,2013
Curtis_et_al_2022,HSF,HSF2,single set of methods,70,80,HSF2_8,0.922,0.0208,artificial horizon,2013
Curtis_et_al_2022,HSF,HSF2,single set of methods,80,90,HSF2_9,0.875,0.0255,artificial horizon,2013
Curtis_et_al_2022,HSF,HSF2,single set of methods,90,100,HSF2_10,0.831,0.0299,artificial horizon,2013
Curtis_et_al_2022,JNF,JNF1,single set of methods,0,10,JNF1_1,0.628,0.0993,artificial horizon,2013
Curtis_et_al_2022,JNF,JNF1,single set of methods,10,20,JNF1_2,0.675,0.0682,artificial horizon,2013
Curtis_et_al_2022,JNF,JNF1,single set of methods,20,30,JNF1_3,0.705,0.0441,artificial horizon,2013
