study_id,coring_method,roots_flag,sediment_sieved_flag,compaction_flag,dry_bulk_density_temperature,dry_bulk_density_sample_volume,dry_bulk_density_flag,loss_on_ignition_temperature,loss_on_ignition_time,carbon_measured_or_modeled,carbonates_removed,fraction_carbon_method,fraction_carbon_type,cs137_counting_method,sediment_sieve_size,dry_bulk_density_time,loss_on_ignition_sample_mass,loss_on_ignition_flag,carbonate_removal_method,carbon_profile_notes,pb210_counting_method,excess_pb210_rate,excess_pb210_model,ra226_assumption,c14_counting_method,dating_notes,age_depth_model_reference,fraction_carbon_flag,pb210_background_assumption,dbd_1_cm_section_sample_volume,dbd_2_cm_section_sample_volume,loi_1_cm_section_sample_volume,loi_2_cm_section_sample_volume
Ensign_et_al_2020,piston corer,roots and rhizomes included,sediment not sieved,compaction quantified,60,56.745,air dried to constant mass,550,4,measured,FALSE,EA,total carbon,gamma,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weis_et_al_2001,hargas corer,NA,NA,NA,95,NA,NA,550,2,NA,NA,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Watson_and_Byrne_2013,russian corer,NA,NA,NA,104,NA,NA,550,2,NA,NA,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,AMS,NA,NA,NA,NA,NA,NA,NA,NA
Vaughn_et_al_2020,vibracore,roots and rhizomes included,sediment sieved,no obvious compaction,NA,76.97,freeze dried,NA,NA,measured,TRUE,EA,organic carbon,gamma,NA,NA,NA,NA,acid fumigation,NA,gamma,NA,CRS,each sample,AMS,NA,CE,NA,NA,NA,NA,NA,NA
Thorne_et_al_2015,none specified,NA,NA,not specified,550,NA,to constant mass,550,8,NA,NA,NA,NA,gamma,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thom_1992,PVC tube or thin-walled metal tube,NA,NA,corer limits compaction,90,NA,NA,500,1,NA,NA,NA,NA,gamma,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
StLaurent_et_al_2020,pvc and hammer,roots and rhizomes separated,sediment sieved,compaction qualified,50,5,time approximate,450,8,NA,FALSE,EA,organic carbon,NA,1,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sanborn_and_Coxson_2020,soil pit,roots and rhizomes included,sediment not sieved,NA,105,550,NA,NA,NA,measured,FALSE,NA,total carbon,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Poppe_Rybczyk_2018,pvc and hammer,roots and rhizomes included,sediment sieved,no obvious compaction,NA,NA,to constant mass,500,24,NA,FALSE,not specified,not specified,gamma,0.5,72,NA,NA,NA,Modeled fraction carbon values available in https://doi.org/10.25573/data.10005248,gamma,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Poppe_Rybczyk_2019,pvc and hammer,roots and rhizomes included,sediment sieved,no obvious compaction,60,NA,to constant mass,500,8,NA,FALSE,local regression,organic carbon,gamma,0.5,96,NA,NA,NA,Modeled fraction carbon values available in https://doi.org/10.25573/data.10005248,gamma,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Poppe_et_al_2019,pvc and hammer,roots and rhizomes included,sediment sieved,no obvious compaction,60,NA,to constant mass,500,8,NA,FALSE,local regression,organic carbon,gamma,0.5,96,NA,NA,NA,Modeled fraction carbon values available in https://doi.org/10.25573/data.10005248,gamma,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,pvc and hammer,roots and rhizomes separated,sediment sieved,compaction quantified,60,NA,time approximate,550,4,measured,TRUE,EA,organic carbon,gamma,NA,24,1,NA,direct acid treatment,NA,gamma,mass accumulation and accretion,CRS and CIC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nolte_2020,pvc and hammer,roots and rhizomes included,sediment not sieved,compaction quantified,105,NA,to constant mass,550,4,NA,FALSE,NA,NA,gamma,NA,52,5,NA,NA,NA,gamma,NA,NA,each sample,NA,NA,core collection date,NA,NA,NA,NA,NA,NA
Noe_et_al_2016,NA,roots and rhizomes separated,NA,NA,60,NA,air dried to constant mass,NA,NA,measured,NA,EA,organic carbon,NA,NA,NA,NA,NA,NA,NA,alpha,NA,CRS,NA,NA,NA,core collection date,NA,NA,NA,NA,NA,NA
Nahlik_and_Fennessy_2016,soil pit,NA,sediment sieved,NA,NA,NA,NA,NA,NA,measured,TRUE,EA,organic carbon,NA,2,NA,NA,NA,direct acid treatment,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Messerschmidt_and_Kirwan_2020,push core,NA,NA,no obvious compaction,60,NA,to constant mass,550,6,NA,NA,NA,NA,gamma,NA,72,5,NA,NA,NA,gamma,NA,CRS,NA,NA,NA,CE,NA,NA,NA,NA,NA,NA
McTigue_et_al_2020,russian corer,roots and rhizomes included,sediment not sieved,corer limits compaction,60,NA,to constant mass,450,6,NA,TRUE,EA,organic carbon,NA,NA,NA,NA,time approximate,direct acid treatment,NA,alpha,mass accumulation,CFCS,NA,AMS,NA,core collection date,NA,NA,NA,NA,NA,NA
Luk_et_al_2020_a,piston corer,roots and rhizomes separated,sediment sieved,no obvious compaction,60,NA,air dried to constant mass,NA,NA,measured,TRUE,EA,total carbon,NA,1,NA,NA,NA,acid fumigation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020_b,piston corer,NA,NA,no obvious compaction,NA,NA,freeze dried,NA,NA,NA,NA,NA,NA,gamma,NA,168,NA,NA,NA,NA,gamma,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lagomasino_et_al_2019,none specified,NA,NA,NA,NA,NA,modeled,550,4,NA,NA,NA,NA,gamma,NA,NA,NA,NA,NA,NA,alpha,accretion,CFCS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
