study_id,bibliography_id,publication_type,bibtype,doi,url,author,keywords,title,publisher,year,copyright,month,volume,number,pages,journal,school,key,editor,booktitle,institution,language
Ensign_et_al_2020,Ensign_et_al_2020_data,primary,Misc,10.25573/SERC.13483332,https://smithsonian.figshare.com/articles/dataset/Dataset_Head_of_tide_bottleneck_of_particulate_material_transport_from_watersheds_to_estuaries/13483332,Scott H. Ensign and Gregory B. Noe and Cliff R. Hupp and Katherine J. Skalak,"Soil Science, 50301 Carbon Sequestration Science, FOS: Agriculture, forestry and fisheries, FOS: Agriculture, forestry and fisheries",Dataset: Head of tide bottleneck of particulate material transport from watersheds to estuaries,The Smithsonian Institution,2021,Creative Commons Attribution 4.0 International,jan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ensign_et_al_2020,Ensign_et_al_2015_article,associated,Article,10.1002/2015gl066830,https://doi.org/10.1002/2015gl066830,Scott H. Ensign and Gregory B. Noe and Cliff R. Hupp and Katherine J. Skalak,NA,Head-of-tide bottleneck of particulate material transport from watersheds to estuaries,American Geophysical Union ({AGU}),2015,NA,dec,42,24,"10,671--10,679",Geophysical Research Letters,NA,NA,NA,NA,NA,NA
Weis_et_al_2001,Weis_et_al_2001_thesis,associated,Mastersthesis,NA,NA,"Weis, Daniel Anthony",NA,Vertical accretion rates and heavy metal chronologies in wetland sediments of Tijuana Estuary,NA,1999,NA,NA,NA,NA,NA,NA,San Diego State University,NA,NA,NA,NA,NA
Weis_et_al_2001,Weis_et_al_2001_article,associated,Article,10.2307/1353175,https://doi.org/10.2307/1353175,Daniel A. Weis and John C. Callaway and Richard M. Gersberg,NA,Vertical Accretion Rates and Heavy Metal Chronologies in Wetland Sediments of the Tijuana Estuary,Springer Science and Business Media {LLC},2001,NA,dec,24,6,840,Estuaries,NA,NA,NA,NA,NA,NA
Watson_and_Byrne_2013,Watson_and_Byrne_2013,Article,Article,10.1007/s12237-013-9598-z,https://doi.org/10.1007/s12237-013-9598-z,Elizabeth Burke Watson and Roger Byrne,NA,"Late Holocene Marsh Expansion in Southern San Francisco Bay, California",Springer Science and Business Media {LLC},2013,NA,feb,36,3,643--653,Estuaries and Coasts,NA,Watson_and_Byrne_2013,NA,NA,NA,NA
Vaughn_et_al_2020,Vaughn_et_al_2020_data,primary,Misc,10.25573/SERC.10552004,https://smithsonian.figshare.com/articles/dataset/Dataset_Increased_Organic_Carbon_Burial_in_Northern_Florida_Mangrove-Salt_Marsh_Transition_Zones/10552004/1,Derrick Vaughn and Thomas Bianchi and Michael Shields and William Kenney and Todd Osborne,"50301 Carbon Sequestration Science, FOS: Agriculture, forestry and fisheries, FOS: Agriculture, forestry and fisheries, Soil Science",Dataset: Increased Organic Carbon Burial in Northern Florida Mangrove-Salt Marsh Transition Zones,The Smithsonian Institution,2021,Creative Commons Attribution 4.0 International,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trettin_et_al_2017,Trettin_et_al_2017_data,primary,Misc,10.2737/rds-2017-0053,https://doi.org/10.2737/rds-2017-0053,Carl C. Trettin and Christina E. Stringer and Stanley J. Zarnoch and Wenwu Tang and Zhaohua Dai,NA,"Mangrove carbon stocks in Zambezi River Delta, Mozambique",Forest Service Research Data Archive,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thorne_et_al_2015,Thorne_et_al_2015_data,primary,Misc,10.5066/F7SJ1HNC,https://www.sciencebase.gov/catalog/item/5006e99ee4b0abf7ce733f58,U.S. Geological Survey {Karen Thorne},USGS Data Release,Marshes to Mudflats: Climate Change Effects Along a Latitudinal Gradient in the Pacific Northwest,U.S. Geological Survey,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thorne_et_al_2015,Thorne_et_al_2015_article,associated,Article,10.1126/sciadv.aao3270,https://doi.org/10.1126/sciadv.aao3270,Karen Thorne and Glen MacDonald and Glenn Guntenspergen and Richard Ambrose and Kevin Buffington and Bruce Dugger and Chase Freeman and Christopher Janousek and Lauren Brown and Jordan Rosencranz and James Holmquist and John Smol and Kathryn Hargan and John Takekawa,NA,U.S. Pacific coastal wetland resilience and vulnerability to sea-level rise,American Association for the Advancement of Science ({AAAS}),2018,NA,feb,4,2,eaao3270,Science Advances,NA,NA,NA,NA,NA,NA
Thom_1992,Thom_1992_data,primary,Misc,10.25573/DATA.10046189,https://smithsonian.figshare.com/articles/Dataset_Accretion_rates_of_low_intertidal_salt_marshes_in_the_Pacific_Northwest/10046189,Ronald M. Thom,"Soil Science, 50301 Carbon Sequestration Science, FOS: Agriculture, forestry and fisheries",Dataset: Accretion rates of low intertidal salt marshes in the Pacific Northwest,The Smithsonian Institution,2019,CC BY 4.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thom_1992,Thom_1992_article,associated,Article,10.1007/bf03160603,https://doi.org/10.1007/bf03160603,Ronald M. Thom,NA,Accretion rates of low intertidal salt marshes in the Pacific Northwest,Springer Science and Business Media {LLC},1992,NA,dec,12,3,147--156,Wetlands,NA,NA,NA,NA,NA,NA
StLaurent_et_al_2020,StLaurent_et_al_2020_data,primary,Misc,10.25573/SERC.13315472,https://smithsonian.figshare.com/articles/dataset/Dataset_Assessing_coastal_carbon_variability_in_two_Delaware_tidal_marshes/13315472,Kari A. St. Laurent and Daniel J. Hribar and Annette J. Carlson and {Calyn M. Crawford} and {Drexel Siok},"Soil Science, 50301 Carbon Sequestration Science, FOS: Agriculture, forestry and fisheries, FOS: Agriculture, forestry and fisheries",Dataset: Assessing coastal carbon variability in two Delaware tidal marshes,The Smithsonian Institution,2020,Creative Commons Attribution 4.0 International,dec,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
