study_id,site_id,core_id,year,core_notes,latitude,longitude,position_method,salinity_class,salinity_method,vegetation_class,vegetation_method,inundation_class,inundation_method,month,day,position_accuracy,position_notes,elevation,elevation_datum,elevation_accuracy,elevation_method,elevation_notes,salinity_notes,vegetation_notes,habitat,inundation_notes,core_length_flag
Ensign_et_al_2020,Choptank River,ChoptankUpperTidal,2012,head of tide,38.93827,-75.8288,handheld,fresh,measurement,forested,field observation,high,measurement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ensign_et_al_2020,Choptank River,ChoptankMiddleTidal,2012,tidal forest,38.89963,-75.8319,handheld,fresh,measurement,forested,field observation,high,measurement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ensign_et_al_2020,Choptank River,ChoptankLowerTidal,2012,oligohaline marsh,38.82333,-75.8703,handheld,oligohaline,measurement,emergent,field observation,high,measurement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ensign_et_al_2020,Pocomoke River,PocomokeUpperTidal,2012,head of tide,38.20018,-75.3832,handheld,fresh,measurement,forested,field observation,high,measurement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ensign_et_al_2020,Pocomoke River,PocomokeMiddleTidal,2012,tidal forest,38.12899,-75.4696,handheld,fresh,measurement,forested,field observation,high,measurement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ensign_et_al_2020,Pocomoke River,PocomokeLowerTidal,2012,oligohaline marsh,38.04877,-75.6499,handheld,oligohaline,measurement,emergent,field observation,high,measurement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ensign_et_al_2020,Choptank River,ChoptankNontidal,2012,nontidal riparian floodplain,38.99748,-75.7859,handheld,fresh,measurement,forested,field observation,mid,measurement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ensign_et_al_2020,Pocomoke River,PocomokeNontidal,2012,nontidal riparian floodplain,38.22175,-75.3646,handheld,fresh,measurement,forested,field observation,mid,measurement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weis_et_al_2001,Tijuana_Estuary,Tijuana_Estuary_East_low,1998,NA,32.567032,-117.130867,NA,saline,NA,emergent,NA,low,NA,9,1,NA,latitude and longitude were extracted from a relatively high quality map figure,NA,NA,NA,NA,NA,NA,NA,NA,NA,core depth limited by length of corer
Weis_et_al_2001,Tijuana_Estuary,Tijuana_Estuary_East_mid_1,1998,NA,32.567032,-117.130867,NA,saline,NA,emergent,NA,mid,NA,9,1,NA,latitude and longitude were extracted from a relatively high quality map figure,NA,NA,NA,NA,NA,NA,NA,NA,NA,core depth limited by length of corer
Weis_et_al_2001,Tijuana_Estuary,Tijuana_Estuary_East_mid_2,1998,NA,32.567032,-117.130867,NA,saline,NA,emergent,NA,mid,NA,9,1,NA,latitude and longitude were extracted from a relatively high quality map figure,NA,NA,NA,NA,NA,NA,NA,NA,NA,core depth limited by length of corer
Weis_et_al_2001,Tijuana_Estuary,Tijuana_Estuary_West_low,1998,NA,32.567032,-117.130867,NA,saline,NA,emergent,NA,low,NA,9,1,NA,latitude and longitude were extracted from a relatively high quality map figure,NA,NA,NA,NA,NA,NA,NA,NA,NA,core depth limited by length of corer
Weis_et_al_2001,Tijuana_Estuary,Tijuana_Estuary_West_mid_1,1998,NA,32.567032,-117.130867,NA,saline,NA,emergent,NA,mid,NA,9,1,NA,latitude and longitude were extracted from a relatively high quality map figure,NA,NA,NA,NA,NA,NA,NA,NA,NA,core depth limited by length of corer
Weis_et_al_2001,Tijuana_Estuary,Tijuana_Estuary_West_mid_2,1998,NA,32.567032,-117.130867,NA,saline,NA,emergent,NA,mid,NA,9,1,NA,latitude and longitude were extracted from a relatively high quality map figure,NA,NA,NA,NA,NA,NA,NA,NA,NA,core depth limited by length of corer
Watson_and_Byrne_2013,Bair_Island,Bair_Island_1,NA,NA,32.567032,-117.130867,NA,saline,NA,emergent,NA,NA,NA,NA,NA,NA,latitude and longitude were extracted from a relatively high quality map figure,NA,NA,NA,NA,NA,NA,NA,NA,NA,core depth represents deposit depth
Watson_and_Byrne_2013,Bair_Island,Bair_Island_2,NA,NA,32.567032,-117.130867,NA,saline,NA,emergent,NA,NA,NA,NA,NA,NA,latitude and longitude were extracted from a relatively high quality map figure,NA,NA,NA,NA,NA,NA,NA,NA,NA,core depth represents deposit depth
Watson_and_Byrne_2013,Bair_Island,Bair_Island_3,NA,NA,32.567032,-117.130867,NA,saline,NA,emergent,NA,NA,NA,NA,NA,NA,latitude and longitude were extracted from a relatively high quality map figure,NA,NA,NA,NA,NA,NA,NA,NA,NA,core depth represents deposit depth
