study_id,site_id,core_id,depth_min,depth_max,dry_bulk_density,fraction_organic_matter,fraction_carbon,cs137_activity,cs137_activity_se,total_pb210_activity,total_pb210_activity_se,ra226_activity,ra226_activity_se,excess_pb210_activity,excess_pb210_activity_se,age,age_se,delta_c13,pb210_unit,ra226_unit,cs137_unit,method_id
Breithaupt_et_al_2020,NMg,BWB1A,0,2,0.29,0.43,0.23,0,0,4.69,0.23,0.99,0.27,3.75,0.36,4.6,2.2,-27.37,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,single set of methods
Breithaupt_et_al_2020,NMg,BWB1A,10,11,0.27,0.37,0.16,0,0,2.51,0.1,1.27,0.26,1.26,0.29,22.5,2.9,-27.27,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,single set of methods
Breithaupt_et_al_2020,NMg,BWB1A,11,12,0.41,0.28,0.2,0,0,2.61,0.09,0.93,0.25,1.71,0.27,28.6,3.2,-27.29,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,single set of methods
Breithaupt_et_al_2020,NMg,BWB1A,12,13,0.39,0.29,0.14,0,0,3.05,0.14,0.66,0.27,2.44,0.31,39.6,4,-27.48,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,single set of methods
Breithaupt_et_al_2020,NMg,BWB1A,13,14,0.33,0.32,0.08,0,0,2.31,0.13,1.23,0.26,1.1,0.3,44.9,4.3,-27.63,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,single set of methods
Breithaupt_et_al_2020,NMg,BWB1A,14,15,0.33,0.3,0.1,0,0,1.74,0.11,1.42,0.29,0.33,0.31,46.7,4.2,-27.57,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,single set of methods
Breithaupt_et_al_2020,NMg,BWB1A,15,16,0.37,0.28,0.12,0,0,2.91,0.13,1.23,0.26,1.71,0.3,59.8,5.3,NA,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,single set of methods
Breithaupt_et_al_2020,NMg,BWB1A,16,17,0.38,0.3,0.14,0,0,2.63,0.13,1.04,0.3,1.61,0.33,81.3,7.8,-27.51,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,single set of methods
Breithaupt_et_al_2020,NMg,BWB1A,17,18,0.3,0.45,0.2,0,0,2.12,0.1,1.03,0.31,1.1,0.33,104.1,12,NA,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,single set of methods
Breithaupt_et_al_2020,NMg,BWB1A,18,19,0.29,0.31,0.12,0,0,1.95,0.1,1.2,0.28,0.76,0.3,143.9,27.3,-27.5,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,single set of methods
Breithaupt_et_al_2020,NMg,BWB1A,19,20,0.26,0.3,NA,0,0,1.49,0.11,1.15,0.28,0.35,0.3,NA,NA,NA,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,single set of methods
Breithaupt_et_al_2020,NMg,BWB1A,2,4,0.22,0.38,0.17,0,0,5.03,0.22,0.88,0.32,4.21,0.39,9.1,2.4,-27.2,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,single set of methods
Breithaupt_et_al_2020,NMg,BWB1A,4,6,0.23,0.36,0.12,0,0,4.28,0.19,1.12,0.3,3.21,0.36,13.2,2.6,-27.54,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,single set of methods
