table,attribute_name,attribute_definition,required,data_type,format_unit_codes,number,data_category,parent_data_category,quality_class,uncontrolled,conditional_on,conditional_variables,conditional_on_absence
methods,study_id,"Unique identifier for the study made up of the first author's family name, as well as the second author's family name or et al. if more than three, then publication year separated by underscores.",required,character,NA,NA,NA,NA,NA,NA,NA,NA,NA
methods,method_id,Unique identification code used to distinguish cores or sampling intervals that were collected or processed using different methods.,required,character,NA,NA,NA,NA,NA,NA,NA,NA,NA
methods,coring_method,Code indicating what type of device was used to collect soil depth profiles.,encouraged,factor,"cryo core = A technique involving collecting a core by freezing soil using liquid nitrogen to a copper tube; gouge auger = A half cylinder coring device in which the coring section is open, not sealed off by a fin; hargas corer = A large diameter (>10 cm) coring device consisting of a tube, piston, and a cutting head; mcauley corer = A half cylinder coring device with the coring section sealed off by a fin attached to a rotating pivot point; mccaffrey peat cutter = U-shaped blade that extracts a core by cutting down through peat; none specified = No coring device was specified; other shallow corer = Any other type of coring device typically taking cores shallower than 30 centimeters; piston corer = A device that extrudes core into tube upward with a plunger; push core = Any number of coring types involving driving a tube into the sediment to recover a core; pvc and hammer = PVC pipe was driven into the sediment with a hammer to recover a core; russian corer = A half cylinder coring device with the coring section sealed off by a fin attached to a rotating pivot point; vibracore = A technique involving collecting a core by sinking a continuous pipe into sediment attaching a source of vibration, then recovering using a winch and pulley; surface sample = A technique involving collecting a core shallower than ~5 cm using a circular metal cutter.; soil pit = A pit is dug from the surface of the soil to the underlying bedrock.",NA,NA,NA,NA,NA,NA,NA,NA
methods,roots_flag,Code indicating whether live roots were included or excluded from carbon assessments.,encouraged,factor,roots and rhizomes included = Roots and rhizomes were included in dry bulk density and or organic matter and carbon measurements; roots and rhizomes separated = Roots and rhizomes were separated from soil before dry bulk density and or organic matter and carbon measurements.,NA,NA,carbon_stock,NA,NA,NA,NA,NA
methods,sediment_sieved_flag,Code indicating whether or not sediment was sieved prior to carbon measurements.,encouraged,factor,sediment sieved = Sediment was sieved prior to analysis for organics; sediment not sieved = Sediment was not sieved prior to analysis for organics.,NA,NA,NA,NA,NA,NA,NA,NA
methods,sediment_sieve_size,"If sediment was sieved, the size of sieve used.",conditional,numeric,millimeter,real,NA,NA,NA,NA,sediment_sieved_flag,sediment sieved,NA
methods,compaction_flag,Code indicating how the authors qualified or quantified compaction of the core.,optional,factor,compaction qualified = Compaction was at least qualified and noted by the authors; compaction quantified = Compaction was quantified and corrected for in core based measurements; corer limits compaction = Authors specified that the coring device's design minimized compaction; no obvious compaction = Authors observed no obvious compaction; not specified = Compaction was not specified.,NA,NA,NA,NA,NA,NA,NA,NA
methods,dry_bulk_density_temperature,Temperature at which samples were dried to measure dry bulk density. This can include either samples that were freeze dried or oven dried.,encouraged,numeric,celsius,real,dry_bulk_density,carbon_stock,NA,NA,NA,NA,NA
methods,dry_bulk_density_time,Time over which samples were dried to measure dry bulk density.,encouraged,numeric,hour,integer,dry_bulk_density,carbon_stock,NA,NA,NA,NA,NA
methods,dry_bulk_density_sample_volume,"Sample volume used for bulk density measurements, if held constant.",encouraged,numeric,centimeterCubed,real,dry_bulk_density,carbon_stock,NA,NA,NA,NA,dry_bulk_density_sample_mass
