attribute_name,variable_name,variable_definition
corresponding_author,TRUE,The author should be contacted with any further questions.
corresponding_author,FALSE,The author should not be contacted with any further questions.
publication_type,article,Journal article
publication_type,book,Book
publication_type,mastersthesis,Master's Thesis
publication_type,misc,Miscellaneous publications such as online datasets
publication_type,phdthesis,PhD thesis or dissertation
publication_type,techreport,Technical report
publication_type,primary,TBD.
publication_type,associated,TBD.
publication_type,synthesis,TBD.
publication_type,unpublished,Unpublished source.
coring_method,cryo core,A technique involving collecting a core by freezing soil using liquid nitrogen to a copper tube
coring_method,gouge auger,"A half cylinder coring device in which the coring section is open, not sealed off by a fin"
coring_method,hargas corer,"A large diameter (>10 cm) coring device consisting of a tube, piston, and a cutting head"
coring_method,mcauley corer,A half cylinder coring device with the coring section sealed off by a fin attached to a rotating pivot point
coring_method,mccaffrey peat cutter,U-shaped blade that extracts a core by cutting down through peat
coring_method,none specified,No coring device was specified
coring_method,other shallow corer,Any other type of coring device typically taking cores shallower than 30 centimeters
coring_method,piston corer,A device that extrudes core into tube upward with a plunger
coring_method,push core,Any number of coring types involving driving a tube into the sediment to recover a core
coring_method,pvc and hammer,PVC pipe was driven into the sediment with a hammer to recover a core
coring_method,russian corer,A half cylinder coring device with the coring section sealed off by a fin attached to a rotating pivot point
coring_method,vibracore,"A technique involving collecting a core by sinking a continuous pipe into sediment attaching a source of vibration, then recovering using a winch and pulley"
coring_method,surface sample,A technique involving collecting a core shallower than ~5 cm using a circular metal cutter.
coring_method,soil pit,A pit is dug from the surface of the soil to the underlying bedrock.
roots_flag,roots and rhizomes included,Roots and rhizomes were included in dry bulk density and or organic matter and carbon measurements
roots_flag,roots and rhizomes separated,Roots and rhizomes were separated from soil before dry bulk density and or organic matter and carbon measurements.
sediment_sieved_flag,sediment sieved,Sediment was sieved prior to analysis for organics
sediment_sieved_flag,sediment not sieved,Sediment was not sieved prior to analysis for organics.
compaction_flag,compaction qualified,Compaction was at least qualified and noted by the authors
compaction_flag,compaction quantified,Compaction was quantified and corrected for in core based measurements
compaction_flag,corer limits compaction,Authors specified that the coring device's design minimized compaction
compaction_flag,no obvious compaction,Authors observed no obvious compaction
compaction_flag,not specified,Compaction was not specified.
dry_bulk_density_flag,air dried to constant mass,Methodology specified that samples were air dried to a constant mass
dry_bulk_density_flag,modeled,"Bulk density was not measured, but was modeled from loss on ignition and assumptions about the particle densities of organic and inorganic matter"
dry_bulk_density_flag,freeze dried,Bulk density was measured on freeze dried samples
dry_bulk_density_flag,not specified,No additional details regarding bulk density methodology were provided
dry_bulk_density_flag,removed non structural water,"Bulk density methodology did not specify drying temperature or length, only that non-strucural water was removed"
dry_bulk_density_flag,time approximate,Bulk density time recorded herin is an approximate estimate
