study_id,uncontrolled_type,table_name,attribute_name,variable_name,action,definition,notes
Vaughn_et_al_2020,variable,cores,core_length_flag,﻿full profiles omitted,needs resolution,,
Vaughn_et_al_2020,variable,cores,salinity_class,estuarine,add to controlled,,
Thom_2019,variable,methods,coring_method,PVC tube or thin-walled metal tube,needs resolution,,"recode as ""pvc and hammer""?"
Sanborn_and_Coxson_2020,variable,methods,coring_method,soil pit,add to controlled,,
Peck_et_al_2020,variable,methods,excess_pb210_rate,mass accumulation and accretion,needs resolution,,
Peck_et_al_2020,variable,methods,excess_pb210_model,CRS and CIC,needs resolution,,
Peck_et_al_2020,variable,cores,vegetation_class,mudflat,needs resolution,,"habitat and vegetation_class are starting to overlap in variables. Should we leave ""mudflat"" to habitat and classify it as ""unvegetated"" in vegetation class?"
Nolte_2020,variable,cores,core_elevation_datum,NHN,add to controlled,,
Nolte_2020,variable,cores,core_elevation_datum,NAP,add to controlled,,
Noe_et_al_2016,variable,impacts,impact_class,salt impacted,add to controlled,,
Noe_et_al_2016,variable,impacts,impact_class,natural,add to controlled,,
Keshta_et_al_2020,variable,cores,habitat,upland,add to controlled,,
Kemp_2020,attribute,depthseries,marker_age,,rename to marker_date in versioning,,
Kemp_2020,attribute,depthseries,marker_age_sd,,rename to marker_date_se in versioning,,
Gonnea_2018,attribute,depthseries,dating_interval_notes,,rename to depth_interval_notes in versioning,,
Drexler_2009,variable,impacts,impact_class,natural,add to controlled,,
Craft_2007,variable,cores,inundation_class,plain,needs resolution,,
Craft_2007,variable,cores,salinity_class,brackish to fresh,needs resolution,,
Callaway_2019,attribute,methods,pb210_background_assumption,,needs resolution,,
Breithaupt_2014,attribute,depthseries,date,,needs resolution,,should this be age or c14_age or maker_date?
Boyd_2019,variable,methods,excess_pb210_rate,not specified,needs resolution,,
Belshe_2019,attribute,depthseries,pb210_crs_age,,needs resolution,,
Belshe_2019,attribute,depthseries,pb210_crs_age_sd,,needs resolution,,
Belshe_2019,variable,cores,inundation_class,submerged subtidal,needs resolution,,
Abbott_2019,variable,depthseries,marker_type,dredge horizon,needs resolution,,
Abbott_2019,variable,methods,coring_method,polycarbonate tube,needs resolution,,
Poppe_2019,variable,cores,salinity_class,riverine,add to controlled,,
Poppe_2019,variable,cores,vegetation_class,unvegetated,needs resolution,,
Poppe_2019,variable,methods,fraction_carbon_type,not specified,needs resolution,,
Nahlik_and_Fennessy_2016,variable,cores,salinity_class,palustrine,add to controlled,,
Holmquist_2018,variable,methods,dry_bulk_density_flag,duplicate measurements,needs resolution,,
Holmquist_2018,variable,methods,loss_on_ignition_flag,duplicate measurements,needs resolution,,
Holmquist_2018,variable,methods,loss_on_ignition_flag,ground and sieved,needs resolution,,
Holmquist_2018,variable,cores,salinity_class,brackish to fresh,needs resolution,,
Holmquist_2018,variable,cores,salinity_class,bracish to saline,needs resolution,,
Holmquist_2018,variable,cores,salinity_class,intermediate salinity,needs resolution,,
Holmquist_2018,variable,cores,inundation_class,hummock,needs resolution,,
Holmquist_2018,variable,cores,inundation_class,hollow,needs resolution,,
Holmquist_2018,variable,cores,inundation_class,river's edge,needs resolution,,
Holmquist_2018,variable,impacts,impact_class,salt impacted,add to controlled,,
Holmquist_2018,variable,impacts,impact_class,restoring,needs resolution,,
Holmquist_2018,variable,impacts,impact_class,managed,needs resolution,,
Holmquist_2018,variable,impacts,impact_class,canalled,needs resolution,,
Holmquist_2018,attribute,methods,fraction_carbon_flag,,needs resolution,,
