Site,Latitude_DMS,lat_deg,lat_min,lat_sec,Latitude,Longitude_DMS,long_deg,long_min,long_sec,Longitude,kasutus,notes,horizon,Soil_depth,layer_m,OC_perc,BD_reported_g_cm3,horizon_weight_t,Cstock_t_ja,C stock epipedon,C stock solum,LOI,,,
Pürksi,58°59′51′′ N,58,59,51,58.9975, 23°34′03′′ E,23,34,3,23.5675,abandoned,"Peaty soil, on top with strongly rooted, average to strongly degraded peat",A, 0-14,0.14,23.7,0.10,146.391,34.69,204.10,208.07,75.9,,,
Pürksi,58°59′51′′ N,58,59,51,58.9975, 23°34′03′′ E,23,34,3,23.5675,abandoned,"Peaty soil, on top with strongly rooted, average to strongly degraded peat",A(C) (clayish layer), 14-20,0.06,20.2,1.4,840,169.41,,,49.7,,,
Pürksi,58°59′51′′ N,58,59,51,58.9975, 23°34′03′′ E,23,34,3,23.5675,abandoned,"Peaty soil, on top with strongly rooted, average to strongly degraded peat",CG (sand), 20-25,0.05,0.7,1.2,600,3.97,,,1.3,,,
Tahu,58°59′38′′ N,58,59,38,58.99388889, 23°33′56′′ E,23,33,56,23.56555556,managed,"Wetland soil. Shallow, deeply rooted humus layer",A, 0-5,0.05,14.0,0.37,184.66,25.86,48.66,50.32,35.9,,,
Tahu,58°59′38′′ N,58,59,38,58.99388889, 23°33′56′′ E,23,33,56,23.56555556,managed,"Wetland soil. Shallow, deeply rooted humus layer",AC (clayish), 5-10,0.05,3.3,1.4,700,22.80,,,10.5,,,
Tahu,58°59′38′′ N,58,59,38,58.99388889, 23°33′56′′ E,23,33,56,23.56555556,managed,"Wetland soil. Shallow, deeply rooted humus layer",CG (sand), 10-45,0.35,0.0,1.2,4200,1.65,,,2.7,,,
Põgari-Sassi,58°48′13′′ N,58,48,13,58.80361111, 23°31′10′′ E,23,31,10,23.51944444,managed,Arenic wetland soil,A, 0-8,0.08,14.9,0.36,288.772,43.07,59.52,69.85,48.4,,,
Põgari-Sassi,58°48′13′′ N,58,48,13,58.80361111, 23°31′10′′ E,23,31,10,23.51944444,managed,,AC (r3ls1), 8-11,0.03,4.6,1.2,360,16.45,,,16.6,,,
Põgari-Sassi,58°48′13′′ N,58,48,13,58.80361111, 23°31′10′′ E,23,31,10,23.51944444,managed,,CG1(sand), 11-28,0.17,0.3,1.2,2040,5.60,,,11.9,,,
Põgari-Sassi,58°48′13′′ N,58,48,13,58.80361111, 23°31′10′′ E,23,31,10,23.51944444,managed,,CG2 (sand), 28-45,0.17,0.2,1.2,2040,4.73,,,16.9,,,
Häädemeeste,58°5′27′′ N,58,5,27,58.09083333,24°29′08′′ E,24,29,8,24.48555556,managed,Occasionally peaty wetland soil,T2-3, 0-15,0.15,11.9,0.22,323.3325,38.33,82.55,85.45,49.8,,,
Häädemeeste,58°5′27′′ N,58,5,27,58.09083333,24°29′08′′ E,24,29,8,24.48555556,managed,,TC (sand), 15-26,0.11,3.3,1.2,1320,44.22,,,12.0,,,
Häädemeeste,58°5′27′′ N,58,5,27,58.09083333,24°29′08′′ E,24,29,8,24.48555556,managed,,CG (sand), 26-60,0.34,0.1,1.2,4080,2.90,,,0.6,,,
Piirumi,58°09′14′′ N,58,9,14,58.15388889, 24°28′48′′ E,24,28,48,24.48,abandoned,Occasionally peaty wetland soil,A (sand), 0-20,0.2,5.0,0.42,833.66,41.65,41.65,54.20,22.1,,,
Piirumi,58°09′14′′ N,58,9,14,58.15388889, 24°28′48′′ E,24,28,48,24.48,abandoned,Deep and occasionally muddy humus layer,CG (sand), 20-60,0.4,0.3,1.2,4800,12.55,,,3.1,,,
Piirumi,58°09′30′′ N,58,9,30,58.15833333, 24°28′37′′ E,24,28,37,24.47694444,restored,Peaty soil. Decomposed turf,T3,0-6,0.06,24.7,0.15,87.195,21.57,84.74,101.74,72.2,,,
Piirumi,58°09′30′′ N,58,9,30,58.15833333, 24°28′37′′ E,24,28,37,24.47694444,restored,,T2, 6-29,0.23,18.3,0.15,345,63.18,,,56.6,,,
Piirumi,58°09′30′′ N,58,9,30,58.15833333, 24°28′37′′ E,24,28,37,24.47694444,restored,,CG (sand),29-46,0.17,0.4,1.2,2040,8.01,,,1.8,,,
Piirumi,58°09′30′′ N,58,9,30,58.15833333, 24°28′37′′ E,24,28,37,24.47694444,restored,,C2G (clay),46-,0.2,0.3,1.4,2800,8.98,,,15.6,,,
Haeska,58°46′52′′ N,58,46,52,58.78111111, 23°39′24′′ E,23,39,24,23.65666667,managed,Wetland soil. In places humus layer very thin,AT (r3ls1), 0-10,0.1,4.1,0.62,624.665,25.35,25.35,34.68,14.3,,,
Haeska,58°46′52′′ N,58,46,52,58.78111111, 23°39′24′′ E,23,39,24,23.65666667,managed,,CG (ls1), 10-30,0.2,0.3,1.2,2400,7.03,,,15.1,,,
Haeska,58°46′52′′ N,58,46,52,58.78111111, 23°39′24′′ E,23,39,24,23.65666667,managed,,CG (ls1), 30-50,0.2,0.1,1.2,2400,2.30,,,5.1,,,
Haeska,58°46′58′′ N,58,46,58,58.78277778, 23°41′44′′ E,23,41,44,23.69555556,restored,Wetland soil. On top thin and deelpy rooted humus layer,AT, 0-7,0.07,22.1,0.21,148.7955,32.95,32.95,179.66,58.1,,,
Haeska,58°46′58′′ N,58,46,58,58.78277778, 23°41′44′′ E,23,41,44,23.69555556,restored,,(A)CG (ls3), 7-24,0.17,2.7,1.4,2380,64.50,,,12.1,,,
Haeska,58°46′58′′ N,58,46,58,58.78277778, 23°41′44′′ E,23,41,44,23.69555556,restored,,CG (ls3 või s1), 24-50,0.26,2.3,1.4,3640,82.21,,,8.9,,,
Haeska,58°47′05′′ N,58,47,5,58.78472222, 23°42′15′′ E,23,42,15,23.70416667,abandoned,Wetland soil. On top thin and deelpy rooted humus layer,AT, 0-7,0.07,26.1,0.1,70,18.24,79.07,79.07,70.3,,,
Haeska,58°47′05′′ N,58,47,5,58.78472222, 23°42′15′′ E,23,42,15,23.70416667,abandoned,,"ACG (ls3, s1)", 7-30,0.23,1.9,1.4,3220,60.84,,,8.7,,,
Salmi,58°43′55′′ N,58,43,55,58.73194444, 23°40′01′′ E,23,40,1,23.66694444,managed,Wetland soil. On top thin and deelpy rooted humus layer,AT, 0-8,0.08,11.2,0.54,429.892,48.27,48.27,48.27,25.1,,,
Salmi,58°43′55′′ N,58,43,55,58.73194444, 23°40′01′′ E,23,40,1,23.66694444,allpool vähe orgaanikat,(ls3 or s1); Deeper very little organic matter ,(A)CG (ls3), 8-30,0.22,0.7,1.4,3080,20.94,,,5.8,,,
Saardu,58°47′20′′ N,58,47,20,58.78888889, 23°36′0′′ E,23,36,0,23.6,abandoned,Wetland soil. On top thin and deelpy rooted humus layer,AT, 0-6,0.06,14.0,0.30,180.114,25.13,37.68,48.29,44.7,,,
Saardu,58°47′20′′ N,58,47,20,58.78888889, 23°36′0′′ E,23,36,0,23.6,abandoned,,ACG, 6-15,0.09,1.2,1.2,1080,12.55,,,4.8,,,
Saardu,58°47′20′′ N,58,47,20,58.78888889, 23°36′0′′ E,23,36,0,23.6,abandoned,ls2-3,CG (ls3 või s1), 15-30,0.15,0.5,1.4,2100,10.61,,,12.5,,,
Kastna ,58°19′33′′ N,58,19,33,58.32583333, 23°54′30′′ E,23,54,30,23.90833333,abandoned,Eutrophic mire soil,T2-3,0-10,0.1,18.8,0.25,250,47.08,218.75,376.15,42.8,,,
Kastna ,58°19′33′′ N,58,19,33,58.32583333, 23°54′30′′ E,23,54,30,23.90833333,abandoned,Strongly rooted peat,T2, 10-20,0.1,38.6,0.25,250,96.55,,,75.1,,,
Kastna ,58°19′33′′ N,58,19,33,58.32583333, 23°54′30′′ E,23,54,30,23.90833333,abandoned,,T3, 20-40,0.2,15.0,0.25,500,75.12,,,32.0,,,
Kastna ,58°19′33′′ N,58,19,33,58.32583333, 23°54′30′′ E,23,54,30,23.90833333,abandoned,,CG (ls1), 40-60,0.2,6.6,1.2,2400,157.39,,,7.0,,,
Suti,58°18′55′′ N,58,18,55,58.31527778, 23°58′30′′ E,23,58,30,23.975,managed,Peaty coastal soil,AT, 0-16,0.16,10.4,0.41,656,67.97,67.97,75.97,34.2,,,
Suti,58°18′55′′ N,58,18,55,58.31527778, 23°58′30′′ E,23,58,30,23.975,managed,Peat on sand,ACG (sand), 16-26,0.1,0.4,1.2,1200,4.74,,,2.4,,,
Suti,58°18′55′′ N,58,18,55,58.31527778, 23°58′30′′ E,23,58,30,23.975,managed,,CG (ls1), 26-52,0.26,0.1,1.2,3120,3.26,,,4.1,,,
Kavaru,58°16′06′′ N,58,16,6,58.26833333, 24°10′37′′ E,24,10,37,24.17694444,restored,Wetland soil,A, 0-13,0.13,10.2,0.41,533,54.24,79.95,83.80,22.0,,,
Kavaru,58°16′06′′ N,58,16,6,58.26833333, 24°10′37′′ E,24,10,37,24.17694444,restored,sand,ACG (sand), 13-21 ,0.08,2.7,1.2,960,25.71,,,10.6,,,
Kavaru,58°16′06′′ N,58,16,6,58.26833333, 24°10′37′′ E,24,10,37,24.17694444,restored,,CG (sand), 21-40,0.19,0.2,1.2,2280,3.86,,,4.2,,,
